business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Lubok Sukon, Ingin Jaya, Aceh Besar Regency, Aceh 23771, Indonesia","{'location': {'lat': 5.496411, 'lng': 95.3752148}, 'viewport': {'northeast': {'lat': 5.497769829892722, 'lng': 95.3765436798927}, 'southwest': {'lat': 5.495070170107279, 'lng': 95.37384402010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tourism Village Lubuk Sukon,{'open_now': False},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108099435792571586612"">Kawi Boedisetio</a>'], 'photo_reference': 'AUGGfZnwzrWw7JXepa7yMI_fMH-XNgH_4Kr7wwKA2l0AngSU1xKYUWOhk6IAWUyMXU-TneV9rcqXgaxCGxkyQFcQlv5xyYZkpZTn2FrEqPYIECPMTTISssvvgR_vKIrjwZsyJ3Odyc1BHyJUgVSJHtnE9m8TABrpEfji14QcPgbqzEc7uoUH', 'width': 2048}]",ChIJvZTKNmA4QDAR0MQfvEoBLQE,"{'compound_code': 'F9WG+H3 Lubok Sukon, Aceh Besar Regency, Aceh, Indonesia', 'global_code': '6MQQF9WG+H3'}",4.4,ChIJvZTKNmA4QDAR0MQfvEoBLQE,"['tourist_attraction', 'point_of_interest', 'establishment']",303,https://www.google.com/maps/place/?q=place_id:ChIJvZTKNmA4QDAR0MQfvEoBLQE
OPERATIONAL,"G997+P2R, Jurong Peujeura, Ingin Jaya, Aceh Besar Regency, Aceh 23116, Indonesia","{'location': {'lat': 5.519367000000001, 'lng': 95.362516}, 'viewport': {'northeast': {'lat': 5.520820729892723, 'lng': 95.36366222989273}, 'southwest': {'lat': 5.518121070107279, 'lng': 95.36096257010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pagar Air,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116546522349457542327"">A Google User</a>'], 'photo_reference': 'AUGGfZmmdJUXf7rYimY5_xJ7sD_jlfVHoV4Nq2YUL4ceg0gsOVRDzRntYYMN_yl9QlxnhyKlBKoqk5OCgMQ6_nAsT4uucwGWV25Oq4r7uTjLTDipfeZg5mT6QV6peolDoibMKBvt7a9C4i-YYVRpKEuzMbyTuxKrpyeNAd4wy83SZx3Hi3au', 'width': 1872}]",ChIJ230TXbk5QDAR7Wa5sKjboME,,4.5,ChIJ230TXbk5QDAR7Wa5sKjboME,"['tourist_attraction', 'point_of_interest', 'establishment']",24,https://www.google.com/maps/place/?q=place_id:ChIJ230TXbk5QDAR7Wa5sKjboME
OPERATIONAL,"F86G+4HF, Lamsod, Darul Kamal, Aceh Besar Regency, Aceh 23238, Indonesia","{'location': {'lat': 5.460312, 'lng': 95.3264356}, 'viewport': {'northeast': {'lat': 5.461924279892721, 'lng': 95.32803652989271}, 'southwest': {'lat': 5.459224620107277, 'lng': 95.32533687010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Peukan Biluy,{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102595537652924186135"">Teuku Rizki</a>'], 'photo_reference': 'AUGGfZmwT1iwdznKDOvpq1gxhGlMlI_EQ4rzmXo4EyXR38BMAJou2nRe7iuHIcOHr6AfiBubhRffooBYMOytkrKAghfVjVTm6VqQUXUTM8MCM95KS5iE3n93ZpA8hYV6BpSK9E6fKMRDibmaHQX_Phjpb0lqlpwH8MX_5ZG-JdP9o3zIZBAR', 'width': 3264}]",ChIJAWEAT0k5QDAR7x9_Si60Bus,,4.0,ChIJAWEAT0k5QDAR7x9_Si60Bus,"['tourist_attraction', 'point_of_interest', 'establishment']",60,https://www.google.com/maps/place/?q=place_id:ChIJAWEAT0k5QDAR7x9_Si60Bus
OPERATIONAL,"F9GF+V2Q, Lampanah Ineu, SukaMakmur, Aceh Besar Regency, Aceh 23363, Indonesia","{'location': {'lat': 5.477214399999999, 'lng': 95.37259879999999}, 'viewport': {'northeast': {'lat': 5.478415279892721, 'lng': 95.37408697989271}, 'southwest': {'lat': 5.475715620107278, 'lng': 95.37138732010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Markas besar sapi Terbang,,,ChIJA2VdCAA5QDARFRx9lbF1kao,,0.0,ChIJA2VdCAA5QDARFRx9lbF1kao,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJA2VdCAA5QDARFRx9lbF1kao
OPERATIONAL,"FC3W+7G, Mon Ara, Montasik, Aceh Besar Regency, Aceh, Indonesia","{'location': {'lat': 5.453194, 'lng': 95.446253}, 'viewport': {'northeast': {'lat': 5.45399185, 'lng': 95.44814997989272}, 'southwest': {'lat': 5.45080045, 'lng': 95.44545032010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Blok,,,ChIJdzDqRABBQDAR0Qs3CghSd8M,,0.0,ChIJdzDqRABBQDAR0Qs3CghSd8M,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJdzDqRABBQDAR0Qs3CghSd8M
OPERATIONAL,"F929+45X, Lambirah, SukaMakmur, Aceh Besar Regency, Aceh 23363, Indonesia","{'location': {'lat': 5.450350299999999, 'lng': 95.36797030000001}, 'viewport': {'northeast': {'lat': 5.451718529892721, 'lng': 95.36929632989272}, 'southwest': {'lat': 5.449018870107277, 'lng': 95.36659667010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Rusa Lam Tanjong,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110494683338006518318"">Muhammad IQbal</a>'], 'photo_reference': 'AUGGfZmetXUtTg9u83mAObv4RcgTFhh2nwxd-67UBlHlomDKg_Jj1or2EST0_2cfGBL4r2frVyBt3guNGkbNbvLeFUd1QUwaH8aL0tEzkHWGrbQ1QK_Kbma-5hFC2XUtmBI5DkYvSl9iGNYRdEHhDj-AYg2__MP4UsYZL335gyIfjOrozB73', 'width': 4000}]",ChIJl1xDkzM_QDARTIXefch2628,,4.3,ChIJl1xDkzM_QDARTIXefch2628,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1769,https://www.google.com/maps/place/?q=place_id:ChIJl1xDkzM_QDARTIXefch2628
OPERATIONAL,"F8JG+X7, Lamtadok, Darul Kamal, Aceh Besar Regency, Aceh, Indonesia","{'location': {'lat': 5.4824609, 'lng': 95.3256936}, 'viewport': {'northeast': {'lat': 5.483799129892723, 'lng': 95.32711362989272}, 'southwest': {'lat': 5.481099470107279, 'lng': 95.32441397010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jambo Keurabe,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109595245904405744513"">aimitize pilu</a>'], 'photo_reference': 'AUGGfZmp29ugWgVGUZfbvmMpwwvxcZdra7kY4WcKDeOXI4-8XYjifMQvTu5i6kKyQtFJaWOSWqW9HhVzye0v7WO3uIT5hMJrIrJZEOO8OXR0MClJnUv8gIlkCfkCuvyJSdS_VcbU5yDKTUOR4MZhhdw9LWbI0mUWZK55c-ay8gE7NLlsW4Eo', 'width': 3000}]",ChIJz7FHMaw5QDARoovnfX9m2R4,,5.0,ChIJz7FHMaw5QDARoovnfX9m2R4,"['tourist_attraction', 'point_of_interest', 'establishment']",3,https://www.google.com/maps/place/?q=place_id:ChIJz7FHMaw5QDARoovnfX9m2R4
OPERATIONAL,"FC72+9M, Lampaseh Lhok, Montasik, Aceh Besar Regency, Aceh, Indonesia","{'location': {'lat': 5.463409, 'lng': 95.40168299999999}, 'viewport': {'northeast': {'lat': 5.464485179892722, 'lng': 95.40315742989273}, 'southwest': {'lat': 5.461785520107278, 'lng': 95.40045777010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lampoh cot manyang,,,ChIJ4yzcRq9HQDARaVj1Y4eAK7g,,0.0,ChIJ4yzcRq9HQDARaVj1Y4eAK7g,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJ4yzcRq9HQDARaVj1Y4eAK7g
OPERATIONAL,"H98M+RRW, Tungkob, Darussalam, Aceh Besar Regency, Aceh 23373, Indonesia","{'location': {'lat': 5.5674323, 'lng': 95.38474819999999}, 'viewport': {'northeast': {'lat': 5.568634429892722, 'lng': 95.38615427989271}, 'southwest': {'lat': 5.565934770107278, 'lng': 95.38345462010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Apa dun,,,ChIJEYGQ53k3QDARnolQtlgDJbg,,0.0,ChIJEYGQ53k3QDARnolQtlgDJbg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJEYGQ53k3QDARnolQtlgDJbg
OPERATIONAL,"G9VX+4CC, Jl. Blang Bintang Lama, Lamceu, Kec. Kuta Baro, Kabupaten Aceh Besar, Aceh 24411, Indonesia","{'location': {'lat': 5.542805200000001, 'lng': 95.3985101}, 'viewport': {'northeast': {'lat': 5.544341079892722, 'lng': 95.39945452989272}, 'southwest': {'lat': 5.541641420107278, 'lng': 95.39675487010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lampoh Weng,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115343509958277571402"">Faisal Miruk</a>'], 'photo_reference': 'AUGGfZn4I2teYBOKJh3jGbQOMDZEhmh7qqQjbJcRlSHXpXsPMfyr7xrChL1BEEwdW1ETJLEXIL-DsOWMiQFy86-xY7nSOVou801OxD5_ioedTZ1eRxLT_Ot93l7hkt__6YNYiAgH_E5q8E2izVUasRgiPK2aw31ClIs3oP4pABFd2MN-B6k', 'width': 3456}]",ChIJX6qEjj9JQDARH2q_MX0lax8,,3.0,ChIJX6qEjj9JQDARH2q_MX0lax8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,https://www.google.com/maps/place/?q=place_id:ChIJX6qEjj9JQDARH2q_MX0lax8
