business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,permanently_closed,plus_code,url
OPERATIONAL,"39QH+98P, Alai, Kluet Timur, South Aceh Regency, Aceh 23772, Indonesia","{'location': {'lat': 3.0887856, 'lng': 97.3769532}, 'viewport': {'northeast': {'lat': 3.090153579892723, 'lng': 97.37830922989274}, 'southwest': {'lat': 3.087453920107278, 'lng': 97.37560957010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Harimau Putih,ChIJP5N4WgBfOjARVC4lqTgHEqc,0.0,ChIJP5N4WgBfOjARVC4lqTgHEqc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJP5N4WgBfOjARVC4lqTgHEqc
OPERATIONAL,"4CWC+4RP, Lawe Sawah, Kluet Timur, South Aceh Regency, Aceh, Indonesia","{'location': {'lat': 3.1453331, 'lng': 97.4220837}, 'viewport': {'northeast': {'lat': 3.146682929892722, 'lng': 97.42343352989272}, 'southwest': {'lat': 3.143983270107277, 'lng': 97.42073387010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemandian Take Lawe,ChIJvw-bf15fOjARmMhOFiRLB1I,5.0,ChIJvw-bf15fOjARmMhOFiRLB1I,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101316738752486854966"">SKn Photography</a>'], 'photo_reference': 'AUGGfZlzVuPVzz174K40dK8Sr2wZI54i36Mf10E-BUyo642tBeUlKo3Vz_w-kVIfklv4d1VuaHH0YGnHYJQs3gTNAH_dtH6hInMxuBWKBtMXIF0j4XTmTTiCUjNA2XJA-EX50heURVuJVh40j5C6Dhzt7xdOg5dtBq8s7vNZ2CqQDyW_ookM', 'width': 1080}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJvw-bf15fOjARmMhOFiRLB1I
OPERATIONAL,"49CC+X8Q, Krueng Kluet, Kluet Utara, South Aceh Regency, Aceh 23772, Indonesia","{'location': {'lat': 3.1224727, 'lng': 97.3708492}, 'viewport': {'northeast': {'lat': 3.123156479892723, 'lng': 97.37173842989273}, 'southwest': {'lat': 3.120456820107278, 'lng': 97.36903877010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mata ie,ChIJddqSI5hfOjARMdHCveL2rsY,4.7,ChIJddqSI5hfOjARMdHCveL2rsY,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 3628, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105494845679000831926"">erik febriarta</a>'], 'photo_reference': 'AUGGfZlCZwrBC4WHQI01_UfZKXZrfZ4nUcKgeJ_SdcGfHiSUqata3qoJwVm-IUFluogFWf_TQA5WWIES8KiWHwWhbJqALufWRvGqFEbKyVtuGinEaCFvncyG_8MfF922i9ypWuJJ6I7JDofBlTV5Sd0BQM8lq_Vq3L1yw6NXKcqzNUxgfCuA', 'width': 10838}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJddqSI5hfOjARMdHCveL2rsY
OPERATIONAL,"5CJ5+XQR Tapak Aulia, Lawe Cimanok, Kec. Kluet Tim., Kabupaten Aceh Selatan, Aceh 23772, Indonesia","{'location': {'lat': 3.1824864, 'lng': 97.4093922}, 'viewport': {'northeast': {'lat': 3.184041079892722, 'lng': 97.4102175}, 'southwest': {'lat': 3.181341420107278, 'lng': 97.40691629999998}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Destinasi Tapak Aulia,ChIJDdeH11ZdOjARyYHl7FwvR-U,4.2,ChIJDdeH11ZdOjARyYHl7FwvR-U,"['tourist_attraction', 'point_of_interest', 'establishment']",5,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106560967867306560472"">A Google User</a>'], 'photo_reference': 'AUGGfZnLmikVBi_58cmxERndLjtUrJPke3uvK6ZbEiTmdAO-kVf6Leo0x9ibpO3PQg6doqJxXewlU8BmCAKOmI4cvMufg5NfVzU79BgJLsK8BkaDzNAFbWr1bsu1Ot70Z8GTWJjxSsZj4PvXoPyJ7ECPGehhCPRJQsWybUTz82004XOcY_8d', 'width': 1872}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJDdeH11ZdOjARyYHl7FwvR-U
OPERATIONAL,"49WX+6J, Lawe Sawah, Kluet Timur, South Aceh Regency, Aceh 23772, Indonesia","{'location': {'lat': 3.1455417, 'lng': 97.3991022}, 'viewport': {'northeast': {'lat': 3.146891529892722, 'lng': 97.40045202989273}, 'southwest': {'lat': 3.144191870107278, 'lng': 97.3977523701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lawe mokap,ChIJXRMbF0lfOjARg4jciTW9__4,0.0,ChIJXRMbF0lfOjARg4jciTW9__4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJXRMbF0lfOjARg4jciTW9__4
OPERATIONAL,"38J5+W94 Dekat samudra Hindia, Pasi Kuala Bau, Kec. Kluet Utara, Kabupaten Aceh Selatan, Aceh 23771, Indonesia","{'location': {'lat': 3.0822651, 'lng': 97.3084629}, 'viewport': {'northeast': {'lat': 3.08542155, 'lng': 97.31047212989272}, 'southwest': {'lat': 3.08121295, 'lng': 97.30777247010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pante Pasie Wisata,ChIJ_4HlRABZOjARcAuNJgSEJOw,3.0,ChIJ_4HlRABZOjARcAuNJgSEJOw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116184912352788115351"">T Bintang T</a>'], 'photo_reference': 'AUGGfZl1SfRVqbIDla1ebD_xNCFFfBUnDchLzya2iSz70l2WenesmRcMa4yZJbsHVY3ixDH62iVBeEfg2MM70iCWT__oxVtuIsj7s9J1nJtDDF-ZbQHxJFAKJi0XVxiFlluwf2JkwjmHsz7KJcUEVXKx29XDTX9F-0NK5KFXIbpDVL9qKooP', 'width': 4160}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ_4HlRABZOjARcAuNJgSEJOw
OPERATIONAL,"59MG+4P, Jambo Papan, Kluet Tengah, South Aceh Regency, Aceh, Indonesia","{'location': {'lat': 3.1827921, 'lng': 97.3768094}, 'viewport': {'northeast': {'lat': 3.184291129892723, 'lng': 97.38033485}, 'southwest': {'lat': 3.181591470107278, 'lng': 97.37563425}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lahan kelompok petani kopi,ChIJ0aHKEbBdOjARd00hICcNQE4,0.0,ChIJ0aHKEbBdOjARd00hICcNQE4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ0aHKEbBdOjARd00hICcNQE4
OPERATIONAL,"38M5+P9G, Pasie Kuala Ba'U, Kec. Kluet Utara, Kabupaten Aceh Selatan, Aceh 23772, Indonesia","{'location': {'lat': 3.0843036, 'lng': 97.30845629999999}, 'viewport': {'northeast': {'lat': 3.085902979892722, 'lng': 97.31009252989271}, 'southwest': {'lat': 3.083203320107277, 'lng': 97.30739287010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Krueng Mate Kualaba'u,ChIJs14Bb4hYOjARaWgIckV9E_I,4.6,ChIJs14Bb4hYOjARaWgIckV9E_I,"['tourist_attraction', 'point_of_interest', 'establishment']",5,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100272536205462850734"">A Google User</a>'], 'photo_reference': 'AUGGfZkUYYFjQI7cFIR0woKfEPIrwvb6tjQPWFVcoEY1Mjaua0Xbo7GGPnICz7Qgw5-_7LeupepIzfzDgTl3BHKB2ec8HLCeh_C-6kwhMUBAeT_W6H3aGXLNxbdIHGNjaDW9PzHl7SFnrGfjO5qaLQSk5ilchEOUTEHsyl1kPyV6k6-pK2ku', 'width': 2048}]",{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJs14Bb4hYOjARaWgIckV9E_I
CLOSED_TEMPORARILY,"3CQ9+23, Durian Kawan, Kluet Timur, South Aceh Regency, Aceh, Indonesia","{'location': {'lat': 3.0873716, 'lng': 97.4164658}, 'viewport': {'northeast': {'lat': 3.09100715, 'lng': 97.41909905000001}, 'southwest': {'lat': 3.086159750000001, 'lng': 97.41558805}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Pintu angin,ChIJj6OXVO1fOjARnDKvpO_W7cs,0.0,ChIJj6OXVO1fOjARnDKvpO_W7cs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108812062531511404168"">Chandra Telo</a>'], 'photo_reference': 'AUGGfZn524Ug3wAhNTWsDWjqQF-WwthH8-rqla9lWftlu4brfmOIqzTn6A1WhYb3d7DwBftWQsB-Tsf0NdqaJOn4-yA2benzH6xm7xydUiNjEuWtc-e8DOCMEL75u77eIlFsMa-2h7wwMYIjkvkcI0wgVgn_KJL3-EtBaVPSkSPZ4Xa6vMk7', 'width': 4096}]",,True,,https://www.google.com/maps/place/?q=place_id:ChIJj6OXVO1fOjARnDKvpO_W7cs
CLOSED_TEMPORARILY,"4CV8+6J, Dusun Utama, Lawe Sawah, Kec. Kluet Tim., Kabupaten Aceh Selatan, Aceh, Indonesia","{'location': {'lat': 3.1431218, 'lng': 97.4166243}, 'viewport': {'northeast': {'lat': 3.144611829892722, 'lng': 97.41746502989274}, 'southwest': {'lat': 3.141912170107278, 'lng': 97.41476537010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Alur cih,ChIJx22PEwVfOjARK_Q30PY-Hf0,0.0,ChIJx22PEwVfOjARK_Q30PY-Hf0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101316738752486854966"">SKn Photography</a>'], 'photo_reference': 'AUGGfZm4mPYDToXU04yxR3HN65tJy_RUD4_bZ5SzHyRA9Y0zUf6cxO38EA9wCL3sU-QPRwfyxM12xZbmY0C1Kx58qZ1wZ1W1BdZ0BYY0F7BO_GDLfC3LGbdO_6xQ9wkLouLLah1cg46aRc0D8Lghv5gL8T_FnvyVR6CZng9i7-v7zenHqqYo', 'width': 2592}]",,True,,https://www.google.com/maps/place/?q=place_id:ChIJx22PEwVfOjARK_Q30PY-Hf0
