business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"PH5Q+V59, Hutan, Darul Hasanah, Southeast Aceh, Aceh, Indonesia","{'location': {'lat': 3.7096542, 'lng': 97.58798739999999}, 'viewport': {'northeast': {'lat': 3.711004029892722, 'lng': 97.58933722989272}, 'southwest': {'lat': 3.708304370107278, 'lng': 97.58663757010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aih terjun Marpunge,"[{'height': 1190, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110774900566705751664"">A Google User</a>'], 'photo_reference': 'AUGGfZlWpK3aReh9lhKfcB6hBkjPdEVCcZZZIErVc7GyBqJugrk8U0CxkQOBrWzed7TeYC7j4hk-nr2eVsGFzGSmVhjsnXq3yW-7Iu5jbvp_6mAG5UfoGJRCwErEgpjtyrrTDr1morGJquiUvKneeYKOam3fFfzXPaU6U4eD8_VmKmbi_eHO', 'width': 669}]",ChIJ4afszuUdOjARC4NTzqYfemM,5.0,ChIJ4afszuUdOjARC4NTzqYfemM,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4afszuUdOjARC4NTzqYfemM
OPERATIONAL,"FQ86+5H, Hutan, Darul Hasanah, Southeast Aceh, Aceh, Indonesia","{'location': {'lat': 3.4654661, 'lng': 97.7613909}, 'viewport': {'northeast': {'lat': 3.466815929892723, 'lng': 97.76274072989271}, 'southwest': {'lat': 3.464116270107278, 'lng': 97.76004107010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Empus silih datuk,,ChIJD79qdwALOjARuqVwb8AMcdE,0.0,ChIJD79qdwALOjARuqVwb8AMcdE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJD79qdwALOjARuqVwb8AMcdE
OPERATIONAL,"GQV3+238, Hutan, Darul Hasanah, Southeast Aceh, Aceh, Indonesia","{'location': {'lat': 3.5425324, 'lng': 97.75270689999999}, 'viewport': {'northeast': {'lat': 3.543961079892722, 'lng': 97.75407837989273}, 'southwest': {'lat': 3.541261420107277, 'lng': 97.7513787201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TEMPAT PEMANDIAN/WATER BOOM KUTA UJUNG,,ChIJfw0lFwAJOjARxxSlBPpVPLI,0.0,ChIJfw0lFwAJOjARxxSlBPpVPLI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJfw0lFwAJOjARxxSlBPpVPLI
OPERATIONAL,"FQJJ+XXR, Jl. Bukit Cinta, Hutan, Kec. Darul Hasanah, Kabupaten Aceh Tenggara, Aceh 24651, Indonesia","{'location': {'lat': 3.4824971, 'lng': 97.7823847}, 'viewport': {'northeast': {'lat': 3.484168829892722, 'lng': 97.78411037989272}, 'southwest': {'lat': 3.481469170107278, 'lng': 97.78141072010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok Villa Ungu,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101290761720364757046"">aripan ginting</a>'], 'photo_reference': 'AUGGfZkbA_my_GN36B-gHac35aU0Pl69y21g71YoF6mgPno99ovvG4bSrkZV7lFQ9R1zqeFj3-JxvbFZdYaDzowS7R_O30znw4674JojESptRQ-tUGQdFCWkHVSnBOAROAzY6VGIOOwtqsww8xT9onnoGSq5ac5W-eIhD9N3OcXzIcVnyCto', 'width': 1920}]",ChIJXZM6js0JOjARAlcognrM0sI,4.0,ChIJXZM6js0JOjARAlcognrM0sI,"['tourist_attraction', 'point_of_interest', 'establishment']",4,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJXZM6js0JOjARAlcognrM0sI
OPERATIONAL,"JPC8+XW7, Jl. Blangkejeren - Kutacane, Darul Makmur, Kec. Ketambe, Kabupaten Aceh Tenggara, Aceh 24652, Indonesia","{'location': {'lat': 3.6224058, 'lng': 97.7173024}, 'viewport': {'northeast': {'lat': 3.623878829892722, 'lng': 97.71867897989273}, 'southwest': {'lat': 3.621179170107278, 'lng': 97.7159793201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Naga Kesiangan,"[{'height': 2248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110534902242598102328"">Tedi Novedi</a>'], 'photo_reference': 'AUGGfZmAHeUE2-woZGCO9MqbMAw2Jt7PFixntlx3c9gmYaRu9QwsHCgkeRIb_tTDF6esTzyPtpryG0c1Bu53DdvUtDrZ730X3gBOiDcDFm-22eD74E2Eq4t0Hu-ejDugZ1DoJj4k_LDR7PAQCuswvDPjuxZPWD0knkaUS6b0XvliX9UG2Qc4', 'width': 3998}]",ChIJmTDZ_fEHOjARh2nuBwkccE8,4.6,ChIJmTDZ_fEHOjARh2nuBwkccE8,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,,https://www.google.com/maps/place/?q=place_id:ChIJmTDZ_fEHOjARh2nuBwkccE8
OPERATIONAL,"FQRG+G7W, Hutan, Darul Hasanah, Southeast Aceh, Aceh 24651, Indonesia","{'location': {'lat': 3.4913599, 'lng': 97.7756988}, 'viewport': {'northeast': {'lat': 3.492709729892722, 'lng': 97.77704862989273}, 'southwest': {'lat': 3.490010070107278, 'lng': 97.77434897010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Lawe Sikap,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112230766176843766050"">A Google User</a>'], 'photo_reference': 'AUGGfZm9cxvByjsXj_Fu9CwskWnm_52NELeDGNjaDJxH-gTmFNDCaSHZkYsf5eVVW4n3YQy23exbLSGBTOLeZPiDhqEVHEvMueJfSoCgXnPfOi2apVH2Acmh3_P6j3tkYHee84kRI1ef_HHWIbdXHiyUb0b3MOEWshn5UAbEdJtGFzaST_YR', 'width': 3000}]",ChIJWxJu6nAJOjARr1XAkI7ADhw,4.3,ChIJWxJu6nAJOjARr1XAkI7ADhw,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,,https://www.google.com/maps/place/?q=place_id:ChIJWxJu6nAJOjARr1XAkI7ADhw
OPERATIONAL,"FQVJ+VGM, Hutan, Darul Hasanah, Southeast Aceh, Aceh 24651, Indonesia","{'location': {'lat': 3.4947235, 'lng': 97.78130859999999}, 'viewport': {'northeast': {'lat': 3.496110079892722, 'lng': 97.78267317989273}, 'southwest': {'lat': 3.493410420107278, 'lng': 97.77997352010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Lawe Sikap,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103305764286631236402"">Asep Hermawan</a>'], 'photo_reference': 'AUGGfZkDtiijW-AGpaOljdN3P5A4zj7GJ2DCfo8n3LWXrwZDntxRisqijCueLg9g14sV5Wfb0Xw2So6eAtwFH2UMEvAvJPc9WY22ZbNP2eAGy5XLvkHUv06RYwFy2EITXZz8cVV8hwRxX4wnucbz3UbSbRApn3flSVYl9nt21McDGFbslEqE', 'width': 3456}]",ChIJFRyMeUQJOjAR7xbqRogudug,4.2,ChIJFRyMeUQJOjAR7xbqRogudug,"['tourist_attraction', 'point_of_interest', 'establishment']",82,,,,https://www.google.com/maps/place/?q=place_id:ChIJFRyMeUQJOjAR7xbqRogudug
OPERATIONAL,"GRM4+MW5, Lawe Hakhum, Deleng Pokhkisen, Southeast Aceh, Aceh 24562, Indonesia","{'location': {'lat': 3.5341374, 'lng': 97.8073653}, 'viewport': {'northeast': {'lat': 3.535536729892722, 'lng': 97.80870712989274}, 'southwest': {'lat': 3.532837070107278, 'lng': 97.80600747010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yuni Manurung,,ChIJX3hCCACnMDARK1VnsqcGBwo,0.0,ChIJX3hCCACnMDARK1VnsqcGBwo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJX3hCCACnMDARK1VnsqcGBwo
OPERATIONAL,"Hutan, Darul Hasanah, Southeast Aceh, Aceh 24651, Indonesia","{'location': {'lat': 3.5185143, 'lng': 97.76924269999999}, 'viewport': {'northeast': {'lat': 3.519855879892722, 'lng': 97.77060932989272}, 'southwest': {'lat': 3.517156220107277, 'lng': 97.76790967010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Gulo,"[{'height': 3200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110534902242598102328"">Tedi Novedi</a>'], 'photo_reference': 'AUGGfZlWUvwjWh1NTDjf4UiVOQml4fqEc29t-8IA7lo7yUAGlP_SanwfAMoFcqDBspXdgKyKt3B3PMsEjkwyxRlyAYgGVdWrjtnarkhSvPlYX5_9sp-udEfiJRPLdzBySPBI4IzJiZtPRi-yT2XKWhBRzO0TLIjGwp6wcYIQkuNU5JcLedjE', 'width': 2400}]",ChIJeTyKbFQJOjAR9XM4BUElZLw,3.0,ChIJeTyKbFQJOjAR9XM4BUElZLw,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,"{'compound_code': 'GQ99+CM Hutan, Southeast Aceh, Aceh, Indonesia', 'global_code': '6MMVGQ99+CM'}",,https://www.google.com/maps/place/?q=place_id:ChIJeTyKbFQJOjAR9XM4BUElZLw
OPERATIONAL,"Kute, Salang Baru, Aceh 24561, Indonesia","{'location': {'lat': 3.5315104, 'lng': 97.8069757}, 'viewport': {'northeast': {'lat': 3.532831929892722, 'lng': 97.80839302989271}, 'southwest': {'lat': 3.530132270107277, 'lng': 97.80569337010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pante Barat Salang Baru,"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109726977532153674312"">A Google User</a>'], 'photo_reference': 'AUGGfZlBLpSj01dlBiUnTuEJWsrX2AbtvQsbbKoLMerqntar9C_cLO4a1CZov8_39KdAMtVJiH4tarbmNvZ9VRGlFbYV9V-esMkALGhivTi3VAUfdvEN8SB9mWtNQADSg2h48RXFj9lxqOqmQxuX8qjpkTSQlmeaIWImLTbLUOBenS7MaRmq', 'width': 480}]",ChIJGSWb4WunMDAR0uUARuCAb0E,4.5,ChIJGSWb4WunMDAR0uUARuCAb0E,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"{'compound_code': 'GRJ4+JQ Salang Baru, Southeast Aceh, Aceh, Indonesia', 'global_code': '6MMVGRJ4+JQ'}",,https://www.google.com/maps/place/?q=place_id:ChIJGSWb4WunMDAR0uUARuCAb0E
