formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,business_status,rating,user_ratings_total,photos,opening_hours,plus_code,permanently_closed,url
"Darul Aman, East Aceh Regency, Aceh, Indonesia","{'location': {'lat': 4.9859334, 'lng': 97.7204106}, 'viewport': {'northeast': {'lat': 5.0283619, 'lng': 97.747822}, 'southwest': {'lat': 4.904859, 'lng': 97.66724900000001}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Darul Aman,ChIJvxuiFS8BODAR5LJA0toHfiE,ChIJvxuiFS8BODAR5LJA0toHfiE,"['administrative_area_level_3', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJvxuiFS8BODAR5LJA0toHfiE
"XM4F+5GV, Alur Lhok, Darul Aman, East Aceh Regency, Aceh, Indonesia","{'location': {'lat': 4.9554911, 'lng': 97.67380229999999}, 'viewport': {'northeast': {'lat': 4.956916979892722, 'lng': 97.67516737989273}, 'southwest': {'lat': 4.954217320107278, 'lng': 97.67246772010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Alue Lhok,ChIJvTSV3igHODARO8WK9pzPRo0,ChIJvTSV3igHODARO8WK9pzPRo0,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,2.0,1.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJvTSV3igHODARO8WK9pzPRo0
"XQ63+W2F, Buket Juara, Idi Rayeuk, East Aceh Regency, Aceh, Indonesia","{'location': {'lat': 4.9623026, 'lng': 97.7525352}, 'viewport': {'northeast': {'lat': 4.963201029892722, 'lng': 97.75383552989273}, 'southwest': {'lat': 4.960501370107278, 'lng': 97.75113587010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kota Idi Rayeuk,ChIJYTxemVEBODARwWv27gT08GE,ChIJYTxemVEBODARwWv27gT08GE,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.5,20.0,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112567501620991140844"">al mishry</a>'], 'photo_reference': 'AUGGfZm4ZpyOby2-0xLxTRMyy9S4ggUkKJD6prXfoideeR2bqA7-LBXbeim-untXNaiyi0ZttXLvXu4lTaG9aXnDEbnuJM8LD7rzwOCLvWXUnYNOk2V954ooeQS1U0Ppxp5zsuTPXp-547gC7cib6ZdTOeMb-jd88FmDXP90mldO_Ax_7ars', 'width': 4032}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJYTxemVEBODARwWv27gT08GE
"2P4H+F3, Meunasah Blang, East Aceh Regency, Aceh, Indonesia","{'location': {'lat': 5.0061605, 'lng': 97.7276594}, 'viewport': {'northeast': {'lat': 5.007275429892722, 'lng': 97.72879967989273}, 'southwest': {'lat': 5.004575770107278, 'lng': 97.7261000201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai idicut,ChIJfUAgl28BODARSTxwhdfn2fI,ChIJfUAgl28BODARSTxwhdfn2fI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116867128089399806014"">A Google User</a>'], 'photo_reference': 'AUGGfZkHCJkPVglH3TNwsuFwu-pVE8pwWybN_us14e3gfJCmgkJCxEE0FWvhlHz0Om90xGj3L1P21zQZdNCG8JdfHLFs9VSaZAYquDJCFnBrleDyN3IwlAQlIwg3_vAjO_41YrTVMb36zd4pbTYA2PPu6Grl1yINLg80FZtwT5CQ16vOEZcg', 'width': 2448}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJfUAgl28BODARSTxwhdfn2fI
"XQG6+2X2, Ulee Blang, Idi Rayeuk, East Aceh Regency, Aceh, Indonesia","{'location': {'lat': 4.975024900000001, 'lng': 97.7623776}, 'viewport': {'northeast': {'lat': 4.976144379892721, 'lng': 97.76355652989271}, 'southwest': {'lat': 4.973444720107278, 'lng': 97.76085687010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Pantai Ulee Blang, Idi Rayeuk, Kab Aceh Timur",ChIJtxQdikoAODARekyQ3qiIpBo,ChIJtxQdikoAODARekyQ3qiIpBo,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.7,15.0,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103421635096105450947"">A Google User</a>'], 'photo_reference': 'AUGGfZn7LXic9YjiTh84jNR7lKsxDXdO3pqowMyppI6XVFfpZcAZiHFw07KfAbVxruhrGyE7wEW9CQ-w74ZMVfeH7tbduNKmNOtEj6wmkHaYuUgos1F0b5KnU_cqofi4mkjqNyhehSP5Q0OprXmQNwUIAboVYhCU77CS_ycnNsQzFIfcj8Zy', 'width': 4128}]",{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJtxQdikoAODARekyQ3qiIpBo
"XPFJ+HVR, Kampung Beunot, Darul Aman, East Aceh Regency, Aceh 24455, Indonesia","{'location': {'lat': 4.9739798, 'lng': 97.7321434}, 'viewport': {'northeast': {'lat': 4.975321879892721, 'lng': 97.73351357989273}, 'southwest': {'lat': 4.972622220107278, 'lng': 97.73081392010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Merpati satu,ChIJUwaSgVsBODARS-MCu6ENXo4,ChIJUwaSgVsBODARS-MCu6ENXo4,"['point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJUwaSgVsBODARS-MCu6ENXo4
"Darul Aman, Longkib, Subulussalam City, Aceh, Indonesia","{'location': {'lat': 2.5698111, 'lng': 97.8558357}, 'viewport': {'northeast': {'lat': 2.5816499, 'lng': 97.88386899999999}, 'southwest': {'lat': 2.547258, 'lng': 97.8416649}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Darul Aman,ChIJ4wXmmHoGMDARDw7oLLW9xic,ChIJ4wXmmHoGMDARDw7oLLW9xic,"['administrative_area_level_4', 'political']",,,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114794914392812370090"">A Google User</a>'], 'photo_reference': 'AUGGfZlumusJzmrnxelypYwPsaq_pTUJpnKZGEdivonfDUAi_sLwzPQLAnMWQS6kIFihpl2Ge1gxTjyywxY6H5J1-_bQeyJLxj3puR89pWV8mRqpVAjowLJ2m-Yc4DkTLn6hWF3JxBwn1dqLq-wTiNiPIfzA7yBmYIuP4V-3DYOfAR0ZnVAc', 'width': 1920}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ4wXmmHoGMDARDw7oLLW9xic
"Bandar Darulaman, 06000 Jitra, Kedah, Malaysia","{'location': {'lat': 6.253638599999999, 'lng': 100.4378312}, 'viewport': {'northeast': {'lat': 6.254944129892722, 'lng': 100.4392122798927}, 'southwest': {'lat': 6.252244470107278, 'lng': 100.4365126201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tasik Darulaman Park,ChIJLWgHftZZSzARkLb_OwpvSNg,ChIJLWgHftZZSzARkLb_OwpvSNg,"['park', 'point_of_interest', 'establishment']",OPERATIONAL,4.3,2812.0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101786026385136046743"">A Google User</a>'], 'photo_reference': 'AUGGfZn59cIlwNyY5SfJsw3UB_QhYQqTs87IusW82TXXv0jl6IqlleQLxoEIA7EavGJS1A0SXO48PD82aSTkmRZ38Wp-BKWszh6T9SQsC5VJ9dYutHyD5xTnhbSEuy-xObofVOql5pE3D77B95gE4k0DdpbYpdBKo0VRiWZYpKoOG2XsegwM', 'width': 6000}]",{'open_now': False},"{'compound_code': '7C3Q+F4 Jitra, Kedah, Malaysia', 'global_code': '6PR27C3Q+F4'}",,https://www.google.com/maps/place/?q=place_id:ChIJLWgHftZZSzARkLb_OwpvSNg
"2MQ8+X6, Asan Tanjung, Nurussalam, East Aceh Regency, Aceh, Indonesia","{'location': {'lat': 5.039957999999999, 'lng': 97.66561}, 'viewport': {'northeast': {'lat': 5.041307829892722, 'lng': 97.66695982989272}, 'southwest': {'lat': 5.038608170107278, 'lng': 97.66426017010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tambak sayyed,ChIJ3T8ZAAD5RzAR8qNobSUmqWU,ChIJ3T8ZAAD5RzAR8qNobSUmqWU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3T8ZAAD5RzAR8qNobSUmqWU
"Darul Aman, Jeunieb, Bireuen Regency, Aceh, Indonesia","{'location': {'lat': 5.155473, 'lng': 96.51830869999999}, 'viewport': {'northeast': {'lat': 5.160720899999999, 'lng': 96.52140589999999}, 'southwest': {'lat': 5.152584000000001, 'lng': 96.5155729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Darul Aman,ChIJ2e4IX6FRRzAR0sKlBZJPaRI,ChIJ2e4IX6FRRzAR0sKlBZJPaRI,"['administrative_area_level_4', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2e4IX6FRRzAR0sKlBZJPaRI
