business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"R323+3VM, Batu Kambing, Ampek Nagari, Agam Regency, West Sumatra 26161, Indonesia","{'location': {'lat': -0.199787, 'lng': 100.0546695}, 'viewport': {'northeast': {'lat': -0.1984353701072778, 'lng': 100.0560213298927}, 'southwest': {'lat': -0.2011350298927222, 'lng': 100.0533216701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KP PILI,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105441217968366803250"">Dina Widiyanti</a>'], 'photo_reference': 'AUGGfZnWOlXfzJOUa5qQABMGQ8ZpchzmzBJCUY1p6FYnltY_Mx6hrxFipoBtOJKzvki-6rPJWo56XRR4dy3XLWDtopiW-vMbWWJWiXhmEaqzrSSRxCRMQnkCdqLWwNtopQ8dJxJyAvfCFu_j8jWPw5uWf1TnClW3RINt3Sa0mJph0MwNDKhY', 'width': 2256}]",ChIJwW2PO5px1S8RePcTGjY3Z9A,4.8,ChIJwW2PO5px1S8RePcTGjY3Z9A,"['tourist_attraction', 'point_of_interest', 'establishment']",8.0,,https://www.google.com/maps/place/?q=place_id:ChIJwW2PO5px1S8RePcTGjY3Z9A
OPERATIONAL,"R66G+3QC, Puar River, Pelembayan, Agam Regency, West Sumatra 26164, Indonesia","{'location': {'lat': -0.1898133, 'lng': 100.2269017}, 'viewport': {'northeast': {'lat': -0.1878991201072778, 'lng': 100.2288956298927}, 'southwest': {'lat': -0.1905987798927222, 'lng': 100.2261959701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukik Bulek Palembayan,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118096313098172508578"">Heru Satria</a>'], 'photo_reference': 'AUGGfZmSug38f933jM2MHv2woN6cvvu5z-uWd0U963k5xtZB92JnWUpDer30vaUS3ssQvP_xIeESM394XohS4oyrxr02XeODqJtBV2PJ0AYQSQR15EkBp29Oa6lB_MFEYI3_6KTMeQ4EgePyrTwMLu2R6HCnUrLidYY_0Ct8NKvxFjSSFxoj', 'width': 4160}]",ChIJwYVjKWpp1S8RnZb9tqyVhY0,5.0,ChIJwYVjKWpp1S8RnZb9tqyVhY0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,https://www.google.com/maps/place/?q=place_id:ChIJwYVjKWpp1S8RnZb9tqyVhY0
OPERATIONAL,"Tigo Koto Silungkang, Pelembayan, Agam Regency, West Sumatra 26164, Indonesia","{'location': {'lat': -0.1034752, 'lng': 100.1460842}, 'viewport': {'northeast': {'lat': -0.1021253701072778, 'lng': 100.1474340298927}, 'southwest': {'lat': -0.1048250298927222, 'lng': 100.1447343701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sarasah Tigo Batindiah,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113295864094399139722"">A Google User</a>'], 'photo_reference': 'AUGGfZmWlxFoREMzaYKPKNhUO_jYAxE5imuoRGiwiT7TqLarL5ABCJHCvllLxnsll4nM3y61xXsk3CYSSihjEnViBKglpbG3nRud0IaWlV7KV_9V1dSrfxh3vH9rW-9RBslnBwArAqsIOCCS6eA94G7XBArykpDKS7sczrjTqmfgDRd3itQs', 'width': 1152}]",ChIJr-OQ-cdl1S8R8pwysFeDAwo,4.0,ChIJr-OQ-cdl1S8R8pwysFeDAwo,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"{'compound_code': 'V4WW+JC Tigo Koto Silungkang, Agam Regency, West Sumatra, Indonesia', 'global_code': '6PF2V4WW+JC'}",https://www.google.com/maps/place/?q=place_id:ChIJr-OQ-cdl1S8R8pwysFeDAwo
OPERATIONAL,"M659+RPG, Batang River, Tanjung Raya, Agam Regency, West Sumatra, Indonesia","{'location': {'lat': -0.3397029, 'lng': 100.2192337}, 'viewport': {'northeast': {'lat': -0.3382875201072777, 'lng': 100.22202325}, 'southwest': {'lat': -0.3409871798927221, 'lng': 100.21830385}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tapian Kualo,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112348538758059011451"">A Google User</a>'], 'photo_reference': 'AUGGfZlRETo8uqYu3ePa6LnEPxbgqUqXyE5d8qIHO5uJkDxh5rEhIOGdfuxnlTDZl0IMSjKPIz19vt-_GR013DJpBq_NsBziMFvyqHPBZ9Cjp9-aqSMszL_cVwh0ZzMgkThCVBWe0oyEH-h6VtdfikSamJS7p0799hk4kCBfd66HQoyVFUAv', 'width': 6000}]",ChIJCdB-HoMV1S8RhEP5iKwET_Q,4.5,ChIJCdB-HoMV1S8RhEP5iKwET_Q,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,https://www.google.com/maps/place/?q=place_id:ChIJCdB-HoMV1S8RhEP5iKwET_Q
OPERATIONAL,"V4Q8+8C2, maur mudik selaras air, Salareh Aia, Kec. Palembayan, Kabupaten Agam, Sumatera Barat 26164, Indonesia","{'location': {'lat': -0.111747, 'lng': 100.116006}, 'viewport': {'northeast': {'lat': -0.1103971701072778, 'lng': 100.1173558298927}, 'southwest': {'lat': -0.1130968298927222, 'lng': 100.1146561701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gowa tambubuang,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100924383123609751155"">Abul Khair</a>'], 'photo_reference': 'AUGGfZnMJ2D53N03dLnUGsl27oUngQ6AriQbnYy-6QZr5WkwoUl7MgzWd2fjcJ9iJJOkdKweWzJ5WG-bkUKugAQ-1NnivaZivAjfbHY7yJ75Y20X5uDGk2MqhhrcvqWvJJrzcy5uy4IAXb4vUPQG6jqRoM67zmknjepn-WWRs0inUqVu7LzV', 'width': 1440}]",ChIJ2XnAMfRl1S8Rg8w_61O4xPo,0.0,ChIJ2XnAMfRl1S8Rg8w_61O4xPo,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,https://www.google.com/maps/place/?q=place_id:ChIJ2XnAMfRl1S8Rg8w_61O4xPo
OPERATIONAL,"M8PV+WFJ, Kawasan Wisata Tabiang Takuruang, Jorong Jambak, Sianok Anam Suku, Iv Koto, Agam Regency, West Sumatra 26161, Indonesia","{'location': {'lat': -0.3126693, 'lng': 100.3436551}, 'viewport': {'northeast': {'lat': -0.3110754701072778, 'lng': 100.3444553798927}, 'southwest': {'lat': -0.3137751298927222, 'lng': 100.3417557201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kawasan nagari sianok anam suku,,,ChIJfzPxunU_1S8RW__53XP0Wag,0.0,ChIJfzPxunU_1S8RW__53XP0Wag,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,https://www.google.com/maps/place/?q=place_id:ChIJfzPxunU_1S8RW__53XP0Wag
OPERATIONAL,"R679+P4, Puar River, Pelembayan, Agam Regency, West Sumatra 26164, Indonesia","{'location': {'lat': -0.185508, 'lng': 100.2178585}, 'viewport': {'northeast': {'lat': -0.1841581701072778, 'lng': 100.2192083298927}, 'southwest': {'lat': -0.1868578298927222, 'lng': 100.2165086701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pintu Angin,,"[{'height': 3168, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117604903963339488442"">A Google User</a>'], 'photo_reference': 'AUGGfZnala6BJ3jqKzJAsYxLNKxBainneUgn_VW5KwG7DZw24CxP_FLq52P67IkuBUfdjXKdP15qGcqFjdHg1EqsemYC4fNhi2q8CbN46A5irmfOO08FMQba0bp3RAdQXPfSy8WrKuTskB9-_rz4nE4FOPtmmcgnglLpoPm44AuUGcVGIAhP', 'width': 4752}]",ChIJF1Orc2Vp1S8Rwbw8vihuM28,5.0,ChIJF1Orc2Vp1S8Rwbw8vihuM28,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,https://www.google.com/maps/place/?q=place_id:ChIJF1Orc2Vp1S8Rwbw8vihuM28
OPERATIONAL,"Q739+XM2, Tigo Balai, Matur, Agam Regency, West Sumatra, Indonesia","{'location': {'lat': -0.2451048, 'lng': 100.269139}, 'viewport': {'northeast': {'lat': -0.2434592201072778, 'lng': 100.2705414798927}, 'southwest': {'lat': -0.2461588798927222, 'lng': 100.2678418201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SANGKAK PUYUAH LAND,,,ChIJfwmB9Q1B1S8RtMH1ZuCx5f8,0.0,ChIJfwmB9Q1B1S8RtMH1ZuCx5f8,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,https://www.google.com/maps/place/?q=place_id:ChIJfwmB9Q1B1S8RtMH1ZuCx5f8
OPERATIONAL,"Jl. Bancah Paparangan, Sianok Anam Suku, Kec. Iv Koto, Kabupaten Agam, Sumatera Barat 26161, Indonesia","{'location': {'lat': -0.296058, 'lng': 100.3455117}, 'viewport': {'northeast': {'lat': -0.2923337999999999, 'lng': 100.34771145}, 'southwest': {'lat': -0.2972993999999999, 'lng': 100.34477845}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Patamuan Aia, Bancah Paparangan",{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110764773016494141193"">Zikra Harun</a>'], 'photo_reference': 'AUGGfZnD0pXloPs-AJLCvn4wZk7b6GzRv4ft1wHHwsNnGJ0hiQkxbKI4NsiWNbiOiKcAKIhaG2ZFJtv_u3z09bUquIAC6WtrZ85pm0_bTk7qftax6E3yNC2cq-894Diwe4Jg4IiEDRidlz2PASmu2nEXhjVy9xxz1yGttV-Ffhb6J9J3XtiZ', 'width': 4032}]",ChIJZwJKRwk_1S8Rd05YzA8MkgE,0.0,ChIJZwJKRwk_1S8Rd05YzA8MkgE,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"{'compound_code': 'P83W+H6 Sianok Anam Suku, Agam Regency, West Sumatra, Indonesia', 'global_code': '6PF2P83W+H6'}",https://www.google.com/maps/place/?q=place_id:ChIJZwJKRwk_1S8Rd05YzA8MkgE
OPERATIONAL,"V846+JW, Pasia Laweh, Palupuh, Agam Regency, West Sumatra, Indonesia","{'location': {'lat': -0.1434866, 'lng': 100.3122145}, 'viewport': {'northeast': {'lat': -0.1421533201072778, 'lng': 100.3135442798927}, 'southwest': {'lat': -0.1448529798927222, 'lng': 100.3108446201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampuang Anguih,,,ChIJu_u8KABd1S8RU181COU4f9s,0.0,ChIJu_u8KABd1S8RU181COU4f9s,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,https://www.google.com/maps/place/?q=place_id:ChIJu_u8KABd1S8RU181COU4f9s
