formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,plus_code,rating,user_ratings_total,opening_hours,price_level,permanently_closed,url
"Nagreg, Bandung Regency, West Java, Indonesia","{'location': {'lat': -7.0213688, 'lng': 107.8924592}, 'viewport': {'northeast': {'lat': -6.9825159, 'lng': 107.931877}, 'southwest': {'lat': -7.059717999999999, 'lng': 107.8479401}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nagreg,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100936065699415942647"">Bagus Nugroho</a>'], 'photo_reference': 'AUGGfZlq5F1UNiM678kTyw54tZvBJsl8hS1WKDp-PDOTx8prMMasOwqrdryR1pidqEVCG_hKgRVpQrZUwnI9tKAYLVBFXwXh84qn9D8UjVbYoVWfBFwm1lEdEnXCgI7A7OdIXLOK-0fL2oRXdAJ02iEdc2SOjBh9cGrv-NiyDkfTrgI8vGpJ', 'width': 4160}]",ChIJudm8xOnIaC4RqOOahnIUikc,ChIJudm8xOnIaC4RqOOahnIUikc,"['administrative_area_level_3', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJudm8xOnIaC4RqOOahnIUikc
"Jl. Raya Lingkar Nagreg No.100, Bojong, Kec. Nagreg, Kabupaten Bandung, Jawa Barat 40215, Indonesia","{'location': {'lat': -7.0307878, 'lng': 107.8902319}, 'viewport': {'northeast': {'lat': -7.029387220107279, 'lng': 107.8916190798927}, 'southwest': {'lat': -7.032086879892723, 'lng': 107.8889194201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sunrise Terowongan Lingkar Nagreg,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103240201249587070173"">A Google User</a>'], 'photo_reference': 'AUGGfZmIluZtsiusTqd4nbP6RG3qOlLrkP9VMD2M9M_uS0WvgLTuo1NF_ceNdUW6Sxi6fdWBQwFl5xovfF8KVqxVQxtwH198GxDr935a9veLw0bXIcbCSw7-kKRivY0SzhLO8OwlyCJbpMZL-ERytEGH3h-LuLIWn0QBT_efzwISw2U33hQK', 'width': 1840}]",ChIJJ6FolvXJaC4RQ88X5MqN7MA,ChIJJ6FolvXJaC4RQ88X5MqN7MA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'XV9R+M3 Bojong, Bandung Regency, West Java, Indonesia', 'global_code': '6P49XV9R+M3'}",5.0,10.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJJ6FolvXJaC4RQ88X5MqN7MA
"XVRX+PXX, Nagreg, Bandung Regency, West Java 40215, Indonesia","{'location': {'lat': -7.0081393, 'lng': 107.8999998}, 'viewport': {'northeast': {'lat': -7.006486320107278, 'lng': 107.9011042298927}, 'southwest': {'lat': -7.009185979892722, 'lng': 107.8984045701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Kendan,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117198749128584440063"">A Google User</a>'], 'photo_reference': 'AUGGfZkkj3SBs6SPbN8SIuaYYUKtYT4YZ0oV4JX6Y8fmonKrnF9z6Puq5yBSWIP9JGblLLbsv_o_o77eoci4CpYZquV6qqu115NoMA3qhIcdWaB4-JguX1OTBpASGZHFO04AYyKo9lpiyN01owTyZ_yNUtr2isn8ODP9LKiyJE3tKveKSgU0', 'width': 4160}]",ChIJiVuFNNfIaC4Rlp5_s8d7iVY,ChIJiVuFNNfIaC4Rlp5_s8d7iVY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.3,105.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJiVuFNNfIaC4Rlp5_s8d7iVY
"Nagreg, Bandung Regency, West Java, Indonesia","{'location': {'lat': -7.0120909, 'lng': 107.8734711}, 'viewport': {'northeast': {'lat': -7.0005571, 'lng': 107.9044292}, 'southwest': {'lat': -7.043500099999999, 'lng': 107.8545972}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nagreg,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100936065699415942647"">Bagus Nugroho</a>'], 'photo_reference': 'AUGGfZlqZ_3vkh4sBUmFC6I_fXvtGs4h7ZNKlbPdTPMptRMFNYGW3GOAvZdKF-OnKrK_FDZfMcAywrq4NNZHLq5DZKE2IUMJEtWHItzPuaqD-YRE4y5OsdWfTRNL01IX6oQ8im5RiXNw4Oy21_-HfGXQy236kwQTNw101kNO-_UfO0rbS1rt', 'width': 4160}]",ChIJudm8xOnIaC4Rqnav1jx57qo,ChIJudm8xOnIaC4Rqnav1jx57qo,"['locality', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJudm8xOnIaC4Rqnav1jx57qo
"Citaman, Nagreg, Bandung Regency, West Java 40215, Indonesia","{'location': {'lat': -7.0052733, 'lng': 107.8896447}, 'viewport': {'northeast': {'lat': -7.003817020107277, 'lng': 107.8909016798927}, 'southwest': {'lat': -7.006516679892721, 'lng': 107.8882020201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Renang Alam Nagreg Kampung Nenggeng,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113094830309978682149"">A Google User</a>'], 'photo_reference': 'AUGGfZmIfyPeVYMgn9PfYsesropozt9ejd26Z4NWE78sDyQRHp4S9mGZvIuI3xAexRLzddIqJQC9yirE02xQMFF--LVzRWLfU482uq8d8FMmEK5WmUopXoBd0PgyM6Sbh71RUZDycy4DZ7N25OYBl6vfWyyYYMWO3f7TJiyO8q19Z15WS0P-', 'width': 4000}]",ChIJE0JehUnJaC4R0a8DHS2VhA0,ChIJE0JehUnJaC4R0a8DHS2VhA0,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'XVVQ+VV Citaman, Bandung Regency, West Java, Indonesia', 'global_code': '6P49XVVQ+VV'}",4.8,51.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJE0JehUnJaC4R0a8DHS2VhA0
"XVVQ+MMC, Kp Nenggeng, RT.02/RW.10, Citaman, Kec. Nagreg, Kabupaten Bandung, Jawa Barat 40215, Indonesia","{'location': {'lat': -7.0059673, 'lng': 107.8885429}, 'viewport': {'northeast': {'lat': -7.004654570107278, 'lng': 107.8898926798927}, 'southwest': {'lat': -7.007354229892722, 'lng': 107.8871930201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nagreg Heritage Park,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108572374281879918416"">A Google User</a>'], 'photo_reference': 'AUGGfZkhTTmNLWqMp47T_YMJqy92oisexTjfa9Fn6KkSABlIe3gWkssVoD0r11NhyQFpys7gBqDMqqvKwoxB_AIj-JL3xZCv1mnJgfEBxpzhpO7tQzmGa_p25x0L-p1ysKXWXlFg6rw7yOnznKg2eCqCBbXW3EZkK45T6SsEgyw9HHK4c0rG', 'width': 4000}]",ChIJ92d94RvJaC4RVAssC88HwaM,ChIJ92d94RvJaC4RVAssC88HwaM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,3.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJ92d94RvJaC4RVAssC88HwaM
"XVRC+72, Citaman, Nagreg, Bandung Regency, West Java 40215, Indonesia","{'location': {'lat': -7.009384799999999, 'lng': 107.8700096}, 'viewport': {'northeast': {'lat': -7.008072470107278, 'lng': 107.8713410798927}, 'southwest': {'lat': -7.010772129892723, 'lng': 107.8686414201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kp.Gambreng,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103909137005103763451"">sensen darmawan</a>'], 'photo_reference': 'AUGGfZkTZIyM8dd4iI00ExEZK4sL-wjGzX1fi7GkvtI0V4fA9yI1shJbWsGmcf9bS0fUe_3HrKYg5eDsLy1AAvEOvEnTptk-M54h8sJuUUB05XVTBkTwC_O6mvdlJTk-2Fx0Fn1yTrVRheo5BMnV9n7ymkuZ7-P1S5Qpx2OdAd3kQe9v6UQ', 'width': 1920}]",ChIJifb1aAPJaC4Rq0Tu52Cyyt8,ChIJifb1aAPJaC4Rq0Tu52Cyyt8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.2,5.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJifb1aAPJaC4Rq0Tu52Cyyt8
"kp nenggeng, RT.01/RW.10, Citaman, Kec. Nagreg, Kabupaten Bandung, Jawa Barat 40397, Indonesia","{'location': {'lat': -7.005154, 'lng': 107.8875813}, 'viewport': {'northeast': {'lat': -7.003804170107278, 'lng': 107.8889311298927}, 'southwest': {'lat': -7.006503829892722, 'lng': 107.8862314701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,bumi perkemahan citaman,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104006422458709728662"">A Google User</a>'], 'photo_reference': 'AUGGfZlK5JgdbPyvU2xBs3BFqnpZoOAzWgFedYMbErt34EX77lQrfCz_gvmmZ_wQLBtv8_ObHs6pEsj-4dXkZ304uNoXw1yj4LufQOst_uLcWbmFL5B8E2p2GR-JbQvm5KduvNruq_sThvLN-c6rupf3SpX3LJ8-x1yIxve26PjSrtPUFQrM', 'width': 3264}]",ChIJZe-h4N_JaC4R08z6QtzJ9qI,ChIJZe-h4N_JaC4R08z6QtzJ9qI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'XVVQ+W2 Citaman, Bandung Regency, West Java, Indonesia', 'global_code': '6P49XVVQ+W2'}",4.8,9.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJZe-h4N_JaC4R08z6QtzJ9qI
"XW74+JQ3, Jl. Garut - Tasikmalaya, Ciherang, Kec. Nagreg, Kabupaten Bandung, Jawa Barat 40215, Indonesia","{'location': {'lat': -7.0364217, 'lng': 107.9073769}, 'viewport': {'northeast': {'lat': -7.035074520107277, 'lng': 107.9087181298927}, 'southwest': {'lat': -7.037774179892721, 'lng': 107.9060184701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpang Nagreg,,ChIJ0SgOMADJaC4RwV4fK5XAo6I,ChIJ0SgOMADJaC4RwV4fK5XAo6I,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ0SgOMADJaC4RwV4fK5XAo6I
"XVRH+X7F, Unnamed Road, Citaman, Kec. Nagreg, Kabupaten Bandung, Jawa Barat 40215, Indonesia","{'location': {'lat': -7.0075543, 'lng': 107.8781683}, 'viewport': {'northeast': {'lat': -7.006239070107278, 'lng': 107.8795719298927}, 'southwest': {'lat': -7.008938729892722, 'lng': 107.8768722701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ms kolam bioplok,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112014424135530020141"">Adi Sucipto</a>'], 'photo_reference': 'AUGGfZlD8HMv1M6tSIQKxc3f5em_71YCStshaCCtJpgYlA2po3_c0uCGrYgb18000Z-6GP_RyQRyz-L89KpK-MWU3-cnCKhrK_Kz-vwtP7sBsODXmsH1sadNdtaHCUmy92JlObP8CC6r7ganoSw6shIBzX9CAOAqfRqbBiBCOW158Q7Txant', 'width': 2560}]",ChIJn1cztW7JaC4RvcoYL3omFiA,ChIJn1cztW7JaC4RvcoYL3omFiA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,3.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJn1cztW7JaC4RvcoYL3omFiA
