business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"78PX+9WP, Ciroyom, Cipeundeuy, West Bandung Regency, West Java 40558, Indonesia","{'location': {'lat': -6.714027499999999, 'lng': 107.349813}, 'viewport': {'northeast': {'lat': -6.712775670107279, 'lng': 107.3514402298927}, 'southwest': {'lat': -6.715475329892723, 'lng': 107.3487405701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung GUHE,ChIJQYoVrzkBaS4RPbjmkvNgxFA,5.0,ChIJQYoVrzkBaS4RPbjmkvNgxFA,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,,https://www.google.com/maps/place/?q=place_id:ChIJQYoVrzkBaS4RPbjmkvNgxFA
OPERATIONAL,"68VF+99R, Margaluyu, Cipeundeuy, West Bandung Regency, West Java, Indonesia","{'location': {'lat': -6.7565133, 'lng': 107.3233797}, 'viewport': {'northeast': {'lat': -6.755228470107277, 'lng': 107.3245730798927}, 'southwest': {'lat': -6.757928129892721, 'lng': 107.3218734201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,lapak calung,ChIJ06MaTCoBaS4ROA71ENHcRV4,4.0,ChIJ06MaTCoBaS4ROA71ENHcRV4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ06MaTCoBaS4ROA71ENHcRV4
OPERATIONAL,"78XV+WF2, Ciroyom, Cipeundeuy, West Bandung Regency, West Java 40558, Indonesia","{'location': {'lat': -6.7002863, 'lng': 107.3437228}, 'viewport': {'northeast': {'lat': -6.698915720107278, 'lng': 107.3450706798927}, 'southwest': {'lat': -6.701615379892722, 'lng': 107.3423710201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Purwakarta,ChIJowvFyXMBaS4RX2jgqMGxS6k,4.0,ChIJowvFyXMBaS4RX2jgqMGxS6k,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116295421831494295705"">A Google User</a>'], 'photo_reference': 'AUGGfZkbFZQDMHQyTlRK5gpnDB23zX5iya-cSaqUoMjIH1yiWORUfrHGN8D8nKtKVA_f8OzP5phcqVmOdp1p5kqlKuWL9gyBdq3wBzhxv50RbBlUetSIQ7fvZQH8PvAaYavYchS0i3SJNvewdLBAzCb26wGp8UgaJhUReHicB5O2yk5yKOZB', 'width': 3000}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJowvFyXMBaS4RX2jgqMGxS6k
OPERATIONAL,"787P+XXJ, Jl. Cipicung, Margalaksana, Kecamaten Cipeundeuy, Kabupaten Bandung Barat, Jawa Barat 40558, Indonesia","{'location': {'lat': -6.7350309, 'lng': 107.3373786}, 'viewport': {'northeast': {'lat': -6.734197250000001, 'lng': 107.3385368298927}, 'southwest': {'lat': -6.737531849999998, 'lng': 107.3358371701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lapak salep isur,ChIJmVRLcgABaS4RQiL4_CMERSM,5.0,ChIJmVRLcgABaS4RQiL4_CMERSM,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114174508709951438892"">A Google User</a>'], 'photo_reference': 'AUGGfZl8l1H1UTA0r-9prKtBH83Vuu-UQvFgZhyJYtnhjEb5nKc1bdETUwb1xSaeju90vAI8h_xe8uCB9AaZMjdTNoJlB4SzD__zKJpOZsIWBfH0w-yHG36gFubZoqW0m0V3-DGYWs_WXw1AVseiwbsvBvUR-lTkkSVVzD0eVfMJCI5pDDYw', 'width': 3120}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJmVRLcgABaS4RQiL4_CMERSM
OPERATIONAL,"Kenangasari Sirnajaya No.5, Sirnaraja, Kecamaten Cipeundeuy, Kabupaten Bandung Barat, Jawa Barat 40558, Indonesia","{'location': {'lat': -6.767424699999999, 'lng': 107.3761999}, 'viewport': {'northeast': {'lat': -6.766340970107278, 'lng': 107.3773207798927}, 'southwest': {'lat': -6.769040629892721, 'lng': 107.3746211201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ci ijum,ChIJ8zNBsC8BaS4RWcKmCVd-PVw,5.0,ChIJ8zNBsC8BaS4RWcKmCVd-PVw,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113771925124609928243"">A Google User</a>'], 'photo_reference': 'AUGGfZnPIet969hdmSyAM96F0j3wzjE-xNtoLpQ_ZNRoBxad_tkP9F_hApz65wo8tPW3LAebm3nUVSaoSjZEx-7RBjEY0J8yjlzesGd6z1wmMjx1bmetayhmW7QVbs_JD9KiezcxEEnQnnA1S90nHjxnaI6q3YFK_qI5CMRoEFz3442Ao1He', 'width': 3120}]",{'open_now': True},"{'compound_code': '69MG+2F Sirnaraja, West Bandung Regency, West Java, Indonesia', 'global_code': '6P5969MG+2F'}",,https://www.google.com/maps/place/?q=place_id:ChIJ8zNBsC8BaS4RWcKmCVd-PVw
OPERATIONAL,"69VH+FQ6, Jl. Rontog, Jatimekar, Kecamaten Cipeundeuy, Kabupaten Bandung Barat, Jawa Barat 40558, Indonesia","{'location': {'lat': -6.7556002, 'lng': 107.378569}, 'viewport': {'northeast': {'lat': -6.754299770107278, 'lng': 107.3798789298927}, 'southwest': {'lat': -6.756999429892722, 'lng': 107.3771792701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Barokah jaya,ChIJvc7_41UBaS4RzcaBHTMzi6U,5.0,ChIJvc7_41UBaS4RzcaBHTMzi6U,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJvc7_41UBaS4RzcaBHTMzi6U
OPERATIONAL,"69H3+RJH, Nanggeleng, Cipeundeuy, West Bandung Regency, West Java 40558, Indonesia","{'location': {'lat': -6.7704328, 'lng': 107.354118}, 'viewport': {'northeast': {'lat': -6.769060620107278, 'lng': 107.3554049298927}, 'southwest': {'lat': -6.771760279892722, 'lng': 107.3527052701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Pasirucing,ChIJwdhsrMwBaS4RQNKkjze4XYE,5.0,ChIJwdhsrMwBaS4RQNKkjze4XYE,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106524123753160123791"">A Google User</a>'], 'photo_reference': 'AUGGfZmzA8n8Xffk0OLEsIyGAXXdk1t1K1TI9nmgzvwR3ugk8f0CcaiqeoGasJjXSAAkDD1nJDhjcZj3FbpMc_f4D3uappAQs8fOKKk5ebkN6zI-A6d4OMJt_Hras5ePC8wGYwiDO7wTNR88JVrdwgpDnEaeQYcpwanjhFUzwjLg424TUjGn', 'width': 1293}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJwdhsrMwBaS4RQNKkjze4XYE
OPERATIONAL,"69J2+XQJ, Nanggeleng, Cipeundeuy, West Bandung Regency, West Java 40558, Indonesia","{'location': {'lat': -6.7674596, 'lng': 107.3519167}, 'viewport': {'northeast': {'lat': -6.766113720107277, 'lng': 107.3532690798927}, 'southwest': {'lat': -6.768813379892721, 'lng': 107.3505694201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Balong mang holil,ChIJ8RWXVDgBaS4R8jZJ6z6FegA,5.0,ChIJ8RWXVDgBaS4R8jZJ6z6FegA,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118412548684007168297"">A Google User</a>'], 'photo_reference': 'AUGGfZk45iJSoCIoukpVl18gTr5XHL-Wyu1rHTMoMDO0j_TIOptcLA1ZSYY1V0BShy5-sxKeE54fCi_Gax3pUiVpE4xZejxJokwPGYuYhfglElRZGOqTKDf1Ca8GZF-Dj9EfJcsU_KJolS02yO8dyT2GKOQHsjKxtzv4lPBSDZZJssuCFiAJ', 'width': 3120}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ8RWXVDgBaS4R8jZJ6z6FegA
OPERATIONAL,"6846+5F5, Jl. Pasir Honje, Margaluyu, Kecamaten Cipeundeuy, Kabupaten Bandung Barat, Jawa Barat 40558, Indonesia","{'location': {'lat': -6.7946024, 'lng': 107.3112317}, 'viewport': {'northeast': {'lat': -6.793221070107278, 'lng': 107.3125819798927}, 'southwest': {'lat': -6.795920729892722, 'lng': 107.3098823201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pasir honje,ChIJ-VP5GyT_aC4RVbvKNqv1mh0,4.0,ChIJ-VP5GyT_aC4RVbvKNqv1mh0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-VP5GyT_aC4RVbvKNqv1mh0
OPERATIONAL,"78CH+P4F, Jl. Terminal Lama Perahu, Margalaksana, Kecamaten Cipeundeuy, Kabupaten Bandung Barat, Jawa Barat 40558, Indonesia","{'location': {'lat': -6.7288439, 'lng': 107.3276743}, 'viewport': {'northeast': {'lat': -6.727027070107277, 'lng': 107.3291551298927}, 'southwest': {'lat': -6.729726729892721, 'lng': 107.3264554701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JURAGAN HERO,ChIJYwyZ2Z4BaS4RVc9Jv_pfECw,5.0,ChIJYwyZ2Z4BaS4RVc9Jv_pfECw,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100611654199690363129"">A Google User</a>'], 'photo_reference': 'AUGGfZk8XSyuLaluSLCspc0S11_cncMf98P-WX0kgE9LZ1T8NO73_y6ff_fUvyGE8YNQnCQGDtfg4K9fwvczFcTB8AlnXtgv-jDauwkjwcDKR2-zqdHFZZKBZwKbRR_UgDMrm3qc7TRkt2UtxvZ3v54DRAaE8bjV66Gl9DTWzcCbQcc5g_Qb', 'width': 2340}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJYwyZ2Z4BaS4RVc9Jv_pfECw
