business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,price_level,permanently_closed,url
OPERATIONAL,"W5M7+WPM, Tanjung, Mentok, West Bangka Regency, Bangka Belitung Islands 33351, Indonesia","{'location': {'lat': -2.0651651, 'lng': 105.1643012}, 'viewport': {'northeast': {'lat': -2.063867770107278, 'lng': 105.1656065298927}, 'southwest': {'lat': -2.066567429892722, 'lng': 105.1629068701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lokasi tembelok,ChIJ24jlZQBnIy4RVqY7mK-uMR0,0.0,ChIJ24jlZQBnIy4RVqY7mK-uMR0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ24jlZQBnIy4RVqY7mK-uMR0
OPERATIONAL,"W5PX+6CH, Belo Laut, Mentok, West Bangka Regency, Bangka Belitung Islands 33351, Indonesia","{'location': {'lat': -2.064444, 'lng': 105.198608}, 'viewport': {'northeast': {'lat': -2.063041370107278, 'lng': 105.20163725}, 'southwest': {'lat': -2.065741029892723, 'lng': 105.19759825}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Pait Jaya,ChIJIWvOnUpnIy4RSzRyR04ZSKM,4.1,ChIJIWvOnUpnIy4RSzRyR04ZSKM,"['tourist_attraction', 'point_of_interest', 'establishment']",53,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113209961284124684768"">Ikhpan Affandi</a>'], 'photo_reference': 'AUGGfZk_AN0m1QZwznO9NFc4WOWsYw11OB4LaTtTUQpvNkRLdcX94gKHfaft3hCc2dtqZlN86C9_Q_HX8ThhXMhIG0JGQC2Ver19lFEOOIW1yo2rk7AJw_RDzNw8kjqo5xYip_kqZjl9KU1ZZHIj-X6XN2DoVInjwSOcFkoGt7ziTmvCnzCk', 'width': 3000}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJIWvOnUpnIy4RSzRyR04ZSKM
OPERATIONAL,"W5Q7+24R, Jl. Kejaksaan II, Tanjung, Kec. Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia","{'location': {'lat': -2.0623901, 'lng': 105.1627703}, 'viewport': {'northeast': {'lat': -2.061133970107278, 'lng': 105.1641188798927}, 'southwest': {'lat': -2.063833629892722, 'lng': 105.1614192201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolong Retensi Sungai Mentok,ChIJ2bavqzpnIy4RAcr7r8otyxU,5.0,ChIJ2bavqzpnIy4RAcr7r8otyxU,"['tourist_attraction', 'point_of_interest', 'establishment']",4,{'open_now': True},"[{'height': 2341, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106195728941819388834"">devi putra</a>'], 'photo_reference': 'AUGGfZnTqdQGHWYor9wEJI9OWC88skL5wG5FnGer6fdHQrK8nGzAgEqmhjainaCFi3bFbDBP0Bw0d63xsJUvgC9_xWaF7DBoCxo_FyRi3p1se2JsVwrAmdG6O0piphdMMK3s0ZXXsTfepdW70OEBAfJseenuF1p7ty8YN0tT9B-OlO5Zq8p9', 'width': 4160}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ2bavqzpnIy4RAcr7r8otyxU
OPERATIONAL,"X46Q+9CV, Unnamed Road, Tanjung, Kec. Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia","{'location': {'lat': -2.0390085, 'lng': 105.1385393}, 'viewport': {'northeast': {'lat': -2.037723199999999, 'lng': 105.1402382798927}, 'southwest': {'lat': -2.0428996, 'lng': 105.1375386201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Telaga Biru Mentok,ChIJhcjacyRnIy4R_c-uXDqSF7M,4.2,ChIJhcjacyRnIy4R_c-uXDqSF7M,"['tourist_attraction', 'point_of_interest', 'establishment']",18,{'open_now': False},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107061227645427678627"">A Google User</a>'], 'photo_reference': 'AUGGfZmzCkyD38CAmq3tN_dmdTBuusZoNmeCw1KD-M5jwDN0T_zt5jok8Tbmkfmh3FnmPA9NZXqLJgBytJltC99uPuK_nBH-gdW1-rxGZH-Kip1XVCKBw2HyeyBo4ix89W_AE3I3tHAOUMzFAx-ZlER73YQ7V4y8w0p6RnTTxjUwm-EQq24', 'width': 2560}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJhcjacyRnIy4R_c-uXDqSF7M
OPERATIONAL,"W5Q8+3CP, Tanjung, Mentok, West Bangka Regency, Bangka Belitung Islands 33351, Indonesia","{'location': {'lat': -2.0622799, 'lng': 105.1660634}, 'viewport': {'northeast': {'lat': -2.060955220107278, 'lng': 105.1674664298927}, 'southwest': {'lat': -2.063654879892722, 'lng': 105.1647667701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum Timah Mentok,ChIJD7vPPHpnIy4ROzIBF9OMCh0,4.5,ChIJD7vPPHpnIy4ROzIBF9OMCh0,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",671,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114971967879782810978"">Raynardthan Pontoh</a>'], 'photo_reference': 'AUGGfZl14LbGrsfBxK1Nc3PrBNV704HvqU1gbQ6ov0XAaSN7R98GkHnW1cYGPmnwxPeFR-OR_FLliNr2rjKk8yuDSikxOI9WRq244rBtWqSjz9hr1Xd6ks8KKIcXe-SL9YfPj1560kxa-ZByr_NqGQxNX0o6iv8OLWLZUfwQfGrhLQHN-vrv', 'width': 4000}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJD7vPPHpnIy4ROzIBF9OMCh0
OPERATIONAL,"X5C3+MXW, Unnamed Road, Tanjung, Kec. Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia","{'location': {'lat': -2.0282577, 'lng': 105.1549446}, 'viewport': {'northeast': {'lat': -2.026911870107278, 'lng': 105.1563459798927}, 'southwest': {'lat': -2.029611529892723, 'lng': 105.1536463201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Batu Balai,ChIJ30YkVuFmIy4RDBu3y_mdPNs,4.0,ChIJ30YkVuFmIy4RDBu3y_mdPNs,"['tourist_attraction', 'point_of_interest', 'establishment']",115,{'open_now': True},"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109725038483085504521"">A Google User</a>'], 'photo_reference': 'AUGGfZnlKiL4fuF4frgym67DbSawNF9OptWtizBRPqB8roVbMItUBA-fQ_UQ0hE-31LdDv2JDj08ZLNMf8DwKggJ1x3V_zMnQ3lz_7IhMCdHcPnstGBKV-tN5-M6E2dZZ63gNv80D3QsM2Cc_VzbWSLfUXdExoNC17-jhG67DGe4p7powuL_', 'width': 4000}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ30YkVuFmIy4RDBu3y_mdPNs
OPERATIONAL,"W4FR+3JR, Jl. Muntok-Pangkalpinang, Tanjung, Kec. Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia","{'location': {'lat': -2.0779566, 'lng': 105.1406514}, 'viewport': {'northeast': {'lat': -2.076529470107278, 'lng': 105.1419458798927}, 'southwest': {'lat': -2.079229129892723, 'lng': 105.1392462201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai batu rakit Muntok Bangka Barat,ChIJ0VyU5hhdIy4RnWePXrYUIxw,4.0,ChIJ0VyU5hhdIy4RnWePXrYUIxw,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104856341377406275691"">jodie guardiance</a>'], 'photo_reference': 'AUGGfZlUW7OWh8NjrQQek7I5zbyJes5UyroNSm9iU7yOaq_Silmhy-7f0nhz0oVDs2jtcC7Fd2fTN-aUIQ8qh5sl7zvGNJ4qBJIwXbm4aXcpSPRPvMVXEi01R0x1eS7bAkJdvDWztDRC6zV2WIlVyzDy9dQhVfYcrAEQbeGsIDtz-ETy0tie', 'width': 1920}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ0VyU5hhdIy4RnWePXrYUIxw
OPERATIONAL,"W5WW+69P, Unnamed Road, Belo Laut, Kec. Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia","{'location': {'lat': -2.0544134, 'lng': 105.1959543}, 'viewport': {'northeast': {'lat': -2.052994870107277, 'lng': 105.1976513298927}, 'southwest': {'lat': -2.055694529892722, 'lng': 105.1949516701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Pendidikan Tirta Perkasa KODIM 0431 Bangka Barat,ChIJeU1Rp4dnIy4RUdb5nDbZRIA,5.0,ChIJeU1Rp4dnIy4RUdb5nDbZRIA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106032800966454917777"">Borneo Satelit</a>'], 'photo_reference': 'AUGGfZkwWpQmZmVC5SqC1FkOO7_RLMvMK3rP0zQW9XS0et7MaLEBOshDjjrVVCtWmoxdCfu1_5eNWXTKIfnwSXzioIXXeEhKvxcYX_fZPTq1WglGMOUzSgutSWwq44NSVF4aQ-Sgs48vcjPrFP2EjEvcfoqLFx_DUVpE_Yfy_1A74qZ-xlXr', 'width': 4000}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJeU1Rp4dnIy4RUdb5nDbZRIA
OPERATIONAL,"Unnamed Road, Tanjung, Kec. Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia","{'location': {'lat': -2.0645221, 'lng': 105.1479943}, 'viewport': {'northeast': {'lat': -2.062499620107278, 'lng': 105.1489723298927}, 'southwest': {'lat': -2.065199279892723, 'lng': 105.1462726701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mangrove Leguk Bulan,ChIJyV3_G2hnIy4R95kaiEotcD4,4.2,ChIJyV3_G2hnIy4R95kaiEotcD4,"['tourist_attraction', 'point_of_interest', 'establishment']",33,{'open_now': False},"[{'height': 721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104122054890919085635"">Azzahra Aprillia</a>'], 'photo_reference': 'AUGGfZltpl-cUGsLwlvktGw-DtkvqvlJ7Bk9_Eytqhv8Opb6RPrJOkwpU6T9UEtFozld9UAahobATkilwiEpdHoOLfid4nnEJ_bEjuwMnY5lm60-WDsKCgf1-I8ZKJGxBt0vjEz-CaK6Jgp7P7QRFkceFhFL_qYe9c1ZsSTIUxu6xFKp0EBX', 'width': 1280}]","{'compound_code': 'W4PX+55 Tanjung, West Bangka Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P97W4PX+55'}",,,https://www.google.com/maps/place/?q=place_id:ChIJyV3_G2hnIy4R95kaiEotcD4
OPERATIONAL,"X65C+WGX, Air Belo, Mentok, West Bangka Regency, Bangka Belitung Islands 33351, Indonesia","{'location': {'lat': -2.0400349, 'lng': 105.2222845}, 'viewport': {'northeast': {'lat': -2.038724420107278, 'lng': 105.2236557298927}, 'southwest': {'lat': -2.041424079892722, 'lng': 105.2209560701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Batas Kota Muntok,ChIJGXN6-gJpIy4ReZo4NNCVKXE,5.0,ChIJGXN6-gJpIy4ReZo4NNCVKXE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106775386601438879030"">Erif Chitez</a>'], 'photo_reference': 'AUGGfZlYciYSzZRftHkMo8yzVmPyA8VCCuJyzL5BGPFszW9hzLnoTqcoRAlirilG1KrWRlDdnfBV2jaNPiCoUsfg6hYTmLvN9sEV_Yyg0o3NZvI11ZK1MhYtt8eDlgyTvAFGvmEAMdKKzMJvt01FyWnVIzxNmmAJDuVHvnhvthOf8XXhrw2I', 'width': 1848}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJGXN6-gJpIy4ReZo4NNCVKXE
OPERATIONAL,"W5R7+78G, Daeng River, Mentok, West Bangka Regency, Bangka Belitung Islands 33351, Indonesia","{'location': {'lat': -2.0593022, 'lng': 105.1633188}, 'viewport': {'northeast': {'lat': -2.058017020107278, 'lng': 105.1646900798927}, 'southwest': {'lat': -2.060716679892722, 'lng': 105.1619904201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Wisma Ranggam,ChIJZ6ECW3BnIy4RsE1w_XD57N8,4.5,ChIJZ6ECW3BnIy4RsE1w_XD57N8,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",472,{'open_now': True},"[{'height': 2610, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105718550855018398260"">Eka Puspita sari</a>'], 'photo_reference': 'AUGGfZnx-0llSmnZsHQYeDw3jo45kTVeiS_5dlWKWcuufkdv55TFnrtKL9iPRiV3HwJExMUTXWeGJjUGBcIduLKJHc6AcQZnSMHIf6fKvjDcJBUN1toIoQMS_joIwkFhrxOqGvpxxGLy2GY_SQ3ntKSgIRMKq5JiPojU89vpypL9xoqtIQfY', 'width': 4640}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJZ6ECW3BnIy4RsE1w_XD57N8
OPERATIONAL,"W4HR+3PG, Tanjung, Mentok, West Bangka Regency, Bangka Belitung Islands 33351, Indonesia","{'location': {'lat': -2.0723136, 'lng': 105.1418233}, 'viewport': {'northeast': {'lat': -2.070633620107277, 'lng': 105.14266835}, 'southwest': {'lat': -2.073333279892722, 'lng': 105.13928815}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok Sawit,ChIJy7CQQ-NdIy4RQfx3mt7mByw,0.0,ChIJy7CQQ-NdIy4RQfx3mt7mByw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJy7CQQ-NdIy4RQfx3mt7mByw
OPERATIONAL,"Kp iklim, Jl. Kp. Tangsi, Kec. Muntok, Kepulauan Bangka Belitung 33311, Indonesia","{'location': {'lat': -2.0693998, 'lng': 105.1680387}, 'viewport': {'northeast': {'lat': -2.068029470107278, 'lng': 105.1694520298927}, 'southwest': {'lat': -2.070729129892722, 'lng': 105.1667523701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Iklim Teluk Rubiah,ChIJ62EMmYBdIy4RK1cGN8A-xFE,4.1,ChIJ62EMmYBdIy4RK1cGN8A-xFE,"['tourist_attraction', 'point_of_interest', 'establishment']",169,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114000639815443506764"">A Google User</a>'], 'photo_reference': 'AUGGfZk5NoRAaSt7LuymnRKpsy0bQO9ycvat07p5zpHrv0iW37ifXQjNXUawM-7_4Ioz_M_9G0x7KNKpIcae5yqOXDSMJQRK1kXbdCavZCeZHi323wk_lptXMXuFsbalmftA4L43AId6fvKgoPKrbNJ8KSAaFoTTNiXZ8IYeJCbcBBy5Utru', 'width': 4160}]","{'compound_code': 'W5J9+66 Tanjung, West Bangka Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P97W5J9+66'}",1.0,,https://www.google.com/maps/place/?q=place_id:ChIJ62EMmYBdIy4RK1cGN8A-xFE
OPERATIONAL,"W6J2+X93, Jl. Keramat, Belo Laut, Kec. Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia","{'location': {'lat': -2.06761, 'lng': 105.2009284}, 'viewport': {'northeast': {'lat': -2.066259120107278, 'lng': 105.2022976798927}, 'southwest': {'lat': -2.068958779892722, 'lng': 105.1995980201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muntok street race,ChIJ3WZZBnVnIy4Rvnl5bILibo4,0.0,ChIJ3WZZBnVnIy4Rvnl5bILibo4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3WZZBnVnIy4Rvnl5bILibo4
OPERATIONAL,"W5GM+FW6, Jl. Pantai, Sungai Baru, Kec. Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia","{'location': {'lat': -2.0738344, 'lng': 105.1847745}, 'viewport': {'northeast': {'lat': -2.072485220107277, 'lng': 105.1861245298927}, 'southwest': {'lat': -2.075184879892722, 'lng': 105.1834248701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Peltim,ChIJDV731w9dIy4RPvdKc3eBaK0,4.2,ChIJDV731w9dIy4RPvdKc3eBaK0,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118270834773290543482"">Trisna Pramudia</a>'], 'photo_reference': 'AUGGfZl_qYRtCaXJATzBmfg0k7z1rbAOBTsvYogi9YlvS03XqFsIZqrcL4yFNS8qmVkUDpM97cpDdWuEVWJrOsAbP3o4rv3LkDcEbZ1N2jm4pwWG9d2Jo6AaakwlhA4_wz0t29KBcRXZE7nxIHRIo0ESNgVvdA4F26i49gfAyL6fik1HqmSz', 'width': 3024}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJDV731w9dIy4RPvdKc3eBaK0
OPERATIONAL,"W5H6+XV7, Jl. R.E. Martadinata, Tanjung, Kec. Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia","{'location': {'lat': -2.0700612, 'lng': 105.162037}, 'viewport': {'northeast': {'lat': -2.068694920107278, 'lng': 105.1633911798927}, 'southwest': {'lat': -2.071394579892722, 'lng': 105.1606915201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Chinese Major ( Majoor-titulair der Chinezen 黄仲涵 - Mansion,ChIJoUfuW31nIy4RDXl_GB4AklQ,4.3,ChIJoUfuW31nIy4RDXl_GB4AklQ,"['tourist_attraction', 'point_of_interest', 'establishment']",142,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103364382149847809459"">Iwan Resmawan</a>'], 'photo_reference': 'AUGGfZl26Hy8LSiIb5ZeWiuIW2v7HO5nrTHoq_4GMcGEF8zkEvpGdzHi5hkEc2bMykXrzpvv2-I4NrrwLxE0LblIjv93fM7a6sCjpMHwr7urgOETpf3liO2cSIhnNJi20hi6_oR6617L5XjWvoMX55MgqoCpqqELC90-xyg7hqVJEbMb9Xx4', 'width': 2304}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJoUfuW31nIy4RDXl_GB4AklQ
OPERATIONAL,"W6MG+V37, Jl. Ds. Belo Laut, Kec. Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia","{'location': {'lat': -2.0653383, 'lng': 105.2251799}, 'viewport': {'northeast': {'lat': -2.063771220107278, 'lng': 105.2265142798927}, 'southwest': {'lat': -2.066470879892722, 'lng': 105.2238146201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Belo Laut,ChIJ2TzRVQFoIy4R4kgboqAB3iA,4.1,ChIJ2TzRVQFoIy4R4kgboqAB3iA,"['tourist_attraction', 'point_of_interest', 'establishment']",81,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115282325822529579172"">Yunliu Lie</a>'], 'photo_reference': 'AUGGfZmiMASOkrlFnxkvmZeZa5AWmfx1kiVHc1lKtDxW6URS1-Nh14RnUqzKq5IeeWAQILzsW2pVGs4XL0R3QtxLE4NuA7nUhAOb2qOp3uGqch15GR70j6Qer3xyMC2j9pl6KJSNQvxqVf3eDGM6FKFvyUPOg7ymQtCeo07bcQp0wEKWKJo7', 'width': 3264}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ2TzRVQFoIy4R4kgboqAB3iA
OPERATIONAL,"X4MJ+GQ, Tanjung, Mentok, West Bangka Regency, Bangka Belitung Islands 33351, Indonesia","{'location': {'lat': -2.0162153, 'lng': 105.1319028}, 'viewport': {'northeast': {'lat': -2.014865470107277, 'lng': 105.1332526298927}, 'southwest': {'lat': -2.017565129892722, 'lng': 105.1305529701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,HKm GAPOKTANHUT NIBUNG BAROKAH,ChIJIZH1N9lnIy4RHaiC_3KLpD4,5.0,ChIJIZH1N9lnIy4RHaiC_3KLpD4,"['tourist_attraction', 'point_of_interest', 'establishment']",3,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116655545710064568613"">Winardi Togatorop</a>'], 'photo_reference': 'AUGGfZmYWMuF5zJheYgY6THoDqoBWxRWJ7ZkV_syVdWpAW3CiWDAU6BZ9m8dxfrNQrugdVAg8jQWHF71hEL_xjdQbjC53OyLPlkVv_y-Is1pFseGyvAwmiIOLzGnUEH-MdlKijgwpWUJR7xaZsUSx7SYQcOK5E77UwJ574C1J3L1vOoWMHhd', 'width': 3456}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJIZH1N9lnIy4RHaiC_3KLpD4
OPERATIONAL,"W5H9+R92, Tanjung, Mentok, West Bangka Regency, Bangka Belitung Islands 33351, Indonesia","{'location': {'lat': -2.0707884, 'lng': 105.1685686}, 'viewport': {'northeast': {'lat': -2.069396820107278, 'lng': 105.1696805798927}, 'southwest': {'lat': -2.072096479892723, 'lng': 105.1669809201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Teluk Rubiah Waterfront,ChIJZxsFHqBdIy4Rw0b_kcnIT60,4.6,ChIJZxsFHqBdIy4Rw0b_kcnIT60,"['tourist_attraction', 'point_of_interest', 'establishment']",5,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117825942097281717202"">Enno Kunkun</a>'], 'photo_reference': 'AUGGfZm6mClahErXnkvmvNN_hC_uSp7Y9H_HLyk4GTMD4vOzgZVzRLkGDCC60qBzAhnnX_aQA3VIgenIdxujd1AOLL6GuD1V2Yq27_9gRAP1RtdxNlAnmTIIpqk3H_V_8y36Mgdzgqbhwx8A9M6BmEuqOxwz6rcJ0ugyhJscFHwl27W4wfZ_', 'width': 4000}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJZxsFHqBdIy4Rw0b_kcnIT60
OPERATIONAL,"Unnamed Road, Air Putih, Kec. Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351, Indonesia","{'location': {'lat': -1.9870306, 'lng': 105.1647981}, 'viewport': {'northeast': {'lat': -1.986234050000001, 'lng': 105.1662892798927}, 'southwest': {'lat': -1.98942025, 'lng': 105.1635896201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Air Biat,ChIJ7eKYQbdlIy4RxnJolvGbGgI,4.4,ChIJ7eKYQbdlIy4RxnJolvGbGgI,"['tourist_attraction', 'point_of_interest', 'establishment']",42,{'open_now': False},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113813560688537687113"">A Google User</a>'], 'photo_reference': 'AUGGfZkZuW9djUq5Lipc5o0M9lYk8WsnunHJiPyDPF2ns3XgL_FTPKETzggVgBDEdEL5cvmMY58tyIR6iXABj0U1ZsbTFQ9SdLeCKh-MwM7EWG10X5b2SdNkS0xo8QK6uFpwBaK1L5e-5XcqKUH8vPvr2nzuh4aWF3tOaH_hQpOfifMMTeh6', 'width': 4000}]","{'compound_code': '2577+5W Air Putih, West Bangka Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6PC72577+5W'}",,,https://www.google.com/maps/place/?q=place_id:ChIJ7eKYQbdlIy4RxnJolvGbGgI
