business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"5CQW+MJ2, Air Nyatoh, Simpang Teritip, West Bangka Regency, Bangka Belitung Islands 33366, Indonesia","{'location': {'lat': -1.8109023, 'lng': 105.4465221}, 'viewport': {'northeast': {'lat': -1.809551770107278, 'lng': 105.4478717298927}, 'southwest': {'lat': -1.812251429892722, 'lng': 105.4451720701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dusun Pinangyang,ChIJr0RQYgALIy4RBtITrvICrU0,0.0,ChIJr0RQYgALIy4RBtITrvICrU0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJr0RQYgALIy4RBtITrvICrU0
OPERATIONAL,"5956+9GR, Air Nyatoh, Simpang Teritip, West Bangka Regency, Bangka Belitung Islands, Indonesia","{'location': {'lat': -1.8415136, 'lng': 105.3612622}, 'viewport': {'northeast': {'lat': -1.84057965, 'lng': 105.36219625}, 'southwest': {'lat': -1.84431545, 'lng': 105.35846005}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kbun w,ChIJrXFzzWF1Iy4R9bM8uUpxI7I,0.0,ChIJrXFzzWF1Iy4R9bM8uUpxI7I,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100571401635900507297"">Wahid Top1</a>'], 'photo_reference': 'AUGGfZm5wceRjDZwXsgbvomZvCQTtAwj5Led4lUf-lnBFtnEZSniFZfGQmEvBi1ehPrlzrTpgETYB3Wgp8-rN6D-vwEsDY-C8aihEfDKr-9PqQcKTSeh-CwoT8013v7cJ8yOmx-ep6Q2e6lfTYtnabMsLBvruSMC5F5QBP2lDGFGhMcxKi4n', 'width': 2016}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJrXFzzWF1Iy4R9bM8uUpxI7I
OPERATIONAL,"293C+PHP, Simpang Tiga, Simpang Teritip, West Bangka Regency, Bangka Belitung Islands 33366, Indonesia","{'location': {'lat': -1.9956661, 'lng': 105.3714673}, 'viewport': {'northeast': {'lat': -1.994147070107277, 'lng': 105.3728944298927}, 'southwest': {'lat': -1.996846729892722, 'lng': 105.3701947701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kayu tenam,ChIJ4fN_unVrIy4RKhOrRnDdjH8,4.0,ChIJ4fN_unVrIy4RKhOrRnDdjH8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110699546324117505501"">A Google User</a>'], 'photo_reference': 'AUGGfZmXvqmfk5-HEzQJi2naSNz2o0tiUOI9g1mQvT7dBAhHmrQ-dLVd76gqPkLtByIoAKf4pDIlC9lgdG7Z-auXTMZlclJUNTK9LonR9Fz2TRDbR0lSxavyfkmlPUfp6DTRGbOUekxynNn0B3TP9CtkwL0bRS6mq31k7SkCpgGsoUWoUUeD', 'width': 1080}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ4fN_unVrIy4RKhOrRnDdjH8
OPERATIONAL,"393C+RMM, Pelangas, Simpang Teritip, West Bangka Regency, Bangka Belitung Islands 33366, Indonesia","{'location': {'lat': -1.945407, 'lng': 105.3716684}, 'viewport': {'northeast': {'lat': -1.944048170107277, 'lng': 105.3774665}, 'southwest': {'lat': -1.946747829892722, 'lng': 105.3697357}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kelekak Durin Husein ali,ChIJb_cyCABtIy4RHUBbHB7qprE,0.0,ChIJb_cyCABtIy4RHUBbHB7qprE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJb_cyCABtIy4RHUBbHB7qprE
OPERATIONAL,"4FJC+HJM, Ibul, Simpang Teritip, West Bangka Regency, Bangka Belitung Islands, Indonesia","{'location': {'lat': -1.8685546, 'lng': 105.4715594}, 'viewport': {'northeast': {'lat': -1.867264220107277, 'lng': 105.4729379798927}, 'southwest': {'lat': -1.869963879892722, 'lng': 105.4702383201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Rusa Desa Ibul,ChIJdbsggKYNIy4R6TibeZabDrk,0.0,ChIJdbsggKYNIy4R6TibeZabDrk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJdbsggKYNIy4R6TibeZabDrk
OPERATIONAL,"49WP+P79, Jl. peradong, Peradong, Kec. Simpang Teritip, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33366, Indonesia","{'location': {'lat': -1.853741, 'lng': 105.385792}, 'viewport': {'northeast': {'lat': -1.852373270107277, 'lng': 105.3870558298927}, 'southwest': {'lat': -1.855072929892722, 'lng': 105.3843561701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,A A KW-2,ChIJcRNCWKJzIy4RNuXIXyGp_u4,5.0,ChIJcRNCWKJzIy4RNuXIXyGp_u4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJcRNCWKJzIy4RNuXIXyGp_u4
OPERATIONAL,"48VH+4CH, Peradong, Simpang Teritip, West Bangka Regency, Bangka Belitung Islands, Indonesia","{'location': {'lat': -1.8571832, 'lng': 105.3286032}, 'viewport': {'northeast': {'lat': -1.855833370107278, 'lng': 105.3299530298927}, 'southwest': {'lat': -1.858533029892722, 'lng': 105.3272533701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Metibak,ChIJ-21zrgVzIy4RTyyfsmCeUxo,5.0,ChIJ-21zrgVzIy4RTyyfsmCeUxo,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112843737090488704030"">A Google User</a>'], 'photo_reference': 'AUGGfZlOQyuqqv6I1e1q0vJ_qtz089wHnQ5fky_Xlx58CnCCNKUapN9x1DyD180axFgrQZ7e0tA3EXXSRAsdUKLuRNHVHwK30t6srJO-MpxIwmdMrQJtuU3YAkiE8g7XshPXGEK43Ub-jDpUeC1QsyVFwi9Wl1rjPS3DgkdFF2uBPIJEblPL', 'width': 4160}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ-21zrgVzIy4RTyyfsmCeUxo
OPERATIONAL,"2FQQ+JHJ, Belar, Kec. Simpang Teritip, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33366, Indonesia","{'location': {'lat': -1.9609053, 'lng': 105.4889004}, 'viewport': {'northeast': {'lat': -1.959521870107278, 'lng': 105.4903736798927}, 'southwest': {'lat': -1.962221529892722, 'lng': 105.4876740201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA KULONG LUAR,ChIJJ-iijOkTIy4R6yu1eXaTB88,5.0,ChIJJ-iijOkTIy4R6yu1eXaTB88,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJJ-iijOkTIy4R6yu1eXaTB88
OPERATIONAL,"jalan Anyai Raya,kecamatan menduyung,30 km dari, Kundi, Kec. Simpang Teritip, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33366, Indonesia","{'location': {'lat': -2.1239875, 'lng': 105.4001565}, 'viewport': {'northeast': {'lat': -2.122517520107278, 'lng': 105.4013914798927}, 'southwest': {'lat': -2.125217179892723, 'lng': 105.3986918201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Anyai Beach, Bangka Belitung",ChIJ_9W0EsJBIy4RmmCfuXWlukU,3.8,ChIJ_9W0EsJBIy4RmmCfuXWlukU,"['tourist_attraction', 'point_of_interest', 'establishment']",12,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117724164264598345798"">A Google User</a>'], 'photo_reference': 'AUGGfZmEWqnTSOvyAveAzz3aAm58U_we9sza2op6bDBkD-eZNkD-C45Qo2x6jr6L4ueuWrCfGCQZjmIJvNGiPm6GByrngBx_GZQwIc7emk4WX9ybulqA7Bo85fevjUYeU41fHhOZyE1we2vO5uz36lLF_el-jckGsIlX4-7aFjOs9FqiKxbi', 'width': 2322}]",{'open_now': True},"{'compound_code': 'VCG2+C3 Kundi, West Bangka Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P97VCG2+C3'}",,https://www.google.com/maps/place/?q=place_id:ChIJ_9W0EsJBIy4RmmCfuXWlukU
OPERATIONAL,"Rambat, Simpang Teritip, West Bangka Regency, Bangka Belitung Islands 33366, Indonesia","{'location': {'lat': -1.8989684, 'lng': 105.2554472}, 'viewport': {'northeast': {'lat': -1.897738220107278, 'lng': 105.2567892798927}, 'southwest': {'lat': -1.900437879892723, 'lng': 105.2540896201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pantai Batu Keranji,ChIJLcu4ZIBxIy4R_60jQ1Be4Hs,4.6,ChIJLcu4ZIBxIy4R_60jQ1Be4Hs,"['tourist_attraction', 'point_of_interest', 'establishment']",12,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112719064753872455856"">A Google User</a>'], 'photo_reference': 'AUGGfZncl3Y9WTxrx8YzFlmIqdEzmZqgBdlnVP_YuczMZH2o1uVz7yZPNzca88W1jViDVB6Hc7Kf_fEBWZyQPY_sp6T0_k-aeGGXtOV3FDHwTZo_p1wrfoeLL2Pj70TWm6u0HFKwi7Klv_N4cCpfeO-QMVZPBWSMzPUBvzHmtTTokIFMKnY7', 'width': 4000}]",{'open_now': True},"{'compound_code': '4724+C5 Rambat, West Bangka Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6PC74724+C5'}",,https://www.google.com/maps/place/?q=place_id:ChIJLcu4ZIBxIy4R_60jQ1Be4Hs
