business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,permanently_closed,url
OPERATIONAL,"J5MJ+JW, Namang, Central Bangka Regency, Bangka Belitung Islands, Indonesia","{'location': {'lat': -2.3659905, 'lng': 106.1822733}, 'viewport': {'northeast': {'lat': -2.364652320107278, 'lng': 106.1836078298927}, 'southwest': {'lat': -2.367351979892722, 'lng': 106.1809081701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun kalong/kalung,ChIJlSDrcABLPS4RiaQcxWcxdyU,0.0,ChIJlSDrcABLPS4RiaQcxWcxdyU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJlSDrcABLPS4RiaQcxWcxdyU
OPERATIONAL,"J5CP+5W8, Namang, Central Bangka Regency, Bangka Belitung Islands 33684, Indonesia","{'location': {'lat': -2.3795773, 'lng': 106.1873138}, 'viewport': {'northeast': {'lat': -2.378227470107278, 'lng': 106.1886636298927}, 'southwest': {'lat': -2.380927129892723, 'lng': 106.1859639701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Danau Pelawan, Gurun Pelawan",ChIJg6kUIaJLPS4RdligkVTK_nU,4.4,ChIJg6kUIaJLPS4RdligkVTK_nU,"['tourist_attraction', 'point_of_interest', 'establishment']",110,{'open_now': True},"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111482723272511289055"">A Google User</a>'], 'photo_reference': 'AUGGfZkWJe4IZ-nA-GxXdOh4WZDQ4-64Wkvdk9AD6KFqlFdwUzMeSo3VpJtV6yKKf4Qmr2YJgX9mS679WLyI-yD7OXjn7JqDNQdAayovXesAOpYIIuykchg6sjLRSH8y6beOlKwghawQxmLIoFMmDDh5bpXmGCe0UrPLvs6Ea37sbA3DzA', 'width': 1080}]",,,https://www.google.com/maps/place/?q=place_id:ChIJg6kUIaJLPS4RdligkVTK_nU
OPERATIONAL,"Namang, Central Bangka Regency, Bangka Belitung Islands 33684, Indonesia","{'location': {'lat': -2.3258984, 'lng': 106.1876782}, 'viewport': {'northeast': {'lat': -2.324581920107278, 'lng': 106.1891252798927}, 'southwest': {'lat': -2.327281579892722, 'lng': 106.1864256201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pelangi Sawah Desa Namang,ChIJRWb1LPO1Ii4R0kQnlJ_DxN8,4.5,ChIJRWb1LPO1Ii4R0kQnlJ_DxN8,"['tourist_attraction', 'point_of_interest', 'establishment']",8,{'open_now': False},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113017948814704891382"">A Google User</a>'], 'photo_reference': 'AUGGfZkMaRskfShFossdy4YbrpNld8edcew_2rrK6TM7UoWArfFG8d1tf1vxzbgs4z2q7kUnlt4LypbX3jLSH1dIDzkvuZ5hyL4c6u5V1Ms_VxCNx4GNisz3iOGQ8d0qDyFmoKx7zLZLX5Z2wEuL_VDcXzda8o6ctgJc2Ka0n4JNv5VhPlgm', 'width': 1600}]","{'compound_code': 'M5FQ+J3 Namang, Central Bangka Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P98M5FQ+J3'}",,https://www.google.com/maps/place/?q=place_id:ChIJRWb1LPO1Ii4R0kQnlJ_DxN8
OPERATIONAL,"M5MV+39F, Jalan, Koba, Namang, Central Bangka Regency, Bangka Belitung Islands 33684, Indonesia","{'location': {'lat': -2.3173149, 'lng': 106.1934162}, 'viewport': {'northeast': {'lat': -2.315946370107278, 'lng': 106.1946917798927}, 'southwest': {'lat': -2.318646029892723, 'lng': 106.1919921201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kayu Melanger Desa Namang,ChIJRxli9GK1Ii4RagVSD2OM4SM,0.0,ChIJRxli9GK1Ii4RagVSD2OM4SM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': False},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107482167643497935638"">A Google User</a>'], 'photo_reference': 'AUGGfZnlEPqyCIb8PQyTEV_scXzAnAUNSc500gkCMSXQxwe4ebCTto1oBknl-A6_xB29SUN6IP2Tse_eYfv_RhLTdtOxtTUbVJ8Dt2pRMl168asPb5VDWwlxXv3rBuoq5eY80ErBusqdwYzJswQ8JEXI6LXz0BbUkDGL_Hz24D1dWGS2t3fA', 'width': 3120}]",,,https://www.google.com/maps/place/?q=place_id:ChIJRxli9GK1Ii4RagVSD2OM4SM
OPERATIONAL,"Kurau Barat, Koba, Central Bangka Regency, Bangka Belitung Islands 33681, Indonesia","{'location': {'lat': -2.3250032, 'lng': 106.2210098}, 'viewport': {'northeast': {'lat': -2.323621920107277, 'lng': 106.2223572798927}, 'southwest': {'lat': -2.326321579892722, 'lng': 106.2196576201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mangrove Munjang Kurau Barat,ChIJbcVyH_a0Ii4RWy12easXBGc,4.5,ChIJbcVyH_a0Ii4RWy12easXBGc,"['tourist_attraction', 'point_of_interest', 'establishment']",625,{'open_now': False},"[{'height': 2784, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108494923968388297298"">A Google User</a>'], 'photo_reference': 'AUGGfZnYXBgfTClAtr-4uIorzfEsdc-8qAzVyeYKfYCLXeGxPfWBCkhR_8172lBqqds-K0apTjNPoJVSxBRI93JwF7dflbqEIXK1IK_bJZDUGZo5XhqLxB9InjnpsCkAvNWi3d_2bymYXHE-BfKFi8Bak36m0pubwDOLF9E-mFnYYyQHa-8', 'width': 4176}]","{'compound_code': 'M6FC+XC Kurau Barat, Central Bangka Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P98M6FC+XC'}",,https://www.google.com/maps/place/?q=place_id:ChIJbcVyH_a0Ii4RWy12easXBGc
OPERATIONAL,"J5JQ+5RP, Namang, Central Bangka Regency, Bangka Belitung Islands 33684, Indonesia","{'location': {'lat': -2.369548, 'lng': 106.189577}, 'viewport': {'northeast': {'lat': -2.36713675, 'lng': 106.1911093798927}, 'southwest': {'lat': -2.370351749999999, 'lng': 106.1884097201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Danau Pelawan,ChIJ_e0thoJLPS4Rpik5bVgpcec,4.5,ChIJ_e0thoJLPS4Rpik5bVgpcec,"['tourist_attraction', 'point_of_interest', 'establishment']",12,{'open_now': False},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115830495043127551045"">Tafia Prasojo</a>'], 'photo_reference': 'AUGGfZnyrEqll4MZNEzW8CgohiqIIzeNDPdyoOdUYROl0UClimDSZ3ApJ1eNekOe0LywqZzM91dfcp71h0eZJYlJstPdVLXHpa14NcZI9jHTBnx3f-GaQSi8mfDZCNWfXxq_4ZmjknWTa6sthiNc83KqZq0Nlp3gS0AJZ4bfFz4XXEDcfjfF', 'width': 4608}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ_e0thoJLPS4Rpik5bVgpcec
OPERATIONAL,"Namang, Central Bangka Regency, Bangka Belitung Islands 33684, Indonesia","{'location': {'lat': -2.3675692, 'lng': 106.1833851}, 'viewport': {'northeast': {'lat': -2.366255270107278, 'lng': 106.1846477798927}, 'southwest': {'lat': -2.368954929892722, 'lng': 106.1819481201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Wisata Hutan Pelawan,ChIJ89g-IcpKPS4RAVBA4CdfhGw,3.9,ChIJ89g-IcpKPS4RAVBA4CdfhGw,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",248,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103066694328011121755"">Hengki Lie</a>'], 'photo_reference': 'AUGGfZkXbl1hvYV6553rAZpAzotFLZqJqDff-xhh5V9_75_FU6uBRugqFkmpZkS6yUjFjeeFi0VdmjaTx-AJRPHVl_RBdeFW1PNMp30WNSo93oxxzJDq9xw8ml0Wi6P7zjZ5TwbXVwyhm_D6nv6vlm4ik02d7pXUfPXWKyCa5yfAUdEHRzVS', 'width': 4160}]","{'compound_code': 'J5JM+X9 Namang, Central Bangka Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P98J5JM+X9'}",,https://www.google.com/maps/place/?q=place_id:ChIJ89g-IcpKPS4RAVBA4CdfhGw
OPERATIONAL,"M5CP+6V6, Namang, Central Bangka Regency, Bangka Belitung Islands, Indonesia","{'location': {'lat': -2.3294622, 'lng': 106.1871554}, 'viewport': {'northeast': {'lat': -2.328136970107277, 'lng': 106.1884856798927}, 'southwest': {'lat': -2.330836629892722, 'lng': 106.1857860201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kelekak pacer,ChIJnSm8YAC1Ii4Ry8_uQfjIiQQ,0.0,ChIJnSm8YAC1Ii4Ry8_uQfjIiQQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJnSm8YAC1Ii4Ry8_uQfjIiQQ
OPERATIONAL,"J5PJ+WF, Namang, Central Bangka Regency, Bangka Belitung Islands, Indonesia","{'location': {'lat': -2.362706, 'lng': 106.181185}, 'viewport': {'northeast': {'lat': -2.361321120107277, 'lng': 106.1823842798927}, 'southwest': {'lat': -2.364020779892722, 'lng': 106.1796846201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,VILLA LEBAH PELAWAN,ChIJqxWc-k21Ii4R_GoxU7e-J5k,4.8,ChIJqxWc-k21Ii4R_GoxU7e-J5k,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113282796670905580299"">Bambang Santoso</a>'], 'photo_reference': 'AUGGfZmNxerKYUlPbXExBJmcSisCKq6wR2lNXLlGiU7pR0FaeMA5JV5io8r1ODCgISE9t7XlQoz5NoZNEHkI0XRhchkFqFJj9yxEouTquaGX6DayxaCcHjsZGTgTrJmaJRLCha546y9uwIZ3FNE3_Si3N5Ebv8x33m2QG1jQyRRwGmp-02xj', 'width': 1600}]",,,https://www.google.com/maps/place/?q=place_id:ChIJqxWc-k21Ii4R_GoxU7e-J5k
OPERATIONAL,"Jl. Namang - Koba, Terentang III, Kec. Koba, Kabupaten Bangka Tengah, Kepulauan Bangka Belitung 33681, Indonesia","{'location': {'lat': -2.440699, 'lng': 106.3237584}, 'viewport': {'northeast': {'lat': -2.439440470107278, 'lng': 106.3249880798927}, 'southwest': {'lat': -2.442140129892722, 'lng': 106.3222884201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TOURIST INFORMATION CENTRE (TIC) BANGKA TENGAH,ChIJdxEZrCtPPS4RDDfpg_TDq8Q,5.0,ChIJdxEZrCtPPS4RDDfpg_TDq8Q,"['tourist_attraction', 'point_of_interest', 'establishment']",7,{'open_now': False},"[{'height': 653, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100359541683225023451"">Raden Arumba</a>'], 'photo_reference': 'AUGGfZmHaoHSe16fRfUpBNgK7rEHy76pHFp97-c0Ojfj27unMHDY4q3VcmwNv0H5iQ6fT_0_BBjrO-gplJV5tZsPoP85yWNqnB6wPGX2VE4-nuztQ2HOxRm-DBEMa8VmOlzZYjPnIm0c5n8D_XbTcTyU5Nbqq1Gn8HfP9NA8B34otnxXLqUa', 'width': 1160}]","{'compound_code': 'H85F+PG Terentang III, Central Bangka Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P98H85F+PG'}",,https://www.google.com/maps/place/?q=place_id:ChIJdxEZrCtPPS4RDDfpg_TDq8Q
