business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"H4JR+8JJ, Rantau Bujur, Aranio, Banjar Regency, South Kalimantan 70671, Indonesia","{'location': {'lat': -3.419173, 'lng': 115.1415}, 'viewport': {'northeast': {'lat': -3.417823170107278, 'lng': 115.1428498298927}, 'southwest': {'lat': -3.420522829892722, 'lng': 115.1401501701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jeram Alam Roh Tujuh Belas,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112998384077944647905"">A Google User</a>'], 'photo_reference': 'AUGGfZkhRPuP-iYsYFr_iVYPtqHZPI4uBzaTJjbwiA6S_8GFU-yAC78u2EudDRGVMd4t2ASD7Xa_1IHn_HTmvSc4bMexARSu4daUOFqsqJ0JKKFzB8hU0J_rvvh_KOuPLPxXsdw87pM6F-bAWMXdiw2_3cIF8JPNCk0K_J4mr4AUu-YjE8li', 'width': 4000}]",ChIJa6g9z7d35i0ROc7AwhyC9LE,4.4,ChIJa6g9z7d35i0ROc7AwhyC9LE,"['tourist_attraction', 'point_of_interest', 'establishment']",224,,https://www.google.com/maps/place/?q=place_id:ChIJa6g9z7d35i0ROc7AwhyC9LE
OPERATIONAL,"GX4R+PFJ, Awang Bangkal Barat, Karang Intan, Banjar Regency, South Kalimantan, Indonesia","{'location': {'lat': -3.4931724, 'lng': 114.9911476}, 'viewport': {'northeast': {'lat': -3.492175870107277, 'lng': 114.9925459298927}, 'southwest': {'lat': -3.494875529892722, 'lng': 114.9898462701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung Batu Kambing,{'open_now': True},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100580951812055392944"">darma stallone</a>'], 'photo_reference': 'AUGGfZnsGjH-BBn05uRSsDp1ESfY-Fmna5xfXtcum7dBfqLuLasi-WH8urVVaw9VmOjlEydLJypavFwMwXQ7_qUqUvuGW9e_iZYZfnTYRaSgM1bT35rtlY8B8ireQHMrvwUnDHpdRcuGkfHy-A5i1ivFpcCn-Ls73fd2L8wTix9DZN9HzxiQ', 'width': 4624}]",ChIJR9-Up9F95i0RAIj9NI6PIg8,0.0,ChIJR9-Up9F95i0RAIj9NI6PIg8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJR9-Up9F95i0RAIj9NI6PIg8
OPERATIONAL,"Gg. Kunyit, Awang Bangkal Bar., Kec. Karang Intan, Kabupaten Banjar, Kalimantan Selatan 70661, Indonesia","{'location': {'lat': -3.5020801, 'lng': 114.9889933}, 'viewport': {'northeast': {'lat': -3.500783420107278, 'lng': 114.9903942298928}, 'southwest': {'lat': -3.503483079892722, 'lng': 114.9876945701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Susur Sungai Jala,{'open_now': False},,ChIJGS7NxsZ95i0RFg6Tx4Jhn20,5.0,ChIJGS7NxsZ95i0RFg6Tx4Jhn20,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"{'compound_code': 'FXXQ+5H Awang Bangkal Barat, Banjar Regency, South Kalimantan, Indonesia', 'global_code': '6P8PFXXQ+5H'}",https://www.google.com/maps/place/?q=place_id:ChIJGS7NxsZ95i0RFg6Tx4Jhn20
OPERATIONAL,"F28M+V64, Tiwingan Lama, Aranio, Banjar Regency, South Kalimantan 70671, Indonesia","{'location': {'lat': -3.531809, 'lng': 115.0335784}, 'viewport': {'northeast': {'lat': -3.5272262, 'lng': 115.03443585}, 'southwest': {'lat': -3.5333366, 'lng': 115.03100605}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Raja lima,,,ChIJf1mM3oV75i0R440Xixo4nDg,5.0,ChIJf1mM3oV75i0R440Xixo4nDg,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJf1mM3oV75i0R440Xixo4nDg
OPERATIONAL,"Riam kanan, Tiwingan Lama, Aranio, Banjar Regency, South Kalimantan 70671, Indonesia","{'location': {'lat': -3.5333333, 'lng': 115.05}, 'viewport': {'northeast': {'lat': -3.531983470107278, 'lng': 115.0513498298928}, 'southwest': {'lat': -3.534683129892723, 'lng': 115.0486501701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pelabuhan Tiwingan Matang Kaladan,,,ChIJb6K1uut75i0RAz7CIJXtK90,0.0,ChIJb6K1uut75i0RAz7CIJXtK90,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJb6K1uut75i0RAz7CIJXtK90
OPERATIONAL,"G36R+9FM Bunglai, Tiwingan Baru, Kec. Aranio, Kabupaten Banjar, Kalimantan Selatan 70671, Indonesia","{'location': {'lat': -3.4890307, 'lng': 115.0911678}, 'viewport': {'northeast': {'lat': -3.487680870107278, 'lng': 115.0925176298927}, 'southwest': {'lat': -3.490380529892722, 'lng': 115.0898179701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ambawang beranakan,,,ChIJN-ACBwB75i0RARgMpzh2y8Q,0.0,ChIJN-ACBwB75i0RARgMpzh2y8Q,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJN-ACBwB75i0RARgMpzh2y8Q
OPERATIONAL,"G4X4+P8, Bunglai, Aranio, Banjar Regency, South Kalimantan, Indonesia","{'location': {'lat': -3.450721, 'lng': 115.1057563}, 'viewport': {'northeast': {'lat': -3.449609520107278, 'lng': 115.1065703298927}, 'southwest': {'lat': -3.452309179892722, 'lng': 115.1038706701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jalur syan,,,ChIJszPlXgB35i0Rsw21xc0QaiI,5.0,ChIJszPlXgB35i0Rsw21xc0QaiI,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,https://www.google.com/maps/place/?q=place_id:ChIJszPlXgB35i0Rsw21xc0QaiI
OPERATIONAL,"G3GQ+V7G, Unnamed Road, Artain, Kec. Aranio, Kabupaten Banjar, Kalimantan Selatan 70671, Indonesia","{'location': {'lat': -3.472814, 'lng': 115.088197}, 'viewport': {'northeast': {'lat': -3.471305270107277, 'lng': 115.0893530798927}, 'southwest': {'lat': -3.474004929892721, 'lng': 115.0866534201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pelabuban dermaga bunglai 1,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115802251187598825605"">A Google User</a>'], 'photo_reference': 'AUGGfZnT0jt8rc4NOGFQI3zjULnbhZSGe41OMFnKPO2Wv_CvaUa7zVvGCQbZJd5eiOsglhvWry8nqKsIM8JscFkuikadqMUFuvS_lkPoscdGdVoGohTIZFlKtIHOwLZdtAZB4MYY5xIzQjcI5XkaJHDcmk_e17r-8E1sA4U2ZgT-2WyuXNrM', 'width': 3120}]",ChIJgQutDON75i0RuuAvz2CdzzQ,4.7,ChIJgQutDON75i0RuuAvz2CdzzQ,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,https://www.google.com/maps/place/?q=place_id:ChIJgQutDON75i0RuuAvz2CdzzQ
OPERATIONAL,"F3QF+V5, Tiwingan Baru, Aranio, Banjar Regency, South Kalimantan, Indonesia","{'location': {'lat': -3.51035, 'lng': 115.073}, 'viewport': {'northeast': {'lat': -3.509029170107278, 'lng': 115.0739975798927}, 'southwest': {'lat': -3.511728829892722, 'lng': 115.0712979201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dermaga Bukit Batu,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115121577606384020526"">Lingga 1922</a>'], 'photo_reference': 'AUGGfZnoe8TCCn6P44d82etrMUUwi1n2cMRxQCtQei7UqZydWaQbbk6ZXWme3mWpgSROM5UBEgrcVBEa7mfqeHKIE14JdbJNTluzNZXd1HZ6fzQx1YsMZHYex0EYZx9C3fnl_8wJ50Dom7XHoB8nvs5Gjf-6ZPDfBKgnB8QMZ-zki-tFiBJy', 'width': 4032}]",ChIJG2ZKNAR75i0Rf9d5BYCJqUw,4.8,ChIJG2ZKNAR75i0Rf9d5BYCJqUw,"['tourist_attraction', 'point_of_interest', 'establishment']",30,,https://www.google.com/maps/place/?q=place_id:ChIJG2ZKNAR75i0Rf9d5BYCJqUw
OPERATIONAL,"C283+QM, Tiwingan Lama, Aranio, Banjar Regency, South Kalimantan, Indonesia","{'location': {'lat': -3.5830214, 'lng': 115.0042465}, 'viewport': {'northeast': {'lat': -3.581671570107278, 'lng': 115.0055963298927}, 'southwest': {'lat': -3.584371229892722, 'lng': 115.0028966701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Jungur,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107898945072506957329"">fauzan satria</a>'], 'photo_reference': 'AUGGfZnDjyZ48V11_cL-bqzZpXMcWmdjf1CbCvdNlP6uZBpElcexE060Y4eBhPomJ3T1fJTVdwuR_3-OfENl-lY_7ogqfysKkiT5Q36w_fpYoeN8fs7wrua5aB0sZLiHklSuidn8-5_kA3xcsiYj8wTvnuI61rlvAOjZPN9qJXXRGvYQNy5B', 'width': 4000}]",ChIJ7TxipKpl5i0RKIcn8TIlp1k,4.8,ChIJ7TxipKpl5i0RKIcn8TIlp1k,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,https://www.google.com/maps/place/?q=place_id:ChIJ7TxipKpl5i0RKIcn8TIlp1k
