business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"4MRM+5M, Sukamoro, Talang Kelapa, Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.8595302, 'lng': 104.6842387}, 'viewport': {'northeast': {'lat': -2.857886570107278, 'lng': 104.6861467798927}, 'southwest': {'lat': -2.860586229892722, 'lng': 104.6834471201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GELAM FOREST FANTASI,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104054123339425740842"">Muhammad Amin</a>'], 'photo_reference': 'AUGGfZnzPQW0eaFaNu-CUQErTX5jI9voD2TyHgWxjUGo47q2Qo9fc1j63e21rjcE2VtS-kEItcMrk2bgtLMeP4Fe1W90AvrPBZDEm_ojwfdzn26p-cm5kaacBnlbK5PWirxxTresjVx1XpfwAU0t15hE1KBS7Shw-N6ijDf2igGAd0oCJQct', 'width': 4160}]",ChIJb3k-MX1zOy4RNML7O6YBT-k,4.3,ChIJb3k-MX1zOy4RNML7O6YBT-k,"['tourist_attraction', 'point_of_interest', 'establishment']",114,,https://www.google.com/maps/place/?q=place_id:ChIJb3k-MX1zOy4RNML7O6YBT-k
OPERATIONAL,"Jl. Tulip 1 No.6, Talang Buluh, Kec. Talang Klp., Kab. Banyuasin, Sumatera Selatan 30961, Indonesia","{'location': {'lat': -2.9114792, 'lng': 104.7615015}, 'viewport': {'northeast': {'lat': -2.910113570107277, 'lng': 104.7628520798927}, 'southwest': {'lat': -2.912813229892722, 'lng': 104.7601524201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,RUMAH ARTIS KENTEN HUSEN HAZIM GANTENG,,,ChIJD4UtXwBxOy4R2COwVC_bApc,5.0,ChIJD4UtXwBxOy4R2COwVC_bApc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"{'compound_code': '3QQ6+CJ Talang Buluh, Banyuasin Regency, South Sumatra, Indonesia', 'global_code': '6P963QQ6+CJ'}",https://www.google.com/maps/place/?q=place_id:ChIJD4UtXwBxOy4R2COwVC_bApc
OPERATIONAL,"4J7M+WC5, Sukamoro, Talang Kelapa, Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.8852468, 'lng': 104.6335922}, 'viewport': {'northeast': {'lat': -2.883881620107277, 'lng': 104.6348817298927}, 'southwest': {'lat': -2.886581279892722, 'lng': 104.6321820701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Talang Ilir Centre (TIC),,,ChIJ75-uMQANOy4Rj_fgw7_GX7Y,0.0,ChIJ75-uMQANOy4Rj_fgw7_GX7Y,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ75-uMQANOy4Rj_fgw7_GX7Y
OPERATIONAL,"4PR9+P46, Sukajadi, Talang Kelapa, Banyuasin Regency, South Sumatra 30961, Indonesia","{'location': {'lat': -2.8582193, 'lng': 104.7177663}, 'viewport': {'northeast': {'lat': -2.85730025, 'lng': 104.7187914298927}, 'southwest': {'lat': -2.86097645, 'lng': 104.7160917701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,LOKASI CALON PPMS,,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108732691862245246652"">Jally Pba</a>'], 'photo_reference': 'AUGGfZlFF4oorA3nAt-niqUFX7dj107mKv_4WUWgTFNstkxVnBFPkXUpsIsksduzek5vl52ylkjRYOoeEozDlHI1yo9lTMUdB35pptQhCEIsDmVDlP6L9s7THsjoZjEaHewn-czoVyOnbc4pC-sW7VIdUQJuXnwcgMRR5PlA5CWPKOY_IyGd', 'width': 4000}]",ChIJmRpwAwBzOy4ReFTBUc9gTpA,0.0,ChIJmRpwAwBzOy4ReFTBUc9gTpA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJmRpwAwBzOy4ReFTBUc9gTpA
OPERATIONAL,"3PXW+FCW, Talang Buluh, Talang Kelapa, Banyuasin Regency, South Sumatra 30961, Indonesia","{'location': {'lat': -2.901256000000001, 'lng': 104.746074}, 'viewport': {'northeast': {'lat': -2.899882470107277, 'lng': 104.7475429798927}, 'southwest': {'lat': -2.902582129892722, 'lng': 104.7448433201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PONDOK KEBUN AKBAR,{'open_now': False},"[{'height': 4640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111497300415527174867"">A Google User</a>'], 'photo_reference': 'AUGGfZlnJt8NEg4pYInYPreYbAenvLIioNscdxwYvDEUcH5uimKERIegxz8Cqa56oPB2_kWrdlyfYs9104oxoHBzJbrd_BTbv5Wwy6e9ZmxIoCt8EiRWfCixDJxVagTUY5_bdwr7D4jZPSoU9IpO1ejMxDMfxEZRKxE6OmqV19SYdmOL2J7J', 'width': 3472}]",ChIJ_4sFKgBzOy4ROgLAGB4eaoc,5.0,ChIJ_4sFKgBzOy4ROgLAGB4eaoc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJ_4sFKgBzOy4ROgLAGB4eaoc
OPERATIONAL,"4MRW+PR6, Sukamoro, Talang Kelapa, Banyuasin Regency, South Sumatra, Indonesia","{'location': {'lat': -2.8582034, 'lng': 104.6970016}, 'viewport': {'northeast': {'lat': -2.856854170107277, 'lng': 104.6983369298927}, 'southwest': {'lat': -2.859553829892722, 'lng': 104.6956372701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Daud Garden,,,ChIJE8NQ4-xzOy4RCGHmcrzOOjU,0.0,ChIJE8NQ4-xzOy4RCGHmcrzOOjU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJE8NQ4-xzOy4RCGHmcrzOOjU
OPERATIONAL,"4P6W+6GF, Lorong Perjuangan, Tanah MAS, Kec. Talang Klp., Kab. Banyuasin, Sumatera Selatan 30961, Indonesia","{'location': {'lat': -2.889446, 'lng': 104.7462993}, 'viewport': {'northeast': {'lat': -2.888067170107278, 'lng': 104.7476611298927}, 'southwest': {'lat': -2.890766829892723, 'lng': 104.7449614701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,gantangan burung talang keramat,,,ChIJDxqs9mNzOy4RFJTWsFVb-jE,3.0,ChIJDxqs9mNzOy4RFJTWsFVb-jE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJDxqs9mNzOy4RFJTWsFVb-jE
OPERATIONAL,"Talang Buluh, Talang Kelapa, Banyuasin Regency, South Sumatra 30961, Indonesia","{'location': {'lat': -2.9036996, 'lng': 104.7560374}, 'viewport': {'northeast': {'lat': -2.902359370107278, 'lng': 104.7573981298927}, 'southwest': {'lat': -2.905059029892723, 'lng': 104.7546984701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok Izzah,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117502891612151382650"">A Google User</a>'], 'photo_reference': 'AUGGfZkXiGrpZKxn3PonaWaDk2PocewjBHWHSNsZ5dbdu71E9HVlXOZszAFl-8zcCc2utFm9Aw97laZFeYuSn8nf7_LDIXrnELmXM7jMuv5suHu-Ywe5UYWkbg8pJm0oqcqaXlpWZqxAOC16qehn7QRyI9nFDv39aS7sRCjLZuRNBl5qA_Tj', 'width': 4160}]",ChIJ92Fhj-txOy4RMN6hSFkSgr0,5.0,ChIJ92Fhj-txOy4RMN6hSFkSgr0,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"{'compound_code': '3QW4+GC Talang Buluh, Banyuasin Regency, South Sumatra, Indonesia', 'global_code': '6P963QW4+GC'}",https://www.google.com/maps/place/?q=place_id:ChIJ92Fhj-txOy4RMN6hSFkSgr0
OPERATIONAL,"4M33+2R5, Sukamoro, Talang Kelapa, Banyuasin Regency, South Sumatra 30961, Indonesia","{'location': {'lat': -2.8974768, 'lng': 104.6546131}, 'viewport': {'northeast': {'lat': -2.896074520107277, 'lng': 104.6558976798927}, 'southwest': {'lat': -2.898774179892722, 'lng': 104.6531980201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lahan penelitian,,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112665396696858975739"">suparjo scout</a>'], 'photo_reference': 'AUGGfZkMoAwF9kHdpN-R1NeFgf37oqLdLnaZbf0pf87E5mfobT7X-qODxIzMJdI844mpc1aJ1Rg7ToH2ObsXmuHbZ8Yzxk7NYdUE4O0wX0mvtalCXJXLZNQnv11JXp66i_DkjO88ryRJ_zqMpdPN-WnYPtMkJG4yMxzdnH1AFtiAtTJL_taU', 'width': 4608}]",ChIJk7X-M5sNOy4RBB9_Oe8M8pk,3.0,ChIJk7X-M5sNOy4RBB9_Oe8M8pk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJk7X-M5sNOy4RBB9_Oe8M8pk
OPERATIONAL,"3JW9+Q6H, Air Batu, Talang Kelapa, Banyuasin Regency, South Sumatra 30961, Indonesia","{'location': {'lat': -2.9030701, 'lng': 104.6181109}, 'viewport': {'northeast': {'lat': -2.901861070107278, 'lng': 104.6195442798927}, 'southwest': {'lat': -2.904560729892722, 'lng': 104.6168446201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Buatan Air Batu,{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113722435319138647182"">Yosi Noviana</a>'], 'photo_reference': 'AUGGfZkGU-PC_PuvfHkqFnSAkqjHkgmnJkyAaJQOAyHagcmyhT96AAk67PaLasn69OvlHHapKN7eZWRK9ay8bvOabzCRO0fngk35QdvG-OlddVMxQaIO50bCCS-kGzI11ZC1ps0mcwjT1QhV4ZPbW6ykpKdE_Hyt6yioKiUwhGxaM9EuPuSw', 'width': 4128}]",ChIJS4RvgIwMOy4R1aDMb2D-Ews,4.3,ChIJS4RvgIwMOy4R1aDMb2D-Ews,"['tourist_attraction', 'point_of_interest', 'establishment']",599,,https://www.google.com/maps/place/?q=place_id:ChIJS4RvgIwMOy4R1aDMb2D-Ews
