business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"F66Q+87V, Area Sawah/Kebun, Kalisalak, Kebasen, Banyumas Regency, Central Java 53172, Indonesia","{'location': {'lat': -7.5391428, 'lng': 109.2381867}, 'viewport': {'northeast': {'lat': -7.537854770107278, 'lng': 109.2395088798927}, 'southwest': {'lat': -7.540554429892722, 'lng': 109.2368092201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Song Waterfall,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104112692994685184090"">masdain trizeronine</a>'], 'photo_reference': 'AUGGfZn6KH0ITLs9Bzp2Zm7CVI60NLPYk9wwoE1OBDBlqW_EmfXUVKbgixlo-g2WQ5wsjeuh7Qair8pmzDzMh4no3Z7daQYS1AmntOuPIp0lqaZwHtW1jhEEg-yB8We60S8rQ735panQFSNCouFbSrwjrXJHe9AgLfqMjwJMkr6ZXsvXJhur', 'width': 1600}]",ChIJwwgSMyBDZS4RK6AxwfC8M2M,4.4,ChIJwwgSMyBDZS4RK6AxwfC8M2M,"['tourist_attraction', 'point_of_interest', 'establishment']",1007.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJwwgSMyBDZS4RK6AxwfC8M2M
,"Kebasen, Banyumas Regency, Central Java, Indonesia","{'location': {'lat': -7.5483593, 'lng': 109.216173}, 'viewport': {'northeast': {'lat': -7.491320099999999, 'lng': 109.2716724}, 'southwest': {'lat': -7.5925449, 'lng': 109.1690207}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebasen,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101170289089174450465"">Mutiara Ciremai</a>'], 'photo_reference': 'AUGGfZli8CClv43Ag9QR5rfRBrjyiRsDXszanRTlFGA6k90lFFBIVOb-5u2Fq448iFaFJQGK248vAGyqp7eszZJqn1BEoPIgHlglHJ5PUiS4CXCyrda8z7b4KAkMITreHLWECwyukixZMOjd5aIvrYghSSGwFY8eHMUhTSPYp88TLlaWCmaf', 'width': 2448}]",ChIJdQmPHuhCZS4RwORS43Z6AgQ,,ChIJdQmPHuhCZS4RwORS43Z6AgQ,"['locality', 'political']",,,,,https://www.google.com/maps/place/?q=place_id:ChIJdQmPHuhCZS4RwORS43Z6AgQ
OPERATIONAL,"F6J7+9RR, Jl. Raya Patikraja - Kebasen, Tumiyang Kidul, Tumiyang, Kec. Kebasen, Kabupaten Banyumas, Jawa Tengah 53172, Indonesia","{'location': {'lat': -7.5190126, 'lng': 109.2145032}, 'viewport': {'northeast': {'lat': -7.517407570107279, 'lng': 109.21604725}, 'southwest': {'lat': -7.520107229892723, 'lng': 109.20987105}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Watu Meja,"[{'height': 2352, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103792152253621899426"">SAKA channel</a>'], 'photo_reference': 'AUGGfZlE75u3-5e4i0WdBLricnW9chtyMT-jCzQRoI7iFRRa0NsYPuNSD3Msjxwyy3m8AkBQpwdPK43zpsenZFYcupKWxaG3mhnlpWetOZt0wCBHRL6okm_afssFw9U-M_J0mTSgSgNexOOSRFzZYskPoIjJt0GS0pPl3hZW-FLfPb7Ce_wD', 'width': 4160}]",ChIJmVuCxzVdZS4RhAop-WE0LYU,4.3,ChIJmVuCxzVdZS4RhAop-WE0LYU,"['tourist_attraction', 'point_of_interest', 'establishment']",533.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJmVuCxzVdZS4RhAop-WE0LYU
OPERATIONAL,"F64P+J28, Area Sawah/Kebun, Kalisalak, Kebasen, Banyumas Regency, Central Java, Indonesia","{'location': {'lat': -7.543472700000001, 'lng': 109.2350824}, 'viewport': {'northeast': {'lat': -7.542146570107279, 'lng': 109.2365330298927}, 'southwest': {'lat': -7.544846229892723, 'lng': 109.2338333701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Song,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109349131912888969667"">Archieva Prisyta</a>'], 'photo_reference': 'AUGGfZnsqv6DIZAXAGzTUBvWd8PVq4iQGWHqUXm0OooTHD62_JjAOikcLU4bG4B3v8vpX7SM5CQMZg92X7o3sNlQFb_hWKXz1FsW6x21-pQpzqCPOzyRHeBuhd-mWfGSSWT-JKU2GmNIVIwT6U16s4felSzDhqSSS5vmt4_7lD25LSvtYhyL', 'width': 4032}]",ChIJL4qa1uFDZS4Roa8Ksuzqq3c,4.3,ChIJL4qa1uFDZS4Roa8Ksuzqq3c,"['tourist_attraction', 'point_of_interest', 'establishment']",90.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJL4qa1uFDZS4Roa8Ksuzqq3c
OPERATIONAL,"F64P+83J, Area Sawah/Kebun, Kalisalak, Kebasen, Banyumas Regency, Central Java 53172, Indonesia","{'location': {'lat': -7.544161, 'lng': 109.2351304}, 'viewport': {'northeast': {'lat': -7.542789870107278, 'lng': 109.2364558298927}, 'southwest': {'lat': -7.545489529892722, 'lng': 109.2337561701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Song Entrance,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101716580967614041545"">Yodha Aditya</a>'], 'photo_reference': 'AUGGfZkNnbLL7KQ-Al2vvaF2UAnB0Q14yF-5mMZpXpCos4fUNE1CwSBxU3sSu_xap8tB0hyy9LjUNdddYiB0aDSYKd6uplEnphTAFlXSeSgNe0ZqTkw9Z3FS7eONESXFoKrXKmE5lVnfnnuZMmNOp8c-94NuXP5yXu3V3i5wopV7rQlMpg8D', 'width': 3000}]",ChIJ_TzbSGZDZS4RVel9AFprYEo,4.4,ChIJ_TzbSGZDZS4RVel9AFprYEo,"['tourist_attraction', 'point_of_interest', 'establishment']",359.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJ_TzbSGZDZS4RVel9AFprYEo
OPERATIONAL,"F63P+JV, Area Sawah/Kebun, Kalisalak, Kebasen, Banyumas Regency, Central Java, Indonesia","{'location': {'lat': -7.5459519, 'lng': 109.2371762}, 'viewport': {'northeast': {'lat': -7.544573820107278, 'lng': 109.2385012798927}, 'southwest': {'lat': -7.547273479892722, 'lng': 109.2358016201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Adventure Trail MAG,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107924611431236125189"">AKHMAD NURUL IMAM</a>'], 'photo_reference': 'AUGGfZliVsz80pkD99oDKN13SIomUPVGT7vLT7z1c8S7AYjhOHWzrP6i5nbBfJj0Fx4hkb8GxD_gnfk7FSnhCXjtigZN1B3P4yiAeYfxijiPJi_IyYIjMShDetEdp-4pexW3I2XlMUjlqHz6HPXt5L2WoAyR-Kj4_4Zr-P0r1CtyXStmxrEm', 'width': 3472}]",ChIJs4iXTwZDZS4RR_m7JMCgtgc,4.9,ChIJs4iXTwZDZS4RR_m7JMCgtgc,"['tourist_attraction', 'point_of_interest', 'establishment']",20.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJs4iXTwZDZS4RR_m7JMCgtgc
OPERATIONAL,"Bendungan gerak serayu, Area Sawah/Kebun, Gambarsari, Kec. Rawalo, Kabupaten Banyumas, Jawa Tengah 52193, Indonesia","{'location': {'lat': -7.5256797, 'lng': 109.2012232}, 'viewport': {'northeast': {'lat': -7.524012720107277, 'lng': 109.2023376298927}, 'southwest': {'lat': -7.526712379892721, 'lng': 109.1996379701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendung Gerak Serayu,"[{'height': 1746, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112931230768127532966"">Sunarko KasmiRa</a>'], 'photo_reference': 'AUGGfZlEcGDTz69bNpl4Cz9VR5KOvzPB-KORRYASi0QAn98EqlOjcfxhR2um57U_6Dgg9IX_vB-ryGaUdyO0gn8EQb4GBRw0NqRrj0WGK1AUeOH6ZvGCbU_jQYabNKKOez0dIby3CYjqBN89B6o_vuYNFGsXbkq_31kZXYjOwhLyFWo5680g', 'width': 3104}]",ChIJqwJDf0xdZS4R6734zGROm3s,4.3,ChIJqwJDf0xdZS4R6734zGROm3s,"['tourist_attraction', 'point_of_interest', 'establishment']",1603.0,{'open_now': False},"{'compound_code': 'F6F2+PF Gambarsari, Banyumas Regency, Central Java, Indonesia', 'global_code': '6P4FF6F2+PF'}",,https://www.google.com/maps/place/?q=place_id:ChIJqwJDf0xdZS4R6734zGROm3s
OPERATIONAL,"F62F+933, Desa kalisalak, Jl. Raya Kaliontong, binangun, Kec. Kebasen, Jawa Tengah 53172, Indonesia","{'location': {'lat': -7.549106399999999, 'lng': 109.2226747}, 'viewport': {'northeast': {'lat': -7.547728220107278, 'lng': 109.2240111798927}, 'southwest': {'lat': -7.550427879892721, 'lng': 109.2213115201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Trail Mag,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102877420662013497825"">A Google User</a>'], 'photo_reference': 'AUGGfZlhAmnxhgTStVI4sACPEDuyGmgkPf-EfB4PjYxWEo86rnsBqBHY9c88Gqpshk58Pgs8faCC66j0fWLvo1_JgtUg2zsr5Fd4QrI3pjViuIk8oN9eTKDFUeQMzi0x8HCJOhbYjd38wgjvLTIQ9C2MU83H40zeO9PtOxGjSTh6TWVqv1mR', 'width': 1280}]",ChIJ3Wi2Jm9DZS4RD60FSalklPA,4.9,ChIJ3Wi2Jm9DZS4RD60FSalklPA,"['tourist_attraction', 'point_of_interest', 'establishment']",28.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3Wi2Jm9DZS4RD60FSalklPA
,"Banyumas Regency, Central Java, Indonesia","{'location': {'lat': -7.4832133, 'lng': 109.140438}, 'viewport': {'northeast': {'lat': -7.246292, 'lng': 109.445834}, 'southwest': {'lat': -7.6637111, 'lng': 108.8913119}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Banyumas Regency,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102936516613015497875"">Bayu Junior</a>'], 'photo_reference': 'AUGGfZn0O_loHFL6z5Oi4qEAgN9N6_nGaqDTBNKBZwNITVgb4FlDsOHhp3PsJcvwneg_h2i3kiK_q7PENLGJZm3bfzomI3GCaFQ16FwMrLgu_Zy8znoDvsKJGhJ7ao-qwQqVRMWKc3s80dWXenntjKrDZYN6D0QcbrU-uvlOyEz03ZotyI54', 'width': 720}]",ChIJ_bC8v0ZnZS4RYLpS43Z6AgM,,ChIJ_bC8v0ZnZS4RYLpS43Z6AgM,"['administrative_area_level_2', 'political']",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_bC8v0ZnZS4RYLpS43Z6AgM
OPERATIONAL,"F66R+64X, Jl. Kalisalak-Binangun, Watugede, Kalisalak, Kec. Kebasen, Kabupaten Banyumas, Jawa Tengah 53172, Indonesia","{'location': {'lat': -7.5393911, 'lng': 109.2403479}, 'viewport': {'northeast': {'lat': -7.538046120107277, 'lng': 109.2417866798927}, 'southwest': {'lat': -7.54074577989272, 'lng': 109.2390870201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Mbulu Watugede,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107284705847190069962"">Gudel Ngepet</a>'], 'photo_reference': 'AUGGfZnSCbgazTKS0kr29TKhzRob9RrtlVAYDUyfsRbG8t18N1bvwdgifZvOKzafJLtj73nDUxjTv43Hy9n0eu7UpOL6PJHkbhWm8RJzg4P7btJxAHre5xpkIom_If5N-Za9yjUSRrtjvIOBGkRrbUZ1-7cxnNLcuU3qv9OoD8NGCdIgyAWf', 'width': 4160}]",ChIJ7UcNQVFDZS4R3awDBpsZ5gI,4.3,ChIJ7UcNQVFDZS4R3awDBpsZ5gI,"['tourist_attraction', 'point_of_interest', 'establishment']",37.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJ7UcNQVFDZS4R3awDBpsZ5gI
