business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,permanently_closed,url
OPERATIONAL,"J6JH+87H, Sumberjo, Kepundungan, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471, Indonesia","{'location': {'lat': -8.3693904, 'lng': 114.2283243}, 'viewport': {'northeast': {'lat': -8.36794207010728, 'lng': 114.2297844298927}, 'southwest': {'lat': -8.370641729892723, 'lng': 114.2270847701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sumber jeding,ChIJeSCwFINV0S0Rx9Q0ak1YZp8,4.0,ChIJeSCwFINV0S0Rx9Q0ak1YZp8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJeSCwFINV0S0Rx9Q0ak1YZp8
OPERATIONAL,"M698+54, Kerto Sono, Parijatah Kulon, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur, Indonesia","{'location': {'lat': -8.3320641, 'lng': 114.2152844}, 'viewport': {'northeast': {'lat': -8.330504920107279, 'lng': 114.2164345798927}, 'southwest': {'lat': -8.333204579892723, 'lng': 114.2137349201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gumuk cangak,ChIJ7xkqXJBV0S0R3UMch5Ho364,5.0,ChIJ7xkqXJBV0S0R3UMch5Ho364,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107896692074190161489"">totokbali</a>'], 'photo_reference': 'AUGGfZnh11hJtOQ4Ko0zAZCpe8lpXkrs78QOruqN2bf2v-zYDcsMq9OXM6bjkJECxp6PWzKqghIBejAQivZZnByh8pQKlVti2cr_kcIRePgsGR0s4C5-uho8kRVRqow9ITV3OPA-VjkTzfqXUlNmtDSt1ZwMVNdS94V1xW-agzExSJqxZt7G', 'width': 1920}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ7xkqXJBV0S0R3UMch5Ho364
OPERATIONAL,"Rayud, Parijatah Kulon, Srono, Banyuwangi Regency, East Java, Indonesia","{'location': {'lat': -8.3534463, 'lng': 114.2257588}, 'viewport': {'northeast': {'lat': -8.352119570107279, 'lng': 114.2270819298927}, 'southwest': {'lat': -8.354819229892723, 'lng': 114.2243822701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agro Wisata Bukit Rayud,ChIJg5pwgdBV0S0REN6kWR2kGlo,4.2,ChIJg5pwgdBV0S0REN6kWR2kGlo,"['tourist_attraction', 'point_of_interest', 'establishment']",83,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100840040255448629231"">Rizal Assyafa</a>'], 'photo_reference': 'AUGGfZnNaIIg-sbFqxccjSFTqWyGljjYz38kBipL4X6mYpKNRRq4MbHFm68QSBMrOJ48jDEY2leiXtW7alyy3nBhyvqaNdI0S0CgoiQEGNNGZN1MbO_wRP6HvKbWHA1hCbuzcv5aypMs6zgO9hFftnVeicWpQbBa6jNVhUhjeTt4QvB37lZL', 'width': 4032}]","{'compound_code': 'J6WG+J8 Parijatah Kulon, Banyuwangi Regency, East Java, Indonesia', 'global_code': '6P3PJ6WG+J8'}",,https://www.google.com/maps/place/?q=place_id:ChIJg5pwgdBV0S0REN6kWR2kGlo
OPERATIONAL,"J7PG+6JF, Jl. Raya, Krajan Kulon, Wonosobo, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471, Indonesia","{'location': {'lat': -8.364445, 'lng': 114.276539}, 'viewport': {'northeast': {'lat': -8.362666620107277, 'lng': 114.2779401298927}, 'southwest': {'lat': -8.36536627989272, 'lng': 114.2752404701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Watujoglang,ChIJ_Y0AK7hX0S0RLObdStOVc5Q,5.0,ChIJ_Y0AK7hX0S0RLObdStOVc5Q,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100071207623080745100"">masbro pks2</a>'], 'photo_reference': 'AUGGfZnpmYlcOvLHGyJPo62CBiTsOps6Nz6aqKFenEatJZXQs9Iiyu9RRRWnsDEeufQPGJF0y5HHp7lKwoAe-5cL9Bzq2U3kX8hcgHOriItdBJKva8Q3I4IVFWwjIeLFhgdWnyDjZpRqBAFkc4KxAFdFA0mQQrtgzcgkj_SIQy_tDUyrNr0F', 'width': 4032}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ_Y0AK7hX0S0RLObdStOVc5Q
OPERATIONAL,"J79X+XG2, Komis Wetan, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471, Indonesia","{'location': {'lat': -8.380102299999999, 'lng': 114.2987682}, 'viewport': {'northeast': {'lat': -8.378773920107276, 'lng': 114.3001077798927}, 'southwest': {'lat': -8.38147357989272, 'lng': 114.2974081201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,OMAH KUNO GALERI,ChIJy-d1a0JX0S0R6CCc71DPCIM,5.0,ChIJy-d1a0JX0S0R6CCc71DPCIM,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,,https://www.google.com/maps/place/?q=place_id:ChIJy-d1a0JX0S0R6CCc71DPCIM
OPERATIONAL,"J8J8+7RM, Sumbergroto, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471, Indonesia","{'location': {'lat': -8.3692756, 'lng': 114.317039}, 'viewport': {'northeast': {'lat': -8.367895220107277, 'lng': 114.3181352798927}, 'southwest': {'lat': -8.370594879892721, 'lng': 114.3154356201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Circuit Rejoagung,ChIJdbr3QBpX0S0Rzo4x8cwSeSI,5.0,ChIJdbr3QBpX0S0Rzo4x8cwSeSI,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112760205722394362729"">A Google User</a>'], 'photo_reference': 'AUGGfZnsegF6Jfh5ADd21sfoXwhERMrqc_7koUk5rQPG0i0_40GNeoj-XETKbMpVbRTv79z-pAiOtc-FXYeU2h5GgCnzvZ0zrXANGCTPuVO3y3fV59tN-SfdWITEVCSLDjOm0Rtf14Hgqde0FzOdQWK8Pv9R4dj8YHKyCjN0PRRweRh-mZ0a', 'width': 1600}]",,,https://www.google.com/maps/place/?q=place_id:ChIJdbr3QBpX0S0Rzo4x8cwSeSI
OPERATIONAL,"J875+CX, Sumberagung, Rejoagung, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur, Indonesia","{'location': {'lat': -8.384926199999999, 'lng': 114.3080727}, 'viewport': {'northeast': {'lat': -8.383655270107278, 'lng': 114.3094151298927}, 'southwest': {'lat': -8.386354929892722, 'lng': 114.3067154701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Garangan Farm Kebun Duren Srono,ChIJe-zmMQBX0S0RU8O7TRtrvYE,4.7,ChIJe-zmMQBX0S0RU8O7TRtrvYE,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,"[{'height': 8160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102458162918627629020"">Aviransi Mama</a>'], 'photo_reference': 'AUGGfZlrV4vJtfmZOUuiBJw7PZFEH9l9UULO6RFlWVnT9RYIlDji-5ybZ3In-WidK1QjyGQlJv1b5H8eXNk3cl7MxJF5rQAkYKg9g597o75dHuTKUeyyooVoVxnvieS33dnwZvWGXnW4YoA-cDomSs96FPY02R5pcAGj4oRHv34xOk5jHjYT', 'width': 6144}]",,,https://www.google.com/maps/place/?q=place_id:ChIJe-zmMQBX0S0RU8O7TRtrvYE
OPERATIONAL,"J6MJ+9M6, Pekulo, Kepundungan, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471, Indonesia","{'location': {'lat': -8.3665899, 'lng': 114.2316538}, 'viewport': {'northeast': {'lat': -8.365327370107279, 'lng': 114.2328313298927}, 'southwest': {'lat': -8.368027029892723, 'lng': 114.2301316701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gantangan burung,ChIJI9z8RwBV0S0RvSEZfUy1qOc,0.0,ChIJI9z8RwBV0S0RvSEZfUy1qOc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,,,https://www.google.com/maps/place/?q=place_id:ChIJI9z8RwBV0S0RvSEZfUy1qOc
OPERATIONAL,"J6M7+RGC, Rimpis, Sumbersari, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471, Indonesia","{'location': {'lat': -8.3654457, 'lng': 114.2137646}, 'viewport': {'northeast': {'lat': -8.36446767010728, 'lng': 114.2155302298927}, 'southwest': {'lat': -8.367167329892723, 'lng': 114.2128305701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nara Garden Nusery 2,ChIJR3wje71V0S0RNb6HRYsnEn0,5.0,ChIJR3wje71V0S0RNb6HRYsnEn0,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103784128912309207358"">Ratno Hermawan</a>'], 'photo_reference': 'AUGGfZnnVGTPa0nYBZLBaVgP3KzTLs3qQoJdct09r-A9Iab3q0DqOUpoZkyNF3fHyf5KldCvuMFv4BHUruYDaRRNfCte7BQ2RlNh6duCmh5GRJvd637tBq4_vv9FRjO9CfqMt8ZrqzE_Vj-Y23ae-p_81ggmOWw4yDDomu0klt9KHIhdxk1w', 'width': 1800}]",,,https://www.google.com/maps/place/?q=place_id:ChIJR3wje71V0S0RNb6HRYsnEn0
OPERATIONAL,"Pmtai mustia, Kaligoro, Sukomaju, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471, Indonesia","{'location': {'lat': -8.380894699999999, 'lng': 114.2509376}, 'viewport': {'northeast': {'lat': -8.379684420107276, 'lng': 114.2522181798927}, 'southwest': {'lat': -8.38238407989272, 'lng': 114.2495185201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gua Mbedil Island,ChIJbbq4IlVX0S0RpsVkstY3kpo,0.0,ChIJbbq4IlVX0S0RpsVkstY3kpo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102916518227504744417"">A Google User</a>'], 'photo_reference': 'AUGGfZlGE0xfPYspmgn4ioqPq7kb5x8xuuOlzwwdBDhxT8mwaFCoz2aVRGTC-CeToBLioIiYmx2Df4i6Z2cIwspOQu4wHNfjEzJzyzzkUxky3Xl3yKgqgqtdNbozHr_fsCD4GCylmQ6Seey5RDTqRNVGKLZ6_fpwOZTHwWvSJrdqg9-mMXlv', 'width': 3024}]","{'compound_code': 'J792+J9 Sukomaju, Banyuwangi Regency, East Java, Indonesia', 'global_code': '6P3PJ792+J9'}",,https://www.google.com/maps/place/?q=place_id:ChIJbbq4IlVX0S0RpsVkstY3kpo
