business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"G9Q8+MF4, Kuala Lupak, Tabunganen, Barito Kuala Regency, South Kalimantan, Indonesia","{'location': {'lat': -3.4608524, 'lng': 114.3662177}, 'viewport': {'northeast': {'lat': -3.459412270107277, 'lng': 114.3680100798927}, 'southwest': {'lat': -3.462111929892722, 'lng': 114.3653104201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata banyu karuh,ChIJbUjgfwCn5i0RwPL_NyWwGA4,0.0,ChIJbUjgfwCn5i0RwPL_NyWwGA4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJbUjgfwCn5i0RwPL_NyWwGA4
OPERATIONAL,"H95H+JW9, Tanggul Rejo, Tabunganen, Barito Kuala Regency, South Kalimantan 70567, Indonesia","{'location': {'lat': -3.4409728, 'lng': 114.3798614}, 'viewport': {'northeast': {'lat': -3.439551570107278, 'lng': 114.3810008298927}, 'southwest': {'lat': -3.442251229892722, 'lng': 114.3783011701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Salman,ChIJ6SpdvDGn5i0Ru7f8AsL4FZ4,5.0,ChIJ6SpdvDGn5i0Ru7f8AsL4FZ4,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6SpdvDGn5i0Ru7f8AsL4FZ4
OPERATIONAL,"G9R8+39C, Kuala Lupak, Tabunganen, Barito Kuala Regency, South Kalimantan 70567, Indonesia","{'location': {'lat': -3.459825, 'lng': 114.3658827}, 'viewport': {'northeast': {'lat': -3.458512520107278, 'lng': 114.3673734798927}, 'southwest': {'lat': -3.461212179892722, 'lng': 114.3646738201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pesisir banyu karuh,ChIJwbz7MwCn5i0RG3rocldJNZc,0.0,ChIJwbz7MwCn5i0RG3rocldJNZc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJwbz7MwCn5i0RG3rocldJNZc
OPERATIONAL,"H98G+2HP, Kuala Lupak, Tabunganen, Barito Kuala Regency, South Kalimantan, Indonesia","{'location': {'lat': -3.4349012, 'lng': 114.3764591}, 'viewport': {'northeast': {'lat': -3.433522570107277, 'lng': 114.3777746298927}, 'southwest': {'lat': -3.436222229892722, 'lng': 114.3750749701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Empang Husna,ChIJudzjKLen5i0RHdf8RRfNJhc,5.0,ChIJudzjKLen5i0RHdf8RRfNJhc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 9280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104711899060141900409"">the parma</a>'], 'photo_reference': 'AUGGfZnbhKQQiC09urwt3xj3iYIaWmf7VzcgkJsQnPyv1k8QU8Oliy2WtA6tE0_m0AKQTH7e6_VpSYBExUxCAjiZTM3gld2s0IMPgSDTtVaJ8nxzpgTL_e7Y04nOSjcxB9twdCHd3BqsbFcjeiXqsw6RTphQn02njt08LUYX1cgTsoHmXfda', 'width': 6944}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJudzjKLen5i0RHdf8RRfNJhc
OPERATIONAL,"GC2P+5X, Kuala Lupak, Tabunganen, Barito Kuala Regency, South Kalimantan, Indonesia","{'location': {'lat': -3.4995405, 'lng': 114.4374638}, 'viewport': {'northeast': {'lat': -3.497623820107278, 'lng': 114.4383294}, 'southwest': {'lat': -3.500323479892722, 'lng': 114.434867}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Empang Bahagia,ChIJ-QP-FwCj5i0R2yf5zACo32w,0.0,ChIJ-QP-FwCj5i0R2yf5zACo32w,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-QP-FwCj5i0R2yf5zACo32w
OPERATIONAL,"H97P+3V, Tanggul Rejo, Tabunganen, Barito Kuala Regency, South Kalimantan, Indonesia","{'location': {'lat': -3.4372899, 'lng': 114.3871393}, 'viewport': {'northeast': {'lat': -3.435937470107278, 'lng': 114.3884876298927}, 'southwest': {'lat': -3.438637129892722, 'lng': 114.3857879701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Empang Abah Eko,ChIJOwfsKwCn5i0R7WHL5b4zczU,0.0,ChIJOwfsKwCn5i0R7WHL5b4zczU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 9024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109076949517078260637"">Eko Wahyudiarto</a>'], 'photo_reference': 'AUGGfZn3NmTQIDjnn8j0b_-FUOnMlIcbsGvVD02n_lq-GQgl-1GpKJPobkov4CdTynMTdYlF5NlRAYD7pyLIwGYn2wHGasAmCj31clv87pU9gZAlidIyBbEHorGYm-skqOx1jYLkh8N5f45HM5wNFABvHLElrkucYIaSO96yyilC_jMBRFUK', 'width': 12032}]",{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJOwfsKwCn5i0R7WHL5b4zczU
OPERATIONAL,"HFJR+9JG, Tabunganen Muara, Tabunganen, Barito Kuala Regency, South Kalimantan 70567, Indonesia","{'location': {'lat': -3.419609, 'lng': 114.490559}, 'viewport': {'northeast': {'lat': -3.418332970107278, 'lng': 114.4919575798927}, 'southwest': {'lat': -3.421032629892722, 'lng': 114.4892579201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muhammad nauval,ChIJkVCGHuah5i0RgzI7IKElFmU,5.0,ChIJkVCGHuah5i0RgzI7IKElFmU,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108329827640754780579"">A Google User</a>'], 'photo_reference': 'AUGGfZmUYTUeyiUpPZcqbQqP8_wrBNgxTEKXnxx9Glt2KAu6BGfpYSEcdojwkirDGnuJtjUgGzC11s9dPaEdExNKFCNMR7PEQYrh1KZVbkDalk-L1ruT27ap8zJBjibT7UejtxFVSDQRwslpGtXfYb2LAiK7zkuRhxhNi6SaIJkVfeO_pbm1', 'width': 1080}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJkVCGHuah5i0RgzI7IKElFmU
OPERATIONAL,"GC3Q+XJ5, Kuala Lupak, Tabunganen, Barito Kuala Regency, South Kalimantan 70567, Indonesia","{'location': {'lat': -3.49511, 'lng': 114.4391083}, 'viewport': {'northeast': {'lat': -3.493758270107278, 'lng': 114.4404805798927}, 'southwest': {'lat': -3.496457929892722, 'lng': 114.4377809201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Empang Burhan,ChIJp3k8yo6j5i0RclYGA1LA3Fs,5.0,ChIJp3k8yo6j5i0RclYGA1LA3Fs,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107949014929239761222"">Gangga Cihan</a>'], 'photo_reference': 'AUGGfZl4N5JqdqCsZfJlmWu_CmyS3Jotw6POFJph4HchPuL_SXWiVZKTfoIzEPd_gZ4YpWm2EKeiT6IOQXVagwB36lRPzT2GjMX3V-4eA75p1D0ad5oHXKlTyZneFaHPnlPdKCMTd7vOaV-WcE_oLebMJjUg3CEXLjkHMIFpIUNtDHsdRNaC', 'width': 3472}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJp3k8yo6j5i0RclYGA1LA3Fs
OPERATIONAL,"Kuala Lupak, Tabunganen, Barito Kuala Regency, South Kalimantan 70567, Indonesia","{'location': {'lat': -3.4598962, 'lng': 114.3658666}, 'viewport': {'northeast': {'lat': -3.458531920107278, 'lng': 114.3673651798927}, 'southwest': {'lat': -3.461231579892722, 'lng': 114.3646655201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pesisir Lupak Luar,ChIJS8bUYoen5i0RIBhV0gE4QLU,4.4,ChIJS8bUYoen5i0RIBhV0gE4QLU,"['tourist_attraction', 'point_of_interest', 'establishment']",18,"[{'height': 3308, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115024259872204445746"">Masruni Qybit</a>'], 'photo_reference': 'AUGGfZlP9vZhhC4AWsdq-PIYX9-TfOYKWXQEezRCHYMlPYbZ1sxmHYkULVDyEAjobYXg6DvYELqYRj-Vv7qaQ_W0ZuNvNDipJZP3v4TMAf0F4Da94K_DCFQr_zGr6As7AMe-rMWwxmB-v2V0i_zoll6A_FrtSCVgebWirn5KqxAAr6rYkRJm', 'width': 1860}]",{'open_now': True},"{'compound_code': 'G9R8+28 Kuala Lupak, Barito Kuala Regency, South Kalimantan, Indonesia', 'global_code': '6P8PG9R8+28'}",,https://www.google.com/maps/place/?q=place_id:ChIJS8bUYoen5i0RIBhV0gE4QLU
OPERATIONAL,"HGP2+6CR, Tabunganen Muara, Tabunganen, Barito Kuala Regency, South Kalimantan 70567, Indonesia","{'location': {'lat': -3.4143944, 'lng': 114.5010091}, 'viewport': {'northeast': {'lat': -3.413044570107278, 'lng': 114.5023589298927}, 'southwest': {'lat': -3.415744229892722, 'lng': 114.4996592701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Kaget,ChIJW6crIXOg5i0RTEjamUoKzaI,4.4,ChIJW6crIXOg5i0RTEjamUoKzaI,"['tourist_attraction', 'point_of_interest', 'establishment']",30,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113818094487194820994"">Semut Merah</a>'], 'photo_reference': 'AUGGfZnNqzTHMbOW8EEPv2MaPiSScc3awU40MXA36VWO_KCbaozcqyYCX4OM9wFqXuUY2OCtgG3toKWlkVnbZimmSDJDzkxg-A29bVaStNMrKapOqkh6XkXDcrnpcjUINNrsheVCtKcthcJNIf4L6Pbi2hGFi2p4WXunduF2orCmu7__skER', 'width': 4080}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJW6crIXOg5i0RTEjamUoKzaI
OPERATIONAL,"H9MJ+VG, Tanggul Rejo, Tabunganen, Barito Kuala Regency, South Kalimantan, Indonesia","{'location': {'lat': -3.4153252, 'lng': 114.3813044}, 'viewport': {'northeast': {'lat': -3.413975420107278, 'lng': 114.3826538798927}, 'southwest': {'lat': -3.416675079892722, 'lng': 114.3799542201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam kiri,ChIJS7rMkFyn5i0R0sqvlXKgATY,0.0,ChIJS7rMkFyn5i0R0sqvlXKgATY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJS7rMkFyn5i0R0sqvlXKgATY
