business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,permanently_closed,url
OPERATIONAL,"77H5+3G, Muara Bulian, Batang Hari Regency, Jambi, Indonesia","{'location': {'lat': -1.7220347, 'lng': 103.2582929}, 'viewport': {'northeast': {'lat': -1.720248970107278, 'lng': 103.2593953798927}, 'southwest': {'lat': -1.722948629892722, 'lng': 103.2566957201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Letang Lake,ChIJTw7op-d1Ly4RKREf4-aWrm0,0.0,ChIJTw7op-d1Ly4RKREf4-aWrm0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJTw7op-d1Ly4RKREf4-aWrm0
OPERATIONAL,"Simpang Pete Pal 5, Rengas Condong, Kec. Muara Bulian, Kabupaten Batang Hari, Jambi 36611, Indonesia","{'location': {'lat': -1.7366176, 'lng': 103.2922339}, 'viewport': {'northeast': {'lat': -1.734976670107278, 'lng': 103.2934293298927}, 'southwest': {'lat': -1.737676329892722, 'lng': 103.2907296701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Wisata Sungai Bujang Simpang Pete Muara Bulian,ChIJI4PDsQt3Ly4RaTFkDRsxb6Y,4.1,ChIJI4PDsQt3Ly4RaTFkDRsxb6Y,"['tourist_attraction', 'point_of_interest', 'establishment']",187,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102258716656005258837"">shopian hadi</a>'], 'photo_reference': 'AUGGfZlsCZ0ylUlDsgVtzl1zpzYuPb9wkhXNhdCD3EXrHgttczQxyMsUfH4PE_bc0azNRmUh_2-fm4Nx1zJblFAgkwsAgDbKCsOfwAvSlQUS8HYbg50VRaAXZiEim0qatbfB2atbQkO-0mjwcbH5kkckNXQo96gYLTqs0f5z2vP37eoSeCJR', 'width': 4160}]","{'compound_code': '777R+9V Rengas Condong, Batang Hari Regency, Jambi, Indonesia', 'global_code': '6PC5777R+9V'}",,https://www.google.com/maps/place/?q=place_id:ChIJI4PDsQt3Ly4RaTFkDRsxb6Y
OPERATIONAL,"77H5+F3W, Jl. Pramuka, Muara Bulian, Kec. Muara Bulian, Kabupaten Batang Hari, Jambi 36613, Indonesia","{'location': {'lat': -1.7212616, 'lng': 103.2577059}, 'viewport': {'northeast': {'lat': -1.719906470107278, 'lng': 103.2590524798927}, 'southwest': {'lat': -1.722606129892722, 'lng': 103.2563528201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Danau Letang,ChIJITBcnTZ1Ly4RkHr9gAzzJg8,4.3,ChIJITBcnTZ1Ly4RkHr9gAzzJg8,"['tourist_attraction', 'point_of_interest', 'establishment']",160,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102258716656005258837"">shopian hadi</a>'], 'photo_reference': 'AUGGfZkaPSCfvE2hHW3Cgo1bgGGWvG1GuT7z7b76kFvxV9a8Lb-e4MjcbAChugkGXbKBEbfztb6nI2LVAW_TJrm4IR4_v31p3_7m6TvF7QLwXaWkOSUBD4YGfD0iV3nEwvf1GsuEsaHemdsDTUYQsHrYQyYpPDii0jgahDoLNIdtbG5ruEib', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJITBcnTZ1Ly4RkHr9gAzzJg8
OPERATIONAL,"76PX+G49, Pasar Baru, Muara Bulian, Batang Hari Regency, Jambi, Indonesia","{'location': {'lat': -1.7137223, 'lng': 103.2478514}, 'viewport': {'northeast': {'lat': -1.712556870107278, 'lng': 103.2493073798927}, 'southwest': {'lat': -1.715256529892722, 'lng': 103.2466077201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lubuk martin,ChIJSbMjgux1Ly4RSNTfDob3Q_w,0.0,ChIJSbMjgux1Ly4RSNTfDob3Q_w,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJSbMjgux1Ly4RSNTfDob3Q_w
OPERATIONAL,"84CQ+5QF city, Ps. Terusan, Kec. Muara Bulian, Kabupaten Batang Hari, Jambi, Indonesia","{'location': {'lat': -1.6795591, 'lng': 103.139435}, 'viewport': {'northeast': {'lat': -1.678068620107277, 'lng': 103.1405437298927}, 'southwest': {'lat': -1.680768279892722, 'lng': 103.1378440701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Istana Wak cil,ChIJyTvvlwMNLy4RN25om5iV4gc,0.0,ChIJyTvvlwMNLy4RN25om5iV4gc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,,,https://www.google.com/maps/place/?q=place_id:ChIJyTvvlwMNLy4RN25om5iV4gc
OPERATIONAL,"77WJ+J9X, Teratai, Muara Bulian, Batang Hari Regency, Jambi 36612, Indonesia","{'location': {'lat': -1.7033967, 'lng': 103.2809928}, 'viewport': {'northeast': {'lat': -1.702035520107278, 'lng': 103.2822923798927}, 'southwest': {'lat': -1.704735179892722, 'lng': 103.2795927201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun sawit Zulkarnaini Yulyaming,ChIJaZA-uglxLy4RInrkxZ0l720,0.0,ChIJaZA-uglxLy4RInrkxZ0l720,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJaZA-uglxLy4RInrkxZ0l720
OPERATIONAL,"973G+HVJ, Aro, Muara Bulian, Batang Hari Regency, Jambi 36611, Indonesia","{'location': {'lat': -1.644927, 'lng': 103.2776843}, 'viewport': {'northeast': {'lat': -1.643577520107278, 'lng': 103.2790341798927}, 'southwest': {'lat': -1.646277179892722, 'lng': 103.2763345201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Ikan Nila,ChIJd-YvEqhxLy4RjvWfYpviGQI,0.0,ChIJd-YvEqhxLy4RjvWfYpviGQI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116306505066792615149"">A Google User</a>'], 'photo_reference': 'AUGGfZku_2PR0qP3qoFoFqY9QNmtr1Fwh5YLjEWH3YrRqi36LW_lZwBcN5KIQ3Nm2wdjM6ynwOASMAS4os6FgdkkFP_8QhC3vsFpaJdFGZxApV7pCQ0bSoVe30YX31IPlLj82mNZ_xFNVuPE1sUwdeRUxYRBLnqk1YfUCuY0RccPvK6ti49_', 'width': 1600}]",,,https://www.google.com/maps/place/?q=place_id:ChIJd-YvEqhxLy4RjvWfYpviGQI
OPERATIONAL,"Unnamed Road, Sungai Baung, Kec. Muara Bulian, Kabupaten Batang Hari, Jambi 36657, Indonesia","{'location': {'lat': -1.6432567, 'lng': 103.2878452}, 'viewport': {'northeast': {'lat': -1.641900120107278, 'lng': 103.2891827798927}, 'southwest': {'lat': -1.644599779892722, 'lng': 103.2864831201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PENYEBRANGAN SEI BAUNG,ChIJOQXGknpxLy4Rt21PfRcXykg,4.5,ChIJOQXGknpxLy4Rt21PfRcXykg,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103015206210352355595"">A Google User</a>'], 'photo_reference': 'AUGGfZk-ZmBor9OoPzTd7z_iRwSN7Yn4J6bOKWbINMw50jgevHKjLys23PXdA0JotV3Vs3-Fq0pVQv31jv7BN-Mr5nf04nHQcCi6BcHCExgrp0_X2fYn7nDxXcfuL449GmHkUk6Z7CBqTorW9KHY9PR8aB7v9Cht2JDhB1gBDShRr3qQz1cY', 'width': 4000}]","{'compound_code': '974Q+M4 Sungai Baung, Batang Hari Regency, Jambi, Indonesia', 'global_code': '6PC5974Q+M4'}",,https://www.google.com/maps/place/?q=place_id:ChIJOQXGknpxLy4Rt21PfRcXykg
OPERATIONAL,"Jln.Ex.MTQ.masuk Perumahan Rt.35, Muara Bulian, Kec. Muara Bulian, Kabupaten Batang Hari, Jambi 36613, Indonesia","{'location': {'lat': -1.7292375, 'lng': 103.2635787}, 'viewport': {'northeast': {'lat': -1.72791335, 'lng': 103.2644657798927}, 'southwest': {'lat': -1.73320995, 'lng': 103.2617661201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Keluarga,ChIJb4moEqx1Ly4RFQvQQ3Rsuzk,3.7,ChIJb4moEqx1Ly4RFQvQQ3Rsuzk,"['tourist_attraction', 'point_of_interest', 'establishment']",3,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101436984337419010854"">A Google User</a>'], 'photo_reference': 'AUGGfZkG2DeGYBh1RJ3xgDsl25NkfNcC2RTcgOIZ6tSbG1F-ptSHXK6LyY74orkom3ZMMyuP6W8YJDCFuNQaiJtanGFgBSH1ZvqHIBETTuR3QO_oi-c3gciCCIcDsNMBLPcc8Ig3TYc4NCwCaQmSBy5gAy0TnXUY3atPwhWq0cm-X02M9_l2', 'width': 2128}]","{'compound_code': '77C7+8C Muara Bulian, Batang Hari Regency, Jambi, Indonesia', 'global_code': '6PC577C7+8C'}",,https://www.google.com/maps/place/?q=place_id:ChIJb4moEqx1Ly4RFQvQQ3Rsuzk
OPERATIONAL,"982H+H3F, Jl. Jambi - Muara Bulian, Tebing Tinggi, Kec. Pemayung, Kabupaten Batang Hari, Jambi 36657, Indonesia","{'location': {'lat': -1.6485546, 'lng': 103.3276822}, 'viewport': {'northeast': {'lat': -1.647208370107278, 'lng': 103.3290322798927}, 'southwest': {'lat': -1.649908029892722, 'lng': 103.3263326201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,jembatan peneradan,ChIJCdABjP1xLy4RgovC-afjKcc,4.3,ChIJCdABjP1xLy4RgovC-afjKcc,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108946850480330901978"">Noor Achmad Wahyudha</a>'], 'photo_reference': 'AUGGfZlro_o0uoqggMPYcoSMi95bzn1MuUvTN5OKyCF6sL9kHA2ZE1v_UAtdT_zzBiPairvfUlr5dU3rzXRrGm-XjbVKbQTasi6V_EbQlZu79vFa108ff4bFrYR-2z4nCgUj0bD0P6Kw9Tq4o5MjsDM9gr7yVcpzRBCPe0i50xYLIrSRUOGl', 'width': 3968}]",,,https://www.google.com/maps/place/?q=place_id:ChIJCdABjP1xLy4RgovC-afjKcc
