business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"XXGW+5MQ, Pantai Mekar, Muara Gembong, Bekasi Regency, West Java 17730, Indonesia","{'location': {'lat': -6.0245328, 'lng': 106.9967242}, 'viewport': {'northeast': {'lat': -6.023182970107278, 'lng': 106.9980740298927}, 'southwest': {'lat': -6.025882629892722, 'lng': 106.9953743701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ecotourism Mangrove Forest Bloom Beach,{'open_now': False},"[{'height': 2576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111284977984931996551"">Abiyyu MH</a>'], 'photo_reference': 'AUGGfZnFvue04yz-j2gPJHnf9W2Km1yqZnfJSx0exh6YjWKRBxTpYB3JgUfxPKNhCToDyVKmEK33_VWraWfEsT8l60MWXiT9uSvYu3o1pdOMkXxb_M38rVZAetZuDxu5fGTZYHbjOl_OMy8G2zaDGBtbDidRW2Uhw2BkRi9xX65Jr06tf66z', 'width': 3872}]",ChIJkbDVvo0jai4RvwBh7OFV5tU,3.9,ChIJkbDVvo0jai4RvwBh7OFV5tU,"['tourist_attraction', 'point_of_interest', 'establishment']",235,,,https://www.google.com/maps/place/?q=place_id:ChIJkbDVvo0jai4RvwBh7OFV5tU
OPERATIONAL,"3399+2VG Muarabungin, Pantai Bakti, Kec. Muara Gembong, Kabupaten Bekasi, Jawa Barat 17730, Indonesia","{'location': {'lat': -5.932437999999999, 'lng': 107.0696972}, 'viewport': {'northeast': {'lat': -5.931088170107278, 'lng': 107.0710470298927}, 'southwest': {'lat': -5.933787829892721, 'lng': 107.0683473701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Muara Bungin Bekasi,{'open_now': True},"[{'height': 853, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109929862297514949720"">Syaiful BS</a>'], 'photo_reference': 'AUGGfZmx8eGiub8AZZdQVRPn2PxA0asIYL0RtsMMqoul54iqOWlgxg3NIFIxMVCSu4MO-GnW45dLkHOS4KDVzXRTCSEWIi0Z4In7d-es3r6Powu-rMXW80fVeeaFMTo2BkYvWk2xg5cK63mqBLf5RpkhSUJLZQwPGs5dvkT6LnuAZsfc5M2G', 'width': 1280}]",ChIJO0k2kWQ7ai4RPAJFBxg6cPE,4.5,ChIJO0k2kWQ7ai4RPAJFBxg6cPE,"['tourist_attraction', 'point_of_interest', 'establishment']",57,,,https://www.google.com/maps/place/?q=place_id:ChIJO0k2kWQ7ai4RPAJFBxg6cPE
OPERATIONAL,"3X7V+32R, Pantai Bahagia, Muara Gembong, Bekasi Regency, West Java 17730, Indonesia","{'location': {'lat': -5.937261700000001, 'lng': 106.9925133}, 'viewport': {'northeast': {'lat': -5.936160770107278, 'lng': 106.9940367298927}, 'southwest': {'lat': -5.938860429892721, 'lng': 106.9913370701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Kawasan Konservasi Satwa Muara Gembong,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107866174687181214335"">Ahmad Qurtubi</a>'], 'photo_reference': 'AUGGfZnOHrviRph2FXKT__h2B8gmLGdLen9_D-neTvS96yUQEZUUeMQ6yhb1deisyDhyxNVGXHb4Hr49NjplWQTNb7UrBKGDj0ykF7ApFKV4xl4QOyZx-3s96xItUD6lMAPbnwpADlCUeSnPb6UK-1bv-M-SK_FSbvRDhUu30-iR2alzuPhG', 'width': 4000}]",ChIJAT4BL5A8ai4R-P8_1afTjmI,4.6,ChIJAT4BL5A8ai4R-P8_1afTjmI,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",29,,,https://www.google.com/maps/place/?q=place_id:ChIJAT4BL5A8ai4R-P8_1afTjmI
OPERATIONAL,"22RG+XP2, Desa pantai Bahagia, Kemcamatan, Pantai Bahagia, Kec. Muara Gembong, Kabupaten Bekasi, Jawa Barat 17730, Indonesia","{'location': {'lat': -5.95761, 'lng': 107.02677}, 'viewport': {'northeast': {'lat': -5.954506499999999, 'lng': 107.0278590298927}, 'southwest': {'lat': -5.9586445, 'lng': 107.0251593701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Muara Beting,{'open_now': False},"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108891582012375513088"">Iyonk Attar</a>'], 'photo_reference': 'AUGGfZmuUn35esha49mON77Zf8sfTRLrD4hA7iFjd7z14IvoGVW0NOiVrR_wl_r3o3s8X7fEdOQJEppqrkmJpY8zEj__PejqcvcAQWkqFlD4VLf0h5ILRSu-fYwE74ygfNo5yLyFTZB6zrZnvKIQHGWq9djGA7BnaXk52xYDs62RLDivhrtX', 'width': 2304}]",ChIJXVUv8kg7ai4RP9nAn76WhSU,3.3,ChIJXVUv8kg7ai4RP9nAn76WhSU,"['tourist_attraction', 'point_of_interest', 'establishment']",35,,,https://www.google.com/maps/place/?q=place_id:ChIJXVUv8kg7ai4RP9nAn76WhSU
OPERATIONAL,"X2GF+4CV, Pantai Harapanjaya, Muara Gembong, Bekasi Regency, West Java 17730, Indonesia","{'location': {'lat': -6.024625599999999, 'lng': 107.0235411}, 'viewport': {'northeast': {'lat': -6.023269520107278, 'lng': 107.0248775298927}, 'southwest': {'lat': -6.025969179892722, 'lng': 107.0221778701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hutan Mangrove Muara Blacan,{'open_now': True},"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111012219183238076296"">sadikin achmad</a>'], 'photo_reference': 'AUGGfZkRXNMTPnYBd5bC3F-YpvSqia4l1OkOcJOedpHG74jp9p107KttEhFiUZ5UXWT7394c-uOKG-0HxOafNtH6faw3OLRAf2HiX-ptIIpOEHYn3t6DjD6ssqMKELHHFhug0f7ZVxp7c4xmXuybVr-xT6pT8eykjJmqFdbmGiF8EQezOERK', 'width': 1040}]",ChIJ7bLiYmwkai4RQI8Uccp0mvo,4.4,ChIJ7bLiYmwkai4RQI8Uccp0mvo,"['tourist_attraction', 'point_of_interest', 'establishment']",434,,,https://www.google.com/maps/place/?q=place_id:ChIJ7bLiYmwkai4RQI8Uccp0mvo
OPERATIONAL,"X2PF+XF, Pantai Mekar, Muara Gembong, Bekasi Regency, West Java, Indonesia","{'location': {'lat': -6.0126919, 'lng': 107.0235954}, 'viewport': {'northeast': {'lat': -6.011335170107278, 'lng': 107.0249285798927}, 'southwest': {'lat': -6.014034829892722, 'lng': 107.0222289201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Raja Terakhir,,,ChIJubB8egAlai4Rvoe2xfAy1lc,0.0,ChIJubB8egAlai4Rvoe2xfAy1lc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJubB8egAlai4Rvoe2xfAy1lc
OPERATIONAL,"X29G+XV, Pantai Harapanjaya, Muara Gembong, Bekasi Regency, West Java, Indonesia","{'location': {'lat': -6.029999999999999, 'lng': 107.027167}, 'viewport': {'northeast': {'lat': -6.028650170107277, 'lng': 107.0285168298927}, 'southwest': {'lat': -6.03134982989272, 'lng': 107.0258171701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tambak pak de,,,ChIJOfyUEzYlai4R4vtbnUBrBDU,4.0,ChIJOfyUEzYlai4R4vtbnUBrBDU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJOfyUEzYlai4R4vtbnUBrBDU
OPERATIONAL,"XXGW+WPX, Pantai Sederhana, Muara Gembong, Bekasi Regency, West Java, Indonesia","{'location': {'lat': -6.022639, 'lng': 106.9968699}, 'viewport': {'northeast': {'lat': -6.021289170107279, 'lng': 106.9982197298927}, 'southwest': {'lat': -6.023988829892723, 'lng': 106.9955200701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ekowisata saung alas,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113236111082539633803"">asep fingerstyle</a>'], 'photo_reference': 'AUGGfZm0dqUiqaCS5rYD7guhM1AHcvqHaCbXgtsn-1i_kSEkpO0dCD8uIbaXE-VWuiANHde9KD_X7iBj-jOqmWYaV9bCUKbwln8Fho2uVNa91Ux70AkufreOniK4iRpEdBkrf4pqHh-SKj_LP1O5JSagWR4ZIeoZo6po7A19DUCrcVvJ9NIq', 'width': 4000}]",ChIJRY6PUmAjai4Rort4mU9mJjw,4.4,ChIJRY6PUmAjai4Rort4mU9mJjw,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,,https://www.google.com/maps/place/?q=place_id:ChIJRY6PUmAjai4Rort4mU9mJjw
OPERATIONAL,"X25P+5VV, Pantai Harapanjaya, Muara Gembong, Bekasi Regency, West Java 17730, Indonesia","{'location': {'lat': -6.0420112, 'lng': 107.0371817}, 'viewport': {'northeast': {'lat': -6.040635220107278, 'lng': 107.0385140298927}, 'southwest': {'lat': -6.043334879892722, 'lng': 107.0358143701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Empang ABU NAWAZ,,,ChIJ4WxaR-0lai4R9NUae0ckivM,5.0,ChIJ4WxaR-0lai4R9NUae0ckivM,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJ4WxaR-0lai4R9NUae0ckivM
OPERATIONAL,"X26V+5P, Pantai Harapanjaya, Muara Gembong, Bekasi Regency, West Java, Indonesia","{'location': {'lat': -6.0395255, 'lng': 107.0442695}, 'viewport': {'northeast': {'lat': -6.038136320107278, 'lng': 107.0456406298927}, 'southwest': {'lat': -6.040835979892722, 'lng': 107.0429409701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancinga ibu karwati,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110859939503868878208"">Bagus Riadi</a>'], 'photo_reference': 'AUGGfZko-HbvBPWLsKREhRdY5i7BaKlVSTX6o59SkTkuvtTRUJ7gOCD6odaQSTnPFxL9u3D4zaE581G2naMgHiRitQ3A3KRwutZrqaEHYNYcY5wPb5KcgiLKZ9b4T7cg3fFH_8qVVhrAlDRRBze_E-gzwJPbz_NPSOzSWme6ErlFjmjGUUis', 'width': 1080}]",ChIJ3SlPcwAlai4RUmXYDSFBPYo,5.0,ChIJ3SlPcwAlai4RUmXYDSFBPYo,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJ3SlPcwAlai4RUmXYDSFBPYo
