business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"V347+3P, Sukamekar, Sukawangi, Bekasi Regency, West Java, Indonesia","{'location': {'lat': -6.1448125, 'lng': 107.0643125}, 'viewport': {'northeast': {'lat': -6.143414570107278, 'lng': 107.0656744298927}, 'southwest': {'lat': -6.146114229892722, 'lng': 107.0629747701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nai,ChIJa40Ekv-JaS4RugIINZIcnYs,0.0,ChIJa40Ekv-JaS4RugIINZIcnYs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJa40Ekv-JaS4RugIINZIcnYs
OPERATIONAL,"V3C6+PGM, Jl. Raya Kali CBL, Sukamekar, Kec. Sukawangi, Kabupaten Bekasi, Jawa Barat 17620, Indonesia","{'location': {'lat': -6.1282139, 'lng': 107.0610944}, 'viewport': {'northeast': {'lat': -6.126895320107279, 'lng': 107.0624414298927}, 'southwest': {'lat': -6.129594979892723, 'lng': 107.0597417701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BV-14,ChIJv15oewCJaS4RBka_3XSw_uQ,0.0,ChIJv15oewCJaS4RBka_3XSw_uQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJv15oewCJaS4RBka_3XSw_uQ
OPERATIONAL,"W3F8+WH, Sukatenang, Sukawangi, Bekasi Regency, West Java, Indonesia","{'location': {'lat': -6.0752144, 'lng': 107.0664899}, 'viewport': {'northeast': {'lat': -6.07362202010728, 'lng': 107.0678672798927}, 'southwest': {'lat': -6.076321679892724, 'lng': 107.0651676201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ISTANA GOIB,ChIJqwvqPAAnai4Rypr4sjau9zY,0.0,ChIJqwvqPAAnai4Rypr4sjau9zY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104615494220240622283"">A Google User</a>'], 'photo_reference': 'AUGGfZnrdCSPkviUWICrjeq255MobZuPckHVRedJGp43jdL0Q8z4Kog9XF-7jYXbFrbcG18588VNnZviyeJCs6bgiItlHfYljVOxF6ZUrM8UOKCuiExhOwD86EL1NInlVGHgNA2xhTvueOBgYa5ldvzjuOaGaJaRh96y23iyryHLVt8CatZz', 'width': 3120}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJqwvqPAAnai4Rypr4sjau9zY
OPERATIONAL,"V3PP+2W, Sukatenang, Sukawangi, Bekasi Regency, West Java, Indonesia","{'location': {'lat': -6.114971, 'lng': 107.087327}, 'viewport': {'northeast': {'lat': -6.113621170107277, 'lng': 107.0886768298927}, 'southwest': {'lat': -6.116320829892721, 'lng': 107.0859771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bbo spot jaer dan lukas,ChIJn4ZywyMnai4RWgdh2Dw7LMU,5.0,ChIJn4ZywyMnai4RWgdh2Dw7LMU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112425802626698524335"">A Google User</a>'], 'photo_reference': 'AUGGfZlt-b7JdlGP-u4Q3t0cxkMKg4klRS35rn-zdas3S8oP29qCckF9--br2ZdducU16F4yxHLL5WaqqSi0B7MeIV2uzcaafuWAAJVS5wVgSLkJ4FqKTGALWycvWcA1uVWDwMYi6y0gW-620kAiJUMbDzEhfce3hgZtW2kndYoTkCknk-pr', 'width': 720}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJn4ZywyMnai4RWgdh2Dw7LMU
OPERATIONAL,"W399+F68 Spot Pemancingan Dan Camp Enjoy, Sukatenang, Kec. Sukawangi, Kabupaten Bekasi, Jawa Barat 17620, Indonesia","{'location': {'lat': -6.0820192, 'lng': 107.0682079}, 'viewport': {'northeast': {'lat': -6.080668470107278, 'lng': 107.0695408798927}, 'southwest': {'lat': -6.083368129892722, 'lng': 107.0668412201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Piket Panoramaic,ChIJtWQGUwAnai4RvYrRLwawLoQ,0.0,ChIJtWQGUwAnai4RvYrRLwawLoQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJtWQGUwAnai4RvYrRLwawLoQ
OPERATIONAL,"Indonesia, West Java, Bekasi Regency, Sukawangi, Sukamekar, 勿加泗，西爪哇省勿加泗 Sukawangi, Sukamekar, 邮政编码:KaliBekasi和KaliCikeas北部交汇处邮政编码:, 17620, Indonesia","{'location': {'lat': -6.127186099999999, 'lng': 107.0601333}, 'viewport': {'northeast': {'lat': -6.125866120107278, 'lng': 107.0618630298927}, 'southwest': {'lat': -6.128565779892722, 'lng': 107.0591633701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Cikeas,ChIJo4ldQgAnai4RbFQzJaYas6Q,0.0,ChIJo4ldQgAnai4RbFQzJaYas6Q,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJo4ldQgAnai4RbFQzJaYas6Q
OPERATIONAL,"kp.pondok soga Rt005/003 desa, Pantai Hurip, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610, Indonesia","{'location': {'lat': -6.0782891, 'lng': 107.0574115}, 'viewport': {'northeast': {'lat': -6.076921620107278, 'lng': 107.0587850798927}, 'southwest': {'lat': -6.079621279892722, 'lng': 107.0560854201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpangan muara blacan,ChIJb89WugInai4R2CSHSq0iCJU,0.0,ChIJb89WugInai4R2CSHSq0iCJU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,"{'compound_code': 'W3C4+MX Pantai Hurip, Bekasi Regency, West Java, Indonesia', 'global_code': '6P59W3C4+MX'}",,https://www.google.com/maps/place/?q=place_id:ChIJb89WugInai4R2CSHSq0iCJU
OPERATIONAL,"R4HF+H88, Sukarahayu, Tambelang, Bekasi Regency, West Java 17620, Indonesia","{'location': {'lat': -6.1713587, 'lng': 107.1229414}, 'viewport': {'northeast': {'lat': -6.169973420107278, 'lng': 107.1242980798927}, 'southwest': {'lat': -6.172673079892721, 'lng': 107.1215984201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yukima 3 tahun,ChIJ6R1Y9U2HaS4RTwEt24ljLI8,1.0,ChIJ6R1Y9U2HaS4RTwEt24ljLI8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6R1Y9U2HaS4RTwEt24ljLI8
OPERATIONAL,"V448+CM3, Sukabakti, Tambelang, Bekasi Regency, West Java 17620, Indonesia","{'location': {'lat': -6.143819, 'lng': 107.1165889}, 'viewport': {'northeast': {'lat': -6.142519720107278, 'lng': 107.1179148298927}, 'southwest': {'lat': -6.145219379892722, 'lng': 107.1152151701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PEMANCINGAN BALONG JAER,ChIJmSscdE6HaS4R4apUL3Uepvo,4.3,ChIJmSscdE6HaS4R4apUL3Uepvo,"['tourist_attraction', 'point_of_interest', 'establishment']",6,"[{'height': 2400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118412115922546379168"">A Google User</a>'], 'photo_reference': 'AUGGfZnXV-pHEh_vlX6aW21LMUPoQwRjtp51FkhgpXZKQGWjuz8RDlIiYsTGRcF1PN03LwFV7su9WcqigZyLtHxo32eSnN2yNgm5t6UmvXaJ_QlpIm4gCQl4gCelDIi8PL3dqU3CUPapnzcaaWcsEdN0C1Hb_ggXbVievDZ6dFeLe5ebz0-F', 'width': 3200}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJmSscdE6HaS4R4apUL3Uepvo
OPERATIONAL,"kampung pulo kecil lor rt02 rw 02, desa, Sukawijaya, Kec. Tambelang, Kabupaten Bekasi, Jawa Barat 17620, Indonesia","{'location': {'lat': -6.1532038, 'lng': 107.1454981}, 'viewport': {'northeast': {'lat': -6.151788920107278, 'lng': 107.1462188798927}, 'southwest': {'lat': -6.154488579892722, 'lng': 107.1435192201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Wisata Kali Doser,ChIJ43cDUrSHaS4RhxnIAeBILqs,4.0,ChIJ43cDUrSHaS4RhxnIAeBILqs,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1952, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107746054484933597241"">A Google User</a>'], 'photo_reference': 'AUGGfZkm6roZ9EAWtEdecjgB_ZMolKSIpsIx-01i3SaOZXXIuZLCk5-lGb30-oe106N4ndmPLuyVMajaWds-IM8I_hSL2HCep6OD_Nb_Uk3bE46UPYkyXl7OpdurikzT-1FyjFZudY-pqLEX42pEH5JGDXBBhWCzLBedLh_nvN9gfmzv2c4I', 'width': 4160}]",{'open_now': True},"{'compound_code': 'R4WW+P5 Sukawijaya, Bekasi Regency, West Java, Indonesia', 'global_code': '6P59R4WW+P5'}",,https://www.google.com/maps/place/?q=place_id:ChIJ43cDUrSHaS4RhxnIAeBILqs
