business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,price_level,url
OPERATIONAL,"CXJ2+739, Dusun Mengguru, Cendil, Kec. Klp. Kampit, Kabupaten Belitung Timur, Kepulauan Bangka Belitung 33571, Indonesia","{'location': {'lat': -2.5693488, 'lng': 107.9502322}, 'viewport': {'northeast': {'lat': -2.567996770107278, 'lng': 107.9515600798927}, 'southwest': {'lat': -2.570696429892722, 'lng': 107.9488604201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Pulas Beach,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110418630084719432050"">icelivio</a>'], 'photo_reference': 'AUGGfZlCIns_Ms3OA5WLWWfCMSHDSP_sgauAjVKXZAY5ev3pwbBS0gR4hCx-r8JZtqHmZLf8zrnR9QRaMFHB0h_d7pCcEMmoKr_7-4aTPTg_q5wmz2b-2ZU9qeDmBycP9YxVRGTFU_jszAebtroVk56LdZOOLoW-4n1HFAN7_EKsTboWtbnJ', 'width': 1920}]",ChIJTSO9GwZJFy4RPhFVRv735o0,4.4,ChIJTSO9GwZJFy4RPhFVRv735o0,"['tourist_attraction', 'point_of_interest', 'establishment']",49.0,,,https://www.google.com/maps/place/?q=place_id:ChIJTSO9GwZJFy4RPhFVRv735o0
OPERATIONAL,"8WQH+4Q9, Cendil, Kelapa Kampit, East Belitung Regency, Bangka Belitung Islands, Indonesia","{'location': {'lat': -2.6622246, 'lng': 107.9294815}, 'viewport': {'northeast': {'lat': -2.660874770107278, 'lng': 107.9308313298927}, 'southwest': {'lat': -2.663574429892722, 'lng': 107.9281316701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gusong keladi,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105120893218522460102"">A Google User</a>'], 'photo_reference': 'AUGGfZn85DdAWKiO1xbC9uZTrka2I57WSee5XB8G4WAgOG5IlIgGudLcC_a7s6S0U8DT24GnSZowAVv_6BAn03jfD1iIueo4U85IcVKlNSygh5edeapchdWlij92SsXG94ZUXnOWxtrlNOcGo-JcebYn6VQZ0wHOQPDXqEMnBFSA8q-Krlpe', 'width': 1080}]",ChIJHYGcXAA3Fy4RXQ-gO9xXZgs,0.0,ChIJHYGcXAA3Fy4RXQ-gO9xXZgs,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJHYGcXAA3Fy4RXQ-gO9xXZgs
OPERATIONAL,"8WFP+4F4, Jl. Raya Sijuk, Cendil, Kec. Klp. Kampit, Kabupaten Belitung Timur, Kepulauan Bangka Belitung 33571, Indonesia","{'location': {'lat': -2.677245, 'lng': 107.936193}, 'viewport': {'northeast': {'lat': -2.676015470107278, 'lng': 107.9374980798927}, 'southwest': {'lat': -2.678715129892722, 'lng': 107.9347984201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GEOSITE HUTAN KERANGAS CENDIL,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112616147448671809962"">A Google User</a>'], 'photo_reference': 'AUGGfZmLBxCsDRmqh_-RoKEgj_qltUBbvte0Wx2v3R0SAe_ZKclN67bbWBEyXvPvci4e4qdUieuFXwf-xH2uwGhf8Vtx7MJ_rI6nugQ5vKzYxdF7H4YENU2_sS-vQyCxAISBEol9FkDHFEKRK6HQgNV1v-n_kQ7wskk1RPaJqon5dDVY00Oc', 'width': 4032}]",ChIJ7RghnmM2Fy4RML8q1kzvu-0,4.5,ChIJ7RghnmM2Fy4RML8q1kzvu-0,"['tourist_attraction', 'point_of_interest', 'establishment']",39.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ7RghnmM2Fy4RML8q1kzvu-0
OPERATIONAL,"FR42+56, Sijuk, Belitung Regency, Bangka Belitung Islands, Indonesia","{'location': {'lat': -2.5445919, 'lng': 107.8005137}, 'viewport': {'northeast': {'lat': -2.543242070107277, 'lng': 107.8018635298927}, 'southwest': {'lat': -2.545941729892722, 'lng': 107.7991638701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Padang kelapa,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102577006556584175589"">Yurangga Desabtama</a>'], 'photo_reference': 'AUGGfZmZ9-aE3fzqWX04zgDRvjTs4M3VJvVvdNxJtvSJkCFZePNzOXQ3Q2PUh8cOINs3ILzuTOIPM-RvdwrykDX43UVlTrMxtDXKMBhd1xRjD83ZjDKbsgD2D8pqA5oB--FQfiBMxYoF1ME-5AFJ3ysGppy-LSKn19ClYXWc-xcmriD-rIe7', 'width': 3024}]",ChIJI5TTKABFFy4Rx2cyOxdAjdU,5.0,ChIJI5TTKABFFy4Rx2cyOxdAjdU,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJI5TTKABFFy4Rx2cyOxdAjdU
OPERATIONAL,"72W2+FJ, Buding, Kelapa Kampit, East Belitung Regency, Bangka Belitung Islands 33571, Indonesia","{'location': {'lat': -2.7037764, 'lng': 108.0015087}, 'viewport': {'northeast': {'lat': -2.702521970107277, 'lng': 108.0028563798927}, 'southwest': {'lat': -2.705221629892722, 'lng': 108.0001567201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tambak Ikan,,,ChIJZeQJd-A1Fy4RkvNvTbLWBbc,5.0,ChIJZeQJd-A1Fy4RkvNvTbLWBbc,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJZeQJd-A1Fy4RkvNvTbLWBbc
OPERATIONAL,"Keciput, Sijuk, Belitung Regency, Bangka Belitung Islands 33414, Indonesia","{'location': {'lat': -2.5957538, 'lng': 107.6990953}, 'viewport': {'northeast': {'lat': -2.594403970107278, 'lng': 107.7004451298927}, 'southwest': {'lat': -2.597103629892723, 'lng': 107.6977454701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Pelabo,{'open_now': False},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101706408371950864836"">yayan ardiansa</a>'], 'photo_reference': 'AUGGfZlkss31w7nbvOJKhPUsGD5k_TWlu4iWx-EhUx-21yd0ReLRtvqYfEsoUX87P-r5YSMrnj6dPQH5fwzjFbWX0aopsbDRsnqy-v8LDf69kuH6DmmPqo8v2tCRkO1hOtJ5AAuCKKm2YC0KDz4LMFe86IIfr52-UnR66YmjhFSZ32ngxaN4', 'width': 1280}]",ChIJ40Mp46lBFy4R0PtPfp2lMf8,4.8,ChIJ40Mp46lBFy4R0PtPfp2lMf8,"['tourist_attraction', 'point_of_interest', 'establishment']",8.0,"{'compound_code': 'CM3X+MJ Keciput, Belitung Regency, Bangka Belitung Islands, Indonesia', 'global_code': '6P99CM3X+MJ'}",,https://www.google.com/maps/place/?q=place_id:ChIJ40Mp46lBFy4R0PtPfp2lMf8
OPERATIONAL,"FJ7F+XFQ, Keciput, Sijuk, Kabupaten Belitung, Kepulauan Bangka Belitung, Indonesia","{'location': {'lat': -2.5350384, 'lng': 107.6237243}, 'viewport': {'northeast': {'lat': -2.533688570107278, 'lng': 107.6250741298927}, 'southwest': {'lat': -2.536388229892722, 'lng': 107.6223744701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Snorkeling spot,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108099435792571586612"">Kawi Boedisetio</a>'], 'photo_reference': 'AUGGfZmug0ztGorybwt4BorVZAYQoG0ufe6D__NoLjD451DaNXdpxNAfVBcqEA30WEMX8J-Uxr8T_H-HwTOFOQadYBQPAHrZIrYBQdtFfBS32BYy3xdsfP3QG00Pfj_FSSu_JmvvMONCLVa0jarQtpttD_b3ZXY5g9DeIABRQl85rM-fpe4A', 'width': 6000}]",ChIJA2eQMAppFy4RwOzUaNQN2Kg,4.5,ChIJA2eQMAppFy4RwOzUaNQN2Kg,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJA2eQMAppFy4RwOzUaNQN2Kg
OPERATIONAL,"5VQ6+XRG, Simpang Tiga, Simpang Renggiang, East Belitung Regency, Bangka Belitung Islands, Indonesia","{'location': {'lat': -2.8100682, 'lng': 107.8620891}, 'viewport': {'northeast': {'lat': -2.80851225, 'lng': 107.8629245298927}, 'southwest': {'lat': -2.81473605, 'lng': 107.8602248701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,camping ground meranti,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106393597101475534528"">Pongestu 56</a>'], 'photo_reference': 'AUGGfZltViaqPoGIsBrsmO80oy0bkpK0RzLYOTlwDyz3pVcbDp0W6KvKRoPoBH6d5gY24Ox4sYEUTHBS7iU6nYiEELjJaUrBTv3THii3bJvAXmcqom20Cg5bZzrLXcOq7pSpYZHkuui8-U1zUnsUHsiKlE8VTPHecAxxBhEtVZWSP8OFGAMH', 'width': 3264}]",ChIJf4tKfgAvFy4RF1ljfC8KRC4,5.0,ChIJf4tKfgAvFy4RF1ljfC8KRC4,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,,,https://www.google.com/maps/place/?q=place_id:ChIJf4tKfgAvFy4RF1ljfC8KRC4
OPERATIONAL,"CMX9+QWJ, Keciput, Sijuk, Belitung Regency, Bangka Belitung Islands 33414, Indonesia","{'location': {'lat': -2.5502333, 'lng': 107.6696011}, 'viewport': {'northeast': {'lat': -2.548883470107278, 'lng': 107.6709509298927}, 'southwest': {'lat': -2.551583129892722, 'lng': 107.6682512701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kelayang Cave,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103455168539606706977"">Amanda Hasthavania</a>'], 'photo_reference': 'AUGGfZmw0LI5AGBD_oicykdAjngSHxRW3xX02VRThC-rULUw5uC1xNVTh8bKHe1ZO9YN8AbYsTrmM7tlG_JiS7VvcgrGdEC2E9O0-NGJYzf3cESJl27f1RBVgOIv--Wf4mzPM9fj1SHd-SkNj35MtLkdfYoDINRugCssUHZNl7jmJkTEFY22', 'width': 3024}]",ChIJxSJ1wnZDFy4R3DotM_OH9NU,4.3,ChIJxSJ1wnZDFy4R3DotM_OH9NU,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,https://www.google.com/maps/place/?q=place_id:ChIJxSJ1wnZDFy4R3DotM_OH9NU
OPERATIONAL,"7J5J+G46, Jl. Melati, Parit, Kec. Tj. Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung 33411, Indonesia","{'location': {'lat': -2.7412116, 'lng': 107.6302621}, 'viewport': {'northeast': {'lat': -2.739842470107277, 'lng': 107.6316224798927}, 'southwest': {'lat': -2.742542129892722, 'lng': 107.6289228201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rock Corner Belitung,{'open_now': True},"[{'height': 1944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115966452719207494129"">A Google User</a>'], 'photo_reference': 'AUGGfZn5aFZcxhiiaAGy---1CDtCqZ2v8cvQvlGLhckzxhR4ej_exVh3a8gqOfCyJDthMZWc58iii0Iqwit1KEhl1fqW1nVmUejrQaNAgxSWd9oHyXT4BKDEt0BOCe7xT7pC6GpnLeOxhR2l2iz-ora0qrs3yvmgUvUGq-hU4pahuiz6gexC', 'width': 3050}]",ChIJJ6_KZIAXFy4RL-7ikukaMjk,4.0,ChIJJ6_KZIAXFy4RL-7ikukaMjk,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJJ6_KZIAXFy4RL-7ikukaMjk
OPERATIONAL,"CX86+2G, Cendil, Kelapa Kampit, East Belitung Regency, Bangka Belitung Islands, Indonesia","{'location': {'lat': -2.5848976, 'lng': 107.9612886}, 'viewport': {'northeast': {'lat': -2.583541520107278, 'lng': 107.9626599298927}, 'southwest': {'lat': -2.586241179892722, 'lng': 107.9599602701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dusun Mengguru,,,ChIJZabt2RBLFy4RzfU69Zko9QM,4.3,ChIJZabt2RBLFy4RzfU69Zko9QM,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,,,https://www.google.com/maps/place/?q=place_id:ChIJZabt2RBLFy4RzfU69Zko9QM
OPERATIONAL,"7J6M+25M, Parit, Tanjung Pandan, Belitung Regency, Bangka Belitung Islands 33411, Indonesia","{'location': {'lat': -2.7399062, 'lng': 107.6329242}, 'viewport': {'northeast': {'lat': -2.738537620107278, 'lng': 107.6343136298927}, 'southwest': {'lat': -2.741237279892722, 'lng': 107.6316139701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JAM GEDE,,"[{'height': 416, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116650043587625484694"">Santoval Aja</a>'], 'photo_reference': 'AUGGfZk-1HnhabB7pKjqXNz1NXYVI_4sjFtAcsxefgIV7UWMRRzkwTkV7KLT5X11zqiQV3DY88xXxY0dk6QGLcJ1D2sc5PuGDad87L9DBkQM0SOx2VTj1Id8WbVfBwiulh2Rrr3KPqUOdab1qTRjPYeIgCpjQNi1601n8PF25hyVIcV2g8Xu', 'width': 719}]",ChIJDXmINwAXFy4R2_snnhslFNg,4.9,ChIJDXmINwAXFy4R2_snnhslFNg,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,,,https://www.google.com/maps/place/?q=place_id:ChIJDXmINwAXFy4R2_snnhslFNg
OPERATIONAL,"7J5J+JWX, Tanjung Pandan, Belitung Regency, Bangka Belitung Islands 33411, Indonesia","{'location': {'lat': -2.7408797, 'lng': 107.6323485}, 'viewport': {'northeast': {'lat': -2.739536970107277, 'lng': 107.6337250298927}, 'southwest': {'lat': -2.742236629892722, 'lng': 107.6310253701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Roemah Kapiten Phang Tjong Toen,,"[{'height': 430, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117387657475987266155"">A Google User</a>'], 'photo_reference': 'AUGGfZk3pymW1xdcXD3THcJwGuwjDzDxTFw2CkkPFtEqL_PYLn23wBHVCb6xVJk6wxP0XTXG4N8-7aL5Zv_7jyupThf8ynK94NF6AcmVRY8ed3ClvtdeD2qqjN4LRz1QHuf5I9jqAEXe_QI2sP53Y2H7yvdoIQFOKCwAZvvghraPzkYw0C9c', 'width': 793}]",ChIJn1nA8ZcXFy4RoP-Bh0GwkAM,3.3,ChIJn1nA8ZcXFy4RoP-Bh0GwkAM,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,https://www.google.com/maps/place/?q=place_id:ChIJn1nA8ZcXFy4RoP-Bh0GwkAM
OPERATIONAL,"FM22+C8Q, Keciput, Sijuk, Belitung Regency, Bangka Belitung Islands 33414, Indonesia","{'location': {'lat': -2.5489247, 'lng': 107.6508575}, 'viewport': {'northeast': {'lat': -2.547574870107278, 'lng': 107.6522073298927}, 'southwest': {'lat': -2.550274529892722, 'lng': 107.6495076701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kepayang Island,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101491226932002568864"">Heru</a>'], 'photo_reference': 'AUGGfZlEag66gZ-asV2f300JRPKYcRbFpC60z5AKIEmK1JC7ebzAdMG24rP4wkh4Yx8Z_LQmPiuUeZ2Vfyys9LD4Wsz6FIxBFfz1zteF5Qoo46yyrH3Wh9VWaLDQGC2rZlHEYKu7D64g7LHS5h2k6r-W5NEcQZdLYiaNrG3eQoH4sVv-9dxi', 'width': 4160}]",ChIJF-xCXsFpFy4RjgHyRmgGODQ,4.7,ChIJF-xCXsFpFy4RjgHyRmgGODQ,"['tourist_attraction', 'point_of_interest', 'establishment']",716.0,,,https://www.google.com/maps/place/?q=place_id:ChIJF-xCXsFpFy4RjgHyRmgGODQ
