business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"J2QC+PRW, Unnamed Road, Kotabiru, Kobalima Tim., Kab. Malaka, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.3606333, 'lng': 125.0220735}, 'viewport': {'northeast': {'lat': -9.359292370107278, 'lng': 125.0234541298927}, 'southwest': {'lat': -9.361992029892722, 'lng': 125.0207544701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Cinta Kota Biru,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111215932890808165514"">A Google User</a>'], 'photo_reference': 'AUGGfZkFv7I3PTIljFcNrrywy9_7z2D6sKJSdrutkzpGyiQzP0G1F76l7G6cvGApjmB1nLgWKIEdkc9o3mtjRjus9UzZgBnEtTp2VLF0YQCDSgasByC61DifYvZyqXX_DwSdOQM8RZI40UoicQSEBddTg2xryALDmFzqfiEKFu7ZbfGSMN-U', 'width': 1407}]",ChIJr3bTZVUJ_ywRhFWijyRJKXQ,4.6,ChIJr3bTZVUJ_ywRhFWijyRJKXQ,"['tourist_attraction', 'point_of_interest', 'establishment']",20,,,https://www.google.com/maps/place/?q=place_id:ChIJr3bTZVUJ_ywRhFWijyRJKXQ
OPERATIONAL,"2WRV+PWF Motaain, Desa, Silawan, East Tasifeto, Belu Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.958193099999999, 'lng': 124.9447813}, 'viewport': {'northeast': {'lat': -8.956839020107278, 'lng': 124.9461312798927}, 'southwest': {'lat': -8.959538679892722, 'lng': 124.9434316201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Mangrove Kanokar Ki'ik,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111029997333776192259"">A Google User</a>'], 'photo_reference': 'AUGGfZlXuOi8_4yy_5Nr7h63C9__Tvr6g9WMhHHptXUXvc0k6hmYTtiyy4Bkb2Bnr3SEEQA3qq98G6rHvBwqUzHo_ISyQZ9iUjUXK2NCGBoJnvriGh9ET8bmRsCegD8AF7wFrl5hN5RH51OqbJA8hy_8QVEFXX8Ax8b5zH6wkxVj0AFyWp_v', 'width': 4128}]",ChIJM8WzX57D_ywRS25kUCnHlcI,3.6,ChIJM8WzX57D_ywRS25kUCnHlcI,"['tourist_attraction', 'point_of_interest', 'establishment']",17,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJM8WzX57D_ywRS25kUCnHlcI
OPERATIONAL,"WWM5+2WH, Babauk,Wehor, Kabuna, Kec. Kakuluk Mesak, Kabupaten Belu, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.067439, 'lng': 124.9098621}, 'viewport': {'northeast': {'lat': -9.066133020107278, 'lng': 124.9113694798927}, 'southwest': {'lat': -9.068832679892722, 'lng': 124.9086698201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Bukit Wehor,,ChIJTwmNcgC__ywRj2vTkeUFKb4,0.0,ChIJTwmNcgC__ywRj2vTkeUFKb4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJTwmNcgC__ywRj2vTkeUFKb4
OPERATIONAL,"W35V+63Q, Raiulun, Lasiolat, Belu Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.0919109, 'lng': 125.0927384}, 'viewport': {'northeast': {'lat': -9.090258670107279, 'lng': 125.0942874798927}, 'southwest': {'lat': -9.092958329892722, 'lng': 125.0915878201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Niagara Mauhalek,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109554869286231500916"">Anton Selan</a>'], 'photo_reference': 'AUGGfZnoZ4qMzL5KNxKgJInNJ5pJnrxiGlYP3CjjMfC0h-JCHBsFR6CgFgUVcl81AEvGY5dF_k1Rg-fKZQeEcXHfHcCM0VItUM3SmwzkhjqcQvsxA9yKhKAATV8aJBg7URF-CAS1Jv-mK0B48zq02TuT1CK48BDDDOX_gx1BDnV_ikQhzLD1', 'width': 3456}]",ChIJr_xqF9K2_ywR3Ka6KH97RHs,4.5,ChIJr_xqF9K2_ywR3Ka6KH97RHs,"['tourist_attraction', 'point_of_interest', 'establishment']",254,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJr_xqF9K2_ywR3Ka6KH97RHs
OPERATIONAL,"GQ6H+H33, Tunabesi, Io Kufeu, Malaka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.488621199999999, 'lng': 124.7776663}, 'viewport': {'northeast': {'lat': -9.487285370107278, 'lng': 124.7790213298928}, 'southwest': {'lat': -9.489985029892722, 'lng': 124.7763216701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Neofnuti,,ChIJ6w2uJABz_ywRqfjaTO78lYE,0.0,ChIJ6w2uJABz_ywRqfjaTO78lYE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ6w2uJABz_ywRqfjaTO78lYE
OPERATIONAL,"JRP7+2R, Tesa, Laenmanen, Belu Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.364995, 'lng': 124.814554}, 'viewport': {'northeast': {'lat': -9.36328632010728, 'lng': 124.8158575798928}, 'southwest': {'lat': -9.365985979892724, 'lng': 124.8131579201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Golgota Nurobo bukit Sunset,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113942772816305826083"">A Google User</a>'], 'photo_reference': 'AUGGfZkZZua4e8f5KYjtUls2h-3uQ76v3f_uL1n7YvpSmaiCmbZ0XYz8PlP8U-7wGp2wLTf-c2ewhxrxO7GbRwgOYGaFQKUWmIynf_hsXtPXgjdTD3_X7TSfBUX9ZGpR0uu_-7w6qoF1kYTp7WoN7FVggYDvP4DRwUFqRU5wy3ilBEuFd7mo', 'width': 4000}]",ChIJ4yx38Ah1_ywRBtXeir47JKU,5.0,ChIJ4yx38Ah1_ywRBtXeir47JKU,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,https://www.google.com/maps/place/?q=place_id:ChIJ4yx38Ah1_ywRBtXeir47JKU
OPERATIONAL,"J2GH+FC9, Unnamed Road, Kotabiru, Kobalima Tim., Kab. Malaka, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.3738453, 'lng': 125.0286164}, 'viewport': {'northeast': {'lat': -9.372513220107278, 'lng': 125.0299539798927}, 'southwest': {'lat': -9.375212879892722, 'lng': 125.0272543201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KOTABIRU,,ChIJX3tdpVcJ_ywRuYbTGTqI8LM,3.5,ChIJX3tdpVcJ_ywRuYbTGTqI8LM,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJX3tdpVcJ_ywRuYbTGTqI8LM
OPERATIONAL,"PXWH+975, Fohoeka, Nanaet Dubesi, Belu Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.254108, 'lng': 124.9782205}, 'viewport': {'northeast': {'lat': -9.25221002010728, 'lng': 124.9798516798927}, 'southwest': {'lat': -9.254909679892723, 'lng': 124.9771520201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Padang Rumput Bukit Laktutus,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111862116344785135394"">A Google User</a>'], 'photo_reference': 'AUGGfZk12qYGIwnG_a4C5BhtdvsWlfm1VKP3KK-mK3rOI57_dMHOhs4pLZxw6-8ny_bH_1ixQ2816EUxHPZ7qf4ZdRI3WyF4t2eoZARHPUw4yAJY1F5ppvj7VOcohd7Y_Vv16smDnNJ2Gs7j8zo7614-hkyHtzmZoKEVV8Vi7IAXCk2qQfPs', 'width': 3024}]",ChIJ67haZ8ml_ywRq_AOnDDI7s8,3.0,ChIJ67haZ8ml_ywRq_AOnDDI7s8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJ67haZ8ml_ywRq_AOnDDI7s8
OPERATIONAL,"VV3Q+V4, Naekasa, Tasifeto Barat, Belu Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.1453125, 'lng': 124.8878125}, 'viewport': {'northeast': {'lat': -9.143878520107277, 'lng': 124.8889263298928}, 'southwest': {'lat': -9.146578179892721, 'lng': 124.8862266701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Usaha ansel,,ChIJB7fDVwC9_ywRAbv4Iz0PxjM,0.0,ChIJB7fDVwC9_ywRAbv4Iz0PxjM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJB7fDVwC9_ywRAbv4Iz0PxjM
OPERATIONAL,"G384+FVC, Rainawe, Kobalima, Malaka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.483820099999999, 'lng': 125.0571558}, 'viewport': {'northeast': {'lat': -9.482424520107276, 'lng': 125.0584767298927}, 'southwest': {'lat': -9.48512417989272, 'lng': 125.0557770701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BusaKukun beach,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111958220778009296956"">A Google User</a>'], 'photo_reference': 'AUGGfZnUsUP1A7ak5HdFW_vcPiOpDW6wYfQKacgKrUeZb114S8QOUP3Cqf0fvdVMovtr-206yh7bUzbrECFS1xUFXaWFXP4oqqPXsoYrfrI_BRW2aYE4HSrtpT8wvtad4dL_o_d07EW6KLK371S1oKoVFzCY2HIhBX7_IHl_YTBinStJXGN0', 'width': 3000}]",ChIJmwesum8b_ywRsaW7IS8c4BM,5.0,ChIJmwesum8b_ywRsaW7IS8c4BM,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJmwesum8b_ywRsaW7IS8c4BM
