business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Kanigoro, Blitar Regency, East Java 66171, Indonesia","{'location': {'lat': -8.1287573, 'lng': 112.213876}, 'viewport': {'northeast': {'lat': -8.127342720107277, 'lng': 112.2152495798927}, 'southwest': {'lat': -8.130042379892721, 'lng': 112.2125499201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bung Karno Penyambung Lidah Rakyat,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110579648817360159182"">amieend amin</a>'], 'photo_reference': 'AUGGfZkOGd_8jjbNPnpsBIInvgzMzK514rHk9GS-laVsQadR9qHiO7aGNLdmEpoxD4iBxTtx_irQx1A18wXK6hFlTl1IqyBYjOpI1uRw9lFi6ND0gFbZYYNl1SePfRovSoIURRO76AtNdm-od1Z9Cs2YItH-1YzV5KqpfZnAEuM7-u0UvLCL', 'width': 4000}]",ChIJ25HP6VXreC4RpUheWPuEMGE,"{'compound_code': 'V6C7+FH Kanigoro, Blitar Regency, East Java, Indonesia', 'global_code': '6P3JV6C7+FH'}",4.4,ChIJ25HP6VXreC4RpUheWPuEMGE,"['tourist_attraction', 'point_of_interest', 'establishment']",32,,https://www.google.com/maps/place/?q=place_id:ChIJ25HP6VXreC4RpUheWPuEMGE
OPERATIONAL,"V59W+GFG, Karangsono, Kanigoro, Blitar Regency, East Java 66171, Indonesia","{'location': {'lat': -8.1311705, 'lng': 112.1961362}, 'viewport': {'northeast': {'lat': -8.129804220107278, 'lng': 112.1973778798927}, 'southwest': {'lat': -8.132503879892722, 'lng': 112.1946782201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kawasan Wisata Agropolitan Karangsono,{'open_now': False},"[{'height': 592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100932702331992564539"">A Google User</a>'], 'photo_reference': 'AUGGfZmO13dyovhugmO6x7yCh4LViJMdYMARnyr-rLEbaUfflsvUwooEB5uFrBLlwupPdimBGuGa72h2nkmfUNJi8fxpcAujmTDo5Xfw1E6fxHHd3YL1RaSrgs_IvI6E4o9D3bnDCZ1MpfdshEyG1OsImuxPlY9kuuDZLPbOdePev6nM0sIg', 'width': 1052}]",ChIJh-PKZAvreC4RStXM5RtfwSk,,4.1,ChIJh-PKZAvreC4RStXM5RtfwSk,"['tourist_attraction', 'point_of_interest', 'establishment']",180,,https://www.google.com/maps/place/?q=place_id:ChIJh-PKZAvreC4RStXM5RtfwSk
OPERATIONAL,"Tegalrejo, Sawentar, Kanigoro, Blitar Regency, East Java 66171, Indonesia","{'location': {'lat': -8.109968499999999, 'lng': 112.230417}, 'viewport': {'northeast': {'lat': -8.108578920107277, 'lng': 112.2317724298927}, 'southwest': {'lat': -8.111278579892721, 'lng': 112.2290727701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata 1001,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112608651041116908343"">Yuli lia</a>'], 'photo_reference': 'AUGGfZlqYNhHVjAuxLMxJPusK_qZJ7pLbdIBgDZv-u7q_BvtqCmyG23e9W-Uj2lZUZX0sWv0H7DdHU40rBqAMHwVHHlbyaISisYgGRp4qXtd68tjVit87wPuIl9cza1XyQpbrlK-qas8UZIGBn_d3o67iaGHODX2kMYiqDGHAcVjpIEwsiEs', 'width': 4608}]",ChIJ8xI9HsjreC4Rvs8v52VVVm8,"{'compound_code': 'V6RJ+25 Sawentar, Blitar Regency, East Java, Indonesia', 'global_code': '6P3JV6RJ+25'}",4.1,ChIJ8xI9HsjreC4Rvs8v52VVVm8,"['tourist_attraction', 'point_of_interest', 'establishment']",91,,https://www.google.com/maps/place/?q=place_id:ChIJ8xI9HsjreC4Rvs8v52VVVm8
OPERATIONAL,"Sawentar, Kanigoro, Blitar Regency, East Java 66171, Indonesia","{'location': {'lat': -8.098830399999999, 'lng': 112.235384}, 'viewport': {'northeast': {'lat': -8.097611620107278, 'lng': 112.2367169298927}, 'southwest': {'lat': -8.100311279892722, 'lng': 112.2340172701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_hindu-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/worship_hindu_pinlet,Candi Sawentar,{'open_now': True},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117226974456184625678"">alimoest parawali</a>'], 'photo_reference': 'AUGGfZm5iYpnCmhwEl4IzaXUFsfdzmG3gG_LztaJS-Uh-B49gdzeeOubLAYC7zeLnOT1zjKb4FwJtuQjB5CuebM9EUkiOmIEBu0tyc0aOmndD3N7Wu09lnakGdUOFmVGYYBqxN4T0Z26xelRGEULkpN1Ie-7rxYO5c9uciTf4cYf7nWPtiZW', 'width': 3472}]",ChIJ4RCTqq3seC4RdFDGFExLlbE,"{'compound_code': 'W62P+F5 Sawentar, Blitar Regency, East Java, Indonesia', 'global_code': '6P3JW62P+F5'}",4.4,ChIJ4RCTqq3seC4RdFDGFExLlbE,"['hindu_temple', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",489,,https://www.google.com/maps/place/?q=place_id:ChIJ4RCTqq3seC4RdFDGFExLlbE
OPERATIONAL,"Minggirsari 3, Minggirsari, Kanigoro, Blitar Regency, East Java, Indonesia","{'location': {'lat': -8.142425, 'lng': 112.166795}, 'viewport': {'northeast': {'lat': -8.141050770107276, 'lng': 112.1681465798927}, 'southwest': {'lat': -8.14375042989272, 'lng': 112.1654469201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Papringan Minggirsari / Ngeli ban Minggirsari,{'open_now': False},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100213771275501901308"">Yoyok Blitar</a>'], 'photo_reference': 'AUGGfZk7zJ1Tmo8oXLzA8cLnKHin4p4hV0rO2xVixy5xlWhxATbPR868N51IWn7nfpHFiutEp94AF5CiDZsgYiiTh1B_iG_rTySSMz9my6HRpH0dtapBROPlrdSp9ciLCQqEoBoGK-06fZZ5bRWM_2ZKut3N5s-CWJXaethKhxcJVPnB1pJ1', 'width': 3240}]",ChIJ-VgoBSLreC4RAZRmuHdKT7M,"{'compound_code': 'V558+2P Minggirsari, Blitar Regency, East Java, Indonesia', 'global_code': '6P3JV558+2P'}",4.6,ChIJ-VgoBSLreC4RAZRmuHdKT7M,"['tourist_attraction', 'point_of_interest', 'establishment']",54,,https://www.google.com/maps/place/?q=place_id:ChIJ-VgoBSLreC4RAZRmuHdKT7M
OPERATIONAL,"Jl. Gn. Krakathau Rt.02 Rw.06, Minggirsari 3, Minggirsari, Kec. Kanigoro, Kabupaten Blitar, Jawa Timur 66151, Indonesia","{'location': {'lat': -8.1372564, 'lng': 112.1607643}, 'viewport': {'northeast': {'lat': -8.135943670107277, 'lng': 112.1621713298927}, 'southwest': {'lat': -8.138643329892721, 'lng': 112.1594716701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Sumber Mbelik Minggirsari,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114965136087215529947"">Munib Arisandy</a>'], 'photo_reference': 'AUGGfZlMkreiIupFo5COw6lPt4F-V3nrZL3VMeIdUDyOvAWGPtM5wWo2DPZ_S3qorqSB3fmHcmnHSFw_tiAQCEoytFwvMK53rf3OfNXz5fe2mYMRXnSENxi6zM_FUPc0mllxc7KEWx1Cnxs7kgVKBCFvjpofMTX4c5kXhkMyBQQczYCu_Nyg', 'width': 4160}]",ChIJLXqwHcTreC4RzynTNTavIek,"{'compound_code': 'V576+38 Minggirsari, Blitar Regency, East Java, Indonesia', 'global_code': '6P3JV576+38'}",4.5,ChIJLXqwHcTreC4RzynTNTavIek,"['tourist_attraction', 'point_of_interest', 'establishment']",57,,https://www.google.com/maps/place/?q=place_id:ChIJLXqwHcTreC4RzynTNTavIek
OPERATIONAL,"V57G+6PP, Unnamed Road, Nglaos, Jatinom, Kec. Kanigoro, Kabupaten Blitar, Jawa Timur 66171, Indonesia","{'location': {'lat': -8.136919899999999, 'lng': 112.1768358}, 'viewport': {'northeast': {'lat': -8.13572557010728, 'lng': 112.1783493798927}, 'southwest': {'lat': -8.138425229892723, 'lng': 112.1756497201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kucur Nglaos,,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111468027343062856672"">A Google User</a>'], 'photo_reference': 'AUGGfZlrK730w3uzmMAybRCnx8WwELQyBLsQafndorIPOFBeD_XAIo9h13jnQhAED9nufzfEL7kM3GrSlRobwIngEK2uwsx-uz452IUOLT9DTfCYQKNUxOiUWiSWlEjacqBxQ4WA4e4ryoNN8_lDQNJXoTGSi2lscRLldY2CXm0o5nR00WxC', 'width': 2160}]",ChIJu8-nBVvreC4Rqx3XuHj9WMU,,4.7,ChIJu8-nBVvreC4Rqx3XuHj9WMU,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,https://www.google.com/maps/place/?q=place_id:ChIJu8-nBVvreC4Rqx3XuHj9WMU
OPERATIONAL,"Jl. Kusuma Bangsa No.60, Kanigoro, Kec. Kanigoro, Kabupaten Blitar, Jawa Timur 66171, Indonesia","{'location': {'lat': -8.129518899999999, 'lng': 112.2135708}, 'viewport': {'northeast': {'lat': -8.128171170107278, 'lng': 112.2149215798927}, 'southwest': {'lat': -8.130870829892721, 'lng': 112.2122219201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pendopo Kabupaten Blitar di Kanigoro,{'open_now': True},"[{'height': 1908, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109620008559547302329"">riyadi tri cahyono</a>'], 'photo_reference': 'AUGGfZmn8RnWxpAvNmi3RddMN_db1vGaTM3UPwn81eMvH9gRCsyX2TA9EJx9nNyZBdRsrzPzGUIBo--9RQDO5PbN3EreIY_ldSi1eyfrFTFjlIUIHs2qJ_Jln-2-zYnsMIxmNPHFnvaHZHHjkw5CIkXwJlc2JRElLSIJsVhsVYSCbKp0-Q0s', 'width': 4128}]",ChIJcafjgnTreC4RnZxLnhxGv9Y,"{'compound_code': 'V6C7+5C Kanigoro, Blitar Regency, East Java, Indonesia', 'global_code': '6P3JV6C7+5C'}",4.6,ChIJcafjgnTreC4RnZxLnhxGv9Y,"['point_of_interest', 'establishment']",14,,https://www.google.com/maps/place/?q=place_id:ChIJcafjgnTreC4RnZxLnhxGv9Y
OPERATIONAL,"R5XR+W72, Serut, Gogodeso, Kanigoro, Blitar Regency, East Java 66161, Indonesia","{'location': {'lat': -8.1502454, 'lng': 112.1906541}, 'viewport': {'northeast': {'lat': -8.149127920107277, 'lng': 112.1919456798927}, 'southwest': {'lat': -8.151827579892721, 'lng': 112.1892460201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Serut,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111231310896293977356"">muhamad yasin</a>'], 'photo_reference': 'AUGGfZly1RzM4Ua5fywN0AMhJjElz2HP-mhya3uyFKPa1b7QidqOa9fpZSVxajDzj7pdsozTst_3sPYCXryb8E77r0yvTS-i8tm2pZ0ugSsgWvAQbjagjlGXjHYohVNUVYXT_XMPupS-mvTMAR6ecr5HVi2mLp-1E6UNABtD3TVMSem1G4Z2', 'width': 720}]",ChIJzbENRlXqeC4RHLrKj4VYhdc,,4.4,ChIJzbENRlXqeC4RHLrKj4VYhdc,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1513,,https://www.google.com/maps/place/?q=place_id:ChIJzbENRlXqeC4RHLrKj4VYhdc
OPERATIONAL,"V52Q+843, Serut, Gogodeso, Kanigoro, Blitar Regency, East Java 66171, Indonesia","{'location': {'lat': -8.1492368, 'lng': 112.1878026}, 'viewport': {'northeast': {'lat': -8.147886970107278, 'lng': 112.1891524298927}, 'southwest': {'lat': -8.150586629892722, 'lng': 112.1864527701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mbelik Serut,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112469147538477727383"">A Google User</a>'], 'photo_reference': 'AUGGfZmOCSfMNrwnXza7BbX1hniT0GTLbwZldUK0KO1xDqDs3J7MNZ9pyvzRFqC55SdHzYdaG8Zh--kTo8xCrEeuGQ0ZQn4E8x39qxNnnsPfgnOr2u60fbmqkpqnI9Xd_MfWBmAqUSu3fkt9YroFdF1FtY5MsKMGbC-0c6DW9vfamgLDMcLV', 'width': 4032}]",ChIJWV3-ISPreC4RMbTNTS-usJE,,4.7,ChIJWV3-ISPreC4RMbTNTS-usJE,"['tourist_attraction', 'point_of_interest', 'establishment']",12,,https://www.google.com/maps/place/?q=place_id:ChIJWV3-ISPreC4RMbTNTS-usJE
