business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,url
OPERATIONAL,"HQ85+GM, Gendongan, Sekar, Kec. Sekar, Kabupaten Bojonegoro, Jawa Timur, Indonesia","{'location': {'lat': -7.436112499999999, 'lng': 111.7564219}, 'viewport': {'northeast': {'lat': -7.434762670107277, 'lng': 111.7577717298927}, 'southwest': {'lat': -7.437462329892721, 'lng': 111.7550720701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Misteri gendongan,ChIJawrUFwDPeS4R563wJ4Q9rlA,0.0,ChIJawrUFwDPeS4R563wJ4Q9rlA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJawrUFwDPeS4R563wJ4Q9rlA
OPERATIONAL,"Jl. Raya Barat No.18, Sadang, Kec. Jatirogo, Kabupaten Tuban, Jawa Timur 62362, Indonesia","{'location': {'lat': -6.8819056, 'lng': 111.6538175}, 'viewport': {'northeast': {'lat': -6.880552920107278, 'lng': 111.6551670798927}, 'southwest': {'lat': -6.883252579892722, 'lng': 111.6524674201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Difor (Wisata Discover of Forest),ChIJda3bKz8Tdy4RX-Mc3LdlW_8,4.0,ChIJda3bKz8Tdy4RX-Mc3LdlW_8,"['tourist_attraction', 'point_of_interest', 'establishment']",87,{'open_now': True},"[{'height': 2352, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114568688260508581351"">Arvand YP</a>'], 'photo_reference': 'AUGGfZlcG_CR3t5nC1GU9OwgA8SmVbHFLLnTWq3nyT64cPAixi8-F2vNNfCW3VVlTXol80qUPrG5ZHvWrfwI_Y87mbOoDdhKtWkOJt8eO4ec81siOav83H-Wu5ZnU0_yjlWBkH5zPr5PhUuwbqS4sJ3XWErJVfLPQepXj2iXafMpCWqn7-Ij', 'width': 4160}]","{'compound_code': '4M93+6G Sadang, Tuban Regency, East Java, Indonesia', 'global_code': '6P5H4M93+6G'}",https://www.google.com/maps/place/?q=place_id:ChIJda3bKz8Tdy4RX-Mc3LdlW_8
OPERATIONAL,"4M46+8J9, Sumber, Sugihan, Kec. Jatirogo, Kabupaten Tuban, Jawa Timur 62362, Indonesia","{'location': {'lat': -6.894345, 'lng': 111.6626133}, 'viewport': {'northeast': {'lat': -6.892826620107279, 'lng': 111.6636171798927}, 'southwest': {'lat': -6.895526279892723, 'lng': 111.6609175201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Mubarhok Sumber,ChIJiTKyWVYTdy4R4uksyQspWnQ,5.0,ChIJiTKyWVYTdy4R4uksyQspWnQ,"['tourist_attraction', 'point_of_interest', 'establishment']",4,{'open_now': False},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113456458747899257935"">A Google User</a>'], 'photo_reference': 'AUGGfZkh_oWWzPhhiY-8Kk-4Tonvk2TtVx9cfVymYTj2YoZUveKmUmG6AYrEPhFjkIXS_t48Rsx-kzL6iVu6pzIcVfHtOYMRDyhsJxjMvFUicvpkvEfdnzi8vIPVGzbIBlCkPWLbc-CH-mKBMCJZKvh4ZK143y9-dZQiUtYNVYKunGBCso1O', 'width': 1080}]",,https://www.google.com/maps/place/?q=place_id:ChIJiTKyWVYTdy4R4uksyQspWnQ
OPERATIONAL,"3MW9+RF, Purung, Sidomulyo, Kec. Jatirogo, Kabupaten Tuban, Jawa Timur, Indonesia","{'location': {'lat': -6.902889, 'lng': 111.668639}, 'viewport': {'northeast': {'lat': -6.901551820107279, 'lng': 111.6699562298927}, 'southwest': {'lat': -6.904251479892722, 'lng': 111.6672565701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sumber anget Gunung Purung,ChIJGbgn7KANdy4RUaaZFjKv6vg,5.0,ChIJGbgn7KANdy4RUaaZFjKv6vg,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJGbgn7KANdy4RUaaZFjKv6vg
OPERATIONAL,"2JRC+W88, Krajan, Jamprong, Kec. Kenduruan, Kabupaten Tuban, Jawa Timur 62363, Indonesia","{'location': {'lat': -6.957326, 'lng': 111.6211454}, 'viewport': {'northeast': {'lat': -6.955985320107279, 'lng': 111.6225114298927}, 'southwest': {'lat': -6.958684979892722, 'lng': 111.6198117701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun ngguwo,ChIJmwg6LwBtdy4RIIx5BqviZpA,0.0,ChIJmwg6LwBtdy4RIIx5BqviZpA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJmwg6LwBtdy4RIIx5BqviZpA
OPERATIONAL,"MVJC+63, Ngorogunung, Kec. Bubulan, Kabupaten Bojonegoro, Jawa Timur, Indonesia","{'location': {'lat': -7.3188777, 'lng': 111.870163}, 'viewport': {'northeast': {'lat': -7.317544320107279, 'lng': 111.8714531298927}, 'southwest': {'lat': -7.320243979892723, 'lng': 111.8687534701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sumur Juben NGOROGUNUNG,ChIJa0LXbf8teC4R0vr85Qc4tR4,0.0,ChIJa0LXbf8teC4R0vr85Qc4tR4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJa0LXbf8teC4R0vr85Qc4tR4
OPERATIONAL,"2JCR+296, Bendo, Bendonglateng, Kec. Kenduruan, Kabupaten Tuban, Jawa Timur 62363, Indonesia","{'location': {'lat': -6.9799567, 'lng': 111.6408921}, 'viewport': {'northeast': {'lat': -6.978830670107278, 'lng': 111.6422267798927}, 'southwest': {'lat': -6.981530329892722, 'lng': 111.6395271201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Kedung Bonjor,ChIJBzSEDMBtdy4RW7lLhvYZ3xU,4.3,ChIJBzSEDMBtdy4RW7lLhvYZ3xU,"['tourist_attraction', 'point_of_interest', 'establishment']",46,,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100062849121370694572"">Bayu Nugroho</a>'], 'photo_reference': 'AUGGfZkWk4m0F8m5IAhUnXmf7Ubqs7TBsX_qI0V1ytGy2wKBsh3UcaIKKs1_zklQ_KQ17a1KkqPjWD_UJl2eQ0YWF-YOh8Fwq5pKXev9WMhZzueuowiTt6NJLAA-nPCXQueVo_VI_zH-riZC--h14vSyaxTbUfu4SMT74iUarfeMFprm9jEJ', 'width': 1600}]",,https://www.google.com/maps/place/?q=place_id:ChIJBzSEDMBtdy4RW7lLhvYZ3xU
OPERATIONAL,"JP2F+G47, Bareng, Kec. Sekar, Kabupaten Bojonegoro, Jawa Timur 62167, Indonesia","{'location': {'lat': -7.398672700000001, 'lng': 111.7227982}, 'viewport': {'northeast': {'lat': -7.396903120107279, 'lng': 111.7243335298927}, 'southwest': {'lat': -7.399602779892723, 'lng': 111.7216338701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,markas ngaso,ChIJVZ2Ke3DReS4R4T_C9EKSE4c,0.0,ChIJVZ2Ke3DReS4R4T_C9EKSE4c,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJVZ2Ke3DReS4R4T_C9EKSE4c
OPERATIONAL,"HPP2+V79, Unnamed Road, Ngronan, Bobol, Kec. Sekar, Kabupaten Bojonegoro, Jawa Timur 62167, Indonesia","{'location': {'lat': -7.4128379, 'lng': 111.7007248}, 'viewport': {'northeast': {'lat': -7.411359220107278, 'lng': 111.7017685798927}, 'southwest': {'lat': -7.414058879892722, 'lng': 111.6990689201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sendang ngronan,ChIJtyYmiVnPeS4RaJsguLATkik,3.0,ChIJtyYmiVnPeS4RaJsguLATkik,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117589628702317871908"">Ahmedbisri Ahmed</a>'], 'photo_reference': 'AUGGfZn01wIVMPGRCn25XzWzqb50SZjYsOYW3Lb1b4srxHtS5crDUqMXVzL1WsBQAnN409MZv-Tt6gx1Z7P4lF-FK0NntL8KimULmIaQsUSIzevT1FNGLWAwz2HiXTRC1dCCTJNYW31ovJJRaKw7Zl28KXmEVfMQPHmC6tWPT13MRWTIJqMf', 'width': 3456}]",,https://www.google.com/maps/place/?q=place_id:ChIJtyYmiVnPeS4RaJsguLATkik
OPERATIONAL,"JVV2+739, Clebung, Bubulan, Desa, Area Hutan, Kedungsari, Kec. Temayang, Kabupaten Bojonegoro, Jawa Timur 62172, Indonesia","{'location': {'lat': -7.356849, 'lng': 111.8502272}, 'viewport': {'northeast': {'lat': -7.355951370107277, 'lng': 111.8516086298927}, 'southwest': {'lat': -7.358651029892721, 'lng': 111.8489089701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,grojogan pucang,ChIJvxKEA0bTeS4RdG00O-pVCu8,5.0,ChIJvxKEA0bTeS4RdG00O-pVCu8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114881936402747654117"">Agus Suryono</a>'], 'photo_reference': 'AUGGfZn5d459ZLGVnIRlekksmUEFWR3VhkU3mOXhUdiyB5xadnusV--BdcGlNV1TZrfiJNpwLxBfcOlyjtJjcQN8CZVCAH5KGOrcaUmiMvOmNIc-q2ivqrquqy7A-tu2Fg9K6IRjh8JpwQlFKteRIjk4zUJD76pBukHYgzCjTVYfnb0Z1WDF', 'width': 1040}]",,https://www.google.com/maps/place/?q=place_id:ChIJvxKEA0bTeS4RdG00O-pVCu8
