business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"588C+26, Mario, Mare, Bone Regency, South Sulawesi 92773, Indonesia","{'location': {'lat': -4.8349875, 'lng': 120.3205882}, 'viewport': {'northeast': {'lat': -4.833708770107277, 'lng': 120.3219287298927}, 'southwest': {'lat': -4.836408429892721, 'lng': 120.3192290701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Teletubbies Mare,"[{'height': 3048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106750270113412896588"">bagus setyawan</a>'], 'photo_reference': 'AUGGfZn8Ly7SeXo7wbRwgBEEEGc-WIpZD2hHcxCXVuUstbav0O0EWMLHPscxu1UjU6hvsTZsJ2PwYmLzpwHPV0tVkAI6YwuttH1x2PmEwnwVGlnjROOgMpC496bs9a58JJCLQmZiSc45JCL7RhtvFmJToYexreR80hZsLiMke8hMJKMhHMZi', 'width': 4064}]",ChIJg1DtmP7RvS0R1ely_sc94GM,4.0,ChIJg1DtmP7RvS0R1ely_sc94GM,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,https://www.google.com/maps/place/?q=place_id:ChIJg1DtmP7RvS0R1ely_sc94GM
OPERATIONAL,"Lakukang, Mare, Bone Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.7652585, 'lng': 120.3235021}, 'viewport': {'northeast': {'lat': -4.763691620107278, 'lng': 120.3251366798928}, 'southwest': {'lat': -4.766391279892722, 'lng': 120.3224370201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu timpao'e,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100960655543190729834"">A Google User</a>'], 'photo_reference': 'AUGGfZkJEWpfOiJG_tipzzwLoSgUElxtujqoWBfHlEWlHZuNhADYW_QQFSNj_VvWBkbOKTkmS7qUqYtzBV5Akl7tn1L-Za-H9VapMKjFY6glk8erlawwdK2mOKMlNspWa2h-T4r8rVQIBQGX0nUe0FRvNrxUyUD-8Zk1JTE0Apmp-q7VvUpq', 'width': 3120}]",ChIJb0_C4a_bvS0RznflyaxD0HA,5.0,ChIJb0_C4a_bvS0RznflyaxD0HA,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},"{'compound_code': '68MF+VC Lakukang, Bone Regency, South Sulawesi, Indonesia', 'global_code': '6Q7268MF+VC'}",https://www.google.com/maps/place/?q=place_id:ChIJb0_C4a_bvS0RznflyaxD0HA
OPERATIONAL,"68GP+RHW, Lakukang, Mare, Bone Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.7728978, 'lng': 120.3364533}, 'viewport': {'northeast': {'lat': -4.771500270107278, 'lng': 120.3378374798927}, 'southwest': {'lat': -4.774199929892721, 'lng': 120.3351378201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah nenek,,ChIJ__oBMADbvS0Ria0WqgIFyGU,0.0,ChIJ__oBMADbvS0Ria0WqgIFyGU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ__oBMADbvS0Ria0WqgIFyGU
OPERATIONAL,"59F5+Q89, Cege, Mare, Bone Regency, South Sulawesi 92773, Indonesia","{'location': {'lat': -4.825576, 'lng': 120.3583648}, 'viewport': {'northeast': {'lat': -4.823786920107278, 'lng': 120.3593994298928}, 'southwest': {'lat': -4.826486579892721, 'lng': 120.3566997701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Labusyai,,ChIJFz-hzI7PvS0RXZwVPKJSPtM,4.5,ChIJFz-hzI7PvS0RXZwVPKJSPtM,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJFz-hzI7PvS0RXZwVPKJSPtM
OPERATIONAL,"59F4+PVJ, Jl. Nipa, Cege, Kec. Mare, Kabupaten Bone, Sulawesi Selatan 92773, Indonesia","{'location': {'lat': -4.8256726, 'lng': 120.357134}, 'viewport': {'northeast': {'lat': -4.823828420107278, 'lng': 120.3587840298927}, 'southwest': {'lat': -4.826528079892721, 'lng': 120.3560843701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BELOMA,,ChIJwyjearLPvS0RDexe1iWJzRY,4.0,ChIJwyjearLPvS0RDexe1iWJzRY,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJwyjearLPvS0RDexe1iWJzRY
OPERATIONAL,"C9JH+25R, Bajoe, Tanete Riattang Timur, Bone Regency, South Sulawesi 92716, Indonesia","{'location': {'lat': -4.5699146, 'lng': 120.3776623}, 'viewport': {'northeast': {'lat': -4.568589170107277, 'lng': 120.3789004798927}, 'southwest': {'lat': -4.571288829892721, 'lng': 120.3762008201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bajoe,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116697975716812981468"">Venoum Soc</a>'], 'photo_reference': 'AUGGfZlB9yQPEy7Qiayw5BiWUfKV3iSnco1IA3GLR_bIGCehzwYw3GmfEqmHiNAMaEWFtt-aqF7zqnioLDLEFPViWZc2QjG1JosbfTakqxUrGlY9T75D_6exCn7nbDjakpBs7WRkPP3kGjs_Mi4UEKqA3ORpiQW6CAPVEO5OOoiqyUcbbl9l', 'width': 3024}]",ChIJPaL0EL_vvS0RyOT68dmKuA4,4.3,ChIJPaL0EL_vvS0RyOT68dmKuA4,"['tourist_attraction', 'point_of_interest', 'establishment']",12,,,https://www.google.com/maps/place/?q=place_id:ChIJPaL0EL_vvS0RyOT68dmKuA4
OPERATIONAL,"67P2+HW5, Unnamed Road, Mattiro Walie, Kec. Mare, Kabupaten Bone, Sulawesi Selatan 92773, Indonesia","{'location': {'lat': -4.7636033, 'lng': 120.2523699}, 'viewport': {'northeast': {'lat': -4.762253470107278, 'lng': 120.2537197298927}, 'southwest': {'lat': -4.764953129892723, 'lng': 120.2510200701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Air Terjun Barugae, Useng",,ChIJUz_5omHbvS0RbV6OT8Gt8dQ,0.0,ChIJUz_5omHbvS0RbV6OT8Gt8dQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJUz_5omHbvS0RbV6OT8Gt8dQ
OPERATIONAL,"57VG+VF, Batu Gading, Mare, Bone Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.8052696, 'lng': 120.2761494}, 'viewport': {'northeast': {'lat': -4.804549120107278, 'lng': 120.2774341298927}, 'southwest': {'lat': -4.807248779892721, 'lng': 120.2747344701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BENDUNG WARU-WARU,"[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117133645326571644878"">A Google User</a>'], 'photo_reference': 'AUGGfZm2Mdsh0UqD8UCuBtI39y6px787wsThI-lv5Cvl8wKhX9u3W964qKunAG8RX9w0meXt5V84uDBDF0gzmhaqCklzDdLCGHXlVYhpT7fNQ4MRFcgHtuAUiqx_2j3Nw-cPOl1rjJlu2llT1pHPyvsG5YfiEre_ibX2gHB0Rh_kEO8_lFH3', 'width': 1440}]",ChIJAcybLdjbvS0R175FYoWSj-0,5.0,ChIJAcybLdjbvS0R175FYoWSj-0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJAcybLdjbvS0R175FYoWSj-0
OPERATIONAL,"Bulu-Bulu, Tonra, Bone Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.9149736, 'lng': 120.3067262}, 'viewport': {'northeast': {'lat': -4.913225970107278, 'lng': 120.3080347798928}, 'southwest': {'lat': -4.915925629892722, 'lng': 120.3053351201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Togeo Beach,"[{'height': 2610, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114346632297140586774"">Andi Revani Oktaviani</a>'], 'photo_reference': 'AUGGfZk9YA8uDyvqqQn5cUnHI6KWDxLWWZxkEIXHEh4mEpRnUYh92mHbrAV8nvgwvx4weetRn-4b0K83UqkW-06U52AuETs6uh2b3Yy18M_7veDbXecYIeV5zqQKVEid2-9gl-F4zz1yDtbhWeXr5Crcmv4IM--YS0eEmN9pRv8506LMrGy2', 'width': 4640}]",ChIJ99NhtaHTvS0R9-NdqV_gEHM,3.8,ChIJ99NhtaHTvS0R9-NdqV_gEHM,"['tourist_attraction', 'point_of_interest', 'establishment']",96,{'open_now': True},"{'compound_code': '38P4+2M Bulu-Bulu, Bone Regency, South Sulawesi, Indonesia', 'global_code': '6Q7238P4+2M'}",https://www.google.com/maps/place/?q=place_id:ChIJ99NhtaHTvS0R9-NdqV_gEHM
OPERATIONAL,"66FF+7X2, Lappa Upang, Mare, Bone Regency, South Sulawesi 92773, Indonesia","{'location': {'lat': -4.7768549, 'lng': 120.224887}, 'viewport': {'northeast': {'lat': -4.775505070107278, 'lng': 120.2262368298927}, 'southwest': {'lat': -4.778204729892723, 'lng': 120.2235371701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Baruttung,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112367593823415213774"">Syamsul Alam</a>'], 'photo_reference': 'AUGGfZkQVcrg8w6P05ZqRgwcrLOiojsk_OpmiV9A3MaOjIle_96YYZv0-K4Quw593l46D74I-tVIHUGHEVELW1B8HLhXc7ow2M6b8jbmGD_gc1I-djoRcNrn5MSTblkAa-66CXJyFDIjymKRDS4neI0RxB3RD0Fz6B_qeg2dDAxif3dGLd_z', 'width': 2048}]",ChIJ_61sc6HZvS0R9gaYLXC633g,3.9,ChIJ_61sc6HZvS0R9gaYLXC633g,"['tourist_attraction', 'point_of_interest', 'establishment']",23,,,https://www.google.com/maps/place/?q=place_id:ChIJ_61sc6HZvS0R9gaYLXC633g
