business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,permanently_closed,url
OPERATIONAL,"46QX+MM, Rappa, Tonra, Bone Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.8605364, 'lng': 120.2488847}, 'viewport': {'northeast': {'lat': -4.859186570107278, 'lng': 120.2502345298927}, 'southwest': {'lat': -4.861886229892722, 'lng': 120.2475348701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tondra,ChIJrxk8ZwDXvS0Rg9zuOu9Zl9k,0.0,ChIJrxk8ZwDXvS0Rg9zuOu9Zl9k,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJrxk8ZwDXvS0Rg9zuOu9Zl9k
OPERATIONAL,"28M3+5G9, Ujunge, Tonra, Bone Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.967081, 'lng': 120.303866}, 'viewport': {'northeast': {'lat': -4.965761120107278, 'lng': 120.3052485798927}, 'southwest': {'lat': -4.968460779892722, 'lng': 120.3025489201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung Pero,ChIJ3Xy4g4QtvC0R1rXogxVt0S0,4.6,ChIJ3Xy4g4QtvC0R1rXogxVt0S0,"['tourist_attraction', 'point_of_interest', 'establishment']",18,{'open_now': True},"[{'height': 3084, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100050535323206894938"">Fatta Alwi</a>'], 'photo_reference': 'AUGGfZlwyNxDCcDbnU6vPWNPteYoNUUvPTRt8wAKIwfM0EHulQDEPqTnF9-GS0XXUtajhToMUgPsJHzfSsIbkoSY4ZFAGbQrQggTkAE9bIIsEisae5VRDvNrRYn2Huc3hcbNpJkgBsOulIPATY8cxQtcNdyupDmvsyK7mATV0OTWA1m5mUIt', 'width': 4096}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ3Xy4g4QtvC0R1rXogxVt0S0
OPERATIONAL,"Bulu-Bulu, Tonra, Bone Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.9149736, 'lng': 120.3067262}, 'viewport': {'northeast': {'lat': -4.913225970107278, 'lng': 120.3080347798928}, 'southwest': {'lat': -4.915925629892722, 'lng': 120.3053351201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Togeo Beach,ChIJ99NhtaHTvS0R9-NdqV_gEHM,3.8,ChIJ99NhtaHTvS0R9-NdqV_gEHM,"['tourist_attraction', 'point_of_interest', 'establishment']",96,{'open_now': True},"[{'height': 2610, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114346632297140586774"">Andi Revani Oktaviani</a>'], 'photo_reference': 'AUGGfZn9O_C_obCbopf6Nw3BZT9wTPR_kQIElZWzdBejTfOCE3Qmfrx9IdeytajSLtQZHxjdPEjGwDlPDfTAp4Xsb6koM5dogVqcBXg9ZvD84IeirSUM1lUCrEJreL_7YLJMWO0Mzt4Tgop0WV3k8TG7l75VOEdIBDHOscB87K2pHj-pD6Q-', 'width': 4640}]","{'compound_code': '38P4+2M Bulu-Bulu, Bone Regency, South Sulawesi, Indonesia', 'global_code': '6Q7238P4+2M'}",,https://www.google.com/maps/place/?q=place_id:ChIJ99NhtaHTvS0R9-NdqV_gEHM
OPERATIONAL,"Bulu-Bulu, Tonra, Bone Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.911049, 'lng': 120.3035954}, 'viewport': {'northeast': {'lat': -4.910239150000001, 'lng': 120.3046234500001}, 'southwest': {'lat': -4.913478550000002, 'lng': 120.30051125}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PUNCAK KELOR TA WANUA TONRA,ChIJx3LyuM3TvS0RkWAbcjTQFUA,4.4,ChIJx3LyuM3TvS0RkWAbcjTQFUA,"['tourist_attraction', 'point_of_interest', 'establishment']",101,{'open_now': False},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108335225432605538691"">ridha amal</a>'], 'photo_reference': 'AUGGfZmyHBr_QHgw7Qcr6PRFx34v3VHx3_kH5IRXOtQHn3_rvRtxU8PD7SdVIYoQ4WA3xAKCF61359Ba95e6hlAoBLEOAHhIgGbSSZyrRM5EIKYMPBF5UTlkns8T8Ggpgxec56SHsrvHbkUBM559i6VZ4f1YYdBRAjPR7HDsITZvXHuToqQK', 'width': 4624}]","{'compound_code': '38Q3+HC Bulu-Bulu, Bone Regency, South Sulawesi, Indonesia', 'global_code': '6Q7238Q3+HC'}",,https://www.google.com/maps/place/?q=place_id:ChIJx3LyuM3TvS0RkWAbcjTQFUA
OPERATIONAL,"47HF+34, Libureng, Tonra, Bone Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.8722565, 'lng': 120.2728624}, 'viewport': {'northeast': {'lat': -4.871117570107277, 'lng': 120.2741787298927}, 'southwest': {'lat': -4.873817229892721, 'lng': 120.2714790701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KEBUN BONTOMPARE,ChIJJZUfdADRvS0RZdeQgS8QGjA,0.0,ChIJJZUfdADRvS0RZdeQgS8QGjA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJJZUfdADRvS0RZdeQgS8QGjA
OPERATIONAL,"28G2+94M, Ujunge, Tonra, Bone Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.9728388, 'lng': 120.3008586}, 'viewport': {'northeast': {'lat': -4.971485870107277, 'lng': 120.3021406798928}, 'southwest': {'lat': -4.974185529892721, 'lng': 120.2994410201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ashari,ChIJSwS9fXEtvC0RVm7gWB9dlUM,4.8,ChIJSwS9fXEtvC0RVm7gWB9dlUM,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,,,https://www.google.com/maps/place/?q=place_id:ChIJSwS9fXEtvC0RVm7gWB9dlUM
OPERATIONAL,"372R+JX, Bonepute, Tonra, Bone Regency, South Sulawesi 92775, Indonesia","{'location': {'lat': -4.948462, 'lng': 120.292478}, 'viewport': {'northeast': {'lat': -4.947057270107278, 'lng': 120.2938192298928}, 'southwest': {'lat': -4.949756929892722, 'lng': 120.2911195701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai tete,ChIJIZxqdrnTvS0RpnDmPoiK7NE,4.5,ChIJIZxqdrnTvS0RpnDmPoiK7NE,"['tourist_attraction', 'point_of_interest', 'establishment']",12,{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103578768710019432140"">A Google User</a>'], 'photo_reference': 'AUGGfZk1f4VQGafF2hPWXCVcn6F67T1Bouivo9XRXJbdJZpuNzeiZxZiOYjZJdDFMjWY93L342T-u6Nvhz_hscIr55gTqjfAX9BZt-Ix55yAZt8XxxnXl_RERde6bqIFJ1Y4EjUbpbWsamzLiOCU9j8HOrwDyDeVLL9xUOb-O55-jIXjtmsE', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJIZxqdrnTvS0RpnDmPoiK7NE
OPERATIONAL,"38Q5+PVW, Bulu-Bulu, Tonra, Bone Regency, South Sulawesi 92774, Indonesia","{'location': {'lat': -4.9106424, 'lng': 120.3097159}, 'viewport': {'northeast': {'lat': -4.909299820107277, 'lng': 120.3110588798928}, 'southwest': {'lat': -4.911999479892721, 'lng': 120.3083592201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Bonelampe,ChIJw6EDfoXTvS0R3mxEb2vpbtE,4.6,ChIJw6EDfoXTvS0R3mxEb2vpbtE,"['tourist_attraction', 'point_of_interest', 'establishment']",15,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108344013589188337597"">wazir rahim</a>'], 'photo_reference': 'AUGGfZn9NqUoHZIu4zrfbubkLIPcx5J3Bz50taSFpOmcy4w9pnAyMFCz7YV31RiDO0miWyN0R-Mdm4tUg2Z8NLTmKgfr4n8pQoON8PMKwWUcdnvcl8-uaBwXaxrzWSYi7ypkCaJeqkBUz7A9tPVsyojsa_6LdYljnJji6fJ-DJroaDKdUJHo', 'width': 4032}]",,,https://www.google.com/maps/place/?q=place_id:ChIJw6EDfoXTvS0R3mxEb2vpbtE
OPERATIONAL,"38Q3+VQM, Togeo, Bulu-Bulu, Kec. Tonra, Kabupaten Bone, Sulawesi Selatan, Indonesia","{'location': {'lat': -4.9102977, 'lng': 120.3044108}, 'viewport': {'northeast': {'lat': -4.90606695, 'lng': 120.3058754298928}, 'southwest': {'lat': -4.91170795, 'lng': 120.3031757701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PUNCAK KELOR TOGEO,ChIJz56HSbjTvS0RAKo22dhKbek,4.5,ChIJz56HSbjTvS0RAKo22dhKbek,"['tourist_attraction', 'point_of_interest', 'establishment']",19,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115368661576955819902"">A Google User</a>'], 'photo_reference': 'AUGGfZkDmAwkEqkbiq4RdmC6PHxEXik9j73wSPKdsynvnGDI6INobYgeELEp6lcrt_aXCyy8jABXUxXD9qk_lknLXrSk8nA4_VJtYFHE4jDKoWScmFm-BG7trQoCk_r56py1iPZ6Cy7bmprNgENuvd-NVE9NBTmqpaDb9XvI4DyTH0eAVILM', 'width': 3000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJz56HSbjTvS0RAKo22dhKbek
OPERATIONAL,"47F9+QCG, Libureng, Tonra, Bone Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.8755714, 'lng': 120.2685799}, 'viewport': {'northeast': {'lat': -4.874311070107278, 'lng': 120.2697979298927}, 'southwest': {'lat': -4.877010729892722, 'lng': 120.2670982701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa leppangeng,ChIJT-OJO6zRvS0RyK4SjlMFsJQ,0.0,ChIJT-OJO6zRvS0RyK4SjlMFsJQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJT-OJO6zRvS0RyK4SjlMFsJQ
OPERATIONAL,"28J2+4XF, Unnamed Road, Ujunge, Kec. Tonra, Kabupaten Bone, Sulawesi Selatan, Indonesia","{'location': {'lat': -4.9696934, 'lng': 120.3024357}, 'viewport': {'northeast': {'lat': -4.968326320107277, 'lng': 120.3037262298927}, 'southwest': {'lat': -4.971025979892721, 'lng': 120.3010265701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Ujunge,ChIJzfdbWYQtvC0R3pCpvptZvkE,4.5,ChIJzfdbWYQtvC0R3pCpvptZvkE,"['tourist_attraction', 'point_of_interest', 'establishment']",39,{},"[{'height': 3616, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109828777260726884909"">hasbi adzan</a>'], 'photo_reference': 'AUGGfZnwH3J88Zz_wJDhwVaaVUcfdV6Imfip7_F8X-L0DqdZpaTnIfEZ4BdX1arhXZNUBbjpw_lAeKAw9_ZPfskhGhbEcShBo3TcNYal07cpcBTcZtnKJ0qyZxb247ArG94iiou_1RTFw3K7lXxXvWam7NInE5mE3qYGCfZfrIGpXjNlhG6k', 'width': 6938}]",,,https://www.google.com/maps/place/?q=place_id:ChIJzfdbWYQtvC0R3pCpvptZvkE
CLOSED_TEMPORARILY,"38M3+QJ3, Bulu-Bulu, Tonra, Bone Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.9156057, 'lng': 120.304042}, 'viewport': {'northeast': {'lat': -4.9135006, 'lng': 120.3055070798927}, 'southwest': {'lat': -4.916307399999998, 'lng': 120.3028074201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA PENYEJUK HATI BATU LOPPOE,ChIJW6g3tZjTvS0REGoSg7LSqMI,0.0,ChIJW6g3tZjTvS0REGoSg7LSqMI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,True,https://www.google.com/maps/place/?q=place_id:ChIJW6g3tZjTvS0REGoSg7LSqMI
CLOSED_TEMPORARILY,"37VP+39V, Bulu-Bulu, Tonra, Bone Regency, South Sulawesi 92774, Indonesia","{'location': {'lat': -4.908125699999999, 'lng': 120.2865762}, 'viewport': {'northeast': {'lat': -4.906890070107278, 'lng': 120.2879897798927}, 'southwest': {'lat': -4.909589729892722, 'lng': 120.2852901201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KOMPLEKS PERKUBURAN BIRORO PERMAI,ChIJSXgl-dnTvS0RTIU79R9BrLE,5.0,ChIJSXgl-dnTvS0RTIU79R9BrLE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,True,https://www.google.com/maps/place/?q=place_id:ChIJSXgl-dnTvS0RTIU79R9BrLE
CLOSED_TEMPORARILY,"3737+37X, Gareccing, Tonra, Bone Regency, South Sulawesi, Indonesia","{'location': {'lat': -4.9472668, 'lng': 120.2632349}, 'viewport': {'northeast': {'lat': -4.945916970107277, 'lng': 120.2645847298927}, 'southwest': {'lat': -4.948616629892721, 'lng': 120.2618850701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Cimpolong,ChIJ1XGCNBbTvS0Ro9I0pKFRnZw,0.0,ChIJ1XGCNBbTvS0Ro9I0pKFRnZw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,True,https://www.google.com/maps/place/?q=place_id:ChIJ1XGCNBbTvS0Ro9I0pKFRnZw
