business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"FF6Q+H3H, Hutan, Cluntang, Kec. Musuk, Kabupaten Boyolali, Jawa Tengah 57331, Indonesia","{'location': {'lat': -7.538567800000001, 'lng': 110.4877273}, 'viewport': {'northeast': {'lat': -7.537237320107278, 'lng': 110.4890954798927}, 'southwest': {'lat': -7.539936979892722, 'lng': 110.4863958201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tikungan Cinta,{'open_now': True},"[{'height': 612, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103950916868291715091"">Nanda Iwan</a>'], 'photo_reference': 'AUGGfZmablwgVU7_s9K3IAmyIQDI9sjzVJbuMr9dPPmNuZN44O1TY6S6iBKHm4_0c103elDuar9gKY7afUygtIR--VhbUwhCRABqjpv7n02gup6BhOtmPMy2_aSZ61bQrvFCUys_nzTG9WrJdsKg7DKabaHhzx4-9CCazjs6f4WFUZuYzQql', 'width': 1065}]",ChIJAQAAACtkei4RSeQOf3UNXqI,4.2,ChIJAQAAACtkei4RSeQOf3UNXqI,"['tourist_attraction', 'point_of_interest', 'establishment']",615.0,,,https://www.google.com/maps/place/?q=place_id:ChIJAQAAACtkei4RSeQOf3UNXqI
OPERATIONAL,"Hutan, Cluntang, Musuk, Boyolali Regency, Central Java 57331, Indonesia","{'location': {'lat': -7.541667599999999, 'lng': 110.481164}, 'viewport': {'northeast': {'lat': -7.540237220107277, 'lng': 110.4865175}, 'southwest': {'lat': -7.542936879892721, 'lng': 110.4793795}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gumuk Indah Boyolali,{'open_now': True},"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106062732281699091674"">Erwan Afriyanto</a>'], 'photo_reference': 'AUGGfZmhn6X1hiKgN0lYKRXoYYIyZ1ZI0zgFfzjmeXfSzp_d5IzH5QlMFl3P_EkqeKIJqQVvuxRNWEIgT50iWT1UgcYLSNHm0Z6CbGFVNOBC1djGw7Zu8fHC6QB5C_xCRBZ4VLImB_epIHls80lrfjLJ5zt7ofsfHJjPqKOzwsflP-xRrytv', 'width': 1040}]",ChIJ5_zTYNZlei4RV_jD-Tzqau4,4.3,ChIJ5_zTYNZlei4RV_jD-Tzqau4,"['tourist_attraction', 'point_of_interest', 'establishment']",74.0,"{'compound_code': 'FF5J+8F Cluntang, Boyolali Regency, Central Java, Indonesia', 'global_code': '6P4GFF5J+8F'}",,https://www.google.com/maps/place/?q=place_id:ChIJ5_zTYNZlei4RV_jD-Tzqau4
,"Musuk, Boyolali Regency, Central Java, Indonesia","{'location': {'lat': -7.568714000000001, 'lng': 110.5359039}, 'viewport': {'northeast': {'lat': -7.528612000000001, 'lng': 110.593079}, 'southwest': {'lat': -7.635050100000001, 'lng': 110.446119}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Musuk,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108739212184672598130"">Mamad Darmadi</a>'], 'photo_reference': 'AUGGfZlrl_fyRWFXt8eeV149yQyWyEtV7KAC5DkwsOhogEGvqzWtEFb1piYG02hLop9wDjyxcG7ecXzgGrk0xJYEFRkptZm9Wcd_A8kHjwfXgOcEk7Js2kRQPMdlRGtRuDCs7_gzklxM6mqK65zfl8Bq3JB28bGXfpaayIn0cml3OL_i9cuZ', 'width': 3120}]",ChIJeYTPtCtmei4RwANT43Z6AgQ,,ChIJeYTPtCtmei4RwANT43Z6AgQ,"['administrative_area_level_3', 'political']",,,,https://www.google.com/maps/place/?q=place_id:ChIJeYTPtCtmei4RwANT43Z6AgQ
OPERATIONAL,"CFQJ+WRH, Dusun 3, Sangup, Kec. Musuk, Kabupaten Boyolali, Jawa Tengah 57331, Indonesia","{'location': {'lat': -7.5601885, 'lng': 110.4821071}, 'viewport': {'northeast': {'lat': -7.558860070107277, 'lng': 110.4834397798927}, 'southwest': {'lat': -7.56155972989272, 'lng': 110.4807401201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA ALAM SUDIMORO,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114959324689244446899"">dwi soeranto</a>'], 'photo_reference': 'AUGGfZlcyQSruZ9c-2zOmqnmmhPSTbz8x1nlRfVntZNcPtJaA01nVALbkOxwU_4SwYyd6MkA0Lkmaj_bc9gTKMXEd22SmKswctw_tlwmMhna6uLADOxfNRjWCzQMmY_-TQwaGMILj-7SzdY2JaRCiLrHYYkXbfFY3fv_FFp2QvHQVrtlTtux', 'width': 4608}]",ChIJoYs1W1Rnei4RIPCkwY0hKaU,4.4,ChIJoYs1W1Rnei4RIPCkwY0hKaU,"['tourist_attraction', 'point_of_interest', 'establishment']",21.0,,,https://www.google.com/maps/place/?q=place_id:ChIJoYs1W1Rnei4RIPCkwY0hKaU
OPERATIONAL,"CFVV+RCM, Dusun III, Mriyan, Kec. Musuk, Kabupaten Boyolali, Jawa Tengah, Indonesia","{'location': {'lat': -7.555422399999999, 'lng': 110.4935497}, 'viewport': {'northeast': {'lat': -7.554087370107277, 'lng': 110.4949061298927}, 'southwest': {'lat': -7.556787029892721, 'lng': 110.4922064701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Deffjanuar spot 1,{'open_now': True},"[{'height': 2080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106245035752703510797"">A Google User</a>'], 'photo_reference': 'AUGGfZmc9lD9jSaMU-ZN_pXLXReFx3l6mHh9nn6XrVRagZoB1UGEzOZWS2udeKvJWPfTynG9uBtQKYn4T0tYFxcZUDs4td-DvSOlf9ACh3ds2rmMM-SJwhpMta1ZOnHRYOyFexyaWPe9oqTzJV144OPtBMGuIPQvoBYagBkMBNE77DUhIwTM', 'width': 1560}]",ChIJtdzTKk5nei4R8BAPaprhdH0,5.0,ChIJtdzTKk5nei4R8BAPaprhdH0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJtdzTKk5nei4R8BAPaprhdH0
OPERATIONAL,"Dusun II, Sruni, Musuk, Boyolali Regency, Central Java 57361, Indonesia","{'location': {'lat': -7.5576576, 'lng': 110.5214812}, 'viewport': {'northeast': {'lat': -7.556322520107279, 'lng': 110.5228260298927}, 'southwest': {'lat': -7.559022179892723, 'lng': 110.5201263701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Prapatan Mlambong, Sruni, Musuk, boyolali",{'open_now': True},"[{'height': 673, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103618931749515088065"">A Google User</a>'], 'photo_reference': 'AUGGfZnouiJxw3gMl8wSgXQ7KguQm2jxPQ7lcxxOFCMVMdUFKrWaFY8MmB1tG4i7YI6ikEKAKDohjlJl2noO4lN2no6cSyPZG5-cxUyJIJe-k7pZXEhNv2FMMWEQb_oe0F3KxMRuNdWNwbxpP-ov1f71W2ZV8GtgsSyIVoV9DYBym9YIr4R-', 'width': 1200}]",ChIJC4CGJH9nei4R4zOvK8vip6U,4.2,ChIJC4CGJH9nei4R4zOvK8vip6U,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,"{'compound_code': 'CGRC+WH Sruni, Boyolali Regency, Central Java, Indonesia', 'global_code': '6P4GCGRC+WH'}",,https://www.google.com/maps/place/?q=place_id:ChIJC4CGJH9nei4R4zOvK8vip6U
OPERATIONAL,"Hutan, Wonodoyo, Cepogo, Boyolali Regency, Central Java 57362, Indonesia","{'location': {'lat': -7.525791000000001, 'lng': 110.4836591}, 'viewport': {'northeast': {'lat': -7.524414820107277, 'lng': 110.4849977798927}, 'southwest': {'lat': -7.527114479892721, 'lng': 110.4822981201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Banggi Mountain Roads,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115158002044436769402"">Avi Cosmic</a>'], 'photo_reference': 'AUGGfZkP1PAttlEDzG1wWWd9Sx5nwNfCB2yhHE9cEXBe9Ne3zKlQh5IGlZVSN2L51dp-8gcc4gYKYN2oAFnJfsn2yqLxr3ylZ1aOyt0nQD1yvbDjM_cxXhn13FEfh4l6tVaC10TwAVC5LjKewaUDS5lT2GsU5uQ_QINt2WJz4IYgdGWo1pkC', 'width': 4000}]",ChIJVVaaRhFlei4RScbWqleYrD0,4.7,ChIJVVaaRhFlei4RScbWqleYrD0,"['tourist_attraction', 'point_of_interest', 'establishment']",41.0,"{'compound_code': 'FFFM+MF Wonodoyo, Boyolali Regency, Central Java, Indonesia', 'global_code': '6P4GFFFM+MF'}",,https://www.google.com/maps/place/?q=place_id:ChIJVVaaRhFlei4RScbWqleYrD0
OPERATIONAL,"FGFF+3GW, Cepogo, Dusun II, Sumbung, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57362, Indonesia","{'location': {'lat': -7.5272703, 'lng': 110.5238233}, 'viewport': {'northeast': {'lat': -7.525912170107276, 'lng': 110.5251704798927}, 'southwest': {'lat': -7.52861182989272, 'lng': 110.5224708201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Selo Tapak Noto,{'open_now': True},"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107279194882710945182"">A Google User</a>'], 'photo_reference': 'AUGGfZlr3vXH_21QgCMKVvZz4WTDr6aZpQCVBCiN-wuh2W8_5HG3yEP0fhwX6qwjgJYDxpEEbm48R0pdhrorYJksHwamLuRO5qkiUecVDyU08YHno4OhK8EDJZGxzIVt-YjC_08jOASVcKmFVSEgCMuvrzmQ_fOyKPLpgJotlAGsOrvwOJsg', 'width': 768}]",ChIJrbPOj1hvei4RGBk3hZhL02k,4.4,ChIJrbPOj1hvei4RGBk3hZhL02k,"['tourist_attraction', 'point_of_interest', 'establishment']",72.0,,,https://www.google.com/maps/place/?q=place_id:ChIJrbPOj1hvei4RGBk3hZhL02k
,"Musuk, Boyolali Regency, Central Java, Indonesia","{'location': {'lat': -7.538096, 'lng': 110.5483612}, 'viewport': {'northeast': {'lat': -7.528612000000001, 'lng': 110.5636201}, 'southwest': {'lat': -7.551186899999999, 'lng': 110.531129}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Musuk,,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108296342024695634446"">joko susilo</a>'], 'photo_reference': 'AUGGfZmOZkCVWpuZp509zFGbm5cSee5DfUJFMDaCrS8LwMwCnrlvVhG4j4raKJUr4YNWewm4OEqygScALiiBvFqUACPQikx3VVjd2kHltuloeKWrbZDDwBoF2bzETFLv_y5ecYTZ4LdjJ-gWMoo6-djqiisXJV4TyRV6Z8f0q_cc2C-kuVVW', 'width': 2048}]",ChIJRd2yOzVvei4RuCAe0M6S0rs,,ChIJRd2yOzVvei4RuCAe0M6S0rs,"['administrative_area_level_4', 'political']",,,,https://www.google.com/maps/place/?q=place_id:ChIJRd2yOzVvei4RuCAe0M6S0rs
OPERATIONAL,"Jl. Raya Boyolali-Semarang No.171, Bayanan, Banaran, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57313, Indonesia","{'location': {'lat': -7.5324799, 'lng': 110.6014393}, 'viewport': {'northeast': {'lat': -7.530994620107279, 'lng': 110.6028645798927}, 'southwest': {'lat': -7.533694279892723, 'lng': 110.6001649201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Arjuna Wiwaha Statue,{'open_now': True},"[{'height': 2998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118060508202437385454"">eko santo</a>'], 'photo_reference': 'AUGGfZkz1cJ3dN8Dj4mb7yx163VzODtRF2sg_q0mou6_1g_WsZQCJ_lXtbhISJ4dSWKD4TrscegUAsdqJPsKDjZY73FmwdtTz2n0Jy2n0Tz1PRFz63GyJtHtNVFOingf4KwKhUM9CJcBeiFsB1KPsX72Yux_FYz9zVK1A6HTtfjGWl7MF2Vw', 'width': 3998}]",ChIJI1ePerFuei4RLHx4btbsviQ,4.5,ChIJI1ePerFuei4RLHx4btbsviQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1651.0,"{'compound_code': 'FJ92+2H Banaran, Boyolali Regency, Central Java, Indonesia', 'global_code': '6P4GFJ92+2H'}",,https://www.google.com/maps/place/?q=place_id:ChIJI1ePerFuei4RLHx4btbsviQ
