business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"CMHM+5V3, Unnamed Road, Dusun 1, Kemasan, Kec. Sawit, Kabupaten Boyolali, Jawa Tengah 57374, Indonesia","{'location': {'lat': -7.572114399999999, 'lng': 110.684687}, 'viewport': {'northeast': {'lat': -7.570746220107278, 'lng': 110.6860648798927}, 'southwest': {'lat': -7.573445879892722, 'lng': 110.6833652201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dendang Sawit Fishing,{'open_now': False},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112695772865826327977"">A Google User</a>'], 'photo_reference': 'AUGGfZklIuNLeRVrn-Bie1Ufi14rKL9k9KqDjrCt9glqd4l4syTOm_LuNYvhvAo9JxxK8KF464v0JD8o8Gp4K00B7McD6v-gOlOyHMSrlpImAba_oszORKjqNzryWoaV9YN9lb_Vi93BHiaxpq5ghVr-lHQsdAxS2GzIatgf8ykwLtiHhJM7', 'width': 1920}]",ChIJXUMAoVhrei4RukzkCNVgafQ,4.6,ChIJXUMAoVhrei4RukzkCNVgafQ,"['tourist_attraction', 'point_of_interest', 'establishment']",17,,,https://www.google.com/maps/place/?q=place_id:ChIJXUMAoVhrei4RukzkCNVgafQ
OPERATIONAL,"CM9Q+H8M, Dusun I, Manjung, Kec. Sawit, Kabupaten Boyolali, Jawa Tengah 57374, Indonesia","{'location': {'lat': -7.5806124, 'lng': 110.6878582}, 'viewport': {'northeast': {'lat': -7.579244370107279, 'lng': 110.6894116798927}, 'southwest': {'lat': -7.581944029892723, 'lng': 110.6867120201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam ikan,,,ChIJPXtsMDZrei4RmyVotHWQlNg,0.0,ChIJPXtsMDZrei4RmyVotHWQlNg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJPXtsMDZrei4RmyVotHWQlNg
OPERATIONAL,"CMJW+JVM, Dusun III, Jatirejo, Kec. Sawit, Kabupaten Boyolali, Jawa Tengah 57374, Indonesia","{'location': {'lat': -7.568490599999999, 'lng': 110.6971793}, 'viewport': {'northeast': {'lat': -7.567204870107277, 'lng': 110.6985703798927}, 'southwest': {'lat': -7.569904529892721, 'lng': 110.6958707201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Galilea,,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109662824148654291145"">A Google User</a>'], 'photo_reference': 'AUGGfZnm3KtHZciyDkuUly_ME8oPaGXJL_FnlyNGtQ6HOgwkuPtqsQB52XlSQl_EoS_Bz0g2FvVm8qCYzKwEt0X9wCDxPzC52Ptruyq8XEF3xOFsu42OYHh_Iv8--24u2J6z5OGaiJLw5msCfinlZjjV-6KysqTnMjxuqg5HrC1A2tKSIJ4W', 'width': 1080}]",ChIJ_ZH4MiRrei4RAVuUgj4qNxk,5.0,ChIJ_ZH4MiRrei4RAVuUgj4qNxk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJ_ZH4MiRrei4RAVuUgj4qNxk
OPERATIONAL,"Unnamed Road, Dusun 1, Kemasan, Kec. Sawit, Kabupaten Boyolali, Jawa Tengah 57374, Indonesia","{'location': {'lat': -7.5706713, 'lng': 110.6782504}, 'viewport': {'northeast': {'lat': -7.569333270107277, 'lng': 110.6795991798927}, 'southwest': {'lat': -7.572032929892721, 'lng': 110.6768995201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sanggar Jonggring Saloka,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107543831051083004651"">A Google User</a>'], 'photo_reference': 'AUGGfZk1Ye0pVG8RWxspLRbWmiyqVccoLZjg8w92h5TEVNcsTdH-Arzt2s_Y0UFITDPmKOZJNMa3iKbqC1EFADut8_1Zau3TIPTLGvejgOhtaCvjpn_SXK87jEo76bLPn_QaPTMqHqPzW4DoPOPToqRysA8bkdgapz77vDBb1P8QyopzFZbv', 'width': 1280}]",ChIJoxVZzLZrei4Rxo_oH98MqMk,5.0,ChIJoxVZzLZrei4Rxo_oH98MqMk,"['tourist_attraction', 'point_of_interest', 'establishment']",9,"{'compound_code': 'CMHH+Q8 Kemasan, Boyolali Regency, Central Java, Indonesia', 'global_code': '6P4GCMHH+Q8'}",,https://www.google.com/maps/place/?q=place_id:ChIJoxVZzLZrei4Rxo_oH98MqMk
OPERATIONAL,"CMCH+4R2, Dusun 2, Gombang, Kec. Sawit, Kabupaten Boyolali, Jawa Tengah 57374, Indonesia","{'location': {'lat': -7.579743899999999, 'lng': 110.6795096}, 'viewport': {'northeast': {'lat': -7.578436120107277, 'lng': 110.6808413798927}, 'southwest': {'lat': -7.581135779892721, 'lng': 110.6781417201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Sumber,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117296468830663630991"">A Google User</a>'], 'photo_reference': 'AUGGfZnam1F8qR-oVSMJgNHF2ARtf-lqq-hb8GRcXlJDNK30yBK2IvSver05q-hBtvAFw3hiYETVdKTEbwfADi9LGpzd4usmY-AHyTfMotQnJPlis66O8cvgsgHSUTHRpn4K7ZNs8Oo1aNaRbIQP2xj78KY81JYlz5VN2JrBcdKJ_so1hWEa', 'width': 4000}]",ChIJm3cEsmprei4Ralui6iUd844,5.0,ChIJm3cEsmprei4Ralui6iUd844,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJm3cEsmprei4Ralui6iUd844
OPERATIONAL,"CPQ6+25J, Unnamed Road, Dusun II, Guwokajen, Kec. Sawit, Kabupaten Boyolali, Jawa Tengah 57374, Indonesia","{'location': {'lat': -7.5624213, 'lng': 110.7103829}, 'viewport': {'northeast': {'lat': -7.561073570107278, 'lng': 110.7117101798927}, 'southwest': {'lat': -7.563773229892722, 'lng': 110.7090105201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hutan jati,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118265399243760197314"">A Google User</a>'], 'photo_reference': 'AUGGfZmoTaLuN7MLXUOpUAXdVAL5FyEYO9kOWA73CIfAd9EEmMYLgG8vTA_EhF9J-BoC36LCLXu6o_onzQrIFLs_J5gcaSSMkRUoP9OdEyBTPeRCjTIMxQ-jcVuBUVgvGVPuyIKg6sI7O-Iwiz208z8ln5GF-L7WnviSav8KdWEDjBh9HQ1L', 'width': 4032}]",ChIJDZ7epC1rei4R__LcCbrZtxk,0.0,ChIJDZ7epC1rei4R__LcCbrZtxk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJDZ7epC1rei4R__LcCbrZtxk
OPERATIONAL,"Bletengan, RT.02/RW.01, Dusun I, Cepokosawit, Kec. Sawit, Kabupaten Boyolali, Jawa Tengah 57374, Indonesia","{'location': {'lat': -7.566945899999999, 'lng': 110.6915182}, 'viewport': {'northeast': {'lat': -7.565580170107277, 'lng': 110.6928654798927}, 'southwest': {'lat': -7.568279829892721, 'lng': 110.6901658201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,agrobisnis dan edufarm,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110276419780423497562"">A Google User</a>'], 'photo_reference': 'AUGGfZmsIP2ijYMl5UINHENRk4Yss3u75c81lHLgzAu5ptELfL1cyJ2bRA1xrnHiDm6hPS53W0JZ3avh8NyD9MAqs94r_6Pg9T6SFoeW4e73PDY-xoJgszd0aMXUfk_ezYuAB3l7UKz413pa1oefr3LDw3hRMSHwg13BrnSnZjEzXMi2ndP6', 'width': 3120}]",ChIJ6ZFYCj9rei4RBfLy48hp_-I,0.0,ChIJ6ZFYCj9rei4RBfLy48hp_-I,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'CMMR+6J Cepokosawit, Boyolali Regency, Central Java, Indonesia', 'global_code': '6P4GCMMR+6J'}",,https://www.google.com/maps/place/?q=place_id:ChIJ6ZFYCj9rei4RBfLy48hp_-I
OPERATIONAL,"CMJQ+JG4, Dusun II, Cepokosawit, Kec. Sawit, Kabupaten Boyolali, Jawa Tengah 57374, Indonesia","{'location': {'lat': -7.568490499999999, 'lng': 110.688827}, 'viewport': {'northeast': {'lat': -7.567185120107278, 'lng': 110.6903909798927}, 'southwest': {'lat': -7.569884779892722, 'lng': 110.6876913201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,White Elephant park,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108040751593123943557"">Sofita Rizky R</a>'], 'photo_reference': 'AUGGfZmbFKF420qE7dtf1rGtrerpTFXjzB0ZgH_tjFJiuEBZ-8_X80wcDXxl52B_KgjA6Zre33t7PPHPsFgR1TKvywcLSJ9kP_YnvYqago4jXfcSgJABs_a7tp9hcEizUq4i79FhWc4bYLWR9fB7IxlyflMl_xtp_l7B-uTCloBAr0WwD0gT', 'width': 4160}]",ChIJq7ViDCJrei4RJned6VNLFik,4.3,ChIJq7ViDCJrei4RJned6VNLFik,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",344,,,https://www.google.com/maps/place/?q=place_id:ChIJq7ViDCJrei4RJned6VNLFik
OPERATIONAL,"CPQ6+MRF, Dusun II, Guwokajen, Kec. Sawit, Kabupaten Boyolali, Jawa Tengah 57374, Indonesia","{'location': {'lat': -7.560804699999999, 'lng': 110.7120489}, 'viewport': {'northeast': {'lat': -7.559451420107277, 'lng': 110.7133998298927}, 'southwest': {'lat': -7.562151079892721, 'lng': 110.7107001701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,View of Gunung Mijil Guwokajen,,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116731731111561105297"">A Google User</a>'], 'photo_reference': 'AUGGfZkw4f8MTcNGT4ciubJX6PHbUfeUMVqI7EGAjZBY3-BwBOs_ickBReD6czUoIEVo2VaYxWAm-NXZZoaYFS723pO-bnIqONyqn4JmW-CZ4QavPfm23tiN2Owl-JW32W743XBNpwfNofIRjybwfkhg5ITT9YXHiFcRxIivmp4KhEUvp1ng', 'width': 1840}]",ChIJmWdijitrei4R-Bxtn2YxvHA,5.0,ChIJmWdijitrei4R-Bxtn2YxvHA,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJmWdijitrei4R-Bxtn2YxvHA
OPERATIONAL,"CMQ9+94J, Dusun 2, Jenengan, Kec. Sawit, Kabupaten Boyolali, Jawa Tengah 57374, Indonesia","{'location': {'lat': -7.561542199999999, 'lng': 110.6677763}, 'viewport': {'northeast': {'lat': -7.560190470107279, 'lng': 110.6692476798927}, 'southwest': {'lat': -7.562890129892723, 'lng': 110.6665480201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Umbul Leses,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104978754312365352867"">A Google User</a>'], 'photo_reference': 'AUGGfZmTmrtEY91i1r8529_Cy_s7CjPv09JCg1YQXPsRa2nsEylBZLhra27-9s16uTidl1F1-Of8jlgabh5KOwwXjKAbnSOmnQ28hziM4RNtqjLMSShPclzUbeWzjxQHbe0Yne_l_tH2j6QgBXfXLQ5oxrg1KwmhLLchqGhS-_m3mBaWcj7d', 'width': 3456}]",ChIJ7e35dAlrei4RF4z4J25n9FY,4.3,ChIJ7e35dAlrei4RF4z4J25n9FY,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",454,,,https://www.google.com/maps/place/?q=place_id:ChIJ7e35dAlrei4RF4z4J25n9FY
