business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,plus_code,opening_hours,permanently_closed,url
OPERATIONAL,"H9CQ+W7P, Jl.Jatting Kr, Borong, Kec. Hero Lange-Lange, Kabupaten Bulukumba, Sulawesi Selatan 92573, Indonesia","{'location': {'lat': -5.427656199999999, 'lng': 120.3881497}, 'viewport': {'northeast': {'lat': -5.426349170107279, 'lng': 120.3894108798927}, 'southwest': {'lat': -5.429048829892722, 'lng': 120.3867112201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sarajayya,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117337506986876755330"">Abdul Haris Awie</a>'], 'photo_reference': 'AUGGfZlYKhxlGwwAFSaUP92NJzaQD2l9PnkI4p0st432GT4LgEW2lGF4eBxUFNkO5nGzHcd7YZwzAp4J-FVKTWxmYy57Dv0LVvtJCrfEURRalh_z9Cnn3Bm-ygHPapMXQo3te39Oe5CHzjKh3AwVZZgWUiEn5Mn5N8hvw-W_kOpp4ii3yvz5', 'width': 1600}]",ChIJvbvrIQIPvC0R-xnEQ6067yQ,3.9,ChIJvbvrIQIPvC0R-xnEQ6067yQ,"['tourist_attraction', 'point_of_interest', 'establishment']",10.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJvbvrIQIPvC0R-xnEQ6067yQ
OPERATIONAL,"Karassing, Herlang, Bulukumba Regency, South Sulawesi 92573, Indonesia","{'location': {'lat': -5.4253939, 'lng': 120.3298248}, 'viewport': {'northeast': {'lat': -5.424276520107278, 'lng': 120.33071045}, 'southwest': {'lat': -5.426976179892722, 'lng': 120.32716785}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DANAU CEKDANG,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113825385695918479390"">A Google User</a>'], 'photo_reference': 'AUGGfZmogKKJ9Df7TfrS9mWbJoWimLBlHmuZlwixZiCioftvVdrFCuogm1_U6VK9AWGHwoV9pTcvtJ3estBCfSmJd-iecfgycvYJ8N2RilBPcgpN3Y71qDY6u2ljJlScgHC_0B-2mws2qfmAW4_EASRhXupzpNQpPecWsOnU5yAZ6fS8Ajut', 'width': 960}]",ChIJk_Mtw0EFvC0RZqVWWucL8v8,5.0,ChIJk_Mtw0EFvC0RZqVWWucL8v8,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"{'compound_code': 'H8FH+RW Karassing, Bulukumba Regency, South Sulawesi, Indonesia', 'global_code': '6Q62H8FH+RW'}",,,https://www.google.com/maps/place/?q=place_id:ChIJk_Mtw0EFvC0RZqVWWucL8v8
OPERATIONAL,"JCR3+R7, Laikang, Kajang, Bulukumba Regency, South Sulawesi, Indonesia","{'location': {'lat': -5.3578844, 'lng': 120.4032124}, 'viewport': {'northeast': {'lat': -5.356518620107278, 'lng': 120.4045813798927}, 'southwest': {'lat': -5.359218279892722, 'lng': 120.4018817201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KALELENG BAWA,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105179050753022188009"">A Google User</a>'], 'photo_reference': 'AUGGfZnIqiJrXJqN-6ULsjtg-wR5R9wynbJGTRDX28c3Rl7XroQ1w9J2Ii8W4CzgRVmhkjYbrIE0k0e9XvgiitaLhiIk9OVM-1AuTxoWyxGbsqBa-IGE5Fr8DoHpts7R148wrbJlsMfAs-33PcoVTTrchH2sGd1QxZOtki5oihBPD9abUc2W', 'width': 3120}]",ChIJMe8fhksRvC0RqQz9H3LGy5E,3.8,ChIJMe8fhksRvC0RqQz9H3LGy5E,"['tourist_attraction', 'lawyer', 'point_of_interest', 'establishment']",4.0,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJMe8fhksRvC0RqQz9H3LGy5E
OPERATIONAL,"HCM9+QQQ, Jl. Pantai Kassi-Kassi, Bontokamase, Herlang, Bonto Kamase, Kabupaten Bulukumba, Sulawesi Selatan, Indonesia","{'location': {'lat': -5.415546399999999, 'lng': 120.4194716}, 'viewport': {'northeast': {'lat': -5.414532070107278, 'lng': 120.4205311798927}, 'southwest': {'lat': -5.417231729892722, 'lng': 120.4178315201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Batutaha, Labuang Simatayya","[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118381546386521061336"">Ian Konjo</a>'], 'photo_reference': 'AUGGfZnzq_PK4g6pCuXfopvNKNo4VZ4Zveg2h4hvBIkOovFv7F_cS_sacsRlpnRXM8PQEn_TD3KWiHXcPlH5em_yfg6VJAOGgyXFau703ay-tysSPcrVLG-dA7OHKuK4MAz8CR0q_DaOXJxNRMSAMTNmaVpi1Ws6pYhI7p45S7vhU6cCldxg', 'width': 4160}]",ChIJkSWLFmQOvC0RviKFgOobFzM,4.5,ChIJkSWLFmQOvC0RviKFgOobFzM,"['tourist_attraction', 'point_of_interest', 'establishment']",11.0,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJkSWLFmQOvC0RviKFgOobFzM
OPERATIONAL,"JCQ3+X7, Laikang, Kajang, Bulukumba Regency, South Sulawesi, Indonesia","{'location': {'lat': -5.3601171, 'lng': 120.4031671}, 'viewport': {'northeast': {'lat': -5.358800420107277, 'lng': 120.4045478798927}, 'southwest': {'lat': -5.361500079892721, 'lng': 120.4018482201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Binanga Ejayya,,ChIJKQKzIAARvC0R6Y5hCl5slzc,0.0,ChIJKQKzIAARvC0R6Y5hCl5slzc,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJKQKzIAARvC0R6Y5hCl5slzc
OPERATIONAL,"GCJG+XWC, Ekatiro, Bonto Tiro, Bulukumba Regency, South Sulawesi, Indonesia","{'location': {'lat': -5.4676171, 'lng': 120.4272271}, 'viewport': {'northeast': {'lat': -5.466392270107278, 'lng': 120.4284489298927}, 'southwest': {'lat': -5.469091929892722, 'lng': 120.4257492701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Permandian Kolam Alam Limbua,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114227273987095599536"">wayyu prasetya</a>'], 'photo_reference': 'AUGGfZmEYZ-iC6Xitf3RHSij2cjaxY-cg9DPd2GuNwJE-0CII8rwdSZRXcYNlfLlr3PZn7g4utvLAhnODhw_hsgsygJC2SG_IRioGfCQO1uNQO40KtUhfo9P4VawFeexxoSnH6nMN9l3Iurmo2gxmIDw6DrphA9wxb7NBmG5_Xk1vRUyv10X', 'width': 4160}]",ChIJr6ctj1oJvC0RMyWoo_FWM3Q,4.3,ChIJr6ctj1oJvC0RMyWoo_FWM3Q,"['tourist_attraction', 'point_of_interest', 'establishment']",275.0,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJr6ctj1oJvC0RMyWoo_FWM3Q
OPERATIONAL,"J7JQ+Q9, Bonto Biraeng, Kajang, Bulukumba Regency, South Sulawesi 92574, Indonesia","{'location': {'lat': -5.3680167, 'lng': 120.2884708}, 'viewport': {'northeast': {'lat': -5.366772470107279, 'lng': 120.2903953500001}, 'southwest': {'lat': -5.369472129892722, 'lng': 120.2826971499999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aka-Aka Desa Bontobiraeng,"[{'height': 583, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107493315763446535277"">Puang Aqil KJG</a>'], 'photo_reference': 'AUGGfZllF6oXdh0j7hbVnJYgNkKFDSG0S_Ijt-uECPivSf--KIEjHyoPF8BrghwAf9yEnjImqFzn9Tg-scqFShXCuv9CKKsc7ezoZY_Z49wh427bn8u6CY_qgdPPAnwn0AoOQONdlglMaFkiZmNZ-DbDP60zgs8bNq0a8G8f43hk8nzQ0Jmb', 'width': 971}]",ChIJXeBWTQMbvC0R6stE-pBzzlE,5.0,ChIJXeBWTQMbvC0R6stE-pBzzlE,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJXeBWTQMbvC0R6stE-pBzzlE
OPERATIONAL,"J9CP+W9P, Gunturu, Herlang, Bulukumba Regency, South Sulawesi 92574, Indonesia","{'location': {'lat': -5.377659299999999, 'lng': 120.3859644}, 'viewport': {'northeast': {'lat': -5.376292020107277, 'lng': 120.3867738798927}, 'southwest': {'lat': -5.378991679892721, 'lng': 120.3840742201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Wisata Dodo'a,,ChIJJy_LBaURvC0ReBT8XoqPt-8,0.0,ChIJJy_LBaURvC0ReBT8XoqPt-8,"['park', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJJy_LBaURvC0ReBT8XoqPt-8
OPERATIONAL,"J7WP+R4M, Sangkala, Kajang, Bulukumba Regency, South Sulawesi, Indonesia","{'location': {'lat': -5.3529051, 'lng': 120.2852857}, 'viewport': {'northeast': {'lat': -5.348603099999999, 'lng': 120.28674895}, 'southwest': {'lat': -5.354339100000002, 'lng': 120.28089595}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Panruku pesawahan Masyarakat tempat pengangkutan Padi dan hasil pertanian lainnya,"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106966048895246870027"">ashar agustiawan</a>'], 'photo_reference': 'AUGGfZl1o3G71TwDiBdHtS8Tx9BwuA_InXm5hYSyQWrPjQ2SNZrqcGkbvqPrzg7OZNdKAjYnlwKrlB2evnkAgZFjkJ7-kwlTYecbzTjQp1S8Eao87WAoKosZC-8YoaNqjRR2xavgigf1vs5rdF7TXLJvh1DKdQgQVSE8Lqa30230LZ0FPLNj', 'width': 3968}]",ChIJTa-bcAAbvC0RuS-3NRZ-ukk,0.0,ChIJTa-bcAAbvC0RuS-3NRZ-ukk,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJTa-bcAAbvC0RuS-3NRZ-ukk
OPERATIONAL,"JCR4+GRR, Kajang, Bulukumba Regency, South Sulawesi, Indonesia","{'location': {'lat': -5.3586297, 'lng': 120.4070124}, 'viewport': {'northeast': {'lat': -5.357406070107277, 'lng': 120.408615}, 'southwest': {'lat': -5.360105729892721, 'lng': 120.4022046}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Mangngeka,,ChIJ1fOffgARvC0RkGHRhDdXmVI,5.0,ChIJ1fOffgARvC0RkGHRhDdXmVI,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ1fOffgARvC0RkGHRhDdXmVI
