business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,permanently_closed,url
OPERATIONAL,"QHHP+JW, Tanjung Agung, East Tanjung Palas, Bulungan Regency, North Kalimantan, Indonesia","{'location': {'lat': 2.7790334, 'lng': 117.5873224}, 'viewport': {'northeast': {'lat': 2.780383229892722, 'lng': 117.5886722298927}, 'southwest': {'lat': 2.777683570107278, 'lng': 117.5859725701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tambak bebatu,ChIJhWHIzYm1EzIRICWHRS6E-Wg,0.0,ChIJhWHIzYm1EzIRICWHRS6E-Wg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJhWHIzYm1EzIRICWHRS6E-Wg
OPERATIONAL,"HRC9+RQ7 Sungai riap daerah tambak, Tanah Kuning, Kec. Tj. Palas Tim., Kabupaten Bulungan, Kalimantan Utara, Indonesia","{'location': {'lat': 2.5720369, 'lng': 117.8194197}, 'viewport': {'northeast': {'lat': 2.573466379892722, 'lng': 117.8209413298927}, 'southwest': {'lat': 2.570766720107278, 'lng': 117.8182416701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tambak Lahamuddin,ChIJ7aKqwR5bEjIRoXoo2YVm6LI,0.0,ChIJ7aKqwR5bEjIRoXoo2YVm6LI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7aKqwR5bEjIRoXoo2YVm6LI
OPERATIONAL,"HR4J+CX, Tanah Kuning, East Tanjung Palas, Bulungan Regency, North Kalimantan, Indonesia","{'location': {'lat': 2.556066, 'lng': 117.83247}, 'viewport': {'northeast': {'lat': 2.557446479892723, 'lng': 117.8338479798927}, 'southwest': {'lat': 2.554746820107278, 'lng': 117.8311483201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanah pak yani,ChIJE3E30dRZEjIRLMBOFcZvOVU,0.0,ChIJE3E30dRZEjIRLMBOFcZvOVU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJE3E30dRZEjIRLMBOFcZvOVU
OPERATIONAL,"QM4G+QV, Sajau Hilir, East Tanjung Palas, Bulungan Regency, North Kalimantan, Indonesia","{'location': {'lat': 2.7569186, 'lng': 117.6772226}, 'viewport': {'northeast': {'lat': 2.758268429892722, 'lng': 117.6785724298927}, 'southwest': {'lat': 2.755568770107277, 'lng': 117.6758727701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot sembelang besar drom,ChIJwUizIQCzEzIRuAVuoGJ07BU,0.0,ChIJwUizIQCzEzIRuAVuoGJ07BU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJwUizIQCzEzIRuAVuoGJ07BU
OPERATIONAL,"Tanah Kuning, East Tanjung Palas, Bulungan Regency, North Kalimantan 77215, Indonesia","{'location': {'lat': 2.4798167, 'lng': 117.927646}, 'viewport': {'northeast': {'lat': 2.481316179892722, 'lng': 117.9291736798927}, 'southwest': {'lat': 2.478616520107277, 'lng': 117.9264740201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PANTAI RINDU DIA,ChIJfe1XJAD1EjIRX7JA8Cnxpho,0.0,ChIJfe1XJAD1EjIRX7JA8Cnxpho,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': False},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109044173704774128863"">A Google User</a>'], 'photo_reference': 'AUGGfZnbCPJWEzkiV6Zq5VKN2UFZBHIlpIJKMsBUQYuT0WwJOt64ZwIZKHC5dTHN8AGGbaf2IhyXHytDpkp6KlVnLzysZzXFANdoKhVRa6x0w_4z3hVfOgyTLDuvjubNuG_5pTz4Ea1xYqXJo9qKMrENHnESrAxzH9srvzuc_D2NDpKTcp-b', 'width': 3120}]","{'compound_code': 'FWHH+W3 Tanah Kuning, Bulungan Regency, North Kalimantan, Indonesia', 'global_code': '6PJVFWHH+W3'}",,https://www.google.com/maps/place/?q=place_id:ChIJfe1XJAD1EjIRX7JA8Cnxpho
OPERATIONAL,"QM4J+69J, Sajau Hilir, East Tanjung Palas, Bulungan Regency, North Kalimantan, Indonesia","{'location': {'lat': 2.7555965, 'lng': 117.6808889}, 'viewport': {'northeast': {'lat': 2.756946329892722, 'lng': 117.6822387298928}, 'southwest': {'lat': 2.754246670107277, 'lng': 117.6795390701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Home star ANGLER,ChIJwfzoHnKzEzIRHOvk-Xluvgg,0.0,ChIJwfzoHnKzEzIRHOvk-Xluvgg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJwfzoHnKzEzIRHOvk-Xluvgg
OPERATIONAL,"HRXG+2PC, Tanah Kuning, East Tanjung Palas, Bulungan Regency, North Kalimantan 77215, Indonesia","{'location': {'lat': 2.5975664, 'lng': 117.8267766}, 'viewport': {'northeast': {'lat': 2.598892429892722, 'lng': 117.8281750798927}, 'southwest': {'lat': 2.596192770107278, 'lng': 117.8254754201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanah Kuning 2 Beach,ChIJ9cPoMmJbEjIRlIcwORYOdVE,4.5,ChIJ9cPoMmJbEjIRlIcwORYOdVE,"['tourist_attraction', 'point_of_interest', 'establishment']",52,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101778714961161580100"">A Google User</a>'], 'photo_reference': 'AUGGfZlu_cO3UeqM48K62exTVYf59eL2sbQuB4o5KLpLnhbUIcObNAzBULeuSBp0NnXTBAS7WuqTaprCU2TT-V7tafYa_CgM5HivFsfZdIQY1RQ3DqtiqXr2qDnbI9znXFRhFbV4kZ4nKjPuVzTx8-CcZTCWfQS4ZIaPwiHb2ReeTectxAkS', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ9cPoMmJbEjIRlIcwORYOdVE
OPERATIONAL,"JR85+34M, Tanjung Selor, Tanjung Palas Tengah, Kabupaten Bulungan, Kalimantan Timur, Indonesia","{'location': {'lat': 2.6152042, 'lng': 117.8077861}, 'viewport': {'northeast': {'lat': 2.616342779892722, 'lng': 117.8088603798927}, 'southwest': {'lat': 2.613643120107278, 'lng': 117.8061607201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Lima Putra Tanah Kuning,ChIJST1zRHdREjIRVCnpI4rlc-o,5.0,ChIJST1zRHdREjIRVCnpI4rlc-o,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102904982721004410140"">Jasmin Jiwang</a>'], 'photo_reference': 'AUGGfZlRNRHfpMFRjPJVq_ViO9lVFWGf7Kod5Z_tWsnsXhNxUxMqusxdfFo10-x6ct1xRR8OLffzAFzLmM0wN35bnSp3_ukJmzoCIAfqJNUhlJ6IODMngyoUze4fS2heTrgOsoxL621i11E9QEkHXP-tcMEL7DNES7ZTuJyhEPO-89YMhg56', 'width': 960}]",,,https://www.google.com/maps/place/?q=place_id:ChIJST1zRHdREjIRVCnpI4rlc-o
OPERATIONAL,"Kecamatan Tanjung Palas Timur, Kabupaten Bulungan, Jln. Poros Tanah Kuninga-Mangkupadi, Tanah Kuning, Kabupaten Bulungan, Kalimantan Utara 77215, Indonesia","{'location': {'lat': 2.5825625, 'lng': 117.8429375}, 'viewport': {'northeast': {'lat': 2.583757779892723, 'lng': 117.8440932298927}, 'southwest': {'lat': 2.581058120107278, 'lng': 117.8413935701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Bagus Mangkupadi,ChIJtaH5fYZZEjIRTA6vviALlNg,5.0,ChIJtaH5fYZZEjIRTA6vviALlNg,"['tourist_attraction', 'point_of_interest', 'establishment']",10,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110424739499497884002"">A Google User</a>'], 'photo_reference': 'AUGGfZmfZ9V-Fyw8IjUqP9T_H_8oIf_ZSJszkXZwI7non2u3F0m108_FiBzv6lzry8Q5yqQddcL-DFdJmtTkCy-HQSVtnlk5qzUXy9OMQ7dWcnqGJaF2OQERK1ZBU1nFBAKDuoLlxZADi5VkNxB97nNBZU43pptgvS_xwQnutMAok5tQaUL6', 'width': 4032}]","{'compound_code': 'HRMV+25 Tanah Kuning, Bulungan Regency, North Kalimantan, Indonesia', 'global_code': '6PJVHRMV+25'}",,https://www.google.com/maps/place/?q=place_id:ChIJtaH5fYZZEjIRTA6vviALlNg
OPERATIONAL,"HV49+P62, Unnamed Road, Tj. Palas Tim., Tanah Kuning, Kec. Tj. Palas Tim., Kabupaten Bulungan, Kalimantan Utara 77215, Indonesia","{'location': {'lat': 2.5567576, 'lng': 117.8680164}, 'viewport': {'northeast': {'lat': 2.55767715, 'lng': 117.8695569499999}, 'southwest': {'lat': 2.55399895, 'lng': 117.8633947500001}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Cemara Mangkupadi,ChIJnzlswQVZEjIRvZgVHbQviQs,4.3,ChIJnzlswQVZEjIRvZgVHbQviQs,"['tourist_attraction', 'point_of_interest', 'establishment']",135,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118015620442325353683"">Armis Maiwa</a>'], 'photo_reference': 'AUGGfZkLVyecyc6CvZyCq0LXw-XUuAJvoH0_O4KJgQuICqwkZxxWXHf9fGT-DPMlJVDzipw_0Y418tbePVaA6sZ1W4dPD8peT1RPr1RUl_C-aCgvpZTBJeGs1Jw2tFp4Ziah1dazbTawEJR2xUy4yzh0SUlmxms1U66bU2R-FVihbO-yfjdp', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJnzlswQVZEjIRvZgVHbQviQs
