business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,permanently_closed,url
OPERATIONAL,"P8F9+G4, Balegede, Naringgul, Cianjur Regency, West Java, Indonesia","{'location': {'lat': -7.276200999999999, 'lng': 107.317846}, 'viewport': {'northeast': {'lat': -7.274849170107277, 'lng': 107.3191685798927}, 'southwest': {'lat': -7.277548829892721, 'lng': 107.3164689201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gn. Lieur Sukamulya Naringgul,ChIJE6LGPfaHaC4RvSdIGkv3Rg8,0.0,ChIJE6LGPfaHaC4RvSdIGkv3Rg8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJE6LGPfaHaC4RvSdIGkv3Rg8
OPERATIONAL,"J8FH+4GJ, Jl. Ciwidey - Cidaun, Malati, Kec. Naringgul, Kabupaten Cianjur, Jawa Barat 43274, Indonesia","{'location': {'lat': -7.377173600000001, 'lng': 107.3287543}, 'viewport': {'northeast': {'lat': -7.375870370107277, 'lng': 107.3300174798927}, 'southwest': {'lat': -7.378570029892721, 'lng': 107.3273178201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Gunung Pabeasan Malati,ChIJm1OFnN2BaC4RU4RyShumuMQ,4.5,ChIJm1OFnN2BaC4RU4RyShumuMQ,"['tourist_attraction', 'point_of_interest', 'establishment']",102,{'open_now': True},"[{'height': 1956, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115681077158797280788"">A Google User</a>'], 'photo_reference': 'AUGGfZnuJi4n5Gm73y-QiZK0IFMHiEMI0iMTIZBr2cKFQVb4K0qQ3-lhHyfj8Na9AriJWCFa-IAQQJR1GWPMYbuSQgEQO4VQIOY_YUYXcp2mKiK0Y1DNXFuXZf4ydXX6eHh0JPMUMRfbruzAkHd3Jdv0e8fGS5wXQgcmVy6k3eMuYeVTz805', 'width': 4128}]",,,https://www.google.com/maps/place/?q=place_id:ChIJm1OFnN2BaC4RU4RyShumuMQ
OPERATIONAL,"H6JJ+F8, Cinerang, Naringgul, Cianjur Regency, West Java, Indonesia","{'location': {'lat': -7.4187622, 'lng': 107.2308524}, 'viewport': {'northeast': {'lat': -7.417305970107278, 'lng': 107.231568}, 'southwest': {'lat': -7.420005629892722, 'lng': 107.2287056}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Poktan sukaati,ChIJpXDLTZJ_aC4Rt5mmorTaf4A,4.0,ChIJpXDLTZJ_aC4Rt5mmorTaf4A,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJpXDLTZJ_aC4Rt5mmorTaf4A
OPERATIONAL,"J8MH+HRX, Gunung Pogor,Kampung Cikondang, Malati, Kec. Naringgul, Kabupaten Cianjur, Jawa Barat 43274, Indonesia","{'location': {'lat': -7.366020700000001, 'lng': 107.3296046}, 'viewport': {'northeast': {'lat': -7.364670870107277, 'lng': 107.3309544298927}, 'southwest': {'lat': -7.367370529892721, 'lng': 107.3282547701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Kebon Pogor,ChIJfWe-uQ2BaC4R5IRj66Q-fsc,0.0,ChIJfWe-uQ2BaC4R5IRj66Q-fsc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 3104, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114229660553942253701"">dimen wa</a>'], 'photo_reference': 'AUGGfZnxs4PIIuvZWnsS6KwIyvy9hp3qxCssFuF3lYm18ESvP2MmWwrJPQqk_O2Q1lZtYs4k3nuipgL4iSAwGHJAy3xyQrwGlBWEi0dVnp4lvIPfML1hjgkvBvC_i4D37SKGHEsHUO0fEW3dKttIffhmOTY5qkagVssMGot6eUyNGOZgiyW0', 'width': 3104}]",,,https://www.google.com/maps/place/?q=place_id:ChIJfWe-uQ2BaC4R5IRj66Q-fsc
OPERATIONAL,"M8MP+4CR, Jl. Ciwidey - Cidaun, Naringgul, Kec. Naringgul, Kabupaten Cianjur, Jawa Barat 43274, Indonesia","{'location': {'lat': -7.3171309, 'lng': 107.3360124}, 'viewport': {'northeast': {'lat': -7.315819870107279, 'lng': 107.3374004798927}, 'southwest': {'lat': -7.318519529892723, 'lng': 107.3347008201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Point Cipandak Naringgul,ChIJV6HxcTaHaC4REQpmeN_XxPo,4.5,ChIJV6HxcTaHaC4REQpmeN_XxPo,"['tourist_attraction', 'point_of_interest', 'establishment']",4,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117469006214768697075"">dedi supriyadi</a>'], 'photo_reference': 'AUGGfZm6a-7HiYqrHM3ZycwsVuj7UPjGdpEkkl5VVVazXS_XYOlne2MOVEYcpw0tTyYFa7o-GjFtEwPX-BiXuHQBIQZhRuy4lKaQ0cDnrgTBiXrzZjiv_yY98Oa2nUGQFSDK2qEDAbU7zYL144EVcX3z_J-wMlh5IcTa_1X8muqO109kW8Dp', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJV6HxcTaHaC4REQpmeN_XxPo
OPERATIONAL,"Jl. Ciwidey - Cidaun, Naringgul, Kec. Naringgul, Kabupaten Cianjur, Jawa Barat 43274, Indonesia","{'location': {'lat': -7.3201308, 'lng': 107.3364117}, 'viewport': {'northeast': {'lat': -7.318724670107278, 'lng': 107.3377517298927}, 'southwest': {'lat': -7.321424329892722, 'lng': 107.3350520701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Ceret Naringgul,ChIJm9bQvQKHaC4RRAgjTKE2CYU,4.5,ChIJm9bQvQKHaC4RRAgjTKE2CYU,"['tourist_attraction', 'point_of_interest', 'establishment']",1053,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104560186109905556316"">Jason Claudio</a>'], 'photo_reference': 'AUGGfZl8Za2Q4CGxzgh1CW9HpwpVXD5xkJbmcD-zwoqfxrlIX2vzMI3ftLdO6x1aY6S4Kn0hFdtyYc5uOMjDE3sv-l8DIYo-XxevLVl6hDQVo6uFL3cZ3InvEzQ4e-7HbAxgqeL8sD_S0jgo2xPCTKqQVlGzoFqyHF7_KlPzPz-D2y3R2CSB', 'width': 3000}]","{'compound_code': 'M8HP+WH Naringgul, Cianjur Regency, West Java, Indonesia', 'global_code': '6P49M8HP+WH'}",,https://www.google.com/maps/place/?q=place_id:ChIJm9bQvQKHaC4RRAgjTKE2CYU
OPERATIONAL,"P8C9+J8, Balegede, Naringgul, Cianjur Regency, West Java, Indonesia","{'location': {'lat': -7.278441, 'lng': 107.318356}, 'viewport': {'northeast': {'lat': -7.277087370107277, 'lng': 107.3196704798927}, 'southwest': {'lat': -7.279787029892721, 'lng': 107.3169708201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rawa Badak Sukamulya Naringgul,ChIJl2Z8xE2HaC4RPjmbEX4id4I,0.0,ChIJl2Z8xE2HaC4RPjmbEX4id4I,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJl2Z8xE2HaC4RPjmbEX4id4I
OPERATIONAL,"P8FW+J89, Balegede, Naringgul, Cianjur Regency, West Java 43274, Indonesia","{'location': {'lat': -7.275974799999999, 'lng': 107.3458561}, 'viewport': {'northeast': {'lat': -7.274641720107278, 'lng': 107.3471786298927}, 'southwest': {'lat': -7.277341379892722, 'lng': 107.3444789701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,CURUG PONGPOK,ChIJRRMTGjCHaC4R01ULfEhHNLw,0.0,ChIJRRMTGjCHaC4R01ULfEhHNLw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116366004018464534944"">Dasep Dedi</a>'], 'photo_reference': 'AUGGfZlj9JP1URjzuFQh5bvo1e4dE4lCzACvh7hXjZypIG3u9wKt0HDSYRLr7m-vMMZ3GIHZ5_qE85Wa7j8HseebfnWyISBMakW_oz7rsKweAHzka4n59mASeofkF6SLeQOnlXMonI2btvBXN7BIDFn8vYRZci0T9MqSsCTb9Ep1T0vCLVTK', 'width': 2128}]",,,https://www.google.com/maps/place/?q=place_id:ChIJRRMTGjCHaC4R01ULfEhHNLw
OPERATIONAL,"M8WV+639, Jl. Ciwidey - Cidaun, Sukabakti, Kec. Naringgul, Kabupaten Cianjur, Jawa Barat 43274, Indonesia","{'location': {'lat': -7.304474000000001, 'lng': 107.342732}, 'viewport': {'northeast': {'lat': -7.303124370107278, 'lng': 107.3440818798927}, 'southwest': {'lat': -7.305824029892722, 'lng': 107.3413822201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Naringgul Sukabakti Waterfalls,ChIJl8-o6FOGaC4RffD89nt_XhU,4.6,ChIJl8-o6FOGaC4RffD89nt_XhU,"['tourist_attraction', 'point_of_interest', 'establishment']",92,,"[{'height': 804, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101389456259666934217"">Suroto o</a>'], 'photo_reference': 'AUGGfZkRQISLKp5GPVzK_SF06Bk66I-Fvw6He0ODwsWC6tankpat4h7ZiwlHdVamCl1npxR7fbyi8bbr6fds4Z-7yZsvJmV5ENRKc1VnJnXwrFh_7gbh4PZA-b7FDwuYYg1TrqS6HrimzPSIuYpSA79sh3J0ecK0AVi2eW5lV6-e7q_QSjA4', 'width': 1072}]",,,https://www.google.com/maps/place/?q=place_id:ChIJl8-o6FOGaC4RffD89nt_XhU
OPERATIONAL,"M86P+QP5, Naringgul, Cianjur Regency, West Java, Indonesia","{'location': {'lat': -7.3381054, 'lng': 107.3368442}, 'viewport': {'northeast': {'lat': -7.336755570107278, 'lng': 107.3381940298927}, 'southwest': {'lat': -7.339455229892722, 'lng': 107.3354943701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug marta,ChIJdajGI3OHaC4R_7Wirk59RUw,0.0,ChIJdajGI3OHaC4R_7Wirk59RUw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJdajGI3OHaC4R_7Wirk59RUw
OPERATIONAL,"P9H5+4WW, Balegede, Naringgul, Cianjur Regency, West Java 43274, Indonesia","{'location': {'lat': -7.271364, 'lng': 107.359032}, 'viewport': {'northeast': {'lat': -7.270018620107278, 'lng': 107.3603625298927}, 'southwest': {'lat': -7.272718279892722, 'lng': 107.3576628701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot View Air Terjun,ChIJrZXicQCHaC4RAv38J7csw-o,5.0,ChIJrZXicQCHaC4RAv38J7csw-o,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJrZXicQCHaC4RAv38J7csw-o
OPERATIONAL,"M8FJ+93G, Naringgul, Cianjur Regency, West Java 43274, Indonesia","{'location': {'lat': -7.326561399999999, 'lng': 107.3302057}, 'viewport': {'northeast': {'lat': -7.325305070107277, 'lng': 107.3315689298927}, 'southwest': {'lat': -7.328004729892721, 'lng': 107.3288692701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GASSS FANAMERAJAMBU TRIP BANDUNG,ChIJI3yFDgCHaC4RPq70SNycrNU,0.0,ChIJI3yFDgCHaC4RPq70SNycrNU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJI3yFDgCHaC4RPq70SNycrNU
OPERATIONAL,"H8MG+XRJ, Cicadas, Wangunjaya, Kec. Naringgul, Kabupaten Cianjur, Jawa Barat 43274, Indonesia","{'location': {'lat': -7.415040899999999, 'lng': 107.3270059}, 'viewport': {'northeast': {'lat': -7.413454870107277, 'lng': 107.3319796}, 'southwest': {'lat': -7.416154529892721, 'lng': 107.325348}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Dengdeng,ChIJy5A3HkiAaC4R6FU27nUOyhM,4.7,ChIJy5A3HkiAaC4R6FU27nUOyhM,"['tourist_attraction', 'point_of_interest', 'establishment']",9,{'open_now': False},"[{'height': 2070, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102028458339033141930"">Aris Onyet</a>'], 'photo_reference': 'AUGGfZnq2jW0BNNmJo-wgmOSzhyqd5bUZ96XS2809LQrTi6T3iFh5WHsic8WouGIhpqofyGY6Rxp5C0jL_2WVGDFLZTSOWdCRZLxEH04xG82VdKMwA4uWrbA-wvcRbTkZJaO0vyBFutEf_5I65XPJyMOSAxZYCrk5m2iUGy9rszZyRN0w04X', 'width': 3678}]",,,https://www.google.com/maps/place/?q=place_id:ChIJy5A3HkiAaC4R6FU27nUOyhM
OPERATIONAL,"P9F8+JGJ, Sukabakti, Naringgul, Cianjur Regency, West Java 43274, Indonesia","{'location': {'lat': -7.275914, 'lng': 107.366268}, 'viewport': {'northeast': {'lat': -7.274564170107278, 'lng': 107.3676178298927}, 'southwest': {'lat': -7.277263829892722, 'lng': 107.3649181701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Cisabuk,ChIJE1KldxmGaC4RM3P4hRO360Q,4.8,ChIJE1KldxmGaC4RM3P4hRO360Q,"['tourist_attraction', 'point_of_interest', 'establishment']",5,{'open_now': False},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117520608805919472471"">Muhamad Ramdhani</a>'], 'photo_reference': 'AUGGfZnKcipqODXJbAFNSQ1gnfi9b_xj-iGoxf3hEWtJdu4hAxN2kSJy_eakBrx_mm6mXO8mnmbpHYmAW36L05oCsGiZqWlZjtw3WphjMzuy_rO2dUcMybuPXD8MmCc53T8E-IFCOvPZH7kQX7fPeoYLLDSRosICgEtHurAll4XSsHAZFfqK', 'width': 4096}]",,,https://www.google.com/maps/place/?q=place_id:ChIJE1KldxmGaC4RM3P4hRO360Q
OPERATIONAL,"J8FH+FM, Malati, Naringgul, Cianjur Regency, West Java 43274, Indonesia","{'location': {'lat': -7.3762735, 'lng': 107.3291707}, 'viewport': {'northeast': {'lat': -7.374940470107278, 'lng': 107.3301988798927}, 'southwest': {'lat': -7.377640129892722, 'lng': 107.3274992201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sunrise Point Pabeasan,ChIJT3ihFZCBaC4RDZsJxC-xixc,4.5,ChIJT3ihFZCBaC4RDZsJxC-xixc,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104923345973447759785"">A Google User</a>'], 'photo_reference': 'AUGGfZm7MDDNOkJRuFfQ4uV8mAe1XvWgah9mLX0R49JiSJpjEFhNhue9A66Mi9qjX0TwCAmcXaO_eLe_4N23oeoUsLWycftRJ5lSjSjaPzKDIpqJPHPS9AsBsnpmz76GDsFLPaQtCe2QYnbFmWERSwqRJV9kCyJgs97LGWST5-9wnq7c3CPO', 'width': 2340}]",,,https://www.google.com/maps/place/?q=place_id:ChIJT3ihFZCBaC4RDZsJxC-xixc
OPERATIONAL,"P9P5+24V, Suka Bakti, Balegede, Kec. Naringgul, Kabupaten Cianjur, Jawa Barat 43274, Indonesia","{'location': {'lat': -7.2648756, 'lng': 107.3578114}, 'viewport': {'northeast': {'lat': -7.263528770107277, 'lng': 107.3591927798927}, 'southwest': {'lat': -7.266228429892721, 'lng': 107.3564931201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot Air Terjun Lembah Maung,ChIJ3XZScQCJaC4R2sPKDIvdeS0,0.0,ChIJ3XZScQCJaC4R2sPKDIvdeS0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3XZScQCJaC4R2sPKDIvdeS0
