business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"7PH2+682, Ranggitgit, Sinembah Tanjung Muda Hulu, Deli Serdang Regency, North Sumatra, Indonesia","{'location': {'lat': 3.2780047, 'lng': 98.70077359999999}, 'viewport': {'northeast': {'lat': 3.279354529892723, 'lng': 98.70212342989272}, 'southwest': {'lat': 3.276654870107278, 'lng': 98.69942377010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Tarunggang,"[{'height': 341, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101120365641684163877"">A Google User</a>'], 'photo_reference': 'AUGGfZk1Llrhrh86zc9W-51kxEckZ-WOJz5uc5WLzjjkwSsP53K-hX0LW9i7s-or3LwHkD_SxnnaRGaej9y55e7R08wtTaaKOlx--keIEbcprGT0eBj0ZgI98wWUHplooP6tfihLIqr166pIltpX3A_qndqicK0Lzoi2LGXHAP6ZZfaw0ppj', 'width': 720}]",ChIJE1vn9oIRMTAROUcMN9ah_Nw,4.0,ChIJE1vn9oIRMTAROUcMN9ah_Nw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJE1vn9oIRMTAROUcMN9ah_Nw
OPERATIONAL,"CGXW+QWP, Kwala Lau Bicik, Kutalimbaru, Deli Serdang Regency, North Sumatra 20354, Indonesia","{'location': {'lat': 3.4494587, 'lng': 98.5473422}, 'viewport': {'northeast': {'lat': 3.450777029892722, 'lng': 98.54869277989273}, 'southwest': {'lat': 3.448077370107277, 'lng': 98.54599312010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Last stop kutalimbaru,,ChIJ1xa4ZtshMTARouyZBqFcreY,0.0,ChIJ1xa4ZtshMTARouyZBqFcreY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ1xa4ZtshMTARouyZBqFcreY
OPERATIONAL,"GQF3+VC9, Ujung Serdang, Tanjung Morawa, Deli Serdang Regency, North Sumatra, Indonesia","{'location': {'lat': 3.5246532, 'lng': 98.75362369999999}, 'viewport': {'northeast': {'lat': 3.526032579892722, 'lng': 98.75490097989271}, 'southwest': {'lat': 3.523332920107277, 'lng': 98.75220132010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Doluk sanggul,,ChIJt3vgbL05MTARAMAa9wSQcOU,0.0,ChIJt3vgbL05MTARAMAa9wSQcOU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJt3vgbL05MTARAMAa9wSQcOU
OPERATIONAL,"FM47+44, Timbang Lawan, Namorambe, Deli Serdang Regency, North Sumatra, Indonesia","{'location': {'lat': 3.4552902, 'lng': 98.66283709999999}, 'viewport': {'northeast': {'lat': 3.457207229892723, 'lng': 98.66379742989272}, 'southwest': {'lat': 3.454507570107278, 'lng': 98.66109777010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ladang LS,,ChIJlTIzIaI9MTARi_SPf6C-mpg,0.0,ChIJlTIzIaI9MTARi_SPf6C-mpg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJlTIzIaI9MTARi_SPf6C-mpg
OPERATIONAL,"8M43+9RF, Penungkiren, Sinembah Tanjung Muda Hilir, Deli Serdang Regency, North Sumatra, Indonesia","{'location': {'lat': 3.3059386, 'lng': 98.65455829999999}, 'viewport': {'northeast': {'lat': 3.307054879892722, 'lng': 98.65558532989272}, 'southwest': {'lat': 3.304355220107277, 'lng': 98.65288567010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lokasi batu bahan untuk bendungan lau si me me,,ChIJK4VKLQAZMTARd9n6klpEw-k,5.0,ChIJK4VKLQAZMTARd9n6klpEw-k,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJK4VKLQAZMTARd9n6klpEw-k
OPERATIONAL,"FH2V+M4M, Kampung 7, Pancur Batu, Deli Serdang Regency, North Sumatra 20353, Indonesia","{'location': {'lat': 3.4517134, 'lng': 98.59278760000001}, 'viewport': {'northeast': {'lat': 3.452994479892722, 'lng': 98.59402397989273}, 'southwest': {'lat': 3.450294820107278, 'lng': 98.59132432010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lau Lembu,,ChIJY37SUycjMTAR1oWVMMFS8KQ,0.0,ChIJY37SUycjMTAR1oWVMMFS8KQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJY37SUycjMTAR1oWVMMFS8KQ
OPERATIONAL,"Jl. Talun kenas - Patumbak No.1, Patumbak Satu, Kec. Patumbak, Kabupaten Deli Serdang, Sumatera Utara 20361, Indonesia","{'location': {'lat': 3.434887, 'lng': 98.70988179999999}, 'viewport': {'northeast': {'lat': 3.436231029892722, 'lng': 98.71126657989271}, 'southwest': {'lat': 3.433531370107277, 'lng': 98.70856692010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Rekreasi dan Rumah Susu Lachio,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111201413433803782273"">A Google User</a>'], 'photo_reference': 'AUGGfZlmJu2D9IuT4ulxnzJESjfcRmB4IpvsCKmco9Wj8nfRtG67TEat_Qrr75fdRX-hNQdM1Emf2xxBeJQ0dG0f_8-8RtvwNX45VX3KzZsjxSse4AcWq_NdjFHE5_CvXixQDBNAIbvJha4DEK5zE4vanxmuiYGaGwWsMuwexmLig-X6Kqfe', 'width': 3120}]",ChIJxyPjTFk8MTARWhSbvrHDJx4,4.4,ChIJxyPjTFk8MTARWhSbvrHDJx4,"['tourist_attraction', 'point_of_interest', 'establishment']",272,{'open_now': True},"{'compound_code': 'CPM5+XX Namo Suro Baru, Deli Serdang Regency, North Sumatra, Indonesia', 'global_code': '6MMWCPM5+XX'}",https://www.google.com/maps/place/?q=place_id:ChIJxyPjTFk8MTARWhSbvrHDJx4
OPERATIONAL,"GQ6P+HX7, Gg. Musyawarah, Tanjung Sari, Kec. Tj. Morawa, Kabupaten Deli Serdang, Sumatera Utara 20362, Indonesia","{'location': {'lat': 3.5114273, 'lng': 98.78743209999999}, 'viewport': {'northeast': {'lat': 3.512766379892723, 'lng': 98.78877707989274}, 'southwest': {'lat': 3.510066720107278, 'lng': 98.78607742010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dian Sitepu,,ChIJRYEiunM5MTARmSdY5OKjQ2k,0.0,ChIJRYEiunM5MTARmSdY5OKjQ2k,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJRYEiunM5MTARmSdY5OKjQ2k
OPERATIONAL,"Jl. Hilir No.147, Sumbul, Kec. Sinembah Tj. Muda Hilir, Kabupaten Deli Serdang, Sumatera Utara 20363, Indonesia","{'location': {'lat': 3.4297517, 'lng': 98.74321}, 'viewport': {'northeast': {'lat': 3.431143979892722, 'lng': 98.74468622989271}, 'southwest': {'lat': 3.428444320107277, 'lng': 98.74198657010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KOLAM PANCING RALAU,,ChIJbTKnMwA9MTARe4TjT3S9Sxg,0.0,ChIJbTKnMwA9MTARe4TjT3S9Sxg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"{'compound_code': 'CPHV+W7 Sumbul, Deli Serdang Regency, North Sumatra, Indonesia', 'global_code': '6MMWCPHV+W7'}",https://www.google.com/maps/place/?q=place_id:ChIJbTKnMwA9MTARe4TjT3S9Sxg
OPERATIONAL,"7JXW+P9, Penungkiren, Sinembah Tanjung Muda Hilir, Deli Serdang Regency, North Sumatra, Indonesia","{'location': {'lat': 3.2992306, 'lng': 98.64505129999999}, 'viewport': {'northeast': {'lat': 3.300664129892722, 'lng': 98.64637792989271}, 'southwest': {'lat': 3.297964470107277, 'lng': 98.64367827010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,HOT SPRING LAU SIGEMBURA PENEN,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102428024648817237776"">A Google User</a>'], 'photo_reference': 'AUGGfZnkK4n_tZ9_OdCm3C6dzMIuY2pGYnuobZasb1yFtS2w8foSswiwOmxkPBbm4RnMfLtlpK55bWVsi4si26QWcYMuMcupgBg3CgLvHqKLJw4QTiu9mTUYZ7RkS-3HLCAG-f4rzLWsSsOgI9TAvnzNZ6hRANsunV2kGlcMOTkczSCLikWQ', 'width': 1280}]",ChIJSwR6I2MbMTAR1eQG2zQnlN4,4.7,ChIJSwR6I2MbMTAR1eQG2zQnlN4,"['tourist_attraction', 'point_of_interest', 'establishment']",201,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJSwR6I2MbMTAR1eQG2zQnlN4
