business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,price_level,url
OPERATIONAL,"HX8M+PGX, Tualang, Perbaungan, Serdang Bedagai Regency, North Sumatra 20986, Indonesia","{'location': {'lat': 3.566843, 'lng': 98.98385130000001}, 'viewport': {'northeast': {'lat': 3.568252579892722, 'lng': 98.98519907989272}, 'southwest': {'lat': 3.565552920107277, 'lng': 98.98249942010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Replika ISTANA SERDANG,{'open_now': False},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116900514662227275047"">Wahyu Umara</a>'], 'photo_reference': 'AUGGfZkRy2_f2r5f7gfLwz1nDJb_1vm2BCY-LI5xtJSxsyzT-v43MnEeURELZSqBN1dH_X-hC3_9c-FJb3nUlvlfU6qkZ-0ou_lzbUIpUfHmZmcbdkQ-O9tyE9PgUNgevfswpxyxMjdl6mzISIWl5yqeDQMqYN4-9g3RY9EjEE62CE4v4Sfn', 'width': 3120}]",ChIJvYyvcrpPMTARhvvVEWU-s6M,4.2,ChIJvYyvcrpPMTARhvvVEWU-s6M,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",117.0,,,https://www.google.com/maps/place/?q=place_id:ChIJvYyvcrpPMTARhvvVEWU-s6M
OPERATIONAL,"FWPM+GG2, Adolina, Perbaungan, Serdang Bedagai Regency, North Sumatra 20986, Indonesia","{'location': {'lat': 3.4862506, 'lng': 98.9337589}, 'viewport': {'northeast': {'lat': 3.487564979892722, 'lng': 98.93513577989272}, 'southwest': {'lat': 3.484865320107277, 'lng': 98.93243612010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bangunan Bagi Perbaungan,,,ChIJcQFRkZlFMTARt9mRntqhxCg,0.0,ChIJcQFRkZlFMTARt9mRntqhxCg,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJcQFRkZlFMTARt9mRntqhxCg
OPERATIONAL,"8VJ2+J2M, Perbahingan, Kotarih, Serdang Bedagai Regency, North Sumatra 20984, Indonesia","{'location': {'lat': 3.3315936, 'lng': 98.85005939999999}, 'viewport': {'northeast': {'lat': 3.332802329892722, 'lng': 98.85195852989271}, 'southwest': {'lat': 3.330102670107277, 'lng': 98.84925887010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Perbahingan,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104550748606198161647"">A Google User</a>'], 'photo_reference': 'AUGGfZl9ObzJLfC0abWFD9oD0cjTYMyxjkb232ISQe3VX0Atv_GRYbcQPTXZvhXtOViIzGpIxOQ_KK2U_sXKUm-zskYswXgt8Eu2YjH08z1v2z8FgLkPt8PEBSSFywuYB4tCm8XWUlwH9AFroLMo101TKqPStVZGKOjRiwOO1IDPn0R0sW8p', 'width': 2340}]",ChIJI2aUHhtrMTARgBgCnsOWOSM,5.0,ChIJI2aUHhtrMTARgBgCnsOWOSM,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJI2aUHhtrMTARgBgCnsOWOSM
OPERATIONAL,"JXXR+W49, Pantai Cermin Kanan, Perbaungan, Serdang Bedagai Regency, North Sumatra, Indonesia","{'location': {'lat': 3.6497932, 'lng': 98.99036699999999}, 'viewport': {'northeast': {'lat': 3.651105329892722, 'lng': 98.99134877989272}, 'southwest': {'lat': 3.648405670107278, 'lng': 98.98864912010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai kere,{},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105749109946516054571"">Taufik Efendi Sinaga</a>'], 'photo_reference': 'AUGGfZnl779nH2N7cYCBxw5LPBB3EC3ASJXPI2ovJ6rLB5nlbJj6zniAWmU9ZJOUPb6rMHA3tqsuMKijZvrcyqZErz43eegCON6WI0X1h2ilkWiVR3QlsJgns5Payz2iu63OoN7LnzMd842IDV5dIjz4AzgeCgy6X4K2vwY9U9vTkcbcsxDn', 'width': 1920}]",ChIJl1ovatBNMTARpW9-PlboC18,3.0,ChIJl1ovatBNMTARpW9-PlboC18,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJl1ovatBNMTARpW9-PlboC18
OPERATIONAL,"GX9J+92C, Melati Dua, Perbaungan, Serdang Bedagai Regency, North Sumatra 20986, Indonesia","{'location': {'lat': 3.518359, 'lng': 98.979306}, 'viewport': {'northeast': {'lat': 3.519711379892722, 'lng': 98.98065602989273}, 'southwest': {'lat': 3.517011720107277, 'lng': 98.97795637010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Zona wisata,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103087445546298796844"">A Google User</a>'], 'photo_reference': 'AUGGfZkKaZz4biD2DiSWW6PYTk-Kxx9IpZufrQPHN9t5kXZB_TZU3OA57qyVbmelPuA2uDuL6NaSfONFDbxPNlsxQg_ytOwXX0jP3OUGgsGLTyTczfnAG58uTuxcwgoTqFw7EBGuKU8befenelWaMHwkuhUxGysWr4zkfG2Fc8QToly70onc', 'width': 970}]",ChIJoW1FLNJFMTARxbad6hyfGVM,2.3,ChIJoW1FLNJFMTARxbad6hyfGVM,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,https://www.google.com/maps/place/?q=place_id:ChIJoW1FLNJFMTARxbad6hyfGVM
OPERATIONAL,"MX4H+3MG Pantai Bali Lestari, Jl. Mayjen H. T. Rizal Nurdin, Pantai Cermin Kanan, Kec. Pantai Cermin, Kabupaten Serdang Bedagai, Sumatera Utara 20987, Indonesia","{'location': {'lat': 3.6551769, 'lng': 98.9791979}, 'viewport': {'northeast': {'lat': 3.656611729892722, 'lng': 98.98057397989272}, 'southwest': {'lat': 3.653912070107278, 'lng': 98.97787432010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bali Lestari Beach,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104385098483850076929"">A Google User</a>'], 'photo_reference': 'AUGGfZnLW4CG0I1gjlomjhJ8-HrGR5chXMa8AHs236qt4N9854fWRbMQpO8DSB5A5u7UJ7xFJf8VKjcnqnb9Qb_2xucUS4rFjRZ7DHO9SXzTnSzA0YwsVJDqJFDjGna4qUXMxizflAuxJx84h5r3SLrHLho_g_AGiMElqMNk0whVGJNFR-98', 'width': 3024}]",ChIJ9frXdElNMTAR1zltOyEHXAI,4.1,ChIJ9frXdElNMTAR1zltOyEHXAI,"['tourist_attraction', 'point_of_interest', 'establishment']",10.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ9frXdElNMTAR1zltOyEHXAI
OPERATIONAL,"Tanah Merah, Perbaungan, Serdang Bedagai Regency, North Sumatra, Indonesia","{'location': {'lat': 3.5707615, 'lng': 99.0380905}, 'viewport': {'northeast': {'lat': 3.571952279892721, 'lng': 99.03943722989271}, 'southwest': {'lat': 3.569252620107277, 'lng': 99.03673757010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KOLAM PANCING ANDIK & NINING,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101957347755461335403"">A Google User</a>'], 'photo_reference': 'AUGGfZkuQeTyqAIEQ-lJyCXqtFglv_tzB2lE-_q6iTb4MtCpA-eDmtIp4EoODODFr0wSWkPAcAnZs7Z0tGuB9wJCVn66gKrQ9YbBBJUykKfR5g5VZvuJyMmQgrfksocHgdwQF78qHR_JsZdmwWVjNvhRjV4Mf_2fXd7ddeH_ifj2-1nCdMOH', 'width': 3120}]",ChIJOSj6OgBRMTARqGdLD8gCHb0,5.0,ChIJOSj6OgBRMTARqGdLD8gCHb0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"{'compound_code': 'H2CQ+86 Tanah Merah, Serdang Bedagai Regency, North Sumatra, Indonesia', 'global_code': '6MMXH2CQ+86'}",,https://www.google.com/maps/place/?q=place_id:ChIJOSj6OgBRMTARqGdLD8gCHb0
OPERATIONAL,"MWH8+MGQ, Kubah Sentang, Kec. Pantai Labu, Kabupaten Deli Serdang, Sumatera Utara, Indonesia","{'location': {'lat': 3.6792145, 'lng': 98.9163749}, 'viewport': {'northeast': {'lat': 3.680580579892722, 'lng': 98.91772627989272}, 'southwest': {'lat': 3.677880920107278, 'lng': 98.91502662010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Putra Deli Beach,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112430931683885897475"">Adis ZN</a>'], 'photo_reference': 'AUGGfZmt_Z6zI5l8lck7LY1a_rf88Rt4ZtVqTsYRffjuQW3i7bpRd8iNVrtuGiF6s8CowciL_owGJcU9LpeiFk81_P7nt4kFV2nCYhTk30IeiuTfvirGHF1dqGhstztgtsqZVPTdhofX2TCXXrp2EcPPpsN61GdXHEPnkJX0rOx6l6pA8FbM', 'width': 2352}]",ChIJHTo8a1JLMTAR5er-TitpS0k,3.9,ChIJHTo8a1JLMTAR5er-TitpS0k,"['tourist_attraction', 'point_of_interest', 'establishment']",118.0,,,https://www.google.com/maps/place/?q=place_id:ChIJHTo8a1JLMTAR5er-TitpS0k
OPERATIONAL,"MX67+WXV, Kota Pari, Pantai Cermin, Serdang Bedagai Regency, North Sumatra, Indonesia","{'location': {'lat': 3.662618299999999, 'lng': 98.9650174}, 'viewport': {'northeast': {'lat': 3.663892929892722, 'lng': 98.96612047989272}, 'southwest': {'lat': 3.661193270107278, 'lng': 98.96342082010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai 88 pantai cermin,{'open_now': True},,ChIJB2dnRQBNMTAR5Pk7hliQOis,5.0,ChIJB2dnRQBNMTAR5Pk7hliQOis,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJB2dnRQBNMTAR5Pk7hliQOis
OPERATIONAL,"JX32+6CJ, Jalan, Celawan, Pantai Cermin, Serdang Bedagai Regency, North Sumatra 20987, Indonesia","{'location': {'lat': 3.603095, 'lng': 98.9510337}, 'viewport': {'northeast': {'lat': 3.604445379892722, 'lng': 98.95237202989273}, 'southwest': {'lat': 3.601745720107278, 'lng': 98.94967237010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan The Best,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115527264953619303342"">A Google User</a>'], 'photo_reference': 'AUGGfZm1U1qhlRoC6B-ij8On3Zj105FmyFOrO6fFZHTqspUp3Kj3LnsFjEuyask0PwkF8coovyMpq1k956dwpnpEcRqiFtL2tC1UT1vcf7R4nW6hHBiZUqQSeb49Un6x0KwL5mbYnOVFMX4Rmug_6YJkmOk56gqQnRHj_8QNB6Pbwex3pIA0', 'width': 1920}]",ChIJPet-_n9PMTARapvAQA1SSXA,4.4,ChIJPet-_n9PMTARapvAQA1SSXA,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,,,https://www.google.com/maps/place/?q=place_id:ChIJPet-_n9PMTARapvAQA1SSXA
