business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"4GXM+VCX, Tambak Tengah, Tambakbulusan, Kec. Karangtengah, Kabupaten Demak, Jawa Tengah 59561, Indonesia","{'location': {'lat': -6.8502664, 'lng': 110.5336071}, 'viewport': {'northeast': {'lat': -6.848916570107277, 'lng': 110.5349569298927}, 'southwest': {'lat': -6.851616229892721, 'lng': 110.5322572701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tambakbulusan Kecamatan karangtengah kabupaten demak,ChIJ6UzLKyHvcC4RVdMlE28oKQU,5.0,ChIJ6UzLKyHvcC4RVdMlE28oKQU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6UzLKyHvcC4RVdMlE28oKQU
OPERATIONAL,"4GXJ+F55, Tambak Tengah, Tambakbulusan, Kec. Karangtengah, Kabupaten Demak, Jawa Tengah 59561, Indonesia","{'location': {'lat': -6.8513547, 'lng': 110.5304842}, 'viewport': {'northeast': {'lat': -6.850004870107277, 'lng': 110.5318340298927}, 'southwest': {'lat': -6.852704529892721, 'lng': 110.5291343701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,tambak bulusan karang tengah demak indonesia,ChIJodBYAmfvcC4RDKadhhCDhTs,3.4,ChIJodBYAmfvcC4RDKadhhCDhTs,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,,,https://www.google.com/maps/place/?q=place_id:ChIJodBYAmfvcC4RDKadhhCDhTs
OPERATIONAL,"4GWQ+W3W, Tambak Tengah, Tambakbulusan, Kec. Karangtengah, Kabupaten Demak, Jawa Tengah 59561, Indonesia","{'location': {'lat': -6.852627399999999, 'lng': 110.5377054}, 'viewport': {'northeast': {'lat': -6.851281120107278, 'lng': 110.5390612298927}, 'southwest': {'lat': -6.853980779892722, 'lng': 110.5363615701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali Sipon,ChIJOYUpQjXvcC4RN9cFizCAgaU,0.0,ChIJOYUpQjXvcC4RN9cFizCAgaU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110076899781004737814"">A Google User</a>'], 'photo_reference': 'AUGGfZn2J0drc83je-SHv2T306R9gfOafn_cUNpZdeU_kb415TE0UcX5cyun03lqNR2jMyBSIHoJtPoz48PRvmcq0VWj_hufiGV1jO7_-vnfFBZnY5eR9oghSHs5P5kqftQD4MO_hV1hdr3nMBk9LepYQUfT3sIttioPhPuLvmc6fQluB8LQ', 'width': 3000}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJOYUpQjXvcC4RN9cFizCAgaU
OPERATIONAL,"Tambakkontrak, Tambakbulusan, Karangtengah, Demak Regency, Central Java 59561, Indonesia","{'location': {'lat': -6.845942, 'lng': 110.5306494}, 'viewport': {'northeast': {'lat': -6.844592170107277, 'lng': 110.5319992298927}, 'southwest': {'lat': -6.847291829892721, 'lng': 110.5292995701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,RUMPON ARIFIN X-SIPON,ChIJl2n0FhrvcC4ROYvJblSUeCU,3.7,ChIJl2n0FhrvcC4ROYvJblSUeCU,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116322121443675814447"">yudha galatia</a>'], 'photo_reference': 'AUGGfZmWWlsogaZYlFjZgkEnlbRCqmEF1fYHUcoi9wvrZ3qNLnm_ycpnGgzawqoAltBcUclD38Quhy1N-QZgToEycHO16eR_FA1m5aRSYVjIY3vu3XNSyOhEt9mYdnT9JKmDMETM_ARYG5BOphlIF1pXcaeOBZI9gz3WajF0ccrLn-fbJX7F', 'width': 4000}]",{'open_now': True},"{'compound_code': '5G3J+J7 Tambakbulusan, Demak Regency, Central Java, Indonesia', 'global_code': '6P5G5G3J+J7'}",,https://www.google.com/maps/place/?q=place_id:ChIJl2n0FhrvcC4ROYvJblSUeCU
OPERATIONAL,"4GWC+5VH, Tambakgembolo, Tambakbulusan, Kec. Karangtengah, Kabupaten Demak, Jawa Tengah, Indonesia","{'location': {'lat': -6.8545702, 'lng': 110.522234}, 'viewport': {'northeast': {'lat': -6.853036070107278, 'lng': 110.5237324798927}, 'southwest': {'lat': -6.855735729892722, 'lng': 110.5210328201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumpon Kali Tegong,ChIJ_VA6-YLvcC4RtSR-JoABuOc,5.0,ChIJ_VA6-YLvcC4RtSR-JoABuOc,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102898035272835061390"">Afif Uyee</a>'], 'photo_reference': 'AUGGfZk7Drsje3l99OCqYH0_759NJA0zR7BaWWJR4fZxOGA9pSoFxJuNiCACDynzE6Qg7vUrwx6eY_KJc3pEbhuxNyKefO8pC_FfJ3Ptqt04Ki4NUSPCy893BQoD53X7-2yKpc08iZJigE5_rZhB8aqSIshOmXuEqZZBdK_PYa6mef0JTuw3', 'width': 3072}]",{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJ_VA6-YLvcC4RtSR-JoABuOc
OPERATIONAL,"2HXM+2MP, Kmp.Gunung Lawu, RT.3/RW.3, Klitih, Kec. Karangtengah, Kabupaten Demak, Jawa Tengah 59561, Indonesia","{'location': {'lat': -6.9524244, 'lng': 110.584191}, 'viewport': {'northeast': {'lat': -6.951109970107278, 'lng': 110.5857791298927}, 'southwest': {'lat': -6.953809629892722, 'lng': 110.5830794701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Sawah GL,ChIJ6WpmgsPscC4RCnVQu242XmQ,4.2,ChIJ6WpmgsPscC4RCnVQu242XmQ,"['tourist_attraction', 'point_of_interest', 'establishment']",13,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102313890647227145574"">Muhammad Adnan</a>'], 'photo_reference': 'AUGGfZki_QotlRvzLHz_quRGIKH2n37B6z-NQ2Z_QA4QlyrPm8eM_AiLnpHjc_m9QaB8EEYdoxYB8ZpymkJoLPxmoK02qH4i3xbafytpPVKIi9n6Qxt6_ATDWowDxDwNRKGhJMFUyTjWDbAwytXrfWqOIN4HVurGHx6xABAJ-r7UftY-34Ub', 'width': 2448}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ6WpmgsPscC4RCnVQu242XmQ
OPERATIONAL,"3HJ6+HG, Batu Tempel, Wonokerto, Kec. Karangtengah, Kabupaten Demak, Jawa Tengah, Indonesia","{'location': {'lat': -6.918511400000001, 'lng': 110.561363}, 'viewport': {'northeast': {'lat': -6.917360420107278, 'lng': 110.5633039798927}, 'southwest': {'lat': -6.920060079892722, 'lng': 110.5606043201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rowo Dandang,ChIJd1a1EQDtcC4R7RFQkHObJ2E,0.0,ChIJd1a1EQDtcC4R7RFQkHObJ2E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJd1a1EQDtcC4R7RFQkHObJ2E
OPERATIONAL,"Krajan Rt02/Rw02, Krajan, Wonokerto, Kec. Karangtengah, Kabupaten Demak, Jawa Tengah 59561, Indonesia","{'location': {'lat': -6.9224798, 'lng': 110.5694304}, 'viewport': {'northeast': {'lat': -6.921111370107277, 'lng': 110.5706349798927}, 'southwest': {'lat': -6.923811029892721, 'lng': 110.5679353201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lapangan desa wonokerto,ChIJ32AyKRLtcC4RNG9qdW2S5fg,5.0,ChIJ32AyKRLtcC4RNG9qdW2S5fg,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 2667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102455150672319110234"">park moch</a>'], 'photo_reference': 'AUGGfZm0Xv7HGDbYfVqymLKX923Uo3PgCgzsk5lUPV6LjaFkoZp6_yDgEXAk_Q35N2-wrafBC5K8UHVwXFsOj7PNHdRrLe8ELxoE_VEdTDnP_H1tXHPfx3dUr0e2ihr8d1IyXkGbL5pstX0rf0AfOZYuWml4_VlaHJbcNA98wW535FBiVa-O', 'width': 4000}]",{'open_now': True},"{'compound_code': '3HH9+2Q Wonokerto, Demak Regency, Central Java, Indonesia', 'global_code': '6P5G3HH9+2Q'}",,https://www.google.com/maps/place/?q=place_id:ChIJ32AyKRLtcC4RNG9qdW2S5fg
OPERATIONAL,"5G3J+P2F, Unnamed Road, Tambakkontrak, Tambakbulusan, Kec. Karangtengah, Kabupaten Demak, Jawa Tengah 59561, Indonesia","{'location': {'lat': -6.845689999999999, 'lng': 110.5300517}, 'viewport': {'northeast': {'lat': -6.844340170107278, 'lng': 110.5314015298927}, 'southwest': {'lat': -6.847039829892722, 'lng': 110.5287018701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumpon Istanbul rk jelas,ChIJ8z8eaufvcC4RyElYfbMzZzg,3.7,ChIJ8z8eaufvcC4RyElYfbMzZzg,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116926532206980232294"">A Google User</a>'], 'photo_reference': 'AUGGfZlnyyZOuqzPyCxmGlXiRRhW85r8WGKl1CXqPaqdWnqDECSv0WPPufL2h8hh5bxS1rF95TXyhW3T2yJp7NkWLjridebPriy-6bJtXG8lL87g-NDleGbctP4aSm8OerdxTFytTMSXfxqQe0APIRF1d-DVGxAaZLmB5YpgDkSBeKK7SGc8', 'width': 1600}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ8z8eaufvcC4RyElYfbMzZzg
CLOSED_TEMPORARILY,"Jl. Tambakbulusan Raya No.rt01/03, Tambakgembolo, Tambakbulusan, Kec. Karangtengah, Kabupaten Demak, Jawa Tengah 59561, Indonesia","{'location': {'lat': -6.861763, 'lng': 110.5347746}, 'viewport': {'northeast': {'lat': -6.860413170107278, 'lng': 110.5361240298927}, 'southwest': {'lat': -6.863112829892722, 'lng': 110.5334243701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Abah Musyafak,ChIJ-YE1YuXvcC4RlVPrZK-0ErU,5.0,ChIJ-YE1YuXvcC4RlVPrZK-0ErU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102774022409578004568"">Zaenal Fanani Akhmad</a>'], 'photo_reference': 'AUGGfZmgRrO9Jf6sTOw07bkrv7i-cRFQ7__bUxMi1PZJwehnC6AHgaVkanuGlMGgWsBJs7fl0u8YkT4zmOW_Qc7d68Kr9jRPrSn1SKlvB7hIpuY1BL5S6p_Y-ZR760dP7kaHsuPJ6cvgo6RdQFwmvnyG0peUpWyhlaMlynZnChzMMUDqU1u_', 'width': 4000}]",,"{'compound_code': '4GQM+7W Tambakbulusan, Demak Regency, Central Java, Indonesia', 'global_code': '6P5G4GQM+7W'}",True,https://www.google.com/maps/place/?q=place_id:ChIJ-YE1YuXvcC4RlVPrZK-0ErU
