business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"4MQ4+39X, Kel. Tetandara, Ende Selatan, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8622559, 'lng': 121.6559813}, 'viewport': {'northeast': {'lat': -8.860906070107278, 'lng': 121.6573311298927}, 'southwest': {'lat': -8.863605729892722, 'lng': 121.6546314701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung Meja,{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100102821141436163430"">IMAM Ramadhan</a>'], 'photo_reference': 'AUGGfZkIZ8eBGpe05MpUI9bsBXCamONGr2EI3qF2hFEAwKfD0-Flaim0O1gMfUeG163R_j0-RVVKx64OZso7GQMxnaOaJrHJ62fbmFL1UWlVWTZjKgCajsf6IJdAGvGnceGJdzYpBir1pr7NdRjg7e4lLfPhQUWjc1BjZXJGryHqF-w_hPwJ', 'width': 3264}]",ChIJXRw2hltZrS0RjXtHriaPnfU,4.3,ChIJXRw2hltZrS0RjXtHriaPnfU,"['tourist_attraction', 'point_of_interest', 'establishment']",20,,https://www.google.com/maps/place/?q=place_id:ChIJXRw2hltZrS0RjXtHriaPnfU
OPERATIONAL,"5M37+792, Jl. Kelimutu, Kel. Mautapaga, Kec. Ende Tim., Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.8468689, 'lng': 121.6633845}, 'viewport': {'northeast': {'lat': -8.845541520107279, 'lng': 121.6647573298927}, 'southwest': {'lat': -8.848241179892723, 'lng': 121.6620576701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Mancur Lampu 5,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104825381200731539070"">Bambang Riyanto</a>'], 'photo_reference': 'AUGGfZnYyLyf9daBg82neWxG3bBs4pkFR9AeAIIP51REHBS-x7K-vg7F7gv0MX8xHtGFHydzFfmunJBIRxBnCXXXi6g26wgTa4pjRD9TlQ_Vj9Rt8QB4KL85L86-Brom7gkoTvgKSwVRflEqVrmoh-rK6zd7mA32A5B9Bs5oG-IDDA3dc_iY', 'width': 4000}]",ChIJ5fE10f5ZrS0R0gR8DeeMiOc,4.3,ChIJ5fE10f5ZrS0R0gR8DeeMiOc,"['tourist_attraction', 'point_of_interest', 'establishment']",18,,https://www.google.com/maps/place/?q=place_id:ChIJ5fE10f5ZrS0R0gR8DeeMiOc
OPERATIONAL,"5J2V+X5W, Jl. Kemakmuran, Kel. Mbongawani, Kec. Ende Sel., Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.847506, 'lng': 121.6429642}, 'viewport': {'northeast': {'lat': -8.846126270107279, 'lng': 121.6443668798927}, 'southwest': {'lat': -8.848825929892723, 'lng': 121.6416672201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ende Beach Bridge,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101967315324238784563"">Patra Boma</a>'], 'photo_reference': 'AUGGfZnwF4mzlPJSe_7KcfFOqE8NLwSNmsa7Uy0hvPoHB0_EhELgLXqivcQIgi1SPz6MkrE6utlYd6GOfk83AQ_dIKou4BUbm_F4-nDttPB9VdyMfowzxlXvJ7M9KaqBgPuZCclzjdxJbgZ5NrS4J0mwPVHVVilskMPeWNptN9FXWabDwE7I', 'width': 3024}]",ChIJ2UvP7ENZrS0R5pPCagro-R0,4.4,ChIJ2UvP7ENZrS0R5pPCagro-R0,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,https://www.google.com/maps/place/?q=place_id:ChIJ2UvP7ENZrS0R5pPCagro-R0
OPERATIONAL,"5M3F+9WW, Jl. Gatot Soebroto, Kel. Mautapaga, Kec. Ende Tim., Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.846523399999999, 'lng': 121.6748195}, 'viewport': {'northeast': {'lat': -8.845371370107276, 'lng': 121.67566765}, 'southwest': {'lat': -8.84807102989272, 'lng': 121.67227505}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nangawitu Beach Mautapaga Ende,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102346700307027567182"">A Google User</a>'], 'photo_reference': 'AUGGfZlfzCW2KZCeeu0K2a5aZrktajVUeGjgB2yuMPSDsBUa9uKGIuM60Lld4tyHF4Vl3LQA6lVz5vHnPqPC1RfdMl2seuS8TJZEavzi8jDXajpl3vLWjWCXIPd2l_6GS6ZgpiF6SLvI-yHA9LCoOxno1dN0W0yOMD_Pex4nW3LZmwfU1Bmi', 'width': 4160}]",ChIJeXIy6dlYrS0RMxhogo6LMHE,4.2,ChIJeXIy6dlYrS0RMxhogo6LMHE,"['tourist_attraction', 'point_of_interest', 'establishment']",80,,https://www.google.com/maps/place/?q=place_id:ChIJeXIy6dlYrS0RMxhogo6LMHE
OPERATIONAL,"5J2W+28V, Desa Tonggo Papa, Kecamatan Ende, Kel. Rukunlima, Flores, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.8498998, 'lng': 121.6457859}, 'viewport': {'northeast': {'lat': -8.848434770107279, 'lng': 121.6471586298927}, 'southwest': {'lat': -8.851134429892722, 'lng': 121.6444589701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Tonggo Papa,,,ChIJkWmoZLlYrS0RuTuNhWZHw70,3.5,ChIJkWmoZLlYrS0RuTuNhWZHw70,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJkWmoZLlYrS0RuTuNhWZHw70
OPERATIONAL,"4MM6+4W3, Kel. Tetandara, Ende Selatan, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8672396, 'lng': 121.6623117}, 'viewport': {'northeast': {'lat': -8.865835170107278, 'lng': 121.6636987798928}, 'southwest': {'lat': -8.868534829892722, 'lng': 121.6609991201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Arubara,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114445680700704155241"">Denis Imanuel Sucipto</a>'], 'photo_reference': 'AUGGfZkuY5fxa1TcgxTkWLuuAaMl2K4MWceSiqMs54TOkeIhAtBxuHzIQb6iAtvKiV3mgaNLMcn8-HnIiB5hX1vUFCtkKXQVA-b5asWwlOx9uo7yZpUA6R5HNQGPOre9VkERRxif_wqYphjop6dUx5AlfIIcrNjhkcRSa0Y6NfpPpheyJP3g', 'width': 4032}]",ChIJkU2b8CxZrS0RuLTxn1sX_p8,4.8,ChIJkU2b8CxZrS0RuLTxn1sX_p8,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJkU2b8CxZrS0RuLTxn1sX_p8
OPERATIONAL,"5M85+QFC, Kel. Paupire, Ende Tengah, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8331083, 'lng': 121.6584801}, 'viewport': {'northeast': {'lat': -8.831758470107275, 'lng': 121.6598299298927}, 'southwest': {'lat': -8.834458129892719, 'lng': 121.6571302701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Decantal,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108518138671876242410"">A Google User</a>'], 'photo_reference': 'AUGGfZnZc50pLsgUL_at0IgZVurr6D8cori0CkvT3zhaAZ-q_kNZGkbV6R7W5qcJyKsWUeJvgmvNnA9y4G2fE_pbLPRfWemSBSsd8TaAu70aaFY925NC8GxkyYYp3-foPwcrSQG_D6xBLa3BGBs3nSEJt7gS0M9Y9vbAHswtrpn3neSVKFQB', 'width': 3024}]",ChIJacW0bABfrS0RbduzgiKYdSI,3.0,ChIJacW0bABfrS0RbduzgiKYdSI,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJacW0bABfrS0RbduzgiKYdSI
OPERATIONAL,"5M2Q+RJ9, Wolotopo, Ndona, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.847970799999999, 'lng': 121.6891153}, 'viewport': {'northeast': {'lat': -8.84639407010728, 'lng': 121.6905327798927}, 'southwest': {'lat': -8.849093729892724, 'lng': 121.6878331201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Mbu'u,,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113889407220022987685"">A Google User</a>'], 'photo_reference': 'AUGGfZlbxOAZoh2ic4g39-qLrEMFqqVbuyc78aOCToPYJNbPEtFfVT9n49-RkH6lO6yGYE6fbzGG_mj1y2F08d6NyLYjcxmGZbrbvJ3IMHlaLl9gBIfTkICBkvt-wRbVbnVJ49VCEH_cdbtEtVSrHTfPtx84rv7ArQIUQ3tV4-MZxE7yGBw', 'width': 4160}]",ChIJhU3Z1yRZrS0R-wy6kMJPLp8,4.7,ChIJhU3Z1yRZrS0R-wy6kMJPLp8,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,https://www.google.com/maps/place/?q=place_id:ChIJhU3Z1yRZrS0R-wy6kMJPLp8
OPERATIONAL,"5M85+JWH, Jl. Sam Ratulangi, Kel. Paupire, Kec. Ende Tengah, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.8334412, 'lng': 121.6598581}, 'viewport': {'northeast': {'lat': -8.832090220107277, 'lng': 121.6612199298927}, 'southwest': {'lat': -8.834789879892721, 'lng': 121.6585202701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Yoga Sykes,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108342485724180047195"">A Google User</a>'], 'photo_reference': 'AUGGfZmRPFz7KeiUsC1t9TZOg9evhU3NlUX04LeJhj5xcwsNw_mAP6S8PaZdvBTRU9WTWKgrQuW1xNagvDwSZBdEEbqrklrgyKOd9cdR7uPd3tGE851iXCQfSBi-3ZzMB7-S8A11qYgwKTwK4efNP-DDWXEu4HJ0ol_tL2si-b4hFMNafa8Q', 'width': 1920}]",ChIJOaAlTzNfrS0RK9DXjnrZuDA,0.0,ChIJOaAlTzNfrS0RK9DXjnrZuDA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJOaAlTzNfrS0RK9DXjnrZuDA
OPERATIONAL,"5JCJ+FJR, West Kel. Roworena, Ende Utara, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8287742, 'lng': 121.6315055}, 'viewport': {'northeast': {'lat': -8.82725555, 'lng': 121.6324628298927}, 'southwest': {'lat': -8.83333015, 'lng': 121.6297631701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Kezimara,,"[{'height': 3736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117894356111360992975"">Didi Wahjudi</a>'], 'photo_reference': 'AUGGfZlDu79uYFzwn18a8Ve6IlC1iwbLzxk724ja9x6cOVfJqChvzsCfOM7QwKfastn-ES3SIgZ2zPS6kUY1WpL7w13fS2JBiTLIPZePbCMMjrmrfU0vOW1HwzEM-pGEk6_36oX8wxZcJEA7QkV9jfkwtazUEDnlQXX5F8OpnaBVaHvi_A8', 'width': 9024}]",ChIJV4vrvOpfrS0RQ5zbcmEcKNU,4.9,ChIJV4vrvOpfrS0RQ5zbcmEcKNU,"['tourist_attraction', 'point_of_interest', 'establishment']",8,,https://www.google.com/maps/place/?q=place_id:ChIJV4vrvOpfrS0RQ5zbcmEcKNU
