business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"5VM2+GH8, Kel. Wolojita, Wolojita, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8162156, 'lng': 121.8514416}, 'viewport': {'northeast': {'lat': -8.814906770107276, 'lng': 121.8526533298927}, 'southwest': {'lat': -8.81760642989272, 'lng': 121.8499536701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Otoseso Elang Flores,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107999060899510838909"">A Google User</a>'], 'photo_reference': 'AUGGfZns_Hm5n_JCQ5JtiO4BTFTHYoFqQoSPkhN5vUD4U75PLqFO4R46YNFWcUNPJqPADAECYnuYb_fw5Ivphz_PQwvHKkQ3Q9GzBfu3oTtGj7Kq6tjT_CK3hdKX0uaBpwhydBLtK8iC-hau8ZEbv5DureU0vzlDN2-hCRUMAz4cEsOh62-4', 'width': 1920}]",ChIJ9wVGGdZDrS0RkFYXUv5ZUnk,5.0,ChIJ9wVGGdZDrS0RkFYXUv5ZUnk,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJ9wVGGdZDrS0RkFYXUv5ZUnk
OPERATIONAL,"5VG2+CJ, Kel. Wolojita, Wolojita, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8239468, 'lng': 121.8515935}, 'viewport': {'northeast': {'lat': -8.822509070107278, 'lng': 121.8527918298927}, 'southwest': {'lat': -8.825208729892722, 'lng': 121.8500921701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ae Wau,{'open_now': True},"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114960284503908261422"">A Google User</a>'], 'photo_reference': 'AUGGfZn9hWeiltcusgCcqNXP2hmDtBBFBmTfj5yTIEeYI_xutGuaCoKiVjg3gK-mPGf77vD9gPaV_PoPlHVsmv1FtecsXRwpfyMSDMoS0F_qvWI5oMTM7CYOKb3l7z20JtPHszCTvIVJk8n5BY5teeopLWL0PHZwPaWfMUt24FAnToZYGcPS', 'width': 4640}]",ChIJYfm39LJFrS0RHghExk0z9f0,4.5,ChIJYfm39LJFrS0RHghExk0z9f0,"['tourist_attraction', 'point_of_interest', 'establishment']",8,,https://www.google.com/maps/place/?q=place_id:ChIJYfm39LJFrS0RHghExk0z9f0
OPERATIONAL,"5RQR+4C8, Kel. Wolojita, Wolojita, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8122203, 'lng': 121.8410769}, 'viewport': {'northeast': {'lat': -8.81084467010728, 'lng': 121.8424022298927}, 'southwest': {'lat': -8.813544329892723, 'lng': 121.8397025701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Adat/sa'o ria moke bewa,,"[{'height': 685, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105852784521377113674"">A Google User</a>'], 'photo_reference': 'AUGGfZnT6QuHgPUaTSoyL_OpQx5wZqJAAUIQopgwikzX7qXcaFnOMNl8P0wXn2MXxcHpSVfYAFZeSMjLHfSVag9Q7kBCzFbtn1Fr-iWA3IqLEmRFN5_OjXdJ1upJdczFRCUBxRlIPJkSyIxcvS4iPUiYtgS3xJr-hZLWS-SknjaIesb8vaJA', 'width': 720}]",ChIJfTg5fABDrS0RfxQ7dD3T8xY,0.0,ChIJfTg5fABDrS0RfxQ7dD3T8xY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJfTg5fABDrS0RfxQ7dD3T8xY
OPERATIONAL,"5R5W+PC4, Nggela, Wolojita, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.840726199999999, 'lng': 121.8460711}, 'viewport': {'northeast': {'lat': -8.839393470107277, 'lng': 121.8474005798927}, 'southwest': {'lat': -8.84209312989272, 'lng': 121.8447009201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Adat Nggela,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101447652376096929569"">Leonardus Nyoman</a>'], 'photo_reference': 'AUGGfZn-qIwNvDxya6xPkg8lsMvRs5hEZ6tDB7Xire8U2CcErxtWR_220P4UcqBRmYn2voPVCibXFOoi-adrFocmiS9XSdLeFt0rgFxZX5AQgheBJH-Uqie3-bpjT-jrhZh7QSyfzKcSU3A3ToO33AxopBjQ7wuGCsuSAoyLvJ_K7Uhy-fMu', 'width': 4032}]",ChIJuxU8v-FFrS0RRFTZcUaUiL0,5.0,ChIJuxU8v-FFrS0RRFTZcUaUiL0,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJuxU8v-FFrS0RRFTZcUaUiL0
OPERATIONAL,"5R5W+HHH, Nggela, Wolojita, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8410601, 'lng': 121.8464916}, 'viewport': {'northeast': {'lat': -8.83975637010728, 'lng': 121.8477363298927}, 'southwest': {'lat': -8.842456029892723, 'lng': 121.8450366701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nua nggela,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104887641211473876569"">Mikhael Seda</a>'], 'photo_reference': 'AUGGfZnm2s2JcvdlBGk4gfw50fCDvT6Z0mPldD3AXi46_YbgOaMx75sKaR5z7JqGbW5P2n1BH-kmMTRiPtOlQ51R-eCqiyIHmPkcGGor87JrkLHmNdvUdOFeFQ5pUfwWEpz1AeKeYWwMnNWLUqN-5AJj18sNmIy4Z82Bu3rP2b-6BojzsQSv', 'width': 4160}]",ChIJp81J8fBFrS0RbX4FyxNlpxg,4.4,ChIJp81J8fBFrS0RbX4FyxNlpxg,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,https://www.google.com/maps/place/?q=place_id:ChIJp81J8fBFrS0RbX4FyxNlpxg
OPERATIONAL,"6V27+865, Jopu, Wolowaru, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.799246, 'lng': 121.8631012}, 'viewport': {'northeast': {'lat': -8.797680120107277, 'lng': 121.8645658298927}, 'southwest': {'lat': -8.80037977989272, 'lng': 121.8618661701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Muru Kola,,"[{'height': 909, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109854228444772956846"">Yoseph Gai</a>'], 'photo_reference': 'AUGGfZm4KMZyC0wqWw7Nlu5UIDblpTN7LcqzEK1snuOcLnncc1Chiwy-OmIdjVYVv4o02rG8Woi5hQgzhEHblEZ2xVEJdLDaD1_mdvvcBsaXVpfqQ7UaRl12ZIQpYQXmn1xho98SbTMEJ7cfMQYvBq53oLDAhBROV5emSwwp99HHepPk-KWc', 'width': 720}]",ChIJ18ImrAZDrS0RzQKkpjYGXSI,4.0,ChIJ18ImrAZDrS0RzQKkpjYGXSI,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,https://www.google.com/maps/place/?q=place_id:ChIJ18ImrAZDrS0RzQKkpjYGXSI
OPERATIONAL,"6RJ9+C2X, Jl. Kelimutu National Park, Woloara, Kec. Kelimutu, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.768894399999999, 'lng': 121.8176045}, 'viewport': {'northeast': {'lat': -8.767889999999998, 'lng': 121.8184097798927}, 'southwest': {'lat': -8.7719076, 'lng': 121.8157101201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tiwu Ata Polo,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116085851039595123913"">A Google User</a>'], 'photo_reference': 'AUGGfZkhN_71tFXTjwhlb8xHPgLwd1EYRpeoeSQdHtjs-W8v61P9Px1XzhjCUi2So48vsIyyGM6TqKbz7adwVhJC2fvLZaMcdaA46e1ZtIoHTWfob-EZRxurs7MgUV8FQcTelzkIpPBEn8QlBV0JilgY5DAXqRTeP6R_zAlGLs9XNrvhJw0s', 'width': 4000}]",ChIJY5F-3EZdrS0R8KjepwFQNjQ,4.9,ChIJY5F-3EZdrS0R8KjepwFQNjQ,"['tourist_attraction', 'point_of_interest', 'establishment']",16,,https://www.google.com/maps/place/?q=place_id:ChIJY5F-3EZdrS0R8KjepwFQNjQ
OPERATIONAL,"Waturaka Kota Pariwisata, Koanara, Kec. Kelimutu, Kabupaten Ende, Nusa Tenggara Tim. 86371, Indonesia","{'location': {'lat': -8.7481628, 'lng': 121.8347401}, 'viewport': {'northeast': {'lat': -8.746749920107279, 'lng': 121.8361553798927}, 'southwest': {'lat': -8.749449579892723, 'lng': 121.8334557201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Rasta Area, Waturaka Kota Pariwisata",{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107317554401410170601"">A Google User</a>'], 'photo_reference': 'AUGGfZmjgdQ1O2GBSw9gf_QvYy-HpiiQrM2x_BlDuqYMf5bi1mMMQZfXIr0Kv4cS8qFYmrjhOwhZA6RX9rCI8Njs0FLBSK4HPtWs90CRGJbR6SOQzgTECSJfAnIFzpy4J96Ykemzc2nZq_l-F-ZbAwawrXTOuRoIW5raQv5kTrduPlk094RT', 'width': 4160}]",ChIJ-xupcBFDrS0RXWgvpgDdpQM,3.0,ChIJ-xupcBFDrS0RXWgvpgDdpQM,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"{'compound_code': '7R2M+PV Koanara, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q337R2M+PV'}",https://www.google.com/maps/place/?q=place_id:ChIJ-xupcBFDrS0RXWgvpgDdpQM
OPERATIONAL,"6RXM+P7, Koanara, Kelimutu, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.750632699999999, 'lng': 121.833224}, 'viewport': {'northeast': {'lat': -8.749380670107278, 'lng': 121.8346735798927}, 'southwest': {'lat': -8.752080329892722, 'lng': 121.8319739201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ae Ba'i WATURAKA,,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105973190111787205126"">A Google User</a>'], 'photo_reference': 'AUGGfZmrmwwVk3rgYM0hqRB6VEf56UkY0KqiqQNthgfMivO8jhHMHGHd1jBO0vJhqQ--zVd5qSgZBm11ktUcIolvXZIkvi1Lmar1IitWtNV2p2Hy-m8Q5ZLf_-M8oCyY1RDpb0W-Rh1M4ogVM2L-qbOEraxzfwJibNDHwOzdSDfbmd2BnltG', 'width': 3072}]",ChIJcTSFc19DrS0R-miKFse-X9Q,5.0,ChIJcTSFc19DrS0R-miKFse-X9Q,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJcTSFc19DrS0R-miKFse-X9Q
OPERATIONAL,"Mbuliwaralau, Wolowaru, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8201407, 'lng': 121.8673209}, 'viewport': {'northeast': {'lat': -8.817738449999998, 'lng': 121.8732534}, 'southwest': {'lat': -8.820941450000001, 'lng': 121.8653434}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tiwu Kea,{'open_now': False},"[{'height': 2998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115398141156872673079"">Charno Wero</a>'], 'photo_reference': 'AUGGfZl17ZfhWTnlyquX-fOnb1oSfR3abuzi8iX1tnFOcY-1Ugzx1zs-XUe8XwYdW0EXrGS0Y0CKVarLv5B9w2xDfxstDXUwon3AJVnsits2vAqz5fr_AKVbEdQCZOWYd8EiUSq342YPdt5eh8AYT796Y_3cIVAV38Xbjj-ofYn6FEszjtQ7', 'width': 3998}]",ChIJIbve6etFrS0RlvPYwlR3kQs,4.3,ChIJIbve6etFrS0RlvPYwlR3kQs,"['tourist_attraction', 'point_of_interest', 'establishment']",24,"{'compound_code': '5VH8+WW Mbuliwaralau, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q335VH8+WW'}",https://www.google.com/maps/place/?q=place_id:ChIJIbve6etFrS0RlvPYwlR3kQs
