business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Mbuliwaralau, Wolowaru, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8201407, 'lng': 121.8673209}, 'viewport': {'northeast': {'lat': -8.817738449999998, 'lng': 121.8732534}, 'southwest': {'lat': -8.820941450000001, 'lng': 121.8653434}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tiwu Kea,{'open_now': False},"[{'height': 2998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115398141156872673079"">Charno Wero</a>'], 'photo_reference': 'AUGGfZm8UOmw8zvchYsC4TZ-EqiU_mnJ8FGaN8_oq08rVKr9Hf-5CljJMm58utmYtBBh1X3SiAzukXmVyqGNBmC7en2r_AYk0d2fV9d-IHB0VdESDVLKYDKbxzQeSlUxa8UmtuMygyO2WEJQ8Umh3vT69JQSWTickdB4avTZItudMaHP242J', 'width': 3998}]",ChIJIbve6etFrS0RlvPYwlR3kQs,"{'compound_code': '5VH8+WW Mbuliwaralau, Ende Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q335VH8+WW'}",4.3,ChIJIbve6etFrS0RlvPYwlR3kQs,"['tourist_attraction', 'point_of_interest', 'establishment']",24,,https://www.google.com/maps/place/?q=place_id:ChIJIbve6etFrS0RlvPYwlR3kQs
OPERATIONAL,"6V27+865, Jopu, Wolowaru, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.799246, 'lng': 121.8631012}, 'viewport': {'northeast': {'lat': -8.797680120107277, 'lng': 121.8645658298927}, 'southwest': {'lat': -8.80037977989272, 'lng': 121.8618661701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Muru Kola,,"[{'height': 909, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109854228444772956846"">Yoseph Gai</a>'], 'photo_reference': 'AUGGfZlUG5Sqf9oToaVRyhfPn7p6xON6QTYUZL8yibnmIcA2qtPDmG-mZntddcXaolU8GNpV3bSsatssjJX7vy2KXVR0PtmjzDvzHS0wyJp-dU3761_Ii9zhirqXc4AFVSaVK6oLa0NJPBJIf7IISxG6F2iyQyhMbM2RsOJ8eVvLgPxIA2B9', 'width': 720}]",ChIJ18ImrAZDrS0RzQKkpjYGXSI,,4.0,ChIJ18ImrAZDrS0RzQKkpjYGXSI,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,https://www.google.com/maps/place/?q=place_id:ChIJ18ImrAZDrS0RzQKkpjYGXSI
OPERATIONAL,"6V7P+FM6, Bokasape, Wolowaru, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.786341799999999, 'lng': 121.8866516}, 'viewport': {'northeast': {'lat': -8.78505017010728, 'lng': 121.8879855298927}, 'southwest': {'lat': -8.787749829892723, 'lng': 121.8852858701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Wolowaru,,,ChIJU3crlW1DrS0RahiWwmKktNM,,0.0,ChIJU3crlW1DrS0RahiWwmKktNM,"['park', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJU3crlW1DrS0RahiWwmKktNM
OPERATIONAL,"6VQ5+29R, Unnamed Road, Woloara, Kec. Kelimutu, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.7621743, 'lng': 121.8582776}, 'viewport': {'northeast': {'lat': -8.760824470107277, 'lng': 121.8596274298928}, 'southwest': {'lat': -8.763524129892721, 'lng': 121.8569277701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nuaone Moni,{'open_now': True},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111580401772193155109"">Christoper Tambanua</a>'], 'photo_reference': 'AUGGfZkGGLHyxZccGLBhsv74rtrdBbtLdkTBb2uXfleWSPqPKvs69YNULa7zJe5FxQTixpuJjrGD1ZERoin78gltUFiO7WF9UlWiBzHK3cy1j2lfx9RaJY6zh8mpb_FIQdMK9XORnvz5oAuX_bejqOthYMjMYlaTtJpyCUssMmqWwu0Gn5As', 'width': 3472}]",ChIJr5NEWkVDrS0R4OCnwnwxTVQ,,4.6,ChIJr5NEWkVDrS0R4OCnwnwxTVQ,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,https://www.google.com/maps/place/?q=place_id:ChIJr5NEWkVDrS0R4OCnwnwxTVQ
CLOSED_TEMPORARILY,"7V4P+CF9, Niramesi, Wolowaru, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7439538, 'lng': 121.8862439}, 'viewport': {'northeast': {'lat': -8.742016500000004, 'lng': 121.8879196298927}, 'southwest': {'lat': -8.749765699999998, 'lng': 121.8852199701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,muru lela nggewa (Air Terjun lela Nggewa ),,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117065029083765103013"">A Google User</a>'], 'photo_reference': 'AUGGfZnd9-5RWqQM5M9TvSZKh0JAam-lNLj45knlCixBuKKlOTKXVkvTi8CHsjk9jPFVxwpKR6GPPJp61ZkDNti_H2MGoI5FbiA84OzBZscx8SlrIxHLfrfJ-xyDZS2OLu6BlhoF3T6woAgM2HSG7xT7BL_0jX5IJC0WNFVDKmC8WYp028xq', 'width': 720}]",ChIJjQl1ZBRDrS0RRQtzPLp3wD4,,0.0,ChIJjQl1ZBRDrS0RRQtzPLp3wD4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,https://www.google.com/maps/place/?q=place_id:ChIJjQl1ZBRDrS0RRQtzPLp3wD4
OPERATIONAL,"6RXM+P7, Koanara, Kelimutu, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.750632699999999, 'lng': 121.833224}, 'viewport': {'northeast': {'lat': -8.749380670107278, 'lng': 121.8346735798927}, 'southwest': {'lat': -8.752080329892722, 'lng': 121.8319739201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ae Ba'i WATURAKA,,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105973190111787205126"">A Google User</a>'], 'photo_reference': 'AUGGfZlJP3k9AQk_7E9BZNLxGtN9VCagLIhqvs4EA-zYwbrb6fm3XX8XFKCGrRsCI2jkdmeNxy7dyRyKxp6yEySgl4cjvKdcg3uKZJEA4uX3riuY5g4VRBnNxP_nF7JYh24IJvI_Lgqy3cUBNDUGzfQ01x1LLeXSV-KjT4PviamDAtXrsA-u', 'width': 3072}]",ChIJcTSFc19DrS0R-miKFse-X9Q,,5.0,ChIJcTSFc19DrS0R-miKFse-X9Q,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJcTSFc19DrS0R-miKFse-X9Q
OPERATIONAL,"5VG2+CJ, Kel. Wolojita, Wolojita, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8239468, 'lng': 121.8515935}, 'viewport': {'northeast': {'lat': -8.822509070107278, 'lng': 121.8527918298927}, 'southwest': {'lat': -8.825208729892722, 'lng': 121.8500921701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ae Wau,{'open_now': True},"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114960284503908261422"">A Google User</a>'], 'photo_reference': 'AUGGfZl7-RyTJ2Ucr1S1eQ91GkB3TIkEi0u3lkrYmuVPoDr9X9_ePggVVf5FWefI_W0fq2Un5b-BWj_rRu8jX9Bz9yUJKVkqu-RM8lkJSR1SzYgiNCqE6WXlBBIJHILApurG6aIkTEgWoK5epbdv7oJF9xjkkeHHnzZqW4ZhS1mK6VTiZmdE', 'width': 4640}]",ChIJYfm39LJFrS0RHghExk0z9f0,,4.5,ChIJYfm39LJFrS0RHghExk0z9f0,"['tourist_attraction', 'point_of_interest', 'establishment']",8,,https://www.google.com/maps/place/?q=place_id:ChIJYfm39LJFrS0RHghExk0z9f0
OPERATIONAL,"6RXW+HC6, Moni, Flores,, Koanara, Kec. Kelimutu, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.751078, 'lng': 121.8460098}, 'viewport': {'northeast': {'lat': -8.74950147010728, 'lng': 121.8473535298927}, 'southwest': {'lat': -8.752201129892724, 'lng': 121.8446538701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Murundao Waterfall,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117312478337024320449"">A Google User</a>'], 'photo_reference': 'AUGGfZmoeipWwof-JulvNz9b3RUWXJjnOxgb7LKQ8xMH5TS6UsFWd0QwFxGigVATKHRFl6ZUHOM0OGe-QPk6FEOV209-u3rqtH6jQqd25dvcwz7RmORgN1xkIor8_8-e0L0gXDxjauhQ2Eb1JFuFFOEPme5JqBiqQOavcZzgjza28IRCw2Jb', 'width': 4000}]",ChIJkytfX4VCrS0RcD6BlgIXJ-E,,4.0,ChIJkytfX4VCrS0RcD6BlgIXJ-E,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",83,,https://www.google.com/maps/place/?q=place_id:ChIJkytfX4VCrS0RcD6BlgIXJ-E
OPERATIONAL,"7V22+CJC, Koanara, Kelimutu, Ende Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7489327, 'lng': 121.8515299}, 'viewport': {'northeast': {'lat': -8.747589620107279, 'lng': 121.8528902298927}, 'southwest': {'lat': -8.750289279892723, 'lng': 121.8501905701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Alfian G,,,ChIJC1cvEwBDrS0R0yRTVWjCp8s,,0.0,ChIJC1cvEwBDrS0R0yRTVWjCp8s,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJC1cvEwBDrS0R0yRTVWjCp8s
OPERATIONAL,"7R2P+FW2, Desa Waturaka, Koanara, Kec. Kelimutu, Kabupaten Ende, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.748863799999999, 'lng': 121.8372638}, 'viewport': {'northeast': {'lat': -8.747565370107278, 'lng': 121.8386238298927}, 'southwest': {'lat': -8.750265029892722, 'lng': 121.8359241701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Wisata Alam WATURAKA,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100589128619185382932"">Calvin Shang</a>'], 'photo_reference': 'AUGGfZlU3FHxSmaO02uGyUJfgznjR3-I6P-1Gq3CZeL8te1OgX7XhBxbusF6rW5S-ibFpw7musjL_gwXJwTziR_6WOw_O8f0j4Jv_p3ZVEDZRTZ41UGjLZU1IBiu4SZwGdaV0jN2dS64RVEukrL3qWPyGJK2usoslbzWLiBBLPdR5HcEvaQt', 'width': 4608}]",ChIJL9C_BZhDrS0Rq63ajoGNPi0,,4.8,ChIJL9C_BZhDrS0Rq63ajoGNPi0,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJL9C_BZhDrS0Rq63ajoGNPi0
