business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,permanently_closed,opening_hours,plus_code,url
OPERATIONAL,"J4JJ+G59, Bilal, Adonara Timur, East Flores Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.3687094, 'lng': 123.1304948}, 'viewport': {'northeast': {'lat': -8.367355070107276, 'lng': 123.1318454298927}, 'southwest': {'lat': -8.37005472989272, 'lng': 123.1291457701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wai Olok,ChIJ4ZYHTgB_qy0RE-Q5CEu_cnY,0.0,ChIJ4ZYHTgB_qy0RE-Q5CEu_cnY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4ZYHTgB_qy0RE-Q5CEu_cnY
OPERATIONAL,"J4GH+73M, Bilal, Adonara Timur, East Flores Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.3742863, 'lng': 123.1276836}, 'viewport': {'northeast': {'lat': -8.37254837010728, 'lng': 123.12878985}, 'southwest': {'lat': -8.375248029892724, 'lng': 123.12436485}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,wot'en,ChIJP1FjHQB_qy0R9P9QX4RmvCk,0.0,ChIJP1FjHQB_qy0R9P9QX4RmvCk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJP1FjHQB_qy0R9P9QX4RmvCk
OPERATIONAL,"M4JF+VMQ, Bukit Seburi II, Adonara Barat, East Flores Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.3177641, 'lng': 123.1242418}, 'viewport': {'northeast': {'lat': -8.316413670107279, 'lng': 123.1255955798927}, 'southwest': {'lat': -8.319113329892723, 'lng': 123.1228959201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dusun Waihean,ChIJ27dY6fB_qy0Rkfmy3WdR2IY,5.0,ChIJ27dY6fB_qy0Rkfmy3WdR2IY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115879555390843897072"">Daris Helan</a>'], 'photo_reference': 'AUGGfZm1F0VBxdAIgbkeGRfvTGlqskChcAnmx4QOF1EZb91OU4Y-uQgqhQUUKODDADyJJTbPlSHvR_lSoycQ_UrWgekPFJar95YImIxzeODdRyxYLHdaeHe0caYFZmN4xph7kYeTrHUnlCpeYeLmM7lqhGbf1Ykk9_Nc3BnYje2l0nrlD2c-', 'width': 640}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ27dY6fB_qy0Rkfmy3WdR2IY
OPERATIONAL,"J4J9+WH7, Dawataa, Adonara Timur, East Flores Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.367701, 'lng': 123.1189332}, 'viewport': {'northeast': {'lat': -8.366351170107281, 'lng': 123.1202830298927}, 'southwest': {'lat': -8.369050829892725, 'lng': 123.1175833701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun(wai gokka),ChIJ30f5lkJ_qy0R6C7ew7Vd0Zo,5.0,ChIJ30f5lkJ_qy0R6C7ew7Vd0Zo,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102625490799839113816"">A Google User</a>'], 'photo_reference': 'AUGGfZnIfLGIVLF65xwAoG3xEz-szv30zNN_KnTrzGsJAumeCLrcPFoU4U0eS98HXbFVPBkjThfabk8Q5KBVhbmv3KJ5B0Ul0U3B5pTeJKH8Niyq6RAHIsiXPOl9XonUFOKxLWW17hfeM8ffpKZGiLfhbiDx3xQJZk3Vjz_XCnTFSpykjiH_', 'width': 1200}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ30f5lkJ_qy0R6C7ew7Vd0Zo
OPERATIONAL,"J4P9+JR9, Dawataa, Adonara Timur, East Flores Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.3634741, 'lng': 123.1196212}, 'viewport': {'northeast': {'lat': -8.362124270107275, 'lng': 123.1209710298927}, 'southwest': {'lat': -8.364823929892719, 'lng': 123.1182713701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nubatoa Area Waikeang Puncak Dawataa,ChIJpwVSidt_qy0R-seTDWmZvWI,5.0,ChIJpwVSidt_qy0R-seTDWmZvWI,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108215110690799979996"">sahar hamzah</a>'], 'photo_reference': 'AUGGfZlTeFmRMjlQJ04Zb1MMlnie6RoxfRXklReg9a7mCiEzFTD9htrY76UCPr6914VVmHD4MLMglOcc3fjog4lYswUMj9SNsbVsWHOATAUq8q-OfSaETrdgHL2CWby5OeUYmhCMIzZAmFwdzDDhGQEOlQWJUSA0aJm7_jLMPSnx7Uz_cWsA', 'width': 4160}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJpwVSidt_qy0R-seTDWmZvWI
OPERATIONAL,"J58J+V56, Waiburak, Adonara Timur, East Flores Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.3828819, 'lng': 123.180385}, 'viewport': {'northeast': {'lat': -8.38125282010728, 'lng': 123.1815393298927}, 'southwest': {'lat': -8.383952479892724, 'lng': 123.1788396701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sanggar Sina Riang & OI Adonara,ChIJKV_7uHB5qy0RxAw2h-62_00,4.7,ChIJKV_7uHB5qy0RxAw2h-62_00,"['tourist_attraction', 'point_of_interest', 'establishment']",7,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113481455606787320383"">Emanuel Simon</a>'], 'photo_reference': 'AUGGfZlcWrXExJ4vzdK3jdpRDLuTxqiOePghjqipRetKPBruC6DViIVET6LrTrWU-EnT4KyUrg8vOkxgv7zjSgqq8-G7edw9cjoSi2cFgZlRwuN-2vOiU_FEg9K4BzCgFaKTcdzhBVdfKkofCnx4g78cDo0nWJ4cRoUm_m9_l4G7JqIBqD9D', 'width': 1920}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJKV_7uHB5qy0RxAw2h-62_00
CLOSED_TEMPORARILY,"M42W+GMR, Unnamed Road, Horowura, Kec. Adonara Tengah, Kabupaten Flores Timur, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.348635999999999, 'lng': 123.1466492}, 'viewport': {'northeast': {'lat': -8.347595720107277, 'lng': 123.1482843298927}, 'southwest': {'lat': -8.35029537989272, 'lng': 123.1455846701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Batu Kapal,ChIJQyNwhEt_qy0R-DqmTNBOrlM,0.0,ChIJQyNwhEt_qy0R-DqmTNBOrlM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110065205931814021940"">A Google User</a>'], 'photo_reference': 'AUGGfZlUOui3aOmtxGszyd4tH1-vIISFDQmH9UluOVkXCPs8agRR8zxLyJ64CtE0SeBtXdrWI9UyxQsfV2rRJcvmOHpSHthboMvZ-Xc4ISp2FXp89zwDYTOvJFLU6Q47PcxPwwDHi_pxxiS_6H8J6SYSd8GaOtGb86qsIYQmupc4D9rTUf1O', 'width': 2448}]",True,,,https://www.google.com/maps/place/?q=place_id:ChIJQyNwhEt_qy0R-DqmTNBOrlM
OPERATIONAL,"Q563+CR, Adonara, East Flores Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.2388973, 'lng': 123.1546093}, 'viewport': {'northeast': {'lat': -8.237547470107279, 'lng': 123.1559591298927}, 'southwest': {'lat': -8.240247129892722, 'lng': 123.1532594701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,APE MATA-beach,ChIJz0gFvt-Hqy0RKH8ttEzAvYQ,4.0,ChIJz0gFvt-Hqy0RKH8ttEzAvYQ,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101097163113161615209"">A Google User</a>'], 'photo_reference': 'AUGGfZkIy5Ro7LV6okKjMm4TTqCsYIK9JKYMdsCTJ-x5vMKu0syFi8aZQ9fD64qdN2Co59psYBvqsPXX_hlTj9RVzfVjYYP5Q9T-2TR_3gd0e0GjLcV5TxZ86tvNeKayS2zq0GfBVjCK_cflewUuZhqxj53l0xzc8bBgXIDiINoN_m-sMyD0', 'width': 1122}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJz0gFvt-Hqy0RKH8ttEzAvYQ
OPERATIONAL,"J64G+FXM Pantai Watotena, Lewobunga, Kec. Adonara Tim., Kabupaten Flores Timur, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.393778, 'lng': 123.2274249}, 'viewport': {'northeast': {'lat': -8.392060070107275, 'lng': 123.23060715}, 'southwest': {'lat': -8.39475972989272, 'lng': 123.22636415}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Watotena,ChIJOyAuafF7qy0RCorYk0kilSY,4.5,ChIJOyAuafF7qy0RCorYk0kilSY,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 328, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111146991267563727545"">Johan Wydiamarta</a>'], 'photo_reference': 'AUGGfZmIe2VpSqxIGqVwt6brfRPv23Q9Q6ehlpovwckW2CSAnXQUcDRvhOVm4cLrw1hvuvQkWgW7jxQOc2nB27hwWBaxyi5aIo07acCaBKYjlDuPT063iK5FBISpIPVFRePwDdxgWdG9tCywIOIbkagImvBSarArratk2VYLMvpQIkcqmvSs', 'width': 720}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJOyAuafF7qy0RCorYk0kilSY
OPERATIONAL,"Q525+GP5, Desa Lamahoda, Adonara, Kec. Adonara, Kabupaten Flores Timur, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.2487389, 'lng': 123.1593698}, 'viewport': {'northeast': {'lat': -8.247389070107275, 'lng': 123.1607196298927}, 'southwest': {'lat': -8.250088729892719, 'lng': 123.1580199701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SIA BELE,ChIJM7tDTW-Bqy0RfwmsfZv-_ss,5.0,ChIJM7tDTW-Bqy0RfwmsfZv-_ss,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJM7tDTW-Bqy0RfwmsfZv-_ss
