business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"MRX4+P74, Sindangsari, Cigedug, Garut Regency, West Java 44116, Indonesia","{'location': {'lat': -7.3007427, 'lng': 107.8057114}, 'viewport': {'northeast': {'lat': -7.299511720107276, 'lng': 107.8071453798927}, 'southwest': {'lat': -7.30221137989272, 'lng': 107.8044457201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cadas Gantung (CG) Desa Sindangsari Kecamatan Cigedug Kabupaten Garut,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104504710025465678727"">A Google User</a>'], 'photo_reference': 'AUGGfZn9Zkv-JsEzfcnGYRGy7LkRvMUd51ZkRmMPg0DUIho7AxPr7OapidaMG-lqoXiHtyRUZBc07rsQepoTaGLns9b45yK6dShPtAREDyrtjPeM60sWPwfeW9ruUqfxMuWNZ-_VZWeu5Z8yrlLtHGgGMIjQYcq-ugts42AT3i0nDwq78EPd', 'width': 3024}]",ChIJay8j3MOlaC4R3ydRZLk5bFs,4.1,ChIJay8j3MOlaC4R3ydRZLk5bFs,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,https://www.google.com/maps/place/?q=place_id:ChIJay8j3MOlaC4R3ydRZLk5bFs
OPERATIONAL,"MRFV+CR9 Pos 3 via Tapak Gerot (Hiur, Sukahurip, Kec. Cigedug, Kabupaten Garut, Jawa Barat 44116, Indonesia","{'location': {'lat': -7.327, 'lng': 107.844859}, 'viewport': {'northeast': {'lat': -7.325650170107278, 'lng': 107.8462088298927}, 'southwest': {'lat': -7.328349829892722, 'lng': 107.8435091701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,POHON PUSPA (TAMA) REBOISASI SEBAB ALIH FUNGSI LAHAN,,ChIJG6LQcAClaC4R-eI68Zrk7lk,0.0,ChIJG6LQcAClaC4R-eI68Zrk7lk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJG6LQcAClaC4R-eI68Zrk7lk
OPERATIONAL,"Cigedug, Garut Regency, West Java 44116, Indonesia","{'location': {'lat': -7.338390099999999, 'lng': 107.8076152}, 'viewport': {'northeast': {'lat': -7.337039920107276, 'lng': 107.8090041298927}, 'southwest': {'lat': -7.33973957989272, 'lng': 107.8063044701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Green House Santricoffee,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100752798403471917721"">hilman abdul hakim</a>'], 'photo_reference': 'AUGGfZlVkBaCtp3yiK-MsK_WSaK7Ya-Cl6zDV6gQ_yGxjoGJBnG5CrM8Yfp4_2K9E8rzNtEnk7q7p3-LC7M0oBY5pAEBnAhwYIOyILnyYtNphmAE1JV3jnZpMMG_uWWtvNVnKQqzff4U1feLRYJCxDswSf8yr_DjNwE5a-4hbGv-uqF1Db3o', 'width': 3264}]",ChIJxQlNC2GnaC4RSYewqrMRCbw,5.0,ChIJxQlNC2GnaC4RSYewqrMRCbw,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},"{'compound_code': 'MR65+J2 Cigedug, Garut Regency, West Java, Indonesia', 'global_code': '6P49MR65+J2'}",https://www.google.com/maps/place/?q=place_id:ChIJxQlNC2GnaC4RSYewqrMRCbw
OPERATIONAL,"PR25+74F, Kp.Lio, Cintanagara, Kec. Cigedug, Kabupaten Garut, Jawa Barat, Indonesia","{'location': {'lat': -7.299312700000001, 'lng': 107.8078005}, 'viewport': {'northeast': {'lat': -7.298020920107277, 'lng': 107.8091719298927}, 'southwest': {'lat': -7.300720579892721, 'lng': 107.8064722701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Kebun Jeruk CG ( Kang ii ),"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109279399712974803744"">A Google User</a>'], 'photo_reference': 'AUGGfZlRPlwyanvJfDdqBx9OAFKcGFXoTmz_0NIP_uJuBs_IBEtpmQcwohy4C3ZlyU6rr_YhRXZ8FlSFt-XWZK41TEKmnT6piWNkJ3xSRY12xZebihxhOSldMGhnlDGf6QBxwVO6BD-1zSsuzcVyaAOjUFANJaTV2vfujOv0R6DnO8NRZcB-', 'width': 4160}]",ChIJo3aRiIulaC4R-ysWDAxXnow,5.0,ChIJo3aRiIulaC4R-ysWDAxXnow,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJo3aRiIulaC4R-ysWDAxXnow
OPERATIONAL,"JRMG+G97, Giriawas, Cikajang, Garut Regency, West Java 44171, Indonesia","{'location': {'lat': -7.367022599999999, 'lng': 107.8259658}, 'viewport': {'northeast': {'lat': -7.365673520107278, 'lng': 107.8273482298927}, 'southwest': {'lat': -7.368373179892722, 'lng': 107.8246485701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung kembar,,ChIJK4Dpfn6naC4RbRWh6CtzJkM,0.0,ChIJK4Dpfn6naC4RbRWh6CtzJkM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJK4Dpfn6naC4RbRWh6CtzJkM
OPERATIONAL,"JRJF+XWG, Giriawas, Cikajang, Garut Regency, West Java 44171, Indonesia","{'location': {'lat': -7.367596199999999, 'lng': 107.8247247}, 'viewport': {'northeast': {'lat': -7.366603970107279, 'lng': 107.8260897298927}, 'southwest': {'lat': -7.369303629892722, 'lng': 107.8233900701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Perkebunan Teh Cisaruni,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108096827047215311118"">Ranu Nada</a>'], 'photo_reference': 'AUGGfZmCFl78CDIxaeZxaDyRMqonsYSTZgqx4-fXweOkjrRzt3VUEKskft2YMohaewbL_dqCnyYz-byou5_u0_dd1gMn96B8CjOQTT9WV1AKFQw72HPvOmJS6SaYkvAc0eCYgkkCS7-WdV4F-39Z0oC35eypLk032GyqVhJIZwpIz4e7Y5wW', 'width': 3264}]",ChIJd_OwQ06maC4RWn3auXsq9ZQ,4.6,ChIJd_OwQ06maC4RWn3auXsq9ZQ,"['tourist_attraction', 'point_of_interest', 'establishment']",143,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJd_OwQ06maC4RWn3auXsq9ZQ
OPERATIONAL,"PV65+C98, Unnamed Road, Hegarmanah, Kec. Bayongbong, Kabupaten Garut, Jawa Barat 44162, Indonesia","{'location': {'lat': -7.288961, 'lng': 107.858445}, 'viewport': {'northeast': {'lat': -7.287611170107278, 'lng': 107.8597948298927}, 'southwest': {'lat': -7.290310829892722, 'lng': 107.8570951701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Cigandi,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107671192173760694310"">A Google User</a>'], 'photo_reference': 'AUGGfZnu0qnfMU7wipvVe95IEpA1d5NeAz26KypcuzlZyGn-9gxLVr3Pi91voamj5IR3Jd3J7wcsbxSlP25EVAUKJ2HQ9fNDAYb7aK0Nx_rcrWQWaWPA4th6Glsyjslgy-oUHGUaO8dgEX5Q9h7JKw2lrxJjLjjzMAQ22MrR2-g9IcvdzzqW', 'width': 1536}]",ChIJxdEmQjCvaC4RewvrDYKw-5E,3.3,ChIJxdEmQjCvaC4RewvrDYKw-5E,"['tourist_attraction', 'point_of_interest', 'establishment']",8,,,https://www.google.com/maps/place/?q=place_id:ChIJxdEmQjCvaC4RewvrDYKw-5E
OPERATIONAL,"PR63+VR9, Jl. Raya Garut - Cikajang, Balewangi, Kec. Cisurupan, Kabupaten Garut, Jawa Barat 44163, Indonesia","{'location': {'lat': -7.287831, 'lng': 107.804599}, 'viewport': {'northeast': {'lat': -7.286459620107278, 'lng': 107.8059183798927}, 'southwest': {'lat': -7.289159279892722, 'lng': 107.8032187201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cimanuk Tambakbaya Rafting (SENi Dan ALam Adventure) trak star,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107680454474739064972"">A Google User</a>'], 'photo_reference': 'AUGGfZkzaLXE9M4-N3xMgKqg75hhlBcDKRFSTJ07Cr0a2dmrKEiztQR6y5iedj5UwJHj1hEr4IecW1GF6BoQRHW0jZJ3RArCyH1BtJgJAsRhgT6l6nUxs9ZMbE66msPv6806UVcWcAsTwremZFLD2kBBSjaNlXeNL0vqPv5CRN2oe0GedWag', 'width': 3264}]",ChIJNV6PzgulaC4RHJSUJICeU5Q,5.0,ChIJNV6PzgulaC4RHJSUJICeU5Q,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJNV6PzgulaC4RHJSUJICeU5Q
OPERATIONAL,"JRFH+2QQ, Jayasana, Girijaya, Kec. Cikajang, Kabupaten Garut, Jawa Barat 44171, Indonesia","{'location': {'lat': -7.377409399999999, 'lng': 107.8295083}, 'viewport': {'northeast': {'lat': -7.376065270107278, 'lng': 107.8309173798927}, 'southwest': {'lat': -7.378764929892721, 'lng': 107.8282177201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dyas Cile,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109907816804742890453"">A Google User</a>'], 'photo_reference': 'AUGGfZlGbNzOEU4ddGDwoq5HD2gegiyiL7mdC2ktoyFx6G98bFTzhwZ_B5ScZDiri3uQ85mNs98IRttPKOCogSZSCI8R3dgJO5Ac0HkyJZoQAWRk7tImHPoP8rZ0jjpYgSMn1t46UdDFbovoJ0Cs5z4CGLIjcPH4cdhhsXgP80ifFfl41eEv', 'width': 4000}]",ChIJ2ffN8tqnaC4RJPaag8QAwZ8,4.7,ChIJ2ffN8tqnaC4RJPaag8QAwZ8,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJ2ffN8tqnaC4RJPaag8QAwZ8
OPERATIONAL,"Jl. Raya Bayongbong No.165, Mulyasari, Kec. Bayongbong, Kabupaten Garut, Jawa Barat 44162, Indonesia","{'location': {'lat': -7.2682616, 'lng': 107.8228826}, 'viewport': {'northeast': {'lat': -7.267199920107276, 'lng': 107.8243914298927}, 'southwest': {'lat': -7.26989957989272, 'lng': 107.8216917701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KaliCimanukSampingVillaUngu,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114617211827711677763"">A Google User</a>'], 'photo_reference': 'AUGGfZlK5TFC6r99ptegldim7vTx2D0Zp61afZsfSfYunZrAmqAT3_hT80DiJGgLgMTAWPKBgXrMWFy9tmtZpF0vhKhiE9EmTciOx09DoCmobxTqO25pRC0mPmV9IeGJI04QA0ils33y7st4llF8s5d4MbLH1Ty7dSfhQnHd9wcYEQomjCM9', 'width': 1200}]",ChIJM1ACHAClaC4RNxcPl4wRyPQ,0.0,ChIJM1ACHAClaC4RNxcPl4wRyPQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"{'compound_code': 'PRJF+M5 Mulyasari, Garut Regency, West Java, Indonesia', 'global_code': '6P49PRJF+M5'}",https://www.google.com/maps/place/?q=place_id:ChIJM1ACHAClaC4RNxcPl4wRyPQ
