business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"RX45+CH4, Jl. Cibolerang, Karangsari, Kec. Karangpawitan, Kabupaten Garut, Jawa Barat 44182, Indonesia","{'location': {'lat': -7.1939932, 'lng': 107.9589655}, 'viewport': {'northeast': {'lat': -7.192635670107276, 'lng': 107.9603420298927}, 'southwest': {'lat': -7.19533532989272, 'lng': 107.9576423701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jl. Karang pawitan Garut Jawa barat,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107355293837404567360"">A Google User</a>'], 'photo_reference': 'AUGGfZmFBseonoPEjVVI_uVcBqfhMcFGTRXmWpRpALsjm6kqcnvLz29yxRd8nz_VY335HC1AVg366X8suZkHkEjlGFXTf74adp-CEOr3zbqM_y6cjBo5xIkc9dKgpTw_SUtMlUIAvvSCbyZgv_2ASRnCNQsgiA9bEazJazpKsKm0THqZTeTe', 'width': 3016}]",ChIJr7RYvTSzaC4RbXMgMj6XedU,4.0,ChIJr7RYvTSzaC4RbXMgMj6XedU,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJr7RYvTSzaC4RbXMgMj6XedU
OPERATIONAL,"QX43+853, Godog, Karangpawitan, Garut Regency, West Java 44182, Indonesia","{'location': {'lat': -7.2442346, 'lng': 107.9529335}, 'viewport': {'northeast': {'lat': -7.242910270107279, 'lng': 107.9542569798927}, 'southwest': {'lat': -7.245609929892723, 'lng': 107.9515573201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,RUMAH IWAN GOCENG,,ChIJ8z4vC26xaC4RZgieytSlkp8,0.0,ChIJ8z4vC26xaC4RZgieytSlkp8,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ8z4vC26xaC4RZgieytSlkp8
OPERATIONAL,"RX58+VWX, Lemahsari, Situjaya, Kec. Karangpawitan, Kabupaten Garut, Jawa Barat 44182, Indonesia","{'location': {'lat': -7.190256000000001, 'lng': 107.9673502}, 'viewport': {'northeast': {'lat': -7.188937620107279, 'lng': 107.9686981298927}, 'southwest': {'lat': -7.191637279892722, 'lng': 107.9659984701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung sahabat tani,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114127721897700659636"">A Google User</a>'], 'photo_reference': 'AUGGfZm0RsFZsSoN8xcU47bvpedpMdwCge6jHT9zB4z8irP_A4R6kO-KbG_Ynng0SF8D9vjt8QhZPHRw3UQNL0Smq27tsdQAxncNPpmBWcVB8Br5dLhY43MZFuERWGGEUmMgwKBvpUj1sX8JNRWqUNXma2_44r-Lp1zG2aZObmB_VPYkbJgm', 'width': 1800}]",ChIJi89s9uezaC4R07sXIV_Jzys,5.0,ChIJi89s9uezaC4R07sXIV_Jzys,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJi89s9uezaC4R07sXIV_Jzys
OPERATIONAL,"QWRP+M53, Karangmulya, Karangpawitan, Garut Regency, West Java 44182, Indonesia","{'location': {'lat': -7.2083676, 'lng': 107.935409}, 'viewport': {'northeast': {'lat': -7.207366820107278, 'lng': 107.9365485298927}, 'southwest': {'lat': -7.210066479892721, 'lng': 107.9338488701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Situ Cikalimeneng garut,,ChIJ-_5E25-xaC4R7_3ptiKi7o0,0.0,ChIJ-_5E25-xaC4R7_3ptiKi7o0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ-_5E25-xaC4R7_3ptiKi7o0
OPERATIONAL,"Perumnas Griya Karangpawitan Jln. Kenari 2 Blok E4.87, Karangpawitan, Kec. Karangpawitan, Kabupaten Garut, Jawa Barat 44182, Indonesia","{'location': {'lat': -7.206572700000001, 'lng': 107.9665582}, 'viewport': {'northeast': {'lat': -7.205182470107278, 'lng': 107.9678912798927}, 'southwest': {'lat': -7.207882129892722, 'lng': 107.9651916201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Alif,,ChIJG74AawCzaC4RFGwo7ROEO2U,0.0,ChIJG74AawCzaC4RFGwo7ROEO2U,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,"{'compound_code': 'QXV8+9J Karangpawitan, Garut Regency, West Java, Indonesia', 'global_code': '6P49QXV8+9J'}",,https://www.google.com/maps/place/?q=place_id:ChIJG74AawCzaC4RFGwo7ROEO2U
OPERATIONAL,"RW4H+CXC, Kp.Tegal jati, Mekarsari, Karangpawitan, Garut Regency, West Java 44182, Indonesia","{'location': {'lat': -7.1940134, 'lng': 107.9298937}, 'viewport': {'northeast': {'lat': -7.192732320107276, 'lng': 107.9310912298927}, 'southwest': {'lat': -7.195431979892721, 'lng': 107.9283915701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Paniisan kang uyed,,ChIJu43ztvCxaC4R-7ElYwEwDRU,0.0,ChIJu43ztvCxaC4R-7ElYwEwDRU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJu43ztvCxaC4R-7ElYwEwDRU
OPERATIONAL,"QX99+F59, Sindangpalay, Karangpawitan, Garut Regency, West Java 44182, Indonesia","{'location': {'lat': -7.231324499999999, 'lng': 107.967229}, 'viewport': {'northeast': {'lat': -7.229958570107278, 'lng': 107.9685725798927}, 'southwest': {'lat': -7.232658229892722, 'lng': 107.9658729201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sindangpalay privat camping,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101751925636918105416"">A Google User</a>'], 'photo_reference': 'AUGGfZlJaS8mxYCBvGd0_Q0rsuPmebhH6blQ7bqnmKGn5T5EK9vwH-lkPTmO32tLSJ5pZtWFUr5SvT3u_Jhzu9xI1q_9XWxFGpbdgw0L8CKjHuY1wRVFYYCSrJYgrWgVH4DRkWD-MQGZqNKAQ8c_p0KsZHiw1OWioVoj9lv1Ym3YvgnwHTHA', 'width': 3096}]",ChIJ8RviWgCzaC4RWkGGaEGdyLM,5.0,ChIJ8RviWgCzaC4RWkGGaEGdyLM,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ8RviWgCzaC4RWkGGaEGdyLM
OPERATIONAL,"QWRG+5R4, Karangmulya, Karangpawitan, Garut Regency, West Java 44182, Indonesia","{'location': {'lat': -7.2096055, 'lng': 107.9270638}, 'viewport': {'northeast': {'lat': -7.208315370107277, 'lng': 107.9284134298927}, 'southwest': {'lat': -7.211015029892721, 'lng': 107.9257137701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Balong Nyingkur Haji Amar,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113006078584223686110"">Nasrul Maulana</a>'], 'photo_reference': 'AUGGfZljLdx2gZcAc-dICpqhsMjOwAUoMZIdC7LhtbYQXYW-i8miy8n8Ww5kmxJyeLY4prmkT4NcxgLUIe3kPr9TdC6dXTrt1BwKwQA4_FCI5ZXFaBMTOp9EboDDG5pbAn0yLy0hlkW0e2-LzL6uxvboZleBoHd0Si3Qv5OWkYvBqM2OnfJS', 'width': 4624}]",ChIJK8mxyGuxaC4RUqEq33Nrp5w,4.6,ChIJK8mxyGuxaC4RUqEq33Nrp5w,"['tourist_attraction', 'point_of_interest', 'establishment']",17.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJK8mxyGuxaC4RUqEq33Nrp5w
OPERATIONAL,"QWRP+HX5, Situ Bundar, Jatisari, Kec. Karangpawitan, Kabupaten Garut, Jawa Barat 44182, Indonesia","{'location': {'lat': -7.2086111, 'lng': 107.9375}, 'viewport': {'northeast': {'lat': -7.207235220107278, 'lng': 107.9385850298927}, 'southwest': {'lat': -7.209934879892722, 'lng': 107.9358853701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bundar Lake,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105811230901787871611"">A Google User</a>'], 'photo_reference': 'AUGGfZkkkpSowVwMP9GDvOwSkQfe_le6NVUC5YeJzO8ltH--3F5Ut7A27nP42AKDZTrBCdqWi2NUmV5Pbt8eMlLwCeLyRI0Va1VN5IbDWlfYyDM4yfqJGQy0kiYJ5JWVZ7K_gcvut8-780k-O1wH0Lmq_L4g5bDlApTCDpKuvkIbKen5Mq-0', 'width': 3120}]",ChIJy1yjqcGxaC4RupqdKuHBLXk,4.0,ChIJy1yjqcGxaC4RupqdKuHBLXk,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJy1yjqcGxaC4RupqdKuHBLXk
OPERATIONAL,"QWVM+H82, Cidahu, Karangpawitan, Garut Regency, West Java 44182, Indonesia","{'location': {'lat': -7.206118999999999, 'lng': 107.9332595}, 'viewport': {'northeast': {'lat': -7.204600970107277, 'lng': 107.9341077798927}, 'southwest': {'lat': -7.207300629892721, 'lng': 107.9314081201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Situ Cidahu,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104420066133554269168"">A Google User</a>'], 'photo_reference': 'AUGGfZnyz0ERVOj1mUqtEsCGaCghzWrpvJYK0WdYx6kn9yxwTjniQohO9r14J7xmrHnzmKlwWmxC6la5cBFvIQTp2iT1HshD-7BNSPHpZoiE33NhTuCkHkKIiF0e-faEpqHIxJBbCuAJWi7zF3kmHz0guiCSqIaPDmy9K3E-zwBKSbj8jw4A', 'width': 1600}]",ChIJD8Jz-rCxaC4R240u4mvGPqU,4.9,ChIJD8Jz-rCxaC4R240u4mvGPqU,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJD8Jz-rCxaC4R240u4mvGPqU
