business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"VWRQ+PVH, Tambaksari, Leuwigoong, Garut Regency, West Java, Indonesia","{'location': {'lat': -7.108189899999999, 'lng': 107.9397315}, 'viewport': {'northeast': {'lat': -7.107172220107277, 'lng': 107.9413520298927}, 'southwest': {'lat': -7.109871879892721, 'lng': 107.9386523701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SITU SARKANJUT,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102769231240838164340"">A Google User</a>'], 'photo_reference': 'AUGGfZn38L45_rDks9fAIR8YCmAgef-wVAUnDJfLdvXO5fEKDCeGpFAGiWrtacFOxviaMKkPlXyGoFMKn6LaBGKeCofTduuNp22wWf7JC3_om0McgrcOpQWOA4kvTSTp2TrNGKjntEaR1VWwt8bkpL21EQM5nvgJYDcTl_mOvt9KM_6VxC3S', 'width': 3000}]",ChIJRx47sI-3aC4RkEv6pnWavcM,4.4,ChIJRx47sI-3aC4RkEv6pnWavcM,"['tourist_attraction', 'point_of_interest', 'establishment']",81,,https://www.google.com/maps/place/?q=place_id:ChIJRx47sI-3aC4RkEv6pnWavcM
OPERATIONAL,"WW8Q+493, Jl. Angkasa, Karanganyar, Kec. Leuwigoong, Kabupaten Garut, Jawa Barat 44192, Indonesia","{'location': {'lat': -7.0852429, 'lng': 107.938495}, 'viewport': {'northeast': {'lat': -7.083953070107277, 'lng': 107.9399261798927}, 'southwest': {'lat': -7.086652729892721, 'lng': 107.9372265201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Padepokan Anti Galaw,,,ChIJWcq3HgC3aC4RcoX8AZZSsf8,0.0,ChIJWcq3HgC3aC4RcoX8AZZSsf8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJWcq3HgC3aC4RcoX8AZZSsf8
OPERATIONAL,"Jl. Desa Karanganyar, Karangsari, Kec. Leuwigoong, Kabupaten Garut, Jawa Barat 44192, Indonesia","{'location': {'lat': -7.096093199999999, 'lng': 107.933897}, 'viewport': {'northeast': {'lat': -7.094761670107277, 'lng': 107.9352212798927}, 'southwest': {'lat': -7.097461329892721, 'lng': 107.9325216201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Garut,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114626820765842123517"">Erlandna Azfarly Rachmadrian</a>'], 'photo_reference': 'AUGGfZlciRHmRfBvahUVIbQ4SKogHLd5ANN0V-o3sDTSgiHIBCmBab_HVVKFGc8MXjeWL8NWeBYiB1RIyKLK0WebuSt1xi8buY--lGx_s77y3MSLpXYonMJnW-TCJZ68TcAoH1ZtOqyR2qqGBiDUORzqpF6V0uw0aiStkhitOFnV3bEHr6u5', 'width': 1600}]",ChIJK8UpPUe3aC4RyhZ426y36pA,5.0,ChIJK8UpPUe3aC4RyhZ426y36pA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"{'compound_code': 'WW3M+HH Karangsari, Garut Regency, West Java, Indonesia', 'global_code': '6P49WW3M+HH'}",https://www.google.com/maps/place/?q=place_id:ChIJK8UpPUe3aC4RyhZ426y36pA
OPERATIONAL,"WW8Q+493, Jl. Angkasa, Karanganyar, Kec. Leuwigoong, Kabupaten Garut, Jawa Barat 44192, Indonesia","{'location': {'lat': -7.084670600000001, 'lng': 107.9379227}, 'viewport': {'northeast': {'lat': -7.083276170107277, 'lng': 107.9394356798927}, 'southwest': {'lat': -7.085975829892721, 'lng': 107.9367360201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu masuk haruman jingga,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117087414090040259067"">indra saepul</a>'], 'photo_reference': 'AUGGfZmj_MCOX-UySyO-9XHHZq0UIw9B-T1fM1-2PErkSIHdZPwV1035_V6SX2bZOVSAhnXIYXYm9FZ2EbklECfDLvMoO2TIpf0IruqTGXnjqL2ZT-hmyi_yuKz4laEGvdjy2SeCIey4yVZnIpD6Q0W91-_KkKfc29CKViXf9kwZZwN8BynL', 'width': 1280}]",ChIJL2BOic63aC4RE6oiNpoGfRw,4.4,ChIJL2BOic63aC4RE6oiNpoGfRw,"['tourist_attraction', 'point_of_interest', 'establishment']",8,,https://www.google.com/maps/place/?q=place_id:ChIJL2BOic63aC4RE6oiNpoGfRw
OPERATIONAL,"WWCQ+G22, Karanganyar, Leuwigoong, Garut Regency, West Java 44192, Indonesia","{'location': {'lat': -7.0787334, 'lng': 107.9375103}, 'viewport': {'northeast': {'lat': -7.077383570107278, 'lng': 107.9388601298927}, 'southwest': {'lat': -7.080083229892722, 'lng': 107.9361604701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam,{'open_now': False},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104591995041587728172"">Kur dinar</a>'], 'photo_reference': 'AUGGfZmM_ngD5GATMg9pewnCz0EqGkTLe7iRmYkebh3BGK7-jL3JzUNp09plI0y9clisvT__GXoGrZVvb6sPJKRmnV_tRMNdWIL5Z-IwsZSp3kxVwFgphJuG2ShrkYJebYGQisMJobmltMEIgZQLN-_xRoyo893eoxG0QfYtK26LuPNu61Bi', 'width': 4000}]",ChIJdRBQVtzJaC4RmOKFlUFHmgc,4.5,ChIJdRBQVtzJaC4RmOKFlUFHmgc,"['tourist_attraction', 'point_of_interest', 'establishment']",15,,https://www.google.com/maps/place/?q=place_id:ChIJdRBQVtzJaC4RmOKFlUFHmgc
OPERATIONAL,"WX3H+VJP, Leuwigoong, Garut Regency, West Java 44192, Indonesia","{'location': {'lat': -7.095548, 'lng': 107.978341}, 'viewport': {'northeast': {'lat': -7.094000970107277, 'lng': 107.9802763298927}, 'southwest': {'lat': -7.096700629892721, 'lng': 107.9775766701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA PEMANCINGAN BEKO,,,ChIJqw7JJwC1aC4RWcU-vv5Tsdk,0.0,ChIJqw7JJwC1aC4RWcU-vv5Tsdk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJqw7JJwC1aC4RWcU-vv5Tsdk
OPERATIONAL,"Kp. Lempong tengah, Karanganyar, Kec. Leuwigoong, Kabupaten Garut, Jawa Barat 44192, Indonesia","{'location': {'lat': -7.0882328, 'lng': 107.9371648}, 'viewport': {'northeast': {'lat': -7.086778020107277, 'lng': 107.9383958298927}, 'southwest': {'lat': -7.089477679892721, 'lng': 107.9356961701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam pemancingan ikan cigalumpit,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102524180588402870436"">A Google User</a>'], 'photo_reference': 'AUGGfZkc_tBhTkye7GbAeW3pKnZgweq5UaK_xpDgf2f8fFKfwPdqqOjw4kLtfpbIbIFWLDHOx5NXwJdZiKb0pyudTFCH1Au03Qn1y1Q2Divj7mHMa5LV7bjsY4rPVBQ5DP2Z5YspOKju7RTrlcU9LKrkClCWXla3T54yFNViok05Z_uv--wv', 'width': 3120}]",ChIJIW7-EyK3aC4RftUFmJLblMM,5.0,ChIJIW7-EyK3aC4RftUFmJLblMM,"['tourist_attraction', 'point_of_interest', 'establishment']",8,"{'compound_code': 'WW6P+PV Karanganyar, Garut Regency, West Java, Indonesia', 'global_code': '6P49WW6P+PV'}",https://www.google.com/maps/place/?q=place_id:ChIJIW7-EyK3aC4RftUFmJLblMM
OPERATIONAL,"Kp Patrol RW06, Karanganyar, Kec. Cibiuk, Kabupaten Garut, Jawa Barat 44192, Indonesia","{'location': {'lat': -7.086890899999999, 'lng': 107.9442982}, 'viewport': {'northeast': {'lat': -7.083173449999997, 'lng': 107.9458172298927}, 'southwest': {'lat': -7.088130049999999, 'lng': 107.9431175701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Landing Area Pusat Latihan Aerosport Haruman Jingga,{'open_now': False},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111905359469606371639"">A Google User</a>'], 'photo_reference': 'AUGGfZn5nUuMZjzrkBKMy5_btH2ZMaKiFmMvxWIWc52NNDnls15pi_Ln09CuWA8IFhrA_DACK1RToWZXtLEF6tnk8Nom4MLXFAFajgI0Y5w-dq9omcMVwDE5JsfzG4X_30XNHaDDnWzpfWLrtvdA7p6BZ4rVKLWfkHXcwF4AWo2ACc8pnJC_', 'width': 1080}]",ChIJiVqmvmu3aC4Rc3axm5FcZOE,4.8,ChIJiVqmvmu3aC4Rc3axm5FcZOE,"['tourist_attraction', 'point_of_interest', 'establishment']",18,"{'compound_code': 'WW7V+6P Karanganyar, Garut Regency, West Java, Indonesia', 'global_code': '6P49WW7V+6P'}",https://www.google.com/maps/place/?q=place_id:ChIJiVqmvmu3aC4Rc3axm5FcZOE
OPERATIONAL,"VWWQ+M2F, Kp, Jl. Pasir Luhur, Tambaksari, Kec. Leuwigoong, Kabupaten Garut, Jawa Barat 44192, Indonesia","{'location': {'lat': -7.1033124, 'lng': 107.9375326}, 'viewport': {'northeast': {'lat': -7.101970420107279, 'lng': 107.9390171798927}, 'southwest': {'lat': -7.104670079892723, 'lng': 107.9363175201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tebing Tugaran,,,ChIJhRLSJDu3aC4RUGYUq0OK-E8,5.0,ChIJhRLSJDu3aC4RUGYUq0OK-E8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJhRLSJDu3aC4RUGYUq0OK-E8
OPERATIONAL,"VX6H+JJ3, Jln.citameng Rahayu, RT.01/RW.01, Sukamulya, Kec. Pangatikan, Kabupaten Garut, Jawa Barat 44184, Indonesia","{'location': {'lat': -7.138489099999999, 'lng': 107.9790549}, 'viewport': {'northeast': {'lat': -7.136691720107279, 'lng': 107.9801208798927}, 'southwest': {'lat': -7.139391379892722, 'lng': 107.9774212201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Leuwi Teureup,{'open_now': True},"[{'height': 1932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105889059551838329457"">Sandra Yudistira</a>'], 'photo_reference': 'AUGGfZm9-V-n2b8PEj3A_8WCM71EfiTWT0j1Q58QrfW2Cs1K_y8BKO9i0gb2aK60yrsaXwf7vYz0ocHs5l6eWY63PwOLs8rdIQx5sCRK3ezfXoBrd3-YO4k-bf5LePQjlX3ugSpp44CO_8QE49Y-o-MeQgeQf-h3NHChHtsRjkKuxbls9_Nj', 'width': 2576}]",ChIJ-Q2hi1i1aC4RtrO2UF9MmI4,0.0,ChIJ-Q2hi1i1aC4RtrO2UF9MmI4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ-Q2hi1i1aC4RtrO2UF9MmI4
