business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,price_level,permanently_closed,url
OPERATIONAL,"Jl. Banjar Satung, Buahan, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia","{'location': {'lat': -8.3970918, 'lng': 115.2351649}, 'viewport': {'northeast': {'lat': -8.395741720107276, 'lng': 115.2365294798928}, 'southwest': {'lat': -8.39844137989272, 'lng': 115.2338298201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agrowisata Payangan,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104620795752299806930"">A Google User</a>'], 'photo_reference': 'AUGGfZnOwgsu7RSDO5hZpzMZSoDalKmEH0dzewNsYAD8EctkSz8n1ty67GGIdMS3nhyHexY-dqsDBDFnlcZFkCtjGntfej-cl6qxvyUy6SCCt2Ocz2Fl-SWditjAJR0RgHKFp1jf6rYqoIDSpI66NGGmnP8DZd6ycPzJ4-KtuPQX4afuM-Ks', 'width': 3264}]",ChIJPQ7W-Z4h0i0RO9uX3OTfth8,"{'compound_code': 'J63P+53 Buahan, Gianyar Regency, Bali, Indonesia', 'global_code': '6P3QJ63P+53'}",4.8,ChIJPQ7W-Z4h0i0RO9uX3OTfth8,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,,,https://www.google.com/maps/place/?q=place_id:ChIJPQ7W-Z4h0i0RO9uX3OTfth8
OPERATIONAL,"H7GG+5H5, Beresela, Payangan, Gianyar Regency, Bali 80561, Indonesia","{'location': {'lat': -8.4246026, 'lng': 115.2764777}, 'viewport': {'northeast': {'lat': -8.42356807010728, 'lng': 115.2777346798927}, 'southwest': {'lat': -8.426267729892723, 'lng': 115.2750350201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rizière tegallalang,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117725739795654266057"">A Google User</a>'], 'photo_reference': 'AUGGfZkTdbunvmmk5EHjjOsd_rK15soHilTQM0gikSHFoxoC571eNZFoU-m2GLiINwegis4GM7HHqPhU7xzf7McoPW6F-MmgSZgJsnhIJKbEOHzhmWSKyljPKfnruadddulMYA8w80G7IPOokhO8JhuRXxH7VbVEGMaRWT7aiMDMqZCjRtEf', 'width': 4000}]",ChIJ15xoJjUj0i0RiGez4yWd8QQ,,3.9,ChIJ15xoJjUj0i0RiGez4yWd8QQ,"['tourist_attraction', 'point_of_interest', 'establishment']",12,,,,https://www.google.com/maps/place/?q=place_id:ChIJ15xoJjUj0i0RiGez4yWd8QQ
OPERATIONAL,"J7G3+VG4, Buahan, Payangan, Gianyar Regency, Bali, Indonesia","{'location': {'lat': -8.3728584, 'lng': 115.2538391}, 'viewport': {'northeast': {'lat': -8.3720646, 'lng': 115.2555091}, 'southwest': {'lat': -8.375239799999997, 'lng': 115.2488291}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tegalan,,ChIJN9IwHNsh0i0RGUokJFV_Rxk,,0.0,ChIJN9IwHNsh0i0RGUokJFV_Rxk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJN9IwHNsh0i0RGUokJFV_Rxk
OPERATIONAL,"J7X8+MXH, Banjar Pilan, Kerta, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia","{'location': {'lat': -8.3508012, 'lng': 115.2674821}, 'viewport': {'northeast': {'lat': -8.349458670107278, 'lng': 115.2688648798928}, 'southwest': {'lat': -8.352158329892722, 'lng': 115.2661652201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Kebun Raya Gianyar,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114558930370277681020"">Alekper.Eyyubov</a>'], 'photo_reference': 'AUGGfZky98yAxOzRjZajG8ZZIJscQCjHAD2K0zrF0OeUJtWmA98PN0yRUmcpBwRU_QfQsWhPHGwFS-ov3HnGF9HEyb-DvYJMJyftH1CYV_BhmdCjbTFA4H530G8Ya8pRYO1_KPXhoAdhZMuKAu3UcYiaLfk6DY8L1Z1Cfi3846Quh0Pig5ug', 'width': 3008}]",ChIJJwDUtzsg0i0RJzKPEP11lSA,,3.6,ChIJJwDUtzsg0i0RJzKPEP11lSA,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",199,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJJwDUtzsg0i0RJzKPEP11lSA
OPERATIONAL,"J789+HF, Puhu, Payangan, Gianyar Regency, Bali, Indonesia","{'location': {'lat': -8.3836067, 'lng': 115.2686379}, 'viewport': {'northeast': {'lat': -8.382048770107279, 'lng': 115.2699207798927}, 'southwest': {'lat': -8.384748429892722, 'lng': 115.2672211201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hutan Bambu,,ChIJg7Rw-Awh0i0R6wVIfhP1nIk,,5.0,ChIJg7Rw-Awh0i0R6wVIfhP1nIk,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJg7Rw-Awh0i0R6wVIfhP1nIk
OPERATIONAL,"Br Karang Suwung, Melinggih Kelod, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia","{'location': {'lat': -8.438886199999999, 'lng': 115.2407413}, 'viewport': {'northeast': {'lat': -8.437546320107279, 'lng': 115.2421835298927}, 'southwest': {'lat': -8.440245979892723, 'lng': 115.2394838701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Freya Bali Tour,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114616472218218238862"">A Google User</a>'], 'photo_reference': 'AUGGfZmKEfhrgd-Rfal6MLQe8QPsrH5ps0aTgdFwe2DUIyMOh4MSzbEYgu2JTrrdbJeLDicNskAVRXhj8iDkEU-YQr_MSKil0cjcUVe0--T_ns4VoAjbHEm2RH2mIOSD8wEBf3eaI8NqkySpdefhnnVpYqzlvqTuEmFK-JcFnjonF744Im2R', 'width': 3060}]",ChIJD02Dd5Mj0i0RXEoRUrousck,"{'compound_code': 'H66R+C7 Melinggih Kelod, Gianyar Regency, Bali, Indonesia', 'global_code': '6P3QH66R+C7'}",5.0,ChIJD02Dd5Mj0i0RXEoRUrousck,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJD02Dd5Mj0i0RXEoRUrousck
OPERATIONAL,"G7X7+PHQ, Jl. Kresna, Keliki, Kec. Payangan, Kabupaten Gianyar, Bali 80561, Indonesia","{'location': {'lat': -8.4506693, 'lng': 115.2639809}, 'viewport': {'northeast': {'lat': -8.449315820107277, 'lng': 115.2653169798927}, 'southwest': {'lat': -8.45201547989272, 'lng': 115.2626173201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bali Nature Spirit,"[{'height': 1271, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108212159615161992537"">A Google User</a>'], 'photo_reference': 'AUGGfZl85_TkI0broSLfKW9iwg-MCp4X399xdE7dGXAM-C3jjoHZAlztMu4mfI6BAzSNcjy9IsrvtxToT8DrFXEXzvgsILP2ImzS4EZXFplIj9GW1xVDER09TjtEpR6ZWLAykmM9ypM6rsDYr2snZWzWtgKyZ89TJNaHDpT0DnCByW37uWcN', 'width': 1710}]",ChIJJwnSJxIj0i0R2ccMK9Ke2_0,,0.0,ChIJJwnSJxIj0i0R2ccMK9Ke2_0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJJwnSJxIj0i0R2ccMK9Ke2_0
OPERATIONAL,"Buahan, Payangan, Gianyar Regency, Bali, Indonesia","{'location': {'lat': -8.3989323, 'lng': 115.233377}, 'viewport': {'northeast': {'lat': -8.397768120107278, 'lng': 115.2349017798927}, 'southwest': {'lat': -8.400467779892722, 'lng': 115.2322021201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ATV Adventure Payangan,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112029478709398779449"">A Google User</a>'], 'photo_reference': 'AUGGfZlDkjnIbymOkLA6B5hTVI2tFUg5aspQLMlLR1KjqMmuXEobj_bCcqu40c0hvF0pQkOX633UU42NnhS2OfOvrG_GqtuxubTy8jUzoEKEA8bRjvTACo1D-ahDMC14L2vlS20NIE6a1HDMnAfcNxR0woRMY0RXg8ZMvkJna9L-ZFLd6fiS', 'width': 963}]",ChIJvf2kmCkh0i0RhgN2dyX_Lsg,"{'compound_code': 'J62M+C9 Buahan, Gianyar Regency, Bali, Indonesia', 'global_code': '6P3QJ62M+C9'}",5.0,ChIJvf2kmCkh0i0RhgN2dyX_Lsg,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,,https://www.google.com/maps/place/?q=place_id:ChIJvf2kmCkh0i0RhgN2dyX_Lsg
OPERATIONAL,"Jl. Bayad No.16, Melinggih Kelod, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia","{'location': {'lat': -8.4497029, 'lng': 115.2448627}, 'viewport': {'northeast': {'lat': -8.44830947010728, 'lng': 115.2462074798927}, 'southwest': {'lat': -8.451009129892723, 'lng': 115.2435078201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agus house,"[{'height': 578, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111824322105015679292"">A Google User</a>'], 'photo_reference': 'AUGGfZlzQiC0gOJG9zT8Y7eNdcyU9mf7x8CaCCR1END84AzKE3jCAnYPD6AuxiDyhY57LN5sjTQI6STUS8v-fbNdYg7rLI9hvJACKdy1Cq9D9qLA_7rSDnDWxsOJllPpO7FBEe6zJqXmnUWnL9oZi6o5wcYTHTMS-4nNUe1fQkW0AX-COzht', 'width': 882}]",ChIJ7cwMeJcj0i0RCW0HPPFSaLg,"{'compound_code': 'H62V+4W Melinggih Kelod, Gianyar Regency, Bali, Indonesia', 'global_code': '6P3QH62V+4W'}",5.0,ChIJ7cwMeJcj0i0RCW0HPPFSaLg,"['tourist_attraction', 'point_of_interest', 'establishment']",4,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ7cwMeJcj0i0RCW0HPPFSaLg
OPERATIONAL,"Jl. Susut, Buahan, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia","{'location': {'lat': -8.418305, 'lng': 115.2319335}, 'viewport': {'northeast': {'lat': -8.416955170107277, 'lng': 115.2332833298927}, 'southwest': {'lat': -8.419654829892721, 'lng': 115.2305836701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Teduh Bali,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112070032244581595139"">A Google User</a>'], 'photo_reference': 'AUGGfZlArWYEyo2ZU8ToMBJYds8zk3C1wlcTfnRQw-aBu7g7Od6CDOlWianx1tdLZQnDY79GYfZAXiUhJ4blDKh0lcmQrQByuzORDDD4F-xClkpOTcHi5IUGlKfJfAXRKMOVhGzYxbqyo00Ehh0jZMBSgELnH5FS4vPq1-wEIld2j3QIFfFL', 'width': 720}]",ChIJ6aWZ0Gwj0i0RLiY21EYtwyI,"{'compound_code': 'H6JJ+MQ Buahan, Gianyar Regency, Bali, Indonesia', 'global_code': '6P3QH6JJ+MQ'}",5.0,ChIJ6aWZ0Gwj0i0RLiY21EYtwyI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJ6aWZ0Gwj0i0RLiY21EYtwyI
