business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,photos,opening_hours,permanently_closed,url
OPERATIONAL,"Jl. Hi. Arto Naue No.16, Hulawa, Kec. Telaga, Kabupaten Gorontalo, Gorontalo 96181, Indonesia","{'location': {'lat': 0.599742, 'lng': 123.047662}, 'viewport': {'northeast': {'lat': 0.6011960298927223, 'lng': 123.0490245798927}, 'southwest': {'lat': 0.5984963701072777, 'lng': 123.0463249201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Elnar,ChIJSSYLQgAteTIRIWToy9DoJj4,"{'compound_code': 'H2XX+V3 Hulawa, Gorontalo Regency, Gorontalo, Indonesia', 'global_code': '6QG5H2XX+V3'}",0.0,ChIJSSYLQgAteTIRIWToy9DoJj4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJSSYLQgAteTIRIWToy9DoJj4
OPERATIONAL,"Hulawa, Telaga, Gorontalo Regency, Gorontalo 96181, Indonesia","{'location': {'lat': 0.5895756999999999, 'lng': 123.0535774}, 'viewport': {'northeast': {'lat': 0.5909255298927223, 'lng': 123.0549272298927}, 'southwest': {'lat': 0.5882258701072778, 'lng': 123.0522275701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jalan baru,ChIJK7T6ttcteTIRGTs0ClqQMbQ,"{'compound_code': 'H3Q3+RC Hulawa, Gorontalo Regency, Gorontalo, Indonesia', 'global_code': '6QG5H3Q3+RC'}",0.0,ChIJK7T6ttcteTIRGTs0ClqQMbQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJK7T6ttcteTIRGTs0ClqQMbQ
OPERATIONAL,"H2QG+JJ6, Bulota, Telaga Jaya, Gorontalo Regency, Gorontalo 96181, Indonesia","{'location': {'lat': 0.5890517, 'lng': 123.0265202}, 'viewport': {'northeast': {'lat': 0.5904175798927221, 'lng': 123.0278681798927}, 'southwest': {'lat': 0.5877179201072776, 'lng': 123.0251685201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,amyus,ChIJD0lFg10teTIR0K_M_GX0ogM,,0.0,ChIJD0lFg10teTIR0K_M_GX0ogM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJD0lFg10teTIR0K_M_GX0ogM
OPERATIONAL,"H3R2+MQ5, Hulawa, Telaga, Gorontalo Regency, Gorontalo 96181, Indonesia","{'location': {'lat': 0.591201, 'lng': 123.052481}, 'viewport': {'northeast': {'lat': 0.5925732798927223, 'lng': 123.0541024798927}, 'southwest': {'lat': 0.589873620107278, 'lng': 123.0514028201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kuburan auliya,ChIJl_3iCH4teTIRo4GUOMyVGYk,,4.0,ChIJl_3iCH4teTIRo4GUOMyVGYk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118126412194256862373"">Mahmud Habu Jauhari</a>'], 'photo_reference': 'AUGGfZkj4rqy5-wVdQv9vWJJnyzCT-7D8sn4ceSIr_75D0gB_EKxl3z91soK5vWjQ0Uss_wX6Wq4f7BNPEhxB7seWvJT1MZtSmBJQS-xJ6yeAw8OCBz4oRd_aAptkjBNi0lOUhxpeOjyNHjozTdcNPiKoSL5Yuh5FQIyPZkN0PorvMbvB-pA', 'width': 1840}]",,,https://www.google.com/maps/place/?q=place_id:ChIJl_3iCH4teTIRo4GUOMyVGYk
OPERATIONAL,"H2QV+8WQ, Hulawa, Telaga, Gorontalo Regency, Gorontalo 96181, Indonesia","{'location': {'lat': 0.5883851, 'lng': 123.0447378}, 'viewport': {'northeast': {'lat': 0.5897699298927221, 'lng': 123.0460732798928}, 'southwest': {'lat': 0.5870702701072776, 'lng': 123.0433736201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WHITE CASTLE GORONTALO,ChIJS432RaMteTIRiOu6-vYbdjc,,4.5,ChIJS432RaMteTIRiOu6-vYbdjc,"['tourist_attraction', 'point_of_interest', 'establishment']",28,"[{'height': 5632, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108872847179439189870"">faruk bachmid</a>'], 'photo_reference': 'AUGGfZlgE3laANwHeB3hG1tUWa9YmJUTAq-IcQjUKA5Sa_OLaPQSzN6wywbaa60wLSkVdgPco4Q23HLi9i_kzZAM20Ddj4tVc9RiuISML2VcGawIg08hUPHfrpZNn6JJTEG_jq1Vlg22ffh3YOjvSrQXOVZmoITTdxszK8ItXcctuNQdW0Lg', 'width': 4224}]",,,https://www.google.com/maps/place/?q=place_id:ChIJS432RaMteTIRiOu6-vYbdjc
OPERATIONAL,"H2GR+6FV, Jl. Raja Wadipalapa, Bulila, Kec. Telaga, Kabupaten Gorontalo, Gorontalo, Indonesia","{'location': {'lat': 0.5755987, 'lng': 123.0411669}, 'viewport': {'northeast': {'lat': 0.5769271798927222, 'lng': 123.0424585298927}, 'southwest': {'lat': 0.5742275201072777, 'lng': 123.0397588701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Kompos Masaro,ChIJ2XPy7woteTIREOCImH484Q0,,5.0,ChIJ2XPy7woteTIREOCImH484Q0,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110587926547971012799"">A Google User</a>'], 'photo_reference': 'AUGGfZl06A9rTT-aAfSoV0rmBgnkM8cOeQPwgEh1IwOYtp1bUjdQMZzBTO5tKAxeeMfgR89ULYWgq-w5tS7cjC7bQU-kjuW0-mHCdCA5uzX9oe9THkpybQNXouL3n4q0ZT-H_wOs_z0aIKQ6bIK6X4jLst_vTdFK1fqcBJhk8A4ZR3tBUNaj', 'width': 4128}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ2XPy7woteTIREOCImH484Q0
OPERATIONAL,"Jl. Hi. Arto Naue No.16, Hulawa, Kec. Telaga, Kabupaten Gorontalo, Gorontalo 96181, Indonesia","{'location': {'lat': 0.5997246, 'lng': 123.0476595}, 'viewport': {'northeast': {'lat': 0.6011428298927223, 'lng': 123.0489890798927}, 'southwest': {'lat': 0.5984431701072779, 'lng': 123.0462894201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,MahLuna Iz,ChIJBZVMPwAteTIRvDYkPrzngdg,"{'compound_code': 'H2XX+V2 Hulawa, Gorontalo Regency, Gorontalo, Indonesia', 'global_code': '6QG5H2XX+V2'}",0.0,ChIJBZVMPwAteTIRvDYkPrzngdg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJBZVMPwAteTIRvDYkPrzngdg
OPERATIONAL,"H2MQ+MMV, Luhu, Telaga, Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 0.5842338, 'lng': 123.0391606}, 'viewport': {'northeast': {'lat': 0.5855952298927222, 'lng': 123.0405355298927}, 'southwest': {'lat': 0.5828955701072777, 'lng': 123.0378358701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Antariksa Berkah,ChIJTTCYdAAteTIROhvXja_-FvA,,0.0,ChIJTTCYdAAteTIROhvXja_-FvA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJTTCYdAAteTIROhvXja_-FvA
OPERATIONAL,"H2F7+QP7, Hutadaa, Telaga Jaya, Gorontalo Regency, Gorontalo 96181, Indonesia","{'location': {'lat': 0.5743813, 'lng': 123.0143084}, 'viewport': {'northeast': {'lat': 0.5757715298927223, 'lng': 123.0156621298927}, 'southwest': {'lat': 0.5730718701072778, 'lng': 123.0129624701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,silvana M,ChIJKUSPLz0teTIR58LXOaF0nVA,,0.0,ChIJKUSPLz0teTIR58LXOaF0nVA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113903285780434590396"">A Google User</a>'], 'photo_reference': 'AUGGfZmboj-YRfe_THz-Z2XAKRzkeNRbveJBYvRAEppp1cdFmPwXXyH4MpU9OxA4XQTAfvBUhqfyGlxob7WDmOuxlAnErWgIATeuU022GGeIYKtPcgbl-LzKIxPbG8-j6PXnLvWe83urEo2tAOGS3shPiZLlViG7Nd3VyJRhb9EM1zAX9_qD', 'width': 3000}]",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJKUSPLz0teTIR58LXOaF0nVA
OPERATIONAL,"J2FG+JWM, Jl. Gorontalo Outer Ring Road, Timuato, Kec. Telaga Biru, Kabupaten Gorontalo, Gorontalo 96181, Indonesia","{'location': {'lat': 0.6240829999999999, 'lng': 123.0272959}, 'viewport': {'northeast': {'lat': 0.6253812798927222, 'lng': 123.0285886798927}, 'southwest': {'lat': 0.6226816201072777, 'lng': 123.0258890201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BUKIT GORESAN TIMUATO,ChIJ-4YvyU4teTIRieyNRO-Zpy0,,5.0,ChIJ-4YvyU4teTIRieyNRO-Zpy0,"['tourist_attraction', 'point_of_interest', 'establishment']",10,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108872847179439189870"">faruk bachmid</a>'], 'photo_reference': 'AUGGfZn66A2XHi-9VH-GR9FLamqtkuG6v4S7Ks5_LexG3fV61_UYdg1C8f_SKVOrOQPauK5nI3csERje6M4Wgwpv1mgqiBuxftGFAmJRgIbs_NeqvKa8v1Bw2_DU1TUJmRBk4mA7P698DeCXX2NbCZKZqAVOXtf-knykEv5SJhcT-mF95wAY', 'width': 1920}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ-4YvyU4teTIRieyNRO-Zpy0
