formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,opening_hours,rating,user_ratings_total,plus_code,url
"Somba Opu, Gowa Regency, South Sulawesi, Indonesia","{'location': {'lat': -5.2092149, 'lng': 119.455063}, 'viewport': {'northeast': {'lat': -5.177083, 'lng': 119.52117}, 'southwest': {'lat': -5.2438099, 'lng': 119.4395489}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Somba Opu,"[{'height': 1074, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118445900260213127570"">pasukan peyok</a>'], 'photo_reference': 'AUGGfZkakFWswowx3IcIipxyBGlv2_A8hu9vZEa8Mj7roHFJKnGyA8_WbI7N3o_uVT0TR3e8nKfdN3mW-V8OpCt5ZBCAqdChA0_g4uMILNNj1noXZFmF4ur6yXUWww1wgsGZEwRsu_Qa-okZ_cIpnQ3Io1t6nHHz7D3bVX75Yv60TUZm9BO4', 'width': 1431}]",ChIJBbV6Itnjvi0R9cqWKlPc8sA,ChIJBbV6Itnjvi0R9cqWKlPc8sA,"['administrative_area_level_3', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJBbV6Itnjvi0R9cqWKlPc8sA
"RC54+F3G, Benteng Somba Opu, Barombong, Gowa Regency, South Sulawesi 90224, Indonesia","{'location': {'lat': -5.1913033, 'lng': 119.4051932}, 'viewport': {'northeast': {'lat': -5.189951170107278, 'lng': 119.4064928298927}, 'southwest': {'lat': -5.192650829892722, 'lng': 119.4037931701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Baruga Somba Opu,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104171754071244620458"">Angga Widi Hosana</a>'], 'photo_reference': 'AUGGfZmSJajLrtXk7mjBQClJjuU_x10G16MkSXJiURIDy1d-isvzYzVlTfqxAD-1oUbJBQ46tzHq31_qMnQO8P1Jlt-XxFv7Io6H1_ZvMCw-6JH1oDvRywSRKLV5xS1S5Nr4f27JNz0DrXsWelPnIKO0_kyaaiLZOulv2YMz2ZzXXk4rcOJI', 'width': 4000}]",ChIJY2SoNpAdvy0RrGmOTW5sGRM,ChIJY2SoNpAdvy0RrGmOTW5sGRM,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.4,202.0,,https://www.google.com/maps/place/?q=place_id:ChIJY2SoNpAdvy0RrGmOTW5sGRM
"Benteng sombaopu, Gusung Sarombe Sapiria, Benteng Somba Opu, Kec. Barombong, Kota Makassar, Sulawesi Selatan 90224, Indonesia","{'location': {'lat': -5.189921, 'lng': 119.4015934}, 'viewport': {'northeast': {'lat': -5.188562470107279, 'lng': 119.4030346798927}, 'southwest': {'lat': -5.191262129892722, 'lng': 119.4003350201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Fort van Gowa Sultanaat - Benteng Somba Opu,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108099435792571586612"">Kawi Boedisetio</a>'], 'photo_reference': 'AUGGfZlMZvzFZcGNMVjtyu_bDQuPizttd3WbluvUwms4txIOSooWfjnPMmkdKHR4ndEqqTAOxQlfMBmbnS-b5C0zR6dlFzTtrOFLIpop2L75Iv3l27tiigY82MSfAIcZz_Usm6L5yeMRgWMbGh3HnjAbf4Uju6WfF4oGpRtKGrgMOU7oGvod', 'width': 2048}]",ChIJpVexH3Tivi0R2gWAvWT_7HI,ChIJpVexH3Tivi0R2gWAvWT_7HI,"['tourist_attraction', 'store', 'health', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.3,920.0,"{'compound_code': 'RC62+2J Benteng Somba Opu, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XRC62+2J'}",https://www.google.com/maps/place/?q=place_id:ChIJpVexH3Tivi0R2gWAvWT_7HI
"Jl. Dato Ripanggentungang, Tamarunang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92112, Indonesia","{'location': {'lat': -5.2144368, 'lng': 119.4758409}, 'viewport': {'northeast': {'lat': -5.212905920107278, 'lng': 119.4767157798927}, 'southwest': {'lat': -5.215605579892722, 'lng': 119.4740161201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rainbow Garden Gowa,"[{'height': 828, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110077694394748852460"">A Google User</a>'], 'photo_reference': 'AUGGfZm-1Mdpt0i96xvjOrhZ574kRwbttY3cYni2jvtXrFpDaKPDCdjNdiIvERHGbFZzXNPR7hp7lpjjYvP-eCTQ2_hzuqQLQsrd4ncvy9dvITWmcTYMIRWN-0D44lf4q7NXuj8hzQQ79mTYt8BGT_1vw53TLCCzKbc8wuD-LZRw52rUsdsj', 'width': 1080}]",ChIJzSi5rm7hvi0RyCFiCGmw1T4,ChIJzSi5rm7hvi0RyCFiCGmw1T4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.3,360.0,"{'compound_code': 'QFPG+68 Tamarunang, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XQFPG+68'}",https://www.google.com/maps/place/?q=place_id:ChIJzSi5rm7hvi0RyCFiCGmw1T4
"Jl. Malino, Bontomanai, Kec. Bontomarannu, Kabupaten Gowa, Sulawesi Selatan 92171, Indonesia","{'location': {'lat': -5.23441, 'lng': 119.5231051}, 'viewport': {'northeast': {'lat': -5.233035170107278, 'lng': 119.5244283798928}, 'southwest': {'lat': -5.235734829892722, 'lng': 119.5217287201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gowa Tourism Gardens,"[{'height': 1888, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112270656582048196394"">Kanisius</a>'], 'photo_reference': 'AUGGfZlV-XVe4e1irVMItTdrHk9nKaGysHjvx6vwZFPKoOc-60a6ztoncoFe-2f-YiwkrJF8qCPrU-M9auW9mhKvIcI8wTQjmHPvO6UbfSKP-JcskakXnYF7vHF58_0HmJlxv9AKehQeASgREtzU_-v-6WEjBVFumuW6Hfe_vGTpWerssOtX', 'width': 2784}]",ChIJ8ee55MXmvi0RPbaA-1L_kfc,ChIJ8ee55MXmvi0RPbaA-1L_kfc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.5,2921.0,"{'compound_code': 'QG8F+66 Bontomanai, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XQG8F+66'}",https://www.google.com/maps/place/?q=place_id:ChIJ8ee55MXmvi0RPbaA-1L_kfc
"QFJX+69J, Jl. Macanda II, Mawang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92118, Indonesia","{'location': {'lat': -5.2194185, 'lng': 119.4983936}, 'viewport': {'northeast': {'lat': -5.217444420107278, 'lng': 119.5003898298927}, 'southwest': {'lat': -5.220144079892723, 'lng': 119.4976901701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau mawang,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103553111018455974683"">Mayanksari Srie Rahayu</a>'], 'photo_reference': 'AUGGfZmCbIMtiWplAz1duWbABGP9eccoTSUoQzF6kOTfMnvDqL2IqMwK5tzlvttiwzhyT7X-fX1TMysMAWe5c-7gsqQN7VDKa6u5BRk2-TLxSCX7iask1NL65myrdKSnyC3FE2UgL-Ed59lRqM6JdJz6mOV-lNK0xBPlRMqvKdmPnrYo87xi', 'width': 4032}]",ChIJoQtaeCHhvi0RIGyj3HgaTdc,ChIJoQtaeCHhvi0RIGyj3HgaTdc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.5,76.0,,https://www.google.com/maps/place/?q=place_id:ChIJoQtaeCHhvi0RIGyj3HgaTdc
"MC5P+22H, Tamallayang, Bontonompo, Gowa Regency, South Sulawesi 92153, Indonesia","{'location': {'lat': -5.3424407, 'lng': 119.4351134}, 'viewport': {'northeast': {'lat': -5.341091270107277, 'lng': 119.4364625298927}, 'southwest': {'lat': -5.343790929892721, 'lng': 119.4337628701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Denassa (Denassa Botanical Garden),"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103933576610878771819"">A Google User</a>'], 'photo_reference': 'AUGGfZnVkpL5Hv54Ii9u_f4AI2zPSsfGZ-9C_TZo5th2d83nVeePo-XptdWWsCTP_DQItaMEvKoOB3wkmP_uy0Pq9VqP6JtISR9MTe9jBKeMGR6NMNK_PcbCWZpWLzy94KJjEWyfIigQUfDVYhFsP4N69R3F2KwBwXSuRLhRYGj-MtF-gs5h', 'width': 4032}]",ChIJNcuvJAHfvi0RfzDmrzLzQOA,ChIJNcuvJAHfvi0RfzDmrzLzQOA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.9,450.0,,https://www.google.com/maps/place/?q=place_id:ChIJNcuvJAHfvi0RfzDmrzLzQOA
"QFV2+6WV, Sungguminasa, Somba Opu, Gowa Regency, South Sulawesi 92111, Indonesia","{'location': {'lat': -5.2068292, 'lng': 119.4522003}, 'viewport': {'northeast': {'lat': -5.205457820107278, 'lng': 119.4535244298927}, 'southwest': {'lat': -5.208157479892722, 'lng': 119.4508247701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tamalaté Paleis van het Gowa Sultanaat - Istana Tamalate ᨕᨗᨈᨊ ᨈᨆᨒᨈᨙ Kesultanan Gowa,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117898101447173640065"">syamsur rijal</a>'], 'photo_reference': 'AUGGfZmPMh-lwk-NzAWy9cCcN_esR4J5e1SeXhDmEpqmWLcxIc7wfumpbf8d3R_dFh5YwBNNJWNzCYzchhReX_IfzhzbBzJ-a9ZTbSri3-eNvCLCILsXaHFarg0e0HZTfPRVc5OQgcS9AQZaTTTPVBedXUkRL-u5AWuh2CAv2jMK-BCCPlm-', 'width': 4032}]",ChIJcUTwZiXivi0RGx9GU359374,ChIJcUTwZiXivi0RGx9GU359374,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.6,54.0,,https://www.google.com/maps/place/?q=place_id:ChIJcUTwZiXivi0RGx9GU359374
"QFXW+MV5 Uin samata, Samata, Makassar, Kabupaten Gowa, Sulawesi Selatan 92113, Indonesia","{'location': {'lat': -5.2008732, 'lng': 119.4972238}, 'viewport': {'northeast': {'lat': -5.199890720107278, 'lng': 119.4987376298927}, 'southwest': {'lat': -5.202590379892722, 'lng': 119.4960379701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Samata,"[{'height': 3376, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106521691569897415914"">A Google User</a>'], 'photo_reference': 'AUGGfZl3tJyowNdNcgw0TwVhSifKqxMR9Lw5Qd2wDot6-TK2kKi469C5_nY1FenSzxKvo1OVeLt-I3IIbizGWsUfTYTGyCGTshYWPzxmjg9187VoDCgm0sWoQl86OovV8v2UYXRMHpqw5CcbKJdbihoTWaPqgLb3kdW-UmPcuZg9dB2Gm-Yx', 'width': 6000}]",ChIJ9y-rAu_jvi0R77EsNZ5ujJY,ChIJ9y-rAu_jvi0R77EsNZ5ujJY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{},4.5,668.0,,https://www.google.com/maps/place/?q=place_id:ChIJ9y-rAu_jvi0R77EsNZ5ujJY
"Jl. K. H. Wahid Hasyim No.39, Sungguminasa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111, Indonesia","{'location': {'lat': -5.2068452, 'lng': 119.4528239}, 'viewport': {'northeast': {'lat': -5.205578320107278, 'lng': 119.4543639798927}, 'southwest': {'lat': -5.208277979892721, 'lng': 119.4516643201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum Balla Lompoa,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116635315184742780812"">Maya Nabitha</a>'], 'photo_reference': 'AUGGfZn1ADIknAzyflm_X02KKGWnCF8DZ4jdPFC_u4EFgYFi_B29YDbXRcY5-D4kMnGXQfDY1hoALp6ljh-3l5oNR5sF2dT213HqH2jpf_NdyKz1NPg9zAQbJKe80y6k0FOXkr8ziTfRuRaerHa0hPjREji7yxm4kHXmIvNKKDBXhSfwAQWt', 'width': 4000}]",ChIJUyYblCXivi0R3hCr1lbjR1s,ChIJUyYblCXivi0R3hCr1lbjR1s,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.5,2087.0,"{'compound_code': 'QFV3+74 Sungguminasa, Gowa Regency, South Sulawesi, Indonesia', 'global_code': '6P6XQFV3+74'}",https://www.google.com/maps/place/?q=place_id:ChIJUyYblCXivi0R3hCr1lbjR1s
