business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,permanently_closed,url
OPERATIONAL,"Sungai Bela, Kuala Indragiri, Indragiri Hilir Regency, Riau, Indonesia","{'location': {'lat': -0.3959261, 'lng': 103.5987752}, 'viewport': {'northeast': {'lat': -0.3945762701072777, 'lng': 103.6001250298927}, 'southwest': {'lat': -0.3972759298927222, 'lng': 103.5974253701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Terumbu Mabloe,"[{'height': 1520, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105587411932490783643"">Habib Dirga</a>'], 'photo_reference': 'AUGGfZkXr7Fbs_3S3-bSEeXCgPWdr07EIe5GYrXExhovR41yHZzLeNTUozglNEW_NMWkloIViGerPXYUOL8HSE0XAZXMHQMBlayLRdAgoy9EFeS48M4JnNJA8ldcZ5e3zKX6MRv9m5CBv7JgwCShsoD4RiHEMJDhq0rH0oHxx1kEjT635zzt', 'width': 3264}]",ChIJ_6QrYJbZJy4RK1W83K8RbPk,"{'compound_code': 'JH3X+JG Sungai Bela, Indragiri Hilir Regency, Riau, Indonesia', 'global_code': '6PF5JH3X+JG'}",4.0,ChIJ_6QrYJbZJy4RK1W83K8RbPk,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ_6QrYJbZJy4RK1W83K8RbPk
OPERATIONAL,"Q975+9W, Teluk Pinang, Gaung Anak Serka, Indragiri Hilir Regency, Riau, Indonesia","{'location': {'lat': -0.2365923, 'lng': 103.3598702}, 'viewport': {'northeast': {'lat': -0.2351577201072777, 'lng': 103.3612864}, 'southwest': {'lat': -0.2378573798927222, 'lng': 103.3556216}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kuala parit 7 bos Anto kiper,,ChIJHQFIYgANKC4RJyLyBn2ERlU,,0.0,ChIJHQFIYgANKC4RJyLyBn2ERlU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJHQFIYgANKC4RJyLyBn2ERlU
OPERATIONAL,"Q9GC+3R2, Teluk Pinang, Gaung Anak Serka, Indragiri Hilir Regency, Riau, Indonesia","{'location': {'lat': -0.2248688, 'lng': 103.3720186}, 'viewport': {'northeast': {'lat': -0.2230016701072778, 'lng': 103.3733936798927}, 'southwest': {'lat': -0.2257013298927222, 'lng': 103.3706940201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Parit 2,,ChIJQ_q1BAANKC4RyVubgKuW6Yc,,0.0,ChIJQ_q1BAANKC4RyVubgKuW6Yc,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJQ_q1BAANKC4RyVubgKuW6Yc
OPERATIONAL,"PGR8+VW, Concong Tengah, Concong, Indragiri Hilir Regency, Riau, Indonesia","{'location': {'lat': -0.2578312, 'lng': 103.5173004}, 'viewport': {'northeast': {'lat': -0.2564813701072777, 'lng': 103.5186502298927}, 'southwest': {'lat': -0.2591810298927222, 'lng': 103.5159505701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Airbagi Mangrove,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100655953757065637275"">Rudie Cool</a>'], 'photo_reference': 'AUGGfZkjhwrWbTRDy7QH6kwDnDC1Ugg8u1woJw7NtKtn-NmDnnxVZyfYBW7c1qziLBX0bfD5-wJDrUS3xbkW1p6RKWc-4MbpM02dAjMxp_7WUQArtHkwt06D3otrP6zV4k4W57QTzwIUb2EQzVBhzjv_2k5-BC4GNyrl_qKtIEnZ875iLyQD', 'width': 1920}]",ChIJgbrHLgALKC4RxOiYC03RmhM,,5.0,ChIJgbrHLgALKC4RxOiYC03RmhM,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJgbrHLgALKC4RxOiYC03RmhM
OPERATIONAL,"F97R+2FM, Kuala Enok, Tanah Merah, Indragiri Hilir Regency, Riau, Indonesia","{'location': {'lat': -0.5374102, 'lng': 103.3911679}, 'viewport': {'northeast': {'lat': -0.5361854201072779, 'lng': 103.3923575798927}, 'southwest': {'lat': -0.5388850798927223, 'lng': 103.3896579201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kuala Enok inhil,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117009958289162368276"">Juli Abid</a>'], 'photo_reference': 'AUGGfZkBoqEcfm5D-sAQOdd5i1g0rAtaKkOlMTfUsgWCAvWBzDIKaLF3s2ea_DGccXznLRM0h6ggkbjZL5OtZBydcGauQdePVh4Ldplrea96HnvT9QXOJUxmreJVjSnU-UYm-AjlyJXJfhNO1-DK2HeuEgdXFP3KiMD9-OPZlIp91ziehz5z', 'width': 2592}]",ChIJD516mqF9KC4RsGJXm3_3qec,,4.4,ChIJD516mqF9KC4RsGJXm3_3qec,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,,,https://www.google.com/maps/place/?q=place_id:ChIJD516mqF9KC4RsGJXm3_3qec
OPERATIONAL,"P5FR+5P, Sungai Beringin, Tembilahan, Indragiri Hilir Regency, Riau, Indonesia","{'location': {'lat': -0.277058, 'lng': 103.1917718}, 'viewport': {'northeast': {'lat': -0.2757081701072778, 'lng': 103.1931216298927}, 'southwest': {'lat': -0.2784078298927222, 'lng': 103.1904219701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Parit induk 21,"[{'height': 9248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107563370592816813196"">Arifin Sm</a>'], 'photo_reference': 'AUGGfZlGkK4TB4qWadaK51pGFBzr6JvNSWlOiYtSLzJwygrEkPiriYneTdBbdJECIMbuPUnu8Qe9kFnB-nLl7q_lgzEw2upYL9VD7azXxbz7J4L2Gw5-bzji93bnXjJ6jzYodz8hu13m0j6tp-96JFR3JxHP7MUHkMIBCLfEkhLveY8dE2IS', 'width': 6936}]",ChIJDWsHfQAVKC4RHZozbf9Kx_8,,5.0,ChIJDWsHfQAVKC4RHZozbf9Kx_8,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJDWsHfQAVKC4RHZozbf9Kx_8
OPERATIONAL,"WHFH+RWX, Pulau Cawan, Mandah, Indragiri Hilir Regency, Riau 29254, Indonesia","{'location': {'lat': -0.0753845, 'lng': 103.5798445}, 'viewport': {'northeast': {'lat': -0.07407982010727776, 'lng': 103.5811116798927}, 'southwest': {'lat': -0.0767794798927222, 'lng': 103.5784120201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Solop,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112158683708317148834"">FIRNANDES BANOXTA</a>'], 'photo_reference': 'AUGGfZlUkMEca2jMbmptbCRZFgaS9yrk8d1wrHgB9htN3BxnaziGA1EJllzfVKrdE7DrmDN1N68Fkesv3R1d2BwKxVk5beOxWHg7iDV6gdN3p2i1OLDLLVoQ0NYznncMBTc21A4r_tMzMRQYbfKwSJ97Fa22s5r7TUIQGquxSXC6o9v03tw_', 'width': 4160}]",ChIJa9qyctf9Jy4RPHk8AUvQcH0,,4.2,ChIJa9qyctf9Jy4RPHk8AUvQcH0,"['tourist_attraction', 'point_of_interest', 'establishment']",138.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJa9qyctf9Jy4RPHk8AUvQcH0
OPERATIONAL,"P5HP+62H, Sungai Beringin, Tembilahan, Indragiri Hilir Regency, Riau 29252, Indonesia","{'location': {'lat': -0.2719485, 'lng': 103.1851018}, 'viewport': {'northeast': {'lat': -0.2712700000000001, 'lng': 103.1863464798927}, 'southwest': {'lat': -0.2739839999999999, 'lng': 103.1836468201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Arena Wisata Sampan Leper,"[{'height': 958, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105766889853303109299"">A Google User</a>'], 'photo_reference': 'AUGGfZmI-wZchAWV4T2gteXQgjISjwPy1D-K70XJ9CHmJvr_zEF02MS4LaGpQD6NJ6IX02Y1AAl006ao2lvAn9kF_IqVxXmcsqoGxaOas8XlGcvsJaoazu4-1ogwoZVsMxv18onK2l5nOeBDcjQxLrglT3LTvzKEmoPnDgkuS_rWHErRjEoT', 'width': 1080}]",ChIJN11mPt0VKC4RQLCecfxIKBA,,3.3,ChIJN11mPt0VKC4RQLCecfxIKBA,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,,,https://www.google.com/maps/place/?q=place_id:ChIJN11mPt0VKC4RQLCecfxIKBA
OPERATIONAL,"P56P+29C, Sungai Beringin, Tembilahan, Indragiri Hilir Regency, Riau 29281, Indonesia","{'location': {'lat': -0.2899342, 'lng': 103.1858864}, 'viewport': {'northeast': {'lat': -0.2885843701072777, 'lng': 103.1872362298927}, 'southwest': {'lat': -0.2912840298927222, 'lng': 103.1845365701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan penyeberangan,"[{'height': 2941, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108839463636758910789"">rudy fr</a>'], 'photo_reference': 'AUGGfZnM-yA-1T6hhtLDBZpyUSN-95pG3gvbyMAqAjrW1w7Gznrq010ReUwNlMpgtYnasWpMRHDih4m7VMT8Sb9PE5KERtiOUjJN8hqsuyV-vQUbhFepClrojMnRpmPp0Z22mpVdUSSwCH04vBlRG3ewPTW1PoHxzoHWsvcE0FlidQAlpbVJ', 'width': 2304}]",ChIJxdGRg6kVKC4RGii9TTxTSeU,,3.0,ChIJxdGRg6kVKC4RGii9TTxTSeU,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJxdGRg6kVKC4RGii9TTxTSeU
OPERATIONAL,"F9RM+MG5, Tanah Merah, Indragiri Hilir Regency, Riau 29271, Indonesia","{'location': {'lat': -0.50805, 'lng': 103.3828373}, 'viewport': {'northeast': {'lat': -0.5067001201072778, 'lng': 103.3841880298927}, 'southwest': {'lat': -0.5093997798927222, 'lng': 103.3814883701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mural PT. PULAU SAMBU (Kuala Enok),"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113553498909621094666"">A Google User</a>'], 'photo_reference': 'AUGGfZlg2YrXROolO7nK1TeWrWbYX4EdLMQDo9SrDd-46bQTL_5ILtmuuPLFuriEeMT0I7IyvBJHdvS91H9fmpj_ldIlIx8DR3o_yuR74Qm8FHeP983XhJIIOUtBEbRU_s_r4reTacDFmyjtwPLMEY3sVxcXLF-45ZQ_xKkOnp7OnajD4hQ', 'width': 4160}]",ChIJT3vYqy97KC4RC3IWgM-AiZc,,3.0,ChIJT3vYqy97KC4RC3IWgM-AiZc,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJT3vYqy97KC4RC3IWgM-AiZc
