business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,permanently_closed,url
OPERATIONAL,"PMW9+MGH, Langsejan, Jenggawah, Kec. Jenggawah, Kabupaten Jember, Jawa Timur 68171, Indonesia","{'location': {'lat': -8.253306799999999, 'lng': 113.6688722}, 'viewport': {'northeast': {'lat': -8.251901320107278, 'lng': 113.6703474298927}, 'southwest': {'lat': -8.254600979892722, 'lng': 113.6676477701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawah jenggawah,ChIJBxwBFaKX1i0RCncMEblc3qI,4.5,ChIJBxwBFaKX1i0RCncMEblc3qI,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,,https://www.google.com/maps/place/?q=place_id:ChIJBxwBFaKX1i0RCncMEblc3qI
OPERATIONAL,"PJ45+QPR, Gumuk Rase, Kemuningsari Kidul, Kec. Jenggawah, Kabupaten Jember, Jawa Timur 68171, Indonesia","{'location': {'lat': -8.2930181, 'lng': 113.6092808}, 'viewport': {'northeast': {'lat': -8.29167352010728, 'lng': 113.6106467798927}, 'southwest': {'lat': -8.294373179892723, 'lng': 113.6079471201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DAM Jeddeng,ChIJZ8IrWgKb1i0RPxyYZS2KVNs,0.0,ChIJZ8IrWgKb1i0RPxyYZS2KVNs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJZ8IrWgKb1i0RPxyYZS2KVNs
OPERATIONAL,"jln. gayasan, Jl. Kawi No.19, Krajan, Jenggawah, Kec. Jenggawah, Kabupaten Jember, Jawa Timur 68171, Indonesia","{'location': {'lat': -8.263493, 'lng': 113.6522971}, 'viewport': {'northeast': {'lat': -8.262074970107278, 'lng': 113.6536054298927}, 'southwest': {'lat': -8.264774629892722, 'lng': 113.6509057701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jenggawah Hill Eco Tourism,ChIJE_gnYqaQ1i0RWz6DqI14ecA,3.9,ChIJE_gnYqaQ1i0RWz6DqI14ecA,"['lodging', 'tourist_attraction', 'point_of_interest', 'establishment']",84,{'open_now': False},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101709998279302049058"">A Google User</a>'], 'photo_reference': 'AUGGfZmqXrfyTAHSl_LGwXgdUrUfGiPpuzouNXsCgHyNnubQN8_An26wW6aVMsEnTa41eaqnGdLCGmwNOlSX82K22rEtSRNk8erw8UsmxpIR4AGB_w0AiXNKs-CnvYuwFzwYOxrz6LQR51hCRix4hLv5UiK6qfgdy9WoKueWnV6Gst7seCOw', 'width': 4160}]","{'compound_code': 'PMP2+JW Jenggawah, Jember Regency, East Java, Indonesia', 'global_code': '6P3MPMP2+JW'}",,https://www.google.com/maps/place/?q=place_id:ChIJE_gnYqaQ1i0RWz6DqI14ecA
OPERATIONAL,"MHVR+G93 Perbatasan, Gumuk Jati, Kertonegoro, Kec. Jenggawah, Kabupaten Jember, Jawa Timur 68171, Indonesia","{'location': {'lat': -8.306242, 'lng': 113.590935}, 'viewport': {'northeast': {'lat': -8.304889320107277, 'lng': 113.5923141298927}, 'southwest': {'lat': -8.30758897989272, 'lng': 113.5896144701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GLADAK MACAN,ChIJ7Xf_ARWb1i0RPpaFBEE4O_U,5.0,ChIJ7Xf_ARWb1i0RPpaFBEE4O_U,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109744539306042815043"">Baitul Azis</a>'], 'photo_reference': 'AUGGfZnDkTZ_g87GAGEWRGN93MLZrVji9KlupHjVnIsnH069G_qSASgubwJUN7FZXpM-hTa_5AgZmHGJypie79BB6Wv0y5JZ_vRRkCxZPvApzU9Uf9Tm63uHbD0uP2qt6LCTExu70XHhfYuStNUwcnX5oQoCXqa0v9A1Y0VfjL96JyZDB8LT', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ7Xf_ARWb1i0RPpaFBEE4O_U
OPERATIONAL,"MMW2+98C, Krajan, Sruni, Kec. Jenggawah, Kabupaten Jember, Jawa Timur 68171, Indonesia","{'location': {'lat': -8.3040564, 'lng': 113.6507598}, 'viewport': {'northeast': {'lat': -8.302068520107278, 'lng': 113.6524047298927}, 'southwest': {'lat': -8.304768179892722, 'lng': 113.6497050701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Suwi,ChIJs6nQwJub1i0RR5BmkGd4mF0,4.5,ChIJs6nQwJub1i0RR5BmkGd4mF0,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109533878466935073880"">Sukma Sejati</a>'], 'photo_reference': 'AUGGfZmfv_W8XZ_cyOyu6h_JVUPgblJOlk1YbRh87B1BuNJiCUBK8h6uPIzDoJdQb8cZeO4PnwliZv9Sb1NYC8t-I5kNjf-0OPMEeZhL6MqztffbVqlMZi5TspFecYLO_fT6sCqFT2t_MmNI-d5NZasb7B3TbWaKTyFOEaConhqIhiEIWh2w', 'width': 3120}]",,,https://www.google.com/maps/place/?q=place_id:ChIJs6nQwJub1i0RR5BmkGd4mF0
OPERATIONAL,"PJ8W+4XQ, Krajan, Cangkring, Kec. Jenggawah, Kabupaten Jember, Jawa Timur 68171, Indonesia","{'location': {'lat': -8.2846046, 'lng': 113.6472977}, 'viewport': {'northeast': {'lat': -8.283098170107275, 'lng': 113.6486725798927}, 'southwest': {'lat': -8.285797829892719, 'lng': 113.6459729201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,rumah Achmad Daniel Syarif,ChIJ3z9iCgCb1i0RYN15H8uZdMU,0.0,ChIJ3z9iCgCb1i0RYN15H8uZdMU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3z9iCgCb1i0RYN15H8uZdMU
OPERATIONAL,"MMGV+664, Area Sawah/Kebun, Pondokrejo, Kec. Tempurejo, Kabupaten Jember, Jawa Timur 68173, Indonesia","{'location': {'lat': -8.324494099999999, 'lng': 113.6930764}, 'viewport': {'northeast': {'lat': -8.322670420107277, 'lng': 113.6941435298927}, 'southwest': {'lat': -8.325370079892721, 'lng': 113.6914438701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Warung Air Glantangan,ChIJZcWFQhWZ1i0R6xQJFGRqShI,3.9,ChIJZcWFQhWZ1i0R6xQJFGRqShI,"['tourist_attraction', 'point_of_interest', 'establishment']",393,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113289636061896455845"">A Google User</a>'], 'photo_reference': 'AUGGfZkLHyX83W7PxOVubzGdW4iGEvJgseXFAeVN_E-iEPfAzXdOG8dQ2_PPkShVeHoPX441wAtqktCBYLmYODNvwti4ADwYcHvHC8UVxOF6X2GHY2ouoTWOC1_zg1k_SuBnpU0VEuaZ6poybDxDW7FgWvcgCPgFkDRCx2wpCPBGNRZ-rRgG', 'width': 4608}]",,,https://www.google.com/maps/place/?q=place_id:ChIJZcWFQhWZ1i0R6xQJFGRqShI
CLOSED_TEMPORARILY,"PJ3G+VWF, Krajan Tengah, Kertonegoro, Kec. Jenggawah, Kabupaten Jember, Jawa Timur, Indonesia","{'location': {'lat': -8.2953198, 'lng': 113.6273044}, 'viewport': {'northeast': {'lat': -8.293996420107277, 'lng': 113.6286382798927}, 'southwest': {'lat': -8.29669607989272, 'lng': 113.6259386201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung ienggawah,ChIJybseN3mb1i0RJSIRStHwHZI,0.0,ChIJybseN3mb1i0RJSIRStHwHZI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,True,https://www.google.com/maps/place/?q=place_id:ChIJybseN3mb1i0RJSIRStHwHZI
OPERATIONAL,"PM5V+GCQ, Area Sawah/Kebun, Tempurejo, Kec. Tempurejo, Kabupaten Jember, Jawa Timur 68173, Indonesia","{'location': {'lat': -8.2911711, 'lng': 113.6936021}, 'viewport': {'northeast': {'lat': -8.29001667010728, 'lng': 113.6948825298927}, 'southwest': {'lat': -8.292716329892723, 'lng': 113.6921828701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Galaxy,ChIJCxE6vL2Z1i0RZsrriq5dN6k,4.5,ChIJCxE6vL2Z1i0RZsrriq5dN6k,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",1939,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102231433694292151715"">Agung Eko Sabrang Nowo</a>'], 'photo_reference': 'AUGGfZnVGNwse4T3AGS_acmE2BTkwCHZ0XvR6LUlhiIptsfOZSZ5LT2GPnGWAopaqu74aoc6NhVhi8v5UEFQvkDkuCwfZskFL6vRqb1n8vvtDCZXgOJTgbtXVtb011CFdWc3Rw5ybnxQ74hF2fdoVjYjkWkDyqyo-aJ16VVFc_e90KateJfz', 'width': 4032}]",,,https://www.google.com/maps/place/?q=place_id:ChIJCxE6vL2Z1i0RZsrriq5dN6k
OPERATIONAL,"PM5V+F62, Galaksi, Tempurejo, Kec. Tempurejo, Kabupaten Jember, Jawa Timur 68173, Indonesia","{'location': {'lat': -8.2913534, 'lng': 113.6930075}, 'viewport': {'northeast': {'lat': -8.290011870107277, 'lng': 113.6943173798927}, 'southwest': {'lat': -8.29271152989272, 'lng': 113.6916177201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Super Galaxy,ChIJf338lr2Z1i0Rbl0-0aRG04E,4.5,ChIJf338lr2Z1i0Rbl0-0aRG04E,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",3190,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107882257611673354137"">Lo Vani</a>'], 'photo_reference': 'AUGGfZkdqdhzN-gEhBQvThsj7a9YDuTugnd4ib-2LLzy-Kg_OhHPYiSSx1_4DvxvUJHlxRUlbSfV2-YVcV8HHyOe02oK2FTRMGPvDbQlEtYQ2sktnD9Z4QveC9neVyHdl7IY7NGwE5x8fCUNb7FteWWZ3BdKgj0HHyoW4ZAjjNYQltQDjje7', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJf338lr2Z1i0Rbl0-0aRG04E
