business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. KH. Wahid Hasyim No.1, Jombang, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61415, Indonesia","{'location': {'lat': -7.5384385, 'lng': 112.2379592}, 'viewport': {'northeast': {'lat': -7.537177120107279, 'lng': 112.2393014798927}, 'southwest': {'lat': -7.539876779892722, 'lng': 112.2366018201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/monument_pinlet,Ringin Contong Monument,{'open_now': True},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100859711350241742561"">Arief Mansyuri</a>'], 'photo_reference': 'AUGGfZnyz1BmFIFmCEIQKZlmCyVcemaoOQ5odRb9Kv8pVYzOu5yyIl88Ulc4ltfKeoP0WDI7bK37-OChU5qkvHlqQSVYAQxM5uXGLyPd3p24cVdkYcli7h8XvijABAwvFJa7jr5E5qiwk2ftRvkA_w5UdIyE8zcNT8jPniQEvpLbZVDQVa-z', 'width': 3472}]",ChIJ006tLABAeC4RiT6_h0dj3pE,"{'compound_code': 'F66Q+J5 Jombang, Jombang Regency, East Java, Indonesia', 'global_code': '6P4JF66Q+J5'}",4.5,ChIJ006tLABAeC4RiT6_h0dj3pE,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",3623.0,https://www.google.com/maps/place/?q=place_id:ChIJ006tLABAeC4RiT6_h0dj3pE
OPERATIONAL,"Jl. Diponegoro No.1-3, Kaliwungu, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61419, Indonesia","{'location': {'lat': -7.556895499999999, 'lng': 112.2333805}, 'viewport': {'northeast': {'lat': -7.555545670107279, 'lng': 112.2347303298927}, 'southwest': {'lat': -7.558245329892722, 'lng': 112.2320306701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Alun Alun Jombang,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101739225591121366359"">A Google User</a>'], 'photo_reference': 'AUGGfZmXUNsztlFAVoalZGffywSF1pM8ehZK3T1X9LGnQ4OKQgKSVb1sTRRyja8BHoAIxq4YawzJ3pMi4oVuD1tyc6fYTmgPR7w40IaK7g8P0knyAYnozv9-t_b09QSSfku2HxTdx6ZYE5YVik0qxs6YEBBkuCDBbBCyh70e-GyXaLlRus1b', 'width': 4160}]",ChIJyU63ASJAeC4R0voij4LeMbk,"{'compound_code': 'C6VM+69 Kaliwungu, Jombang Regency, East Java, Indonesia', 'global_code': '6P4JC6VM+69'}",4.5,ChIJyU63ASJAeC4R0voij4LeMbk,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",15658.0,https://www.google.com/maps/place/?q=place_id:ChIJyU63ASJAeC4R0voij4LeMbk
OPERATIONAL,"Kepanjen, Jombang, Jombang Regency, East Java 61419, Indonesia","{'location': {'lat': -7.5539537, 'lng': 112.2348445}, 'viewport': {'northeast': {'lat': -7.552493920107278, 'lng': 112.2361861298927}, 'southwest': {'lat': -7.555193579892721, 'lng': 112.2334864701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Kebon Rojo Park,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107393342423062617977"">A Google User</a>'], 'photo_reference': 'AUGGfZnAzjSItJuYYZ029PBoxHAGsyCIiXnwxm9YEdnRVVOm43NX92tP3gMLKPNBMgr8pRnPsIVkrFgLjRVUmVG1P47-H8xFXLuW0m2IJDYpP2z33N22_sofaVfU_XMMHcyvD5-q6EyjyPcGPhEjIQNV-x1ebQI8yjBXT6wegp6dewIhxfE9', 'width': 4000}]",ChIJiwtd_h5AeC4R4qgpmVtLBL8,"{'compound_code': 'C6WM+CW Kepanjen, Jombang Regency, East Java, Indonesia', 'global_code': '6P4JC6WM+CW'}",4.4,ChIJiwtd_h5AeC4R4qgpmVtLBL8,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",5042.0,https://www.google.com/maps/place/?q=place_id:ChIJiwtd_h5AeC4R4qgpmVtLBL8
,"Jombang Regency, East Java, Indonesia","{'location': {'lat': -7.5740867, 'lng': 112.28609}, 'viewport': {'northeast': {'lat': -7.3437369, 'lng': 112.455833}, 'southwest': {'lat': -7.779221, 'lng': 112.06263}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jombang Regency,,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114629537880835513745"">A Google User</a>'], 'photo_reference': 'AUGGfZnpD24ye3DjhvQxlD2_2VYQzdfIMTjCImCHJecTAEvLKEp1Us5SvwoOAN3CsaMcPwYZyKlkGaRnFdi2R9Y-1DannhXaCITTLlNKqb3VGILtxvi3v3-mQoOThLCwSvPc2FhuwjO7cXFeHoUB-t21iJA4txB9gJlgb7pVFuyFHZe-xqk', 'width': 4000}]",ChIJMZo1j5RqeC4RIL1S43Z6AgM,,,ChIJMZo1j5RqeC4RIL1S43Z6AgM,"['administrative_area_level_2', 'political']",,https://www.google.com/maps/place/?q=place_id:ChIJMZo1j5RqeC4RIL1S43Z6AgM
OPERATIONAL,"Tebuireng Gg. V, Kwaron, Cukir, Kec. Diwek, Kabupaten Jombang, Jawa Timur 61471, Indonesia","{'location': {'lat': -7.608121299999999, 'lng': 112.2338709}, 'viewport': {'northeast': {'lat': -7.606816420107278, 'lng': 112.2352054798927}, 'southwest': {'lat': -7.609516079892722, 'lng': 112.2325058201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Monumen Asmaul Husna,{'open_now': True},"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115778945840770573928"">koko trisilo</a>'], 'photo_reference': 'AUGGfZnx678lLAOadH_5vKzn2jLtToxOGmreu3IZoI9O3JsM2mOzFQlEDHZNx7xigvUOkKXuFyUagv3dpu3LuAY1289i3z-04uaJoKqZvpcwPyuKVuQhEO8Z-Bpf_pMw8Rt126WO0jPZ0FXOuzUY421dQh21YfDD5_qVnkB449t4qv3v-9vn', 'width': 3968}]",ChIJPwKJggdqeC4RKt3jfjDJZ_c,"{'compound_code': '96RM+QG Cukir, Jombang Regency, East Java, Indonesia', 'global_code': '6P4J96RM+QG'}",4.7,ChIJPwKJggdqeC4RKt3jfjDJZ_c,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",407.0,https://www.google.com/maps/place/?q=place_id:ChIJPwKJggdqeC4RKt3jfjDJZ_c
,"Jombang, Jombang Regency, East Java, Indonesia","{'location': {'lat': -7.5377375, 'lng': 112.233056}, 'viewport': {'northeast': {'lat': -7.507516, 'lng': 112.2564501}, 'southwest': {'lat': -7.574988999999999, 'lng': 112.18019}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jombang,,"[{'height': 393, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109084940852660396612"">Anton Martono</a>'], 'photo_reference': 'AUGGfZkGX7t0X94UUJ4YMwdRoRhj_623XSqZsyq-8_D2oFUlZGQwwEFRBwapGWVxVpdO4TDvRDKN0AP1BR5q_Zp-wMHSeG3Bzo7MJjrY_9cvLoOQldwEk5uVvgR0Un_xjV9RQrjNcOU55u8Gbes2ODipXtMn7TFfuNRzF9ktXDR9NmSF-qhK', 'width': 700}]",ChIJfy6tkAtAeC4RJ6-MrBLwAhg,,,ChIJfy6tkAtAeC4RJ6-MrBLwAhg,"['administrative_area_level_3', 'political']",,https://www.google.com/maps/place/?q=place_id:ChIJfy6tkAtAeC4RJ6-MrBLwAhg
OPERATIONAL,"Jalan Dokter Soetomo, Serning, Banjaragung, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474, Indonesia","{'location': {'lat': -7.6596492, 'lng': 112.3063632}, 'viewport': {'northeast': {'lat': -7.658256220107277, 'lng': 112.3076119298927}, 'southwest': {'lat': -7.660955879892721, 'lng': 112.3049122701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bale Tani,{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102304190505324932247"">Dikin Saputra</a>'], 'photo_reference': 'AUGGfZmnkQA11MnXYhGLHY8KXh9mb8SYIW7qOh6rYHaFQWT-5m-5TgJMNXa5U21jmgO8FrO_BNTgmhuQuML5_H7bzMSFV-hBHiPC2u3xvDV08wMQqbJgfyYIGON6NHllgy92pw0hTWwddfw2tfcXlnE8rMxdpZenvXSpJjR7V8p8Qz0_jpFJ', 'width': 3264}]",ChIJw6cnzuZoeC4RS40BghFK10w,"{'compound_code': '88R4+4G Banjaragung, Jombang Regency, East Java, Indonesia', 'global_code': '6P4J88R4+4G'}",4.2,ChIJw6cnzuZoeC4RS40BghFK10w,"['tourist_attraction', 'restaurant', 'food', 'point_of_interest', 'establishment']",5450.0,https://www.google.com/maps/place/?q=place_id:ChIJw6cnzuZoeC4RS40BghFK10w
OPERATIONAL,"G56M+5XF, Sungai Brantas,, Sudimoro, Kec. Megaluh, Kabupaten Jombang, Jawa Timur 61457, Indonesia","{'location': {'lat': -7.489558199999999, 'lng': 112.1849306}, 'viewport': {'northeast': {'lat': -7.488445370107278, 'lng': 112.1861005298927}, 'southwest': {'lat': -7.491145029892722, 'lng': 112.1834008701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dam Karet Jatimlerek,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114014693972259461144"">Riffy Tevi</a>'], 'photo_reference': 'AUGGfZn2slEug2x85tj1Ph_bPoHR-WeSAQOsQueL8IjEmvmSE2jRIy7TG9-nB02XcfDwfC2oco3ncrPetYvpqHZtWtoJKe44BWLmf1pnQdWKcZbdUQEF_4Z_xrl3mvcdeiZPQFSdROKXFUDZgAJEObTBWxYmI4a8a3vSxrdMkbGqin7nDK2p', 'width': 4608}]",ChIJR5bE8_k-eC4RPfioX5u5Tk4,,4.4,ChIJR5bE8_k-eC4RPfioX5u5Tk4,"['tourist_attraction', 'point_of_interest', 'establishment']",745.0,https://www.google.com/maps/place/?q=place_id:ChIJR5bE8_k-eC4RPfioX5u5Tk4
,"Candi Mulyo, Jombang, Jombang Regency, East Java, Indonesia","{'location': {'lat': -7.534558799999999, 'lng': 112.2428725}, 'viewport': {'northeast': {'lat': -7.530583, 'lng': 112.248825}, 'southwest': {'lat': -7.5411391, 'lng': 112.2370851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Candi Mulyo,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104149550167882582058"">dasrialdy iriel</a>'], 'photo_reference': 'AUGGfZmgrq93ofn1sXzCFvo3exWmWzXpGg0nCr4zNvIFEyAyhPYD7lIxOtYyxL7Ldk2ZYpd2G03pcNZ9vlwHuTNYlFggioZ3oXjhLE9vBTWGeedD7ORZ0GBl49ot-z-kOT65TRfrwyYPwTpIlopVeqhsrOQHnAMk2IjqywyEBuVFf_btm6Vv', 'width': 3120}]",ChIJ5YC3SqtqeC4RTUunUSUYjSE,,,ChIJ5YC3SqtqeC4RTUunUSUYjSE,"['administrative_area_level_4', 'political']",,https://www.google.com/maps/place/?q=place_id:ChIJ5YC3SqtqeC4RTUunUSUYjSE
,"Kaliwungu, Jombang, Jombang Regency, East Java, Indonesia","{'location': {'lat': -7.557695000000001, 'lng': 112.2369114}, 'viewport': {'northeast': {'lat': -7.553579000000001, 'lng': 112.2408481}, 'southwest': {'lat': -7.563063, 'lng': 112.233081}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kaliwungu,,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111797023832457540079"">Arie Ahmad</a>'], 'photo_reference': 'AUGGfZndLo3NJM0TGcDpOZk4XK3ieWXTn5mW5THJThrio7dq4mUn6yyNF5vMZf7DDfdDipfUW87nl77iNkM143VPe2RUF_x0j30Lm9VpRzjMrwmfYYCzenjk6RfuSrdwbm6Zs6wAm0PcufaWORD-n0nlMu_nANGT4A-RP14m7dhvVCANFkV_', 'width': 2448}]",ChIJYUAIaCBAeC4RYOlFpY02Ja8,,,ChIJYUAIaCBAeC4RYOlFpY02Ja8,"['administrative_area_level_4', 'political']",,https://www.google.com/maps/place/?q=place_id:ChIJYUAIaCBAeC4RYOlFpY02Ja8
