business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"HG4W+W2C, Macang, Bebandem, Karangasem Regency, Bali, Indonesia","{'location': {'lat': -8.4426808, 'lng': 115.545022}, 'viewport': {'northeast': {'lat': -8.441330970107277, 'lng': 115.5463718298927}, 'southwest': {'lat': -8.44403062989272, 'lng': 115.5436721701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tukad Buka,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100063624851557714736"">Dot Lah Pis</a>'], 'photo_reference': 'AUGGfZkNpkEcrEKPjsbqBnrsqo9G23DrlGPOOYf30hfXtsq0GOM71iAvZu52v1hjB0aKLNQGrLgHgllJmhpjkE3IUTHe197Sae8wTEWvG4Y2FtIr7GqnSPc-LYZPIrKs4_nGbzObFxGpt3HTh_mh6j0GyuhRiSjlJl-oB4ApdGylz2xHKVSt', 'width': 3264}]",ChIJd-1vKwAF0i0R1DLNntYvsew,4.0,ChIJd-1vKwAF0i0R1DLNntYvsew,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJd-1vKwAF0i0R1DLNntYvsew
OPERATIONAL,"HHQQ+836, Jalan Raya Abang Desa Adat Jl. Raya Tirta Gangga, Ababi, Kec. Abang, Kabupaten Karangasem, Bali 80852, Indonesia","{'location': {'lat': -8.4123473, 'lng': 115.5872919}, 'viewport': {'northeast': {'lat': -8.41083457010728, 'lng': 115.5890095798927}, 'southwest': {'lat': -8.413534229892724, 'lng': 115.5863099201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tirta Gangga,"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118165088759396479176"">Abo William</a>'], 'photo_reference': 'AUGGfZmTQkvKvJKuu7sbWm-CkTWfZI7tTAgOLxHKCu-D1g5-l2x0HnIyLDGkJB_JocZxv_fm4EyCSLaycAmWhuKCv2FUNyQOiv5iRLnS7hE5T7fL_YrvT1hJsLQkxbQXKzn81HBqij7aqCemU6Z63sbjqpMtQQthvqh8fwEf3V-DFBgE-Of9', 'width': 12000}]",ChIJ0Zo39DZH0i0R0acI0bADr2U,4.6,ChIJ0Zo39DZH0i0R0acI0bADr2U,"['tourist_attraction', 'point_of_interest', 'establishment']",18365,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJ0Zo39DZH0i0R0acI0bADr2U
OPERATIONAL,"HG6V+FC7, Jl. Kuncaragiri, Bebandem, Kec. Bebandem, Kabupaten Karangasem, Bali 80861, Indonesia","{'location': {'lat': -8.4388121, 'lng': 115.5430992}, 'viewport': {'northeast': {'lat': -8.437479120107279, 'lng': 115.5444594298927}, 'southwest': {'lat': -8.440178779892722, 'lng': 115.5417597701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GANTALAN INDAH (warung sibetan),,ChIJ-_z9FwAF0i0RXnHvFT5duh0,0.0,ChIJ-_z9FwAF0i0RXnHvFT5duh0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ-_z9FwAF0i0RXnHvFT5duh0
OPERATIONAL,"Ujung Water Palace, Tumbu, Karangasem, Karangasem Regency, Bali 80811, Indonesia","{'location': {'lat': -8.4630811, 'lng': 115.6306692}, 'viewport': {'northeast': {'lat': -8.461731270107279, 'lng': 115.6320190298927}, 'southwest': {'lat': -8.464430929892723, 'lng': 115.6293193701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Ujung,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107092538294258564936"">Sueta</a>'], 'photo_reference': 'AUGGfZmCMTYJwS9AIALDzI3_tYE8TXb8zcpvkNEKygBkzeGyPs26eCPXhDsoDgGsC3r5wXrNjRBH35AE3leWr6DWoT1RHpjsMXyDNO5tNlWUeZl8CK_cWY7ffwTu1gpatjjmXkdN7xGHVS6S9yIVSr6RTRzJnXAtz6RgVHWtrzO9aEnVN0e3', 'width': 4032}]",ChIJFZjn43YI0i0R8hFdqu2zmvw,4.6,ChIJFZjn43YI0i0R8hFdqu2zmvw,"['tourist_attraction', 'point_of_interest', 'establishment']",8774,{'open_now': False},"{'compound_code': 'GJPJ+Q7 Tumbu, Karangasem Regency, Bali, Indonesia', 'global_code': '6P3QGJPJ+Q7'}",https://www.google.com/maps/place/?q=place_id:ChIJFZjn43YI0i0R8hFdqu2zmvw
OPERATIONAL,"HG6R+4R6, Jl. Kuncaragiri, Jungutan, Kec. Bebandem, Kabupaten Karangasem, Bali 80861, Indonesia","{'location': {'lat': -8.4384669, 'lng': 115.5426459}, 'viewport': {'northeast': {'lat': -8.437364170107276, 'lng': 115.5441438298927}, 'southwest': {'lat': -8.44006382989272, 'lng': 115.5414441701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gantalan poin,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102043315598761769012"">gusdek at</a>'], 'photo_reference': 'AUGGfZm0RKu0z107b2cfAfSw4sHSFOLU4tUg4MQF3FJHPcnyt4sP9uqRw2RBY-m6WBZL2Rqoe4iyy4uf8YSLit3a-xxDsz6Ge2-zeUQvqShoIIBE6QvJZnF5nodqLiKA5S0-JmrAbV721gQT-udXH4cH4CclHnk828wvOjDLrWD5MooA9DWw', 'width': 4000}]",ChIJswZom3UF0i0RHfS3DJ6gH5Y,5.0,ChIJswZom3UF0i0RHfS3DJ6gH5Y,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJswZom3UF0i0RHfS3DJ6gH5Y
OPERATIONAL,"HG8H+CRH, Jl. Abiantihing Kelod, Jungutan, Kec. Bebandem, Kabupaten Karangasem, Bali 80861, Indonesia","{'location': {'lat': -8.43395, 'lng': 115.529026}, 'viewport': {'northeast': {'lat': -8.432650320107278, 'lng': 115.5304407798927}, 'southwest': {'lat': -8.435349979892722, 'lng': 115.5277411201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,View Point on Rice Field,,ChIJw96EUQAF0i0RLQcIR_gdKDU,0.0,ChIJw96EUQAF0i0RLQcIR_gdKDU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJw96EUQAF0i0RLQcIR_gdKDU
OPERATIONAL,"Jungutan, Bebandem, Karangasem Regency, Bali 80861, Indonesia","{'location': {'lat': -8.4077327, 'lng': 115.5192155}, 'viewport': {'northeast': {'lat': -8.40638287010728, 'lng': 115.5205653298927}, 'southwest': {'lat': -8.409082529892723, 'lng': 115.5178656701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit cemara,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108383559372831785428"">windukajus</a>'], 'photo_reference': 'AUGGfZmdVdXKNmkqIONZnXCKo5p3l0zHNbLTct7N5G3lzmiMEytNUPbvhh-GvLU50Hl9RQlY66MJJkvPoZkSUh9DrFdVvforUuUPjKit8un-HGnWOgwUpmM3Y0gZkx8PLuxf7cpusShcRyhefrmXtJfXQwV3MjMWfPWGMNpxEYoJTx5LcPlv', 'width': 3725}]",ChIJ33FnOPUE0i0R9iT1iLYp45M,4.6,ChIJ33FnOPUE0i0R9iT1iLYp45M,"['tourist_attraction', 'point_of_interest', 'establishment']",97,{'open_now': True},"{'compound_code': 'HGR9+WM Jungutan, Karangasem Regency, Bali, Indonesia', 'global_code': '6P3QHGR9+WM'}",https://www.google.com/maps/place/?q=place_id:ChIJ33FnOPUE0i0R9iT1iLYp45M
OPERATIONAL,"JHP2+C2F Banjar Dinas Poh, Budakeling, Kec. Bebandem, Kabupaten Karangasem, Bali, Indonesia","{'location': {'lat': -8.363938899999999, 'lng': 115.5500527}, 'viewport': {'northeast': {'lat': -8.362589070107274, 'lng': 115.5514025298928}, 'southwest': {'lat': -8.365288729892718, 'lng': 115.5487028701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Posko Konservasi Lebah Madu Sari,,ChIJt6inSQAD0i0RTlS8KaOFeG8,0.0,ChIJt6inSQAD0i0RTlS8KaOFeG8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJt6inSQAD0i0RTlS8KaOFeG8
OPERATIONAL,"JG85+VR3, Jungutan, Bebandem, Karangasem Regency, Bali 80861, Indonesia","{'location': {'lat': -8.3828708, 'lng': 115.5095472}, 'viewport': {'northeast': {'lat': -8.381522070107277, 'lng': 115.5107316298928}, 'southwest': {'lat': -8.38422172989272, 'lng': 115.5080319701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embung Pasar Agung,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100842641120828589388"">Pande Agustiana Putra</a>'], 'photo_reference': 'AUGGfZkxWmNHFdzRcnE4obPMn83VY8JXywchlO8S9WtJzWgeW_pEy9Hdyag5euWNV0gxGuzTbPGhhG_zMTzsudcD5LEZfwubiWKAtuNyChmcQWqr1BKsV8il95mdx-PNq_6n0ha9sh4Bu7Q7p6tkWXffa1P5iI4R23A65vfCFc1jSJ0_uo55', 'width': 6000}]",ChIJeeuVFy0D0i0RFBlLQRKqo7U,4.9,ChIJeeuVFy0D0i0RFBlLQRKqo7U,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,,https://www.google.com/maps/place/?q=place_id:ChIJeeuVFy0D0i0RFBlLQRKqo7U
OPERATIONAL,"HG9G+3M7, Jl. Ceroring Jl. Telaga Tista, Jungutan, Kec. Bebandem, Kabupaten Karangasem, Bali 80861, Indonesia","{'location': {'lat': -8.432335199999999, 'lng': 115.526682}, 'viewport': {'northeast': {'lat': -8.43066537010728, 'lng': 115.5297363}, 'southwest': {'lat': -8.433365029892723, 'lng': 115.5256639}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Beji Ceroring,,ChIJrasr4KAF0i0RScMbq3JvNS4,5.0,ChIJrasr4KAF0i0RScMbq3JvNS4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJrasr4KAF0i0RScMbq3JvNS4
