business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"FCRG+XF3, Jalan Raya Satria Sidemen Banjar Kebon Desa Sukahet, Lokasari, Kec. Sidemen, Kabupaten Karangasem, Bali 80864, Indonesia","{'location': {'lat': -8.505544, 'lng': 115.425761}, 'viewport': {'northeast': {'lat': -8.50434647010728, 'lng': 115.4272867298927}, 'southwest': {'lat': -8.507046129892723, 'lng': 115.4245870701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bali Countryside Sidemen,{'open_now': False},"[{'height': 861, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102449173655142242041"">A Google User</a>'], 'photo_reference': 'AUGGfZlvBKXz-0AcoJ8hrWB09wMgEe7S-BN4LNxwbSSfzpbwFzRSaIFWZ9dQdjlMWt2BlpBG_dpVFE4PEheUDS0BQOjfq7SCnmM4hg6xhdPemeSUt4qwAg0TYImWjCX2vIu1pRqmZKbhMnBqsP2iMEujN1fiSh_eIM9119jmfVMj0KiTez4e', 'width': 1300}]",ChIJaedTdPgQ0i0RmPj2rgggOmw,4.4,ChIJaedTdPgQ0i0RmPj2rgggOmw,"['tourist_attraction', 'point_of_interest', 'establishment']",212,,,https://www.google.com/maps/place/?q=place_id:ChIJaedTdPgQ0i0RmPj2rgggOmw
OPERATIONAL,"GCMW+HR9, Jl. Sidemen Jl. Raya Tebola, Banjar Budamanis, Sidemen, Kec. Sidemen, Kabupaten Karangasem, Bali 80864, Indonesia","{'location': {'lat': -8.4660771, 'lng': 115.4470959}, 'viewport': {'northeast': {'lat': -8.464689170107278, 'lng': 115.4483649298927}, 'southwest': {'lat': -8.467388829892721, 'lng': 115.4456652701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sidemen Trekking Adventures,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114798264694463593415"">Mandy Shade</a>'], 'photo_reference': 'AUGGfZnZG_IX7RG0aOp6EAu964b0iJ3iRDd2_qIm_3M87Cd7IN1OBG7SAB5R_wwpQ8goR6HkSfRQdSZHpjYn7O_VegaV0nMb1xEA2isuPG7pLr7mRcM0xynDWTL63MYoyxYTfW_KParkqz0jGdLXrCVsKJbgzsT6o5mdPjcOiFjBxY-GkzmM', 'width': 3024}]",ChIJIwQqEwAb0i0R_uyT_roFj0M,5.0,ChIJIwQqEwAb0i0R_uyT_roFj0M,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJIwQqEwAb0i0R_uyT_roFj0M
OPERATIONAL,"Unnamed Road, Tri Eka Buana, Kec. Sidemen, Kabupaten Karangasem, Bali 80864, Indonesia","{'location': {'lat': -8.4926826, 'lng': 115.460857}, 'viewport': {'northeast': {'lat': -8.49135802010728, 'lng': 115.4621670298928}, 'southwest': {'lat': -8.494057679892723, 'lng': 115.4594673701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gembleng Waterfall,{'open_now': False},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106136082619610139243"">A Google User</a>'], 'photo_reference': 'AUGGfZnhyE78psPeXmhgAZoU44YLgaQXrzT0SHMasO44VNnG2knMvcpuQVCQOqgBMYSxqY1fDnIMOo5IUMiMLeATyUVle7Qm-slIU8W0Bx5i5sNhmc0l5qg8l2A5ZPYA_wNPEv7YM3oYG6lAKUhukW7rsNx0uZS08CwSNnVR8taTET3oAv1I', 'width': 3072}]",ChIJf30I3WER0i0RIXTOmfe8O-E,4.7,ChIJf30I3WER0i0RIXTOmfe8O-E,"['tourist_attraction', 'point_of_interest', 'establishment']",957,"{'compound_code': 'GF46+W8 Tri Eka Buana, Karangasem Regency, Bali, Indonesia', 'global_code': '6P3QGF46+W8'}",,https://www.google.com/maps/place/?q=place_id:ChIJf30I3WER0i0RIXTOmfe8O-E
OPERATIONAL,"GCRW+27X, Tukad Yeh Unda, Sidemen, Karangasem, Kabupaten Karangasem, Bali 80864, Indonesia","{'location': {'lat': -8.4598924, 'lng': 115.4457336}, 'viewport': {'northeast': {'lat': -8.458539820107278, 'lng': 115.4471189298927}, 'southwest': {'lat': -8.461239479892722, 'lng': 115.4444192701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan Kuning Tukad Yeh Unda,{'open_now': True},"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106814708146351797330"">glogloman</a>'], 'photo_reference': 'AUGGfZnwR5rYYTi3BOycdzLj9QqKIUDvWB-uz1T61wctUUOnoX1F7QGYdtD6eb45XKJM7Fk0blVKN4jOVWTuXaeGLB4FCfckTcbUYStLiy7oiEBALpD1ksyvMRKQh_wHmOMfcxYyupQKsc5ZKu8gPN9sD-7ler3kWl5TbYVICdHe2lRSLT18', 'width': 5120}]",ChIJGzd44pYa0i0RiWiwaGvmad4,4.3,ChIJGzd44pYa0i0RiWiwaGvmad4,"['tourist_attraction', 'point_of_interest', 'establishment']",202,,,https://www.google.com/maps/place/?q=place_id:ChIJGzd44pYa0i0RiWiwaGvmad4
OPERATIONAL,"Banjar Dinas Dukuh, Sangkan Gn., Kec. Sidemen, Kabupaten Karangasem, Bali 80864, Indonesia","{'location': {'lat': -8.460799399999999, 'lng': 115.4414361}, 'viewport': {'northeast': {'lat': -8.459410550000001, 'lng': 115.4427539298928}, 'southwest': {'lat': -8.464965950000002, 'lng': 115.4400542701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sidemen Trekking Selondingan Rice View,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108159826579463665678"">A Google User</a>'], 'photo_reference': 'AUGGfZmLPDahoFqt0GhTFo6hN-5XREQixaDSxmAdKHZ2SSLp416f9qmd5sh0I4DxpOvkhIKZGdQVrbNK0jw5HVS_NENcqK8S8Tv5bp9oQjW6o42kG_s_uBG34nT7IK-kBfVUwN-8d2vHwbEEDuegF4QxhvyojBx52YBs7CGwVUaiUsKsHdNi', 'width': 3120}]",ChIJRUK6fnMb0i0RigLHe4_8e7Y,5.0,ChIJRUK6fnMb0i0RigLHe4_8e7Y,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"{'compound_code': 'GCQR+MH Sangkan Gunung, Karangasem Regency, Bali, Indonesia', 'global_code': '6P3QGCQR+MH'}",,https://www.google.com/maps/place/?q=place_id:ChIJRUK6fnMb0i0RigLHe4_8e7Y
OPERATIONAL,"Telaga Tawang, Sidemen, Karangasem Regency, Bali 80864, Indonesia","{'location': {'lat': -8.4857385, 'lng': 115.4423424}, 'viewport': {'northeast': {'lat': -8.48442762010728, 'lng': 115.4437327298928}, 'southwest': {'lat': -8.487127279892723, 'lng': 115.4410330701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sidemen Bali Swing,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102953302853451877826"">laura.heim81</a>'], 'photo_reference': 'AUGGfZmBjo-8x0hD-O1hwF-uqCUWr3zGQye-RFaYNJm6THAKI5gb2g5JodSj06Ku_ejiWC07r5x76Z6DTTWwAep02Y2GP-vhN2JO6SSoysk-CgaAPjcAJARO-80Rhlvo2ARdN_N64Te71jNVWEv2qbCcnIqkgvBYJYl2rqOE_O92VkCXzQDF', 'width': 4032}]",ChIJpVarJToR0i0R8HpgYpOVqL4,4.8,ChIJpVarJToR0i0R8HpgYpOVqL4,"['tourist_attraction', 'point_of_interest', 'establishment']",33,"{'compound_code': 'GC7R+PW Telaga Tawang, Karangasem Regency, Bali, Indonesia', 'global_code': '6P3QGC7R+PW'}",,https://www.google.com/maps/place/?q=place_id:ChIJpVarJToR0i0R8HpgYpOVqL4
OPERATIONAL,"Jalan Raya Dukuh Ogang, Sangkan Gn., Kec. Sidemen, Kabupaten Karangasem, Bali 80864, Indonesia","{'location': {'lat': -8.4576909, 'lng': 115.4396555}, 'viewport': {'northeast': {'lat': -8.456299920107279, 'lng': 115.4410143798927}, 'southwest': {'lat': -8.458999579892723, 'lng': 115.4383147201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sidemen trekking by Darya,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104940223609559942407"">A Google User</a>'], 'photo_reference': 'AUGGfZl4SC-mLiwGvAYNQcSidg24K7pNMyE9VmGtrm6bdKcTsq92_lQ5wrHRg_zLfvStr2y_-HFwjBQL-AFBX2EhAzNRVaVOtbmLbQRWCXlyKlSNx5juiHDHcgQDMd3FnnH2rkDOr5Y8W5vuFF0RlFFOSA3TVTe2iwh30t0N5eIDaW3CN74', 'width': 4160}]",ChIJieWyuj4b0i0Rex3u15Y39PU,5.0,ChIJieWyuj4b0i0Rex3u15Y39PU,"['tourist_attraction', 'point_of_interest', 'establishment']",8,"{'compound_code': 'GCRQ+WV Sangkan Gunung, Karangasem Regency, Bali, Indonesia', 'global_code': '6P3QGCRQ+WV'}",,https://www.google.com/maps/place/?q=place_id:ChIJieWyuj4b0i0Rex3u15Y39PU
OPERATIONAL,"GFX8+VHQ, Jl. Raya Selat, Sindu Wati, Kec. Sidemen, Kabupaten Karangasem, Bali 80862, Indonesia","{'location': {'lat': -8.4502876, 'lng': 115.4664923}, 'viewport': {'northeast': {'lat': -8.448920070107278, 'lng': 115.4678247298927}, 'southwest': {'lat': -8.451619729892721, 'lng': 115.4651250701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sidemen beautiful view,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105129883496546000558"">A Google User</a>'], 'photo_reference': 'AUGGfZlKW1bCLsrtPh8DHB8zSz5BuKbv2gxx0GzjaREKwGxUBjFSHc11y7gPdGl-6-cpv1ehsDi0kQvSd4jzkeNQuIbrh1mNbo5msFxNBLxOVXav7HAU9Vztbg-M2U-pzDS_d34gNdgdk2nYw40D7kM2ECOocP12vrth9rOgAT3atodrx7zd', 'width': 3786}]",ChIJEyYMUesb0i0R5tpjGtF8YvE,4.8,ChIJEyYMUesb0i0R5tpjGtF8YvE,"['tourist_attraction', 'point_of_interest', 'establishment']",39,,,https://www.google.com/maps/place/?q=place_id:ChIJEyYMUesb0i0R5tpjGtF8YvE
OPERATIONAL,"GCJQ+QHF, Jl. Sidemen - Sangkan Gn., Sangkan Gn., Kec. Sidemen, Kabupaten Karangasem, Bali 80864, Indonesia","{'location': {'lat': -8.468058, 'lng': 115.4389068}, 'viewport': {'northeast': {'lat': -8.466739570107276, 'lng': 115.4402542298928}, 'southwest': {'lat': -8.46943922989272, 'lng': 115.4375545701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sidemen Bridge,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105790152412662962142"">A Google User</a>'], 'photo_reference': 'AUGGfZlrEh-vmqOyM8xLaXC5H17coqT8qkagQEjVSkoffTRZbk2BEApk1_Zb2V7sFj8N85pw4ELuUzWvK3t3OL17rk798mpCkwz6ZHSwRIGqsxk-ZORlPY-vvubCukl-hGGnCPPo3Rhje2WxeyAtWFtpOD2yQ-944tSUYZ-IINw1rQT8awxf', 'width': 3024}]",ChIJhSNLarIb0i0REM0ke4MeA0o,4.0,ChIJhSNLarIb0i0REM0ke4MeA0o,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJhSNLarIb0i0REM0ke4MeA0o
OPERATIONAL,"GC7R+92 Pos, 1, Telaga Tawang, Kec. Sidemen, Kabupaten Karangasem, Bali, Indonesia","{'location': {'lat': -8.4869463, 'lng': 115.4402345}, 'viewport': {'northeast': {'lat': -8.485915820107277, 'lng': 115.4421753798927}, 'southwest': {'lat': -8.48861547989272, 'lng': 115.4394757201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sidemen camp,{'open_now': True},,ChIJmbm4JwAR0i0RYD6zC2AQS8Q,0.0,ChIJmbm4JwAR0i0RYD6zC2AQS8Q,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJmbm4JwAR0i0RYD6zC2AQS8Q
