business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
CLOSED_TEMPORARILY,"4488+89, North Kelarik, Bunguran Utara, Natuna Regency, Riau Islands, Indonesia","{'location': {'lat': 4.1158285, 'lng': 108.1159605}, 'viewport': {'northeast': {'lat': 4.116756279892722, 'lng': 108.1174498798927}, 'southwest': {'lat': 4.114056620107278, 'lng': 108.1147502201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai,True,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106496792807479602051"">ahmad bukhari</a>'], 'photo_reference': 'AUGGfZld7RZ5zXMyky4pI266g7n6sEcxhYZUSRQIZ8cJsGUOYJQymcUwk23QGIT0ey2BBl2F8nAAIYCOVRbFedxSeIM1F8quQSx76PkU8-s80iF3EzGlTzclDvckWIZ5VoBhUXTBHxEXzOb1siA-BfWitsdMNCzduhLcIahX9a9sQV0rTpXb', 'width': 1280}]",ChIJ-0AKnId_7DERqvOBDi0x4XM,0.0,ChIJ-0AKnId_7DERqvOBDi0x4XM,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ-0AKnId_7DERqvOBDi0x4XM
OPERATIONAL,"X4VJ+RCR, Belakang Gunung, Bunguran Utara, Natuna Regency, Riau Islands, Indonesia","{'location': {'lat': 3.9946099, 'lng': 108.1310083}, 'viewport': {'northeast': {'lat': 3.995959729892721, 'lng': 108.1323581298927}, 'southwest': {'lat': 3.993260070107277, 'lng': 108.1296584701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot mancing,,,ChIJnRFhBQB37DER5qemDcr17-E,0.0,ChIJnRFhBQB37DER5qemDcr17-E,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJnRFhBQB37DER5qemDcr17-E
OPERATIONAL,"X4VJ+RC6, Belakang Gunung, Bunguran Utara, Natuna Regency, Riau Islands, Indonesia","{'location': {'lat': 3.994530599999999, 'lng': 108.1310051}, 'viewport': {'northeast': {'lat': 3.995880429892721, 'lng': 108.1323549298927}, 'southwest': {'lat': 3.993180770107277, 'lng': 108.1296552701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Milik Indonesia,,,ChIJQeUlCQB37DERWSUujs6fxyY,4.0,ChIJQeUlCQB37DERWSUujs6fxyY,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,,,https://www.google.com/maps/place/?q=place_id:ChIJQeUlCQB37DERWSUujs6fxyY
OPERATIONAL,"45H2+G8J, North Kelarik, Bunguran Utara, Natuna Regency, Riau Islands, Indonesia","{'location': {'lat': 4.128841299999999, 'lng': 108.1507585}, 'viewport': {'northeast': {'lat': 4.130191129892721, 'lng': 108.1521083298927}, 'southwest': {'lat': 4.127491470107278, 'lng': 108.1494086701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Setekan,,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115770014483557775185"">Dina Mila Prasasti</a>'], 'photo_reference': 'AUGGfZnekZMDrXaEJF0JPzScaRzwXNmr9KqPN9wKcJL2Brwe2NS7XPCh-2_D5UNHPbY-Jr-9jZ2uURmksiXa68HYNv32sueWBIQsDHpwORk2PCfVp1HqYx-tgrNVtaWFfmdZYhpndni983uImuQxPgPQVmwyA3ouj3vxZzbNJu-0Vq87HN0j', 'width': 1024}]",ChIJx6DpsCV87DERGGFJbWE-DDs,4.4,ChIJx6DpsCV87DERGGFJbWE-DDs,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",13.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJx6DpsCV87DERGGFJbWE-DDs
OPERATIONAL,"569H+3WP, Pengadah, Bunguran Timur Laut, Natuna Regency, Riau Islands, Indonesia","{'location': {'lat': 4.1677127, 'lng': 108.2298297}, 'viewport': {'northeast': {'lat': 4.169062529892722, 'lng': 108.2311795298927}, 'southwest': {'lat': 4.166362870107278, 'lng': 108.2284798701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Geosite Gua Kamak,,,ChIJveLZCqZ97DERq49Y3pBd1sc,5.0,ChIJveLZCqZ97DERq49Y3pBd1sc,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJveLZCqZ97DERq49Y3pBd1sc
OPERATIONAL,"XXJV+PP8, Unnamed Road, Kelarik, Kec. Bunguran Utara, Kabupaten Natuna, Kepulauan Riau 29783, Indonesia","{'location': {'lat': 3.9817939, 'lng': 107.9943328}, 'viewport': {'northeast': {'lat': 3.983702429892721, 'lng': 107.9953645298927}, 'southwest': {'lat': 3.981002770107278, 'lng': 107.9926648701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Pasir Panjang,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110340743609215500778"">sigit surya</a>'], 'photo_reference': 'AUGGfZm1ZKAEZhlhOinJzvxnmthP4HabQHwr9z8JnLDjInAR383BzEjaVx5H9JcTPwMAhQI_q_7zxYk2xFSx7cNPBkDO_nldNk-67kInMRcc2SolPV0xBw49gN3GI9ZJLvSKTIM5KE8XXDbh2VyUTKqBgcifMyrQ3ObTMa8W6oArcEAOlv0i', 'width': 4000}]",ChIJZy7UY52J6zERSSH0dsoYn5Q,0.0,ChIJZy7UY52J6zERSSH0dsoYn5Q,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJZy7UY52J6zERSSH0dsoYn5Q
OPERATIONAL,"WWVX+5HV, Kelarik, Bunguran Utara, Natuna Regency, Riau Islands, Indonesia","{'location': {'lat': 3.9429945, 'lng': 107.9489166}, 'viewport': {'northeast': {'lat': 3.944344329892723, 'lng': 107.9502664298927}, 'southwest': {'lat': 3.941644670107279, 'lng': 107.9475667701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Batu Bilis Natuna,,,ChIJKW-mt12N6zERrqmn63RDbZ4,5.0,ChIJKW-mt12N6zERrqmn63RDbZ4,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,https://www.google.com/maps/place/?q=place_id:ChIJKW-mt12N6zERrqmn63RDbZ4
OPERATIONAL,"Kelarik Air Mali, Bunguran Utara, Natuna Regency, Riau Islands, Indonesia","{'location': {'lat': 4.00777, 'lng': 107.9824224}, 'viewport': {'northeast': {'lat': 4.009310879892721, 'lng': 107.9837560798927}, 'southwest': {'lat': 4.006611220107277, 'lng': 107.9810564201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Meriam Bersejarah Orang Kaya Dana Mahkota,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100037905240968800595"">bagus candra</a>'], 'photo_reference': 'AUGGfZkRdDgl31uLFVoz8LNxhVLLU3mhP187y3-FNkF14NcSh0y-q-5p-nhQBBO76vio-VK8ZEMVl_MGiqfmrey7eUNmkYShohuVGPnB2Hwsz-34oy_FboHtQ_tYC-XuJwaSKXwPeIE_kmxESUJcka-szQ2dfXRclSgufguxOjTDmdH1Vqec', 'width': 4000}]",ChIJz8wT9C6J6zER8VBRVVqKd6E,5.0,ChIJz8wT9C6J6zER8VBRVVqKd6E,"['museum', 'point_of_interest', 'establishment']",1.0,{'open_now': False},"{'compound_code': '2X5J+4X Kelarik Air Mali, Natuna Regency, Riau Islands, Indonesia', 'global_code': '6PP92X5J+4X'}",https://www.google.com/maps/place/?q=place_id:ChIJz8wT9C6J6zER8VBRVVqKd6E
OPERATIONAL,"R4M3+X4C, Sedarat Baru, West Bunguran, Natuna Regency, Riau Islands 29782, Indonesia","{'location': {'lat': 3.8349712, 'lng': 108.1028192}, 'viewport': {'northeast': {'lat': 3.836332079892721, 'lng': 108.1041427298927}, 'southwest': {'lat': 3.833632420107277, 'lng': 108.1014430701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pelabuhan zip,,,ChIJY9OMfAAL7DER0JszPif9hCc,0.0,ChIJY9OMfAAL7DER0JszPif9hCc,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJY9OMfAAL7DER0JszPif9hCc
OPERATIONAL,"27XF+W8G, Kelanga, Bunguran Timur Laut, Natuna Regency, Riau Islands, Indonesia","{'location': {'lat': 4.0498049, 'lng': 108.273341}, 'viewport': {'northeast': {'lat': 4.051154729892723, 'lng': 108.2746908298927}, 'southwest': {'lat': 4.048455070107279, 'lng': 108.2719911701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Spot foto,,,ChIJ4b5segBl7DERK_LaxXr0aIM,0.0,ChIJ4b5segBl7DERK_LaxXr0aIM,"['park', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ4b5segBl7DERK_LaxXr0aIM
