business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,permanently_closed,url
OPERATIONAL,"Buayan Barat, Buayan, Kebumen Regency, Central Java 54474, Indonesia","{'location': {'lat': -7.6864228, 'lng': 109.4853463}, 'viewport': {'northeast': {'lat': -7.685158020107278, 'lng': 109.4867309298927}, 'southwest': {'lat': -7.687857679892722, 'lng': 109.4840312701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Langen Ujung,"[{'height': 1468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107465670600420395148"">A Google User</a>'], 'photo_reference': 'AUGGfZnVTot0IROFoJ3Bx6dlCHcXJ_c3GAjMzVn5EAnKGZLUVmiIpkx82jI5MWfzk-9zAUr4mKE-CCTpOeOfZyj2dG93lDbHdAp2DIlPnVNvwEW78QpfmiXJuvHv6FM0griCHdTiFpGxPqV8cmfVa7ogq6Ks-ERAjAxtmGpperti0OjsMe1i', 'width': 3264}]",ChIJFYQwfuU1ZS4RwbfEi9tiPgg,"{'compound_code': '8F7P+C4 Buayan, Kebumen Regency, Central Java, Indonesia', 'global_code': '6P4F8F7P+C4'}",4.4,ChIJFYQwfuU1ZS4RwbfEi9tiPgg,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",546,,,https://www.google.com/maps/place/?q=place_id:ChIJFYQwfuU1ZS4RwbfEi9tiPgg
OPERATIONAL,"8F48+FC5, Jabrang, Pakuran, Kec. Buayan, Kabupaten Kebumen, Jawa Tengah 54474, Indonesia","{'location': {'lat': -7.693853499999999, 'lng': 109.4661041}, 'viewport': {'northeast': {'lat': -7.692436420107277, 'lng': 109.4671016298927}, 'southwest': {'lat': -7.695136079892721, 'lng': 109.4644019701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Goa Semar,,ChIJa9qtGrA3ZS4RKtJLMfH7dpg,,5.0,ChIJa9qtGrA3ZS4RKtJLMfH7dpg,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJa9qtGrA3ZS4RKtJLMfH7dpg
OPERATIONAL,"6FQ5+FGG, Jl. Sagara View, of, Karangbolong, Buayan, Kebumen Regency, Central Java, Indonesia","{'location': {'lat': -7.761309399999999, 'lng': 109.4588152}, 'viewport': {'northeast': {'lat': -7.759955720107278, 'lng': 109.4601921798927}, 'southwest': {'lat': -7.762655379892721, 'lng': 109.4574925201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjakan Terakhir Sagara View of Karangbolong,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116451698872866952272"">A Google User</a>'], 'photo_reference': 'AUGGfZkQNkZ3ctSGCsrEr9PgRxIN9uxiphFD96L5MX8WitByO95c8PZY150P0cVbNOf9e1fEZA8SursdihIYMonWFsuWTAbPyhzWsV8lyoteMpp5yBNxn57AMblQnRFAtaOzs851d7R2Gb6fzRQHTG7Or2mR0HvtvIUscA-KJmjUvt9utjk9', 'width': 2560}]",ChIJD0WAQwAxZS4RfToZWlBkWU0,,5.0,ChIJD0WAQwAxZS4RfToZWlBkWU0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJD0WAQwAxZS4RfToZWlBkWU0
OPERATIONAL,"8F7P+C45, Buayan Barat, Buayan, Kec. Buayan, Kabupaten Kebumen, Jawa Tengah 54474, Indonesia","{'location': {'lat': -7.6864826, 'lng': 109.4853744}, 'viewport': {'northeast': {'lat': -7.685187920107279, 'lng': 109.4867449798927}, 'southwest': {'lat': -7.687887579892723, 'lng': 109.4840453201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Langan lujung,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109567953874515942697"">A Google User</a>'], 'photo_reference': 'AUGGfZl5TghFYA2yRAYAesWDI79oS5fwx4IrJMZ01A2tAsxYtDCQbwmFZ_nFCOaEzYDYFiI_LWp6zjRis5mWUvEA1UrD7epRxeoUp6rvPsEGQDx17-a-PmAdyih2u0RnaJQvw-zJjWf8NMAv4Yhci_A_ieujgT-Hv2NtdAT4Gps741UV3fHc', 'width': 4032}]",ChIJTU_lER41ZS4R4yWjxjwyN5c,,4.5,ChIJTU_lER41ZS4R4yWjxjwyN5c,"['tourist_attraction', 'point_of_interest', 'establishment']",55,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJTU_lER41ZS4R4yWjxjwyN5c
OPERATIONAL,"9FHF+6G, Area Sawah, Nogoraji, Kec. Buayan, Kabupaten Kebumen, Jawa Tengah 54474, Indonesia","{'location': {'lat': -7.621988, 'lng': 109.4738436}, 'viewport': {'northeast': {'lat': -7.620577720107278, 'lng': 109.4751927798927}, 'southwest': {'lat': -7.623277379892722, 'lng': 109.4724931201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gua kidang,"[{'height': 412, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104807012269887075289"">A Google User</a>'], 'photo_reference': 'AUGGfZl7RshgZb-62f85uwaGMjPRURuBz2ZB6jV36AafMtU3jtUZ1ptSuhfXf0a6Z6gn6aQcP53vVKlRrMJjseNZLN5839FZeCP1is57PHgonr-rr6rpCkcOgbMeLZdTzoiuNrNy41pvqGD4lmdCeYGZhayUs-kfiUe7SWKbtculQi3F9aCF', 'width': 707}]",ChIJA_0HnP5LZS4RqJ_9pI0NZUQ,,4.4,ChIJA_0HnP5LZS4RqJ_9pI0NZUQ,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,https://www.google.com/maps/place/?q=place_id:ChIJA_0HnP5LZS4RqJ_9pI0NZUQ
OPERATIONAL,"6FR8+QQV, Jl. Pantai Karangbolong, Karangtengah, Karangbolong, Kec. Buayan, Kabupaten Kebumen, Jawa Tengah 54474, Indonesia","{'location': {'lat': -7.7576917, 'lng': 109.4681976}, 'viewport': {'northeast': {'lat': -7.756487370107276, 'lng': 109.4693601798927}, 'southwest': {'lat': -7.75918702989272, 'lng': 109.4666605201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Goa Karang Bolong,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113835652995759475802"">Fajar Wahyudi</a>'], 'photo_reference': 'AUGGfZnnsnStqXU-j7bbHYMq_l9VPSp1eYQtCFAt5dKbrAV8hXFNTVzk2nUYg5g1QORCMXcohRPOrdNUbO8GDiiSwVeGsW7eFGqBLlWGdBhl7cWzBnAtJK-KZWf05zjPN-BBoS155gE7MeVrACVKrFT8DMzMoGtA9hPG2UMM9xTwAFF6DAM', 'width': 3024}]",ChIJHfeF7MUxZS4RDahXuB8cSgI,,5.0,ChIJHfeF7MUxZS4RDahXuB8cSgI,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJHfeF7MUxZS4RDahXuB8cSgI
OPERATIONAL,"8FVH+877, Karangkamal, Sikayu, Kec. Buayan, Kabupaten Kebumen, Jawa Tengah 54474, Indonesia","{'location': {'lat': -7.6567194, 'lng': 109.4781714}, 'viewport': {'northeast': {'lat': -7.655547020107279, 'lng': 109.4800040798927}, 'southwest': {'lat': -7.658246679892723, 'lng': 109.4773044201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Bancor Adventure,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104112692994685184090"">masdain trizeronine</a>'], 'photo_reference': 'AUGGfZnvDqy2JsiXVSHuMpcGO9J43DGBDmnEtZ_0IVV89TkXF077A2orHdJXieIbYVRXouZOoSVi9Nx52LVKKdPlHTpK7pzX7Afo2diRdhseQa5iVwZoY46_wpUjtjrAO0GNJfP4q81pte4vUPsnhpV2r_cJXt0s52LSYvw0PKL-aCjLMJ0g', 'width': 1600}]",ChIJ5dwhwx5KZS4RsdfU6Zyj7hk,,3.7,ChIJ5dwhwx5KZS4RsdfU6Zyj7hk,"['tourist_attraction', 'point_of_interest', 'establishment']",11,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJ5dwhwx5KZS4RsdfU6Zyj7hk
OPERATIONAL,"8FRJ+F3H, Karangkamal, Sikayu, Kec. Buayan, Kabupaten Kebumen, Jawa Tengah 54474, Indonesia","{'location': {'lat': -7.6591045, 'lng': 109.480522}, 'viewport': {'northeast': {'lat': -7.657476320107277, 'lng': 109.4817990798927}, 'southwest': {'lat': -7.660175979892721, 'lng': 109.4790994201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mata air jumleng,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114071749780802608767"">A Google User</a>'], 'photo_reference': 'AUGGfZnYuvWDddd1dUi-5JNd2ZwaygGtnwDF5j0OHmyDQZ5aUdcPGbeDMsCoe-23kg8MIqRgCT7jfbbutrSZBhQqB9WsJmhB7ByQAvM0ElewNImDaX6l1u9MVA5XgHcBA2mWoAwjfS0nEYEcBwg4JchIznBx0crY_xQN9o8_HjNt5fdDMSsp', 'width': 3072}]",ChIJhfPeNgBLZS4RuY6AX6ouiFs,,0.0,ChIJhfPeNgBLZS4RuY6AX6ouiFs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJhfPeNgBLZS4RuY6AX6ouiFs
OPERATIONAL,"Desa RT. 04/02 Karangtengah, Karangtengah, Karangbolong, Kec. Buayan, Kabupaten Kebumen, Jawa Tengah 54474, Indonesia","{'location': {'lat': -7.760244299999998, 'lng': 109.4663854}, 'viewport': {'northeast': {'lat': -7.758912170107278, 'lng': 109.4676556298927}, 'southwest': {'lat': -7.761611829892722, 'lng': 109.4649559701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hill Nature Hud,"[{'height': 593, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111934594492335661587"">Rahmat Wibowo</a>'], 'photo_reference': 'AUGGfZkXk7_56kIJaFw_f2vDlIUUx2oRuzd8vhIxqrD_AOSdZVUtWeZrL82Tq-PRb8C05fD06321DKWSfv6JBW8WDbZnUdWBOaaom2Tz8ibfdIZte6PDmxUWPtozGrnowe9MmQ2yGgjpQ9KQsS90cYNkHfcUqaw-lHmvmtfBVzCp6uAYcEvd', 'width': 1062}]",ChIJP2IqZFIxZS4RFDsLGeMqU8A,"{'compound_code': '6FQ8+WH Karangbolong, Kebumen Regency, Central Java, Indonesia', 'global_code': '6P4F6FQ8+WH'}",4.4,ChIJP2IqZFIxZS4RFDsLGeMqU8A,"['tourist_attraction', 'point_of_interest', 'establishment']",656,,,https://www.google.com/maps/place/?q=place_id:ChIJP2IqZFIxZS4RFDsLGeMqU8A
OPERATIONAL,"8F48+3HR, Jabrang, Pakuran, Kec. Buayan, Kabupaten Kebumen, Jawa Tengah 54474, Indonesia","{'location': {'lat': -7.6947612, 'lng': 109.4663951}, 'viewport': {'northeast': {'lat': -7.693169570107278, 'lng': 109.4671824298927}, 'southwest': {'lat': -7.695869229892722, 'lng': 109.4644827701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Telaga Tando,"[{'height': 403, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113965158963468764999"">Andri anto</a>'], 'photo_reference': 'AUGGfZmj42SCNvU8jC2oHT8kFg60iRK_8PXyG_laobYhQZQxRzZvWjH5ErOml7pehTv4ja3U40Nef54I0Ttpc7v5QDtnkd7aXPvRRMYYIMATI6iVpm4YQ72V2cTay7qNoHY96XbPrrzCa5rxc7umnLWN_TJLRuHk5AWH2zCb9WFRd91rHlEF', 'width': 614}]",ChIJVVVVVQw2ZS4ROSPTnw6Q0JQ,,4.4,ChIJVVVVVQw2ZS4ROSPTnw6Q0JQ,"['tourist_attraction', 'point_of_interest', 'establishment']",71,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVQw2ZS4ROSPTnw6Q0JQ
