business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Kalikesek, Sriwulan, Limbangan, Kendal Regency, Central Java 51383, Indonesia","{'location': {'lat': -7.1529636, 'lng': 110.3068371}, 'viewport': {'northeast': {'lat': -7.151605270107279, 'lng': 110.3081751798927}, 'southwest': {'lat': -7.154304929892723, 'lng': 110.3054755201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ARENAN KALIKESEK,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113995435635175906855"">A Google User</a>'], 'photo_reference': 'AUGGfZn6E8dj4xXMAlKes7774DJPLzkfG8MH_L3IzN95K1rfLIAwW69ypoyYTlvLUdAWTVMbEuaVyb9S-yKXGVZgaD1axR12muyU2PwJOADz8HgF8931uSLpxAQkBRcANJB3PRqwvoYGFko9UniWM-iO2cARDMM0p_VhOtcGuTd_YVuvy-Y9', 'width': 4160}]",ChIJw7PHmFV9cC4RPJ0DW6Kr30Q,"{'compound_code': 'R8W4+RP Sriwulan, Kendal Regency, Central Java, Indonesia', 'global_code': '6P4GR8W4+RP'}",4.5,ChIJw7PHmFV9cC4RPJ0DW6Kr30Q,"['tourist_attraction', 'point_of_interest', 'establishment']",1582,,https://www.google.com/maps/place/?q=place_id:ChIJw7PHmFV9cC4RPJ0DW6Kr30Q
OPERATIONAL,"R855+J3M, Nambangan, Gondang, Kec. Limbangan, Kabupaten Kendal, Jawa Tengah 51383, Indonesia","{'location': {'lat': -7.190924399999999, 'lng': 110.307691}, 'viewport': {'northeast': {'lat': -7.189626770107277, 'lng': 110.3090266298927}, 'southwest': {'lat': -7.192326429892721, 'lng': 110.3063269701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,LEMBAH NIRWANA,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108777961316350487047"">ragga saputra</a>'], 'photo_reference': 'AUGGfZmlk6lFjmzuCPN0aKCWcj4eMSZzmEEX0Pr-JtF24Y_KfTRm37-WnbFucDSVNm-MVRbnO3XPwdbmmUx9eCeyzsbjH7j4SnXD7PTTTxtP2xCAbWJhsslwj9XZt6Ey-6nAsY6Gw_SmI9ZpPRxOd5sLuQoLhJfu5Bv5UwWXw-TLnRlElVdj', 'width': 4000}]",ChIJ01JImEN9cC4RJyW_WMbxdJE,,4.4,ChIJ01JImEN9cC4RJyW_WMbxdJE,"['tourist_attraction', 'point_of_interest', 'establishment']",1068,,https://www.google.com/maps/place/?q=place_id:ChIJ01JImEN9cC4RJyW_WMbxdJE
OPERATIONAL,"Jl. Sunan Katon No.99, Sekutis, Margosari, Kec. Limbangan, Kabupaten Kendal, Jawa Tengah 51383, Indonesia","{'location': {'lat': -7.138745399999999, 'lng': 110.3007399}, 'viewport': {'northeast': {'lat': -7.137357320107278, 'lng': 110.3020600298927}, 'southwest': {'lat': -7.140056979892722, 'lng': 110.2993603701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampoeng Djowo Sekatul,{'open_now': False},"[{'height': 478, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116622137116923592773"">A Google User</a>'], 'photo_reference': 'AUGGfZmn6dYCCR7i4vUET9VTWXNB1dD-y64Mc7T7bDUDMbSdzotCiFVwUxOuQTH7OHsOuCAvWjCfzPltxHXvVjvlWVh7oR0gI-JcVEJ1poa57fbfAV6S6YSiva6MNbvjUFsIerC5LqozfMGPLa5vf-BKh8m6qlXeMJsDnxWYCPnDjcvidtmI', 'width': 853}]",ChIJ7-lDI8licC4RGGrRTwpBzWM,"{'compound_code': 'V862+G7 Margosari, Kendal Regency, Central Java, Indonesia', 'global_code': '6P4GV862+G7'}",4.1,ChIJ7-lDI8licC4RGGrRTwpBzWM,"['tourist_attraction', 'point_of_interest', 'establishment']",1998,,https://www.google.com/maps/place/?q=place_id:ChIJ7-lDI8licC4RGGrRTwpBzWM
OPERATIONAL,"Gunungsari, Ngesrepbalong, Limbangan, Kendal Regency, Central Java 51383, Indonesia","{'location': {'lat': -7.1623747, 'lng': 110.3352997}, 'viewport': {'northeast': {'lat': -7.161498470107278, 'lng': 110.33678995}, 'southwest': {'lat': -7.164198129892722, 'lng': 110.33082895}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Lawe Secepit,{'open_now': False},"[{'height': 3716, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101496775799617694136"">A Google User</a>'], 'photo_reference': 'AUGGfZnbyQT27idMUMK1Dck4ASVTyzH2cY7YYMjyLEqJFa-37rydqF_VCITlQlet0U3ssbhXpP1Mdd-6C9HRIrCQpGCsQr0RgexsXW7uMbdNpeBpB5uUCj9WnAvpkUjF7THpVzAC_lZGlJgFw36uRc4HlslAcYrya5k36oDgc19StVZnJMEu', 'width': 5574}]",ChIJIwVstvuHcC4RL7SHBqUY1Tg,"{'compound_code': 'R8QP+34 Ngesrepbalong, Kendal Regency, Central Java, Indonesia', 'global_code': '6P4GR8QP+34'}",4.7,ChIJIwVstvuHcC4RL7SHBqUY1Tg,"['tourist_attraction', 'point_of_interest', 'establishment']",138,,https://www.google.com/maps/place/?q=place_id:ChIJIwVstvuHcC4RL7SHBqUY1Tg
OPERATIONAL,"R885+M9M, Area Hutan, Pakis, Kec. Limbangan, Kabupaten Kendal, Jawa Tengah 51383, Indonesia","{'location': {'lat': -7.183280900000001, 'lng': 110.3084183}, 'viewport': {'northeast': {'lat': -7.182502249999998, 'lng': 110.3094963298927}, 'southwest': {'lat': -7.185616849999999, 'lng': 110.3067966701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Citro Arum,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114462781991277781643"">dita adi suc</a>'], 'photo_reference': 'AUGGfZn0iCVgkQRCfb0w0075uWQ7031LiiPd34z4ZiDkeUrMFC1ygWxqMM9tUSImxXbDZRRxh4dPK2ba-lPbBZJI3En69gXQFVQbkSYc8Y7ocwfAti3_iGw__SwWd_TAUSUx3IbBke1CANVgFvwDDkocadCSyK2Bk4o40J_kluTJ4XCz8JuR', 'width': 4608}]",ChIJe6JbQnV9cC4RqwCHld6y7V8,,4.4,ChIJe6JbQnV9cC4RqwCHld6y7V8,"['tourist_attraction', 'point_of_interest', 'establishment']",79,,https://www.google.com/maps/place/?q=place_id:ChIJe6JbQnV9cC4RqwCHld6y7V8
OPERATIONAL,"R8V5+XFQ, Kalikesek, Sriwulan, Kec. Limbangan, Kabupaten Kendal, Jawa Tengah 51383, Indonesia","{'location': {'lat': -7.1550451, 'lng': 110.3087227}, 'viewport': {'northeast': {'lat': -7.153592720107278, 'lng': 110.3099709798927}, 'southwest': {'lat': -7.156292379892722, 'lng': 110.3072713201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata kalikesek,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116768254468945680270"">A Google User</a>'], 'photo_reference': 'AUGGfZnAqR5CrEWCefD3vNtpWz5EyYu-AJj3D4IfqmTRNiDikGocpgUswyC98NgaCtIkan44UdHICNE7yn9NhN3Wgz_NruHWJ-_QwsaekpBwR37JvuOTtWnTlP7zI2rulzNfCZGAgVC14TYVRP_4ujdb-YUCKGlje9ckB8ud7dXHHfe1cSqk', 'width': 3000}]",ChIJWZiaWgB9cC4RnafqxPu0_nU,,4.2,ChIJWZiaWgB9cC4RnafqxPu0_nU,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,https://www.google.com/maps/place/?q=place_id:ChIJWZiaWgB9cC4RnafqxPu0_nU
OPERATIONAL,"R7RR+QQ, Brujulan, Limbangan, Kec. Limbangan, Kabupaten Kendal, Jawa Tengah, Indonesia","{'location': {'lat': -7.1580625, 'lng': 110.2919375}, 'viewport': {'northeast': {'lat': -7.156847420107279, 'lng': 110.2931575298927}, 'southwest': {'lat': -7.159547079892723, 'lng': 110.2904578701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Watulanceng,,,ChIJhU4TwOt9cC4RebPQEMetArU,,0.0,ChIJhU4TwOt9cC4RebPQEMetArU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJhU4TwOt9cC4RebPQEMetArU
OPERATIONAL,"R8X8+7HP, Hutan, Ngesrepbalong, Kec. Limbangan, Kabupaten Kendal, Jawa Tengah, Indonesia","{'location': {'lat': -7.15179, 'lng': 110.3164596}, 'viewport': {'northeast': {'lat': -7.150417620107278, 'lng': 110.3179019798927}, 'southwest': {'lat': -7.153117279892721, 'lng': 110.3152023201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lembah Siratangi,{'open_now': True},,ChIJu6uRHgB9cC4Rayts84RfZ7E,,5.0,ChIJu6uRHgB9cC4Rayts84RfZ7E,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJu6uRHgB9cC4Rayts84RfZ7E
OPERATIONAL,"R75Q+P3X, Keseseh, Gondang, Kec. Limbangan, Kabupaten Kendal, Jawa Tengah 51383, Indonesia","{'location': {'lat': -7.190637499999999, 'lng': 110.2877344}, 'viewport': {'northeast': {'lat': -7.188961520107277, 'lng': 110.2893049298927}, 'southwest': {'lat': -7.191661179892721, 'lng': 110.2866052701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug PaleburGongso,{'open_now': False},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109781460120663655476"">Putra Slank</a>'], 'photo_reference': 'AUGGfZm6X5oel_CaXoq_Afr6Ol5uVx5huStL3Wt05S5T2_IEHVdR5JwMPoS3Jc4tvf7KzVHPsIhcySBJOqopyoSis4yoKFf5vP-j19fY4ExIBWB9vJ5bLdTjlRZ8_ySG3yydV2qtvgp8lyeD-FeGpJzPWDlQvyoLV5Qy8cUZtT72_QUvHdXd', 'width': 2432}]",ChIJ_bRK6J19cC4Rz0Ae83G5Wg0,,4.7,ChIJ_bRK6J19cC4Rz0Ae83G5Wg0,"['tourist_attraction', 'point_of_interest', 'establishment']",193,,https://www.google.com/maps/place/?q=place_id:ChIJ_bRK6J19cC4Rz0Ae83G5Wg0
OPERATIONAL,"R7FP+W7H Angkringan Pinggir Kali, Krajan, Pakis, Kec. Limbangan, Kabupaten Kendal, Jawa Tengah, Indonesia","{'location': {'lat': -7.175245599999999, 'lng': 110.2859318}, 'viewport': {'northeast': {'lat': -7.173881070107278, 'lng': 110.2873324798927}, 'southwest': {'lat': -7.176580729892722, 'lng': 110.2846328201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The For'Rest,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116764239579481046359"">LUKMAN BUDI PURWANTO</a>'], 'photo_reference': 'AUGGfZnPyKE2iDIBB-kQAehVCx43xO79a1Jz7U5XEwN51f-TyCIuPj6mYXeAQhBa2E4j4OrsmMh6YMkxnLs_XzGZsChxnvWU4OgFpv14yVlZulIHESdBByEGbRqbkQrfdpl4tcpJil_FJIW2jEr6bElY6jzaNBM6tjsit7WrQm77BL3qATjn', 'width': 3000}]",ChIJJSbtdgB9cC4RwvdfCFLRssg,,2.4,ChIJJSbtdgB9cC4RwvdfCFLRssg,"['tourist_attraction', 'point_of_interest', 'establishment']",76,,https://www.google.com/maps/place/?q=place_id:ChIJJSbtdgB9cC4RwvdfCFLRssg
