business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"8Q2F+RG9, Lobbo, North Beo, Kepulauan Talaud Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.3020258, 'lng': 126.7738708}, 'viewport': {'northeast': {'lat': 4.303375629892721, 'lng': 126.7752206298927}, 'southwest': {'lat': 4.300675970107277, 'lng': 126.7725209701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata KBN Lanal Melonguane Desa Lobbo,ChIJRwl7DgDd8jIRXoe_tz5xhLA,0.0,ChIJRwl7DgDd8jIRXoe_tz5xhLA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJRwl7DgDd8jIRXoe_tz5xhLA
OPERATIONAL,"7P96+34P, North Beo, Kepulauan Talaud Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.2677233, 'lng': 126.7103229}, 'viewport': {'northeast': {'lat': 4.269073129892721, 'lng': 126.7116727298927}, 'southwest': {'lat': 4.266373470107277, 'lng': 126.7089730701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nusa Topor,ChIJ16my3Pnd8jIRyrjkUyk2MpE,4.7,ChIJ16my3Pnd8jIRyrjkUyk2MpE,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116236609236856652299"">A Google User</a>'], 'photo_reference': 'AUGGfZn8QsTi4wBy8_1TX4EMyMWAgADf4zfccJvzKC0cRNQbOj7KJjdkwwmAQaxLH8RmZtQa1plv2yoMVxao2VFFzU878tFjHGwtvRbJWIvvzIkzSrhEG1M86QkiGdXx10DEJHQp165TFvf1eefcbVPBrYcrlit2wFTH1Uz7FMdOBJmH3vGt', 'width': 4160}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ16my3Pnd8jIRyrjkUyk2MpE
OPERATIONAL,"7P96+CJR, Kabupaten Kepulauan Talaud, Sulawesi Utara, Indonesia","{'location': {'lat': 4.2686152, 'lng': 126.7115074}, 'viewport': {'northeast': {'lat': 4.27280665, 'lng': 126.7141582}, 'southwest': {'lat': 4.26721805, 'lng': 126.7106238}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Bahari KBN,ChIJ-d-yOgDd8jIRreWc3oOOUYQ,5.0,ChIJ-d-yOgDd8jIRreWc3oOOUYQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109034013074193776409"">A Google User</a>'], 'photo_reference': 'AUGGfZkUS4P-htppbCMEiL-jXa8nb_EiVmSIJo154pzWyAU9w7B62BEAFXdml5XR43vcUpXbAxPqSgPKGnADwJK0ZPL5_AL0_ZZadb-WhLUhPVm1fDPlB-0Pi6-dQqiDT9exL0LIZ2J54xQ9bV-NsTNST8_qoyAbzXg20XTv1DaUrpcgrkAZ', 'width': 1920}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ-d-yOgDd8jIRreWc3oOOUYQ
OPERATIONAL,"6RW7+WP2, Bengel, Beo, Kepulauan Talaud Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.2472682, 'lng': 126.8142605}, 'viewport': {'northeast': {'lat': 4.248618029892723, 'lng': 126.8156103298927}, 'southwest': {'lat': 4.245918370107279, 'lng': 126.8129106701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun ampas doap,ChIJfbqSEG7F8jIRHPtnbczL7G8,4.3,ChIJfbqSEG7F8jIRHPtnbczL7G8,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118032890792075847393"">Yohanis Sahabat</a>'], 'photo_reference': 'AUGGfZkf2p0jgQhyyd9mQxTd-6o3q5gv88Ww4zkmrdCEPusmc4Nbv_XSpA5-JfHiRuPGi_xZ_3IW_t_7VHOjhZQRdd3SmBohspa6ztxJxTDVZ3arucaU19pXaTrTt2Zztpply2JajN8WOqtnPFLgrt5fGFRJ6EhUrLlq9IXBQRQ9zeRYXHEk', 'width': 1920}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJfbqSEG7F8jIRHPtnbczL7G8
OPERATIONAL,"Sambuara Utara, Essang Selatan, Kepulauan Talaud Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.3624541, 'lng': 126.6891599}, 'viewport': {'northeast': {'lat': 4.364033629892722, 'lng': 126.6908364298927}, 'southwest': {'lat': 4.361333970107278, 'lng': 126.6881367701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai burau,ChIJhWB80e3h8jIRzpFwu1qbJfA,4.7,ChIJhWB80e3h8jIRzpFwu1qbJfA,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115522874023804267712"">christian lalimbat</a>'], 'photo_reference': 'AUGGfZk-4OqEWFCssz6jTRgfTdY3FEItNoi9aWZiaOqbYbAr5LLyQlMiGuc5hVH7-SH45YssDHossFIgAVRqqoeMCAb2tItIMShGh1dcdyWv9-qjoRl0QCX5bjuLuXnHeCo5xLFL7YsWyfmQK-_snH38f4t4dTKrfN5927PRX81z9mHQLqQr', 'width': 1285}]",{'open_now': True},"{'compound_code': '9M6Q+XM Sambuara Utara, Kepulauan Talaud Regency, North Sulawesi, Indonesia', 'global_code': '6QP89M6Q+XM'}",,https://www.google.com/maps/place/?q=place_id:ChIJhWB80e3h8jIRzpFwu1qbJfA
OPERATIONAL,"7PM2+H7, Rae Selatan, Kabupaten Kepulauan Talaud, Sulawesi Utara, Indonesia","{'location': {'lat': 4.2838897, 'lng': 126.7006277}, 'viewport': {'northeast': {'lat': 4.285239529892721, 'lng': 126.7019775298927}, 'southwest': {'lat': 4.282539870107278, 'lng': 126.6992778701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Situs sejarah makan Yoli,ChIJ3VfiXwDd8jIRiVYqqPgETi4,0.0,ChIJ3VfiXwDd8jIRiVYqqPgETi4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3VfiXwDd8jIRiVYqqPgETi4
OPERATIONAL,"9M9P+85, Sambuara Utara, Kepulauan Talaud Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.3683258, 'lng': 126.685426}, 'viewport': {'northeast': {'lat': 4.369508800000002, 'lng': 126.68910865}, 'southwest': {'lat': 4.364776799999998, 'lng': 126.68419845}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pangatan Beach,ChIJIbf2Vd_h8jIRjQv_9ZkrxCg,4.5,ChIJIbf2Vd_h8jIRjQv_9ZkrxCg,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 750, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115522874023804267712"">christian lalimbat</a>'], 'photo_reference': 'AUGGfZkW34FkpSE909wQp5CAerJ7_N8-Lqqz37bGfwfTKutOhJyhkVuTojYFKaelwgQUomgfofUUlTW-uLqe_oAb-H23xdMVLQN0IFbKKlZ7RraxCrgrWdkmGBduSBMgdwA9LsevZ65IQYLUd-5kET9vhv_SGsnN0Kj-Gannjt46PM6atPfO', 'width': 1000}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJIbf2Vd_h8jIRjQv_9ZkrxCg
OPERATIONAL,"7PV7+92, South Rae, Kepulauan Talaud Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.2938048, 'lng': 126.7128633}, 'viewport': {'northeast': {'lat': 4.295102679892722, 'lng': 126.71621805}, 'southwest': {'lat': 4.292403020107278, 'lng': 126.71174505}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai rae,ChIJyRnYksfd8jIRFMh6JQhM5Vw,0.0,ChIJyRnYksfd8jIRFMh6JQhM5Vw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109595451104206020034"">A Google User</a>'], 'photo_reference': 'AUGGfZnjbDQ5yDHU0jCF6d9C42L2QgTZpaot972o9z7Zo6UWTB12Du_qBJMJoYWNMrRZ8KAO5PPr5ga_bTvIgvta17IbefDG7tklyQ6CRh0fVrnzClL3xJXpV4wEzs-ykpcqrq2srS7Li-OmUB0mrZeJ3hZK_NyEwcp7DSgiI2cuyioIhHRt', 'width': 3120}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJyRnYksfd8jIRFMh6JQhM5Vw
OPERATIONAL,"7Q2P+CPM, Gemeh, Kepulauan Talaud Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.2510793, 'lng': 126.786785}, 'viewport': {'northeast': {'lat': 4.252389679892723, 'lng': 126.7881701298927}, 'southwest': {'lat': 4.249690020107278, 'lng': 126.7854704701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Gemeh,ChIJre6ZV8DF8jIR9p38lnogF-E,0.0,ChIJre6ZV8DF8jIR9p38lnogF-E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJre6ZV8DF8jIR9p38lnogF-E
OPERATIONAL,"CPF4+696, Kuma, Essang Selatan, Kepulauan Talaud Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.4230316, 'lng': 126.7058765}, 'viewport': {'northeast': {'lat': 4.424294429892722, 'lng': 126.7073431798927}, 'southwest': {'lat': 4.421594770107278, 'lng': 126.7046435201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kuma Beach,ChIJVXqhFr_l8jIRmELa0RXgI_w,5.0,ChIJVXqhFr_l8jIRmELa0RXgI_w,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107975363381138010493"">A Google User</a>'], 'photo_reference': 'AUGGfZnXFQmQ3zcl915r_EmdYP1nBNkBUjdVicggKNjzKTl884_PFbVRSO9fVuJHaiCyLR0DgPCHQKXLR56U6Mu4_-JkueIZ8wj39l-7DNGhluTtaMWF4sYCl3ADy7953zJqsrgtvtE5M3fmvJ51t52rkcSiaqJdLMkM7C79gNNrvtq_29NH', 'width': 3456}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJVXqhFr_l8jIRmELa0RXgI_w
