business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,permanently_closed,url
OPERATIONAL,"5456+3CR, Batu Lamburi, Kepulauan Masaloka Raya, Bombana Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.8422508, 'lng': 122.111006}, 'viewport': {'northeast': {'lat': -4.840900970107277, 'lng': 122.1123558298927}, 'southwest': {'lat': -4.843600629892721, 'lng': 122.1096561701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KOFANO,ChIJKxEVSADjoi0R6V7Fgh4qBEw,0.0,ChIJKxEVSADjoi0R6V7Fgh4qBEw,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJKxEVSADjoi0R6V7Fgh4qBEw
OPERATIONAL,"54M9+7Q, Batu Lamburi, Kepulauan Masaloka Raya, Bombana Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.8168422, 'lng': 122.1193819}, 'viewport': {'northeast': {'lat': -4.815492370107278, 'lng': 122.1207317298927}, 'southwest': {'lat': -4.818192029892722, 'lng': 122.1180320701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung Selat,ChIJ207GEdPjoi0Rx9vwA38NhfE,5.0,ChIJ207GEdPjoi0Rx9vwA38NhfE,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108408617534372940125"">A Google User</a>'], 'photo_reference': 'AUGGfZkK3j3gSfSMnsesV6u5RLAzLWRHjSyc062knK_m4I7bi7GcTmyeAksi3caHKpIYJ67UuGbD_gO4Hudv4VzTWWPXD6mu4wd-PjngOku1ic8_zwkW1Eq7geN96VEi2eHLJ9pfurxIqZtq1RNZ5ta2oDJWwQ0wGXlFwJvK5Tj84pdQzXlD', 'width': 5184}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ207GEdPjoi0Rx9vwA38NhfE
OPERATIONAL,"524J+FV, Hambawa, Mata Oleo, Bombana Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.843812499999999, 'lng': 122.0321875}, 'viewport': {'northeast': {'lat': -4.842462670107277, 'lng': 122.0335373298927}, 'southwest': {'lat': -4.845162329892721, 'lng': 122.0308376701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PUNCAK RAROHEO,ChIJH0VkQpXhoi0RnhVk0L5-VAc,5.0,ChIJH0VkQpXhoi0RnhVk0L5-VAc,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115152917307477386357"">A Google User</a>'], 'photo_reference': 'AUGGfZljnib2v0sKnHhWuGx1E64R_FDdFS2ujWCI5fyHx8x9abnVrU9JHYAy8TL1XikNd63-WO58I-WqyC8fc-rgKeB9IHcSKePAKeLwzXI5mMWa6QX-vq_OW1AfR3VrxEea_1QzLu3avhe5UZa4LsWA1dcVD6OO1CAz_CK4j8XKTomWMkXl', 'width': 3024}]",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJH0VkQpXhoi0RnhVk0L5-VAc
OPERATIONAL,"54GG+MG3, Batu Lamburi, Kepulauan Masaloka Raya, Bombana Regency, South East Sulawesi 93771, Indonesia","{'location': {'lat': -4.8233517, 'lng': 122.1262852}, 'viewport': {'northeast': {'lat': -4.820791499999999, 'lng': 122.1272645798928}, 'southwest': {'lat': -4.8242051, 'lng': 122.1245649201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kepulauan Masaloka Raya Central Masaloka Regency,ChIJJ4elEwnjoi0R6URoUBiIWdg,5.0,ChIJJ4elEwnjoi0R6URoUBiIWdg,"['point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJJ4elEwnjoi0R6URoUBiIWdg
,"Kepulauan Masaloka Raya, Bombana Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.8266216, 'lng': 122.1121466}, 'viewport': {'northeast': {'lat': -4.807811, 'lng': 122.1525919}, 'southwest': {'lat': -4.851126, 'lng': 122.092115}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kepulauan Masaloka Raya,ChIJNVpdv1Dioi0RqxgXV2o-dno,,ChIJNVpdv1Dioi0RqxgXV2o-dno,"['administrative_area_level_3', 'political']",,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109573016956299145984"">Kasra J. Munara</a>'], 'photo_reference': 'AUGGfZlUoyG3Y1Uzxf_aoc-cDqBYM3YOarE0em8jgDiH0-RMeXBK631zVpLeUc7XekN3Eeva3lZd4J3GfITinmAkHYAtivORK7imgAtPcGsS9ZhNKu7p-BWW9YQTLC5ngpK38J8yqG2KSsnib8gOy6L89S9OAUwNyHtWIzw4U3b9CdEe6Ny-', 'width': 4032}]",,,https://www.google.com/maps/place/?q=place_id:ChIJNVpdv1Dioi0RqxgXV2o-dno
OPERATIONAL,"4383+2Q6, Unnamed Road, Pulau Tambako, Mata Oleo, Kabupaten Bombana, Sulawesi Tenggara 93771, Indonesia","{'location': {'lat': -4.8849745, 'lng': 122.0543916}, 'viewport': {'northeast': {'lat': -4.883624670107278, 'lng': 122.0557414298927}, 'southwest': {'lat': -4.886324329892722, 'lng': 122.0530417701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Tambako,ChIJGcWGSJwfoy0RE93oqiKd2O0,4.3,ChIJGcWGSJwfoy0RE93oqiKd2O0,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102132303474598577026"">A Google User</a>'], 'photo_reference': 'AUGGfZlnGeP79zyfGGHZRhWAvpDuSanYa-tuUtGudKVPFBhex3TKGRdhuZ9m1_UAUA-_StpjuPYEDmdxmDhPnvjPI2jNdyLFanRdckx2-oVzzFOXZLQJiZ1V1ffGP50D9-zRK2qtaDJteAbuX22ct1vJhgst970h5XZr20E3y-WGUEeQa4Xh', 'width': 1920}]",,,https://www.google.com/maps/place/?q=place_id:ChIJGcWGSJwfoy0RE93oqiKd2O0
OPERATIONAL,"43V6+P66, Jl. Poros Rumbia Tengah-Mata Oleo, Lora, Mata Oleo, Kabupaten Bombana, Sulawesi Tenggara, Indonesia","{'location': {'lat': -4.8557194, 'lng': 122.0605144}, 'viewport': {'northeast': {'lat': -4.854080720107278, 'lng': 122.0617054798927}, 'southwest': {'lat': -4.856780379892721, 'lng': 122.0590058201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Widodo,ChIJjX8CoBDhoi0RxUd4fKxK-Dc,4.6,ChIJjX8CoBDhoi0RxUd4fKxK-Dc,"['tourist_attraction', 'point_of_interest', 'establishment']",13.0,"[{'height': 2240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111969602652030608069"">Cornelius Nurhadi</a>'], 'photo_reference': 'AUGGfZlhUyRoxtCZDStQ3l8QOrh4ptunfMeRbGuzrzKZtzbj7wJx98gtvnjXNt767bhlzSPTYn9E6r3-1irkhwQQv970IAZTTlJ89MUaNAF67ca1HzOO7N7OFhN3cctpQiJnIE87k_KXHnyfI4QlwW5UbzdE4uL_AVCHgV66b4XQglhPR443', 'width': 4608}]",,,https://www.google.com/maps/place/?q=place_id:ChIJjX8CoBDhoi0RxUd4fKxK-Dc
OPERATIONAL,"42GQ+MP, Pulau Tambako, Mata Oleo, Bombana Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.873283700000001, 'lng': 122.0392623}, 'viewport': {'northeast': {'lat': -4.871933870107278, 'lng': 122.0406121298927}, 'southwest': {'lat': -4.874633529892723, 'lng': 122.0379124701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Alo Alo,ChIJ8dSTFPAfoy0RcBi-O25Xi74,4.7,ChIJ8dSTFPAfoy0RcBi-O25Xi74,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,"[{'height': 2144, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117926342758163740549"">Sulheryadi Erik</a>'], 'photo_reference': 'AUGGfZmrF8c_3q0tj7OGgPhigaWjSNj9gfMOtTdGmYpBTq8v0xTo_JuCIruMQi7GwdIe00CoyOU56CT_tED_RHDkozFqfGouLqQfiaUy8CYrCnwbgLVbcqdcELZOLwsDqhO4P8XdJ8ZSuzZ9JdMXmOg_PG5ST6lGT8uqKKdntuvnm62NRPAU', 'width': 6304}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ8dSTFPAfoy0RcBi-O25Xi74
CLOSED_TEMPORARILY,"545V+C5, Masaloka, Kepulauan Masaloka Raya, Bombana Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.8414721, 'lng': 122.1428941}, 'viewport': {'northeast': {'lat': -4.840122270107278, 'lng': 122.1442439298927}, 'southwest': {'lat': -4.842821929892722, 'lng': 122.1415442701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mangata island,ChIJAwDpcwTjoi0RmhAgM7jt0ko,5.0,ChIJAwDpcwTjoi0RmhAgM7jt0ko,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106789460303280198453"">Sulaiman Jr</a>'], 'photo_reference': 'AUGGfZlRuUsSuHGRRpkQqRkgmyyLyvuhRAmXSujevkdOJ4uknxosRgCnRt2wDCxlLVD3G1TOWM4YHCSn7OlfkzmvZoKyANJOHlaO3Ty99xpZaa_s9Lgb7tloZ0eN0rjCQ_xz0WsUiuv4D0x301ByJ2fwuW62cFrqoe8H56_7nODD7xHInpM', 'width': 3024}]",,True,https://www.google.com/maps/place/?q=place_id:ChIJAwDpcwTjoi0RmhAgM7jt0ko
CLOSED_TEMPORARILY,"54GP+XF, Masaloka Timur, Bombana Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.8225956, 'lng': 122.1361504}, 'viewport': {'northeast': {'lat': -4.821035370107278, 'lng': 122.1372614298927}, 'southwest': {'lat': -4.823735029892722, 'lng': 122.1345617701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hutan Bakau,ChIJ6SPA3tLjoi0RJcXpd1q7lvY,0.0,ChIJ6SPA3tLjoi0RJcXpd1q7lvY,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,True,https://www.google.com/maps/place/?q=place_id:ChIJ6SPA3tLjoi0RJcXpd1q7lvY
