business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,url
OPERATIONAL,"QGV2+65X, Ranowila, Wolasi, South Konawe Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.2068804, 'lng': 122.5004975}, 'viewport': {'northeast': {'lat': -4.205530570107278, 'lng': 122.5018473298927}, 'southwest': {'lat': -4.208230229892722, 'lng': 122.4991476701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wolasi,ChIJObPoC2mDmC0RnFeJFux-HbM,5.0,ChIJObPoC2mDmC0RnFeJFux-HbM,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJObPoC2mDmC0RnFeJFux-HbM
OPERATIONAL,"QCWW+VMQ, Aoma, Wolasi, South Konawe Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.2027915, 'lng': 122.4467238}, 'viewport': {'northeast': {'lat': -4.201441670107278, 'lng': 122.4480736298927}, 'southwest': {'lat': -4.204141329892722, 'lng': 122.4453739701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ikan,ChIJAXg7IgCBmC0R6CLrhTm9GOw,0.0,ChIJAXg7IgCBmC0R6CLrhTm9GOw,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJAXg7IgCBmC0R6CLrhTm9GOw
OPERATIONAL,"VP5C+9RJ, Wawosunggu, Moramo, South Konawe Regency, South East Sulawesi 93891, Indonesia","{'location': {'lat': -4.1401937, 'lng': 122.7220207}, 'viewport': {'northeast': {'lat': -4.138967270107278, 'lng': 122.7233284298927}, 'southwest': {'lat': -4.141666929892722, 'lng': 122.7206287701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dermaga Wawosunggu,ChIJAWIAYbejmC0RqiKX-_ICYG8,5.0,ChIJAWIAYbejmC0RqiKX-_ICYG8,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102329993090821867881"">A Google User</a>'], 'photo_reference': 'AUGGfZnEmu_nUsUdBTOss7JlSUZOHOH1DDuB9Soi3JRbFc_C9dcJY71S1bcj5W-o8lREQXAzgYFEY1XiqCdNlyx9YkjsK0s8gQUPdR0TbLt32IAe_6_SwfUM-GnenX7HTe8JiGxynVcsjouQOIjB-drQ82mUxxj7MXvcP2SVFzZjjfIGxrnw', 'width': 5184}]",,https://www.google.com/maps/place/?q=place_id:ChIJAWIAYbejmC0RqiKX-_ICYG8
OPERATIONAL,"QPHW+M27, Sumber Sari, Kec. Moramo, Kabupaten Konawe Selatan, Sulawesi Tenggara 93891, Indonesia","{'location': {'lat': -4.2208421, 'lng': 122.7450313}, 'viewport': {'northeast': {'lat': -4.219646520107278, 'lng': 122.7465767798927}, 'southwest': {'lat': -4.222346179892722, 'lng': 122.7438771201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Moramo,ChIJC5kz2gyfmC0RJ-cNwqLkfKs,4.5,ChIJC5kz2gyfmC0RJ-cNwqLkfKs,"['tourist_attraction', 'point_of_interest', 'establishment']",597.0,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115217216017818243774"">A Google User</a>'], 'photo_reference': 'AUGGfZl2RPpc4VuvVe0LqRy9QFshS9VvamMQOM3Z13ZWPfXe67cM90uPO3s1Btrr-TkaYNiNdgJZ0HbwC43eRZcLhPnn5UVrb55B-QgXsJsYmUJnxwopJY8Mr1L24rS2tureeP1nuCXzF5jTEgcGiJ66AKuZkdXf8dELwu06BPN78JO5WYNR', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJC5kz2gyfmC0RJ-cNwqLkfKs
OPERATIONAL,"X88H+Q9J, Unnamed Road, Wawobende, Kec. Landono, Kabupaten Konawe Selatan, Sulawesi Tenggara 93354, Indonesia","{'location': {'lat': -4.033045, 'lng': 122.3283783}, 'viewport': {'northeast': {'lat': -4.031707170107278, 'lng': 122.3297272298927}, 'southwest': {'lat': -4.034406829892721, 'lng': 122.3270275701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Wawobende,ChIJU-R14gxhmC0RhzW5pi8-Jrc,5.0,ChIJU-R14gxhmC0RhzW5pi8-Jrc,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109003619715216074821"">harun rosyid</a>'], 'photo_reference': 'AUGGfZnnTJO-jKSXTi-Ne5mxLsKQn05dlIwieRpshnc1p_JBNgwH-SD5fgwWnf3VTti2lgvqjpvCcYxPz-OITl4SV4Sb1GFxuL4aQ0m1S2Ti33XtDWnkG4XMGmzgGfHiw6nsZGECWAKBaIHFxVsSBBAQ82gm0P-8Z12FTwa6IVzXGhlpjZA6', 'width': 1280}]",,https://www.google.com/maps/place/?q=place_id:ChIJU-R14gxhmC0RhzW5pi8-Jrc
OPERATIONAL,"WJ5R+X2, Mata Wawatu, Moramo Utara, South Konawe Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.0893901, 'lng': 122.6406551}, 'viewport': {'northeast': {'lat': -4.087755720107277, 'lng': 122.6420674798927}, 'southwest': {'lat': -4.09045537989272, 'lng': 122.6393678201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BatuMoramoasik,ChIJYRzhSQCXmC0Rp0AM2l4gNV0,0.0,ChIJYRzhSQCXmC0Rp0AM2l4gNV0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJYRzhSQCXmC0Rp0AM2l4gNV0
OPERATIONAL,"QGVQ+P72, Aunupe, Wolasi, South Konawe Regency, South East Sulawesi 93891, Indonesia","{'location': {'lat': -4.2057336, 'lng': 122.5381522}, 'viewport': {'northeast': {'lat': -4.204449620107279, 'lng': 122.5393811798927}, 'southwest': {'lat': -4.207149279892723, 'lng': 122.5366815201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun jeruk bapak Warjo,ChIJVYNV7fadmC0R7JUUWPTkp74,3.0,ChIJVYNV7fadmC0R7JUUWPTkp74,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,{'open_now': True},"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113323529143592524465"">A Google User</a>'], 'photo_reference': 'AUGGfZmxNIQVmzxJnmKFi_c_CzeloOx8PRITGfG6Y7ej81PLK1qeNMfpPT8XPILzkd4Y3Liey_Hy0uRaDUX-BpVt8mt_fN0jQ-XdbgbC6iv4AfpnoMd3hEnaHUbXOIZZ678PvQpiPAmCjg5yWmNG7vPzadgRdGEKhCc8iyFqaxaABd1fttS2', 'width': 1600}]",,https://www.google.com/maps/place/?q=place_id:ChIJVYNV7fadmC0R7JUUWPTkp74
OPERATIONAL,"Cialam Jaya, Konda, South Konawe Regency, South East Sulawesi 93874, Indonesia","{'location': {'lat': -4.1150092, 'lng': 122.5043905}, 'viewport': {'northeast': {'lat': -4.113832570107277, 'lng': 122.5057784798927}, 'southwest': {'lat': -4.116532229892721, 'lng': 122.5030788201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TAMAN SAWAH TIRTA BUANA,ChIJ14aLFJCPmC0RKXelrWIH2D8,4.4,ChIJ14aLFJCPmC0RKXelrWIH2D8,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101158824023105223593"">A Google User</a>'], 'photo_reference': 'AUGGfZl75G8PaeX9WVzBWsF4P1adU2xAzx2ufBujsEWw_x-XijPe39ba2iTFZsN06lFmgacxE5vzr190FX4EOo7MfE2juKf5Cc4fT5K8DOU1LWNpkqMje3nM2fXm-Eul7B-MqUsBtVQb5efG1LmzVLriWtCTxjK_BvRULm8KA2Xuk_Lf9OHt', 'width': 4000}]","{'compound_code': 'VGM3+XQ Cialam Jaya, South Konawe Regency, South East Sulawesi, Indonesia', 'global_code': '6Q74VGM3+XQ'}",https://www.google.com/maps/place/?q=place_id:ChIJ14aLFJCPmC0RKXelrWIH2D8
OPERATIONAL,"VFVH+X6, Lambusa, Konda, South Konawe Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.105455, 'lng': 122.4782403}, 'viewport': {'northeast': {'lat': -4.104455270107279, 'lng': 122.4794983798927}, 'southwest': {'lat': -4.107154929892723, 'lng': 122.4767987201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Budi farm,ChIJiRYASNGPmC0RV3TmIiYu_4E,0.0,ChIJiRYASNGPmC0RV3TmIiYu_4E,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJiRYASNGPmC0RV3TmIiYu_4E
OPERATIONAL,"MFWP+XXM, Ambalodangge, Laeya, South Konawe Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.3025483, 'lng': 122.4874262}, 'viewport': {'northeast': {'lat': -4.301297470107278, 'lng': 122.4886681798927}, 'southwest': {'lat': -4.303997129892722, 'lng': 122.4859685201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Anggalo mewao,ChIJlaHqvuN5oi0RUXrYyBFfNzE,5.0,ChIJlaHqvuN5oi0RUXrYyBFfNzE,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114985209961111721851"">A Google User</a>'], 'photo_reference': 'AUGGfZkD44OYYcCvbNyUjZGaKJpeCYWdqb5xRPzp-HQIh2zTe0lDPsIuCvcbxPiPf3Emhbv1uXQ3AU6-W5GyZXaC-ZVo-pKWtf0bsU6udjFfUnu7RFZrUH_TRnX34KYXq0rW_yebgZRCFJHiXvyXzL_x0W-R67eA1EedXSG6a-Qe7ZSCM07Y', 'width': 4080}]",,https://www.google.com/maps/place/?q=place_id:ChIJlaHqvuN5oi0RUXrYyBFfNzE
OPERATIONAL,"VHM4+67P, Lombuea, Moramo Utara, South Konawe Regency, South East Sulawesi 93874, Indonesia","{'location': {'lat': -4.1169059, 'lng': 122.5556992}, 'viewport': {'northeast': {'lat': -4.115556070107278, 'lng': 122.5570490298928}, 'southwest': {'lat': -4.118255729892722, 'lng': 122.5543493701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sumaidi punya,ChIJByi8t4iRmC0RaniD64gsjeI,5.0,ChIJByi8t4iRmC0RaniD64gsjeI,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJByi8t4iRmC0RaniD64gsjeI
