business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
OPERATIONAL,"3QW3+63G, Lohia, Muna Regency, South East Sulawesi 93658, Indonesia","{'location': {'lat': -4.9044379, 'lng': 122.752715}, 'viewport': {'northeast': {'lat': -4.903097720107278, 'lng': 122.7540056298927}, 'southwest': {'lat': -4.905797379892721, 'lng': 122.7513059701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Napabale Nature Tourism,"[{'height': 2006, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103527189397928462352"">Jamsir R</a>'], 'photo_reference': 'AUGGfZlC4l32kdn-9C1IFgAXp-Oq9jesWUrvkARlhTvFflY7A1f6dX_rEAwhjeTmyXrHEj5l19eAaiTUEOB0WMQEdOgKy1bfOHKFxksmGmsAEQhRY8cH7qvGzkJvmZrBKT79Gkmax9iuVYXcESDplOgGqXxgD61MqcwvTn0WzxLqwHDiABZd', 'width': 4128}]",ChIJQ_v0WxXJoy0RD5Jl1uxBSpE,4.7,ChIJQ_v0WxXJoy0RD5Jl1uxBSpE,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,,,https://www.google.com/maps/place/?q=place_id:ChIJQ_v0WxXJoy0RD5Jl1uxBSpE
OPERATIONAL,"8RPJ+9R, Langkoroni, Maligano, Muna Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.6640674, 'lng': 122.8320089}, 'viewport': {'northeast': {'lat': -4.662538470107278, 'lng': 122.8381214}, 'southwest': {'lat': -4.665238129892722, 'lng': 122.8299714}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATAKAUDUMA,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116125582259028916061"">A Google User</a>'], 'photo_reference': 'AUGGfZk2Bw9jSpiZrTrwR2VU-4VuTqnzVV77DwccVkX9KvQALcK6QwDuA_Hm57oI3M43nU5_nupJdGZuf1sc7xTC2j5fUmttguBwIWJBUCT8aa--PeMlDeh-MlaAZ5D0d3FlVtSRpzybuAj-SAPk01SLebzE5QUyZ_YTPgqdg7Dq2oCKJ9fJ', 'width': 4080}]",ChIJ2XfQAAA7oi0RIgHQ2m_n5HE,4.8,ChIJ2XfQAAA7oi0RIgHQ2m_n5HE,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ2XfQAAA7oi0RIgHQ2m_n5HE
OPERATIONAL,"4PHH+PWR, Lasunapa, Duruka, Muna Regency, South East Sulawesi 93618, Indonesia","{'location': {'lat': -4.8706257, 'lng': 122.7297502}, 'viewport': {'northeast': {'lat': -4.868716650000001, 'lng': 122.73326545}, 'southwest': {'lat': -4.876352850000001, 'lng': 122.72857845}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,CLC VILLAGE,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111677099221172593531"">A Google User</a>'], 'photo_reference': 'AUGGfZnHgpzy-FF-yNTFG1xgE6peLfHuQJAn0-WkfoLzh6eFMD56-kU7dQRDlKMZOXnLIZuasWwP1R7x58o4DutzZ_yMwpj2ZfmnrjZTbiuUnXOXKwKTYFPp4MX_bKqVVUkog91jYgLOlQClKDfUly7qRCciz8STJ3p9GuTI66BcxET8-Uqs', 'width': 1920}]",ChIJYdJ0Iu3Loy0Ry7un306ighQ,0.0,ChIJYdJ0Iu3Loy0Ry7un306ighQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJYdJ0Iu3Loy0Ry7un306ighQ
OPERATIONAL,"6C3J+4Q3, Waumere Tiworo kepulauan, Waumere, Barat, Kabupaten Muna, Sulawesi Tenggara 93653, Indonesia","{'location': {'lat': -4.797225099999999, 'lng': 122.431931}, 'viewport': {'northeast': {'lat': -4.795871420107278, 'lng': 122.4328232298927}, 'southwest': {'lat': -4.798571079892722, 'lng': 122.4301235701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Benteng TIWORO,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103299174595398199905"">A Google User</a>'], 'photo_reference': 'AUGGfZktmeu2aAs4QtvEkf_7on3oyUAR2XqKRbVz2x8s9fNbD9ypcn0b_eFcWxGvaesTaYscc70aCz_qDyBzfjes7V8pCbmKSWqpRESvc9ynJGdMoIe4PS4LyTGh4HxHBsNeosnfN28Ab3LJ2ZZJjyyK0tV2Iiy64MRjVXEw922Q6NEhPoNJ', 'width': 1280}]",ChIJ4RXymWVUoi0Rv2HVy8loB2g,3.9,ChIJ4RXymWVUoi0Rv2HVy8loB2g,"['tourist_attraction', 'point_of_interest', 'establishment']",42.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ4RXymWVUoi0Rv2HVy8loB2g
OPERATIONAL,"GX79+MJG, Lasiwa, Wakorumba, North Buton Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.4858115, 'lng': 122.9690739}, 'viewport': {'northeast': {'lat': -4.484461670107278, 'lng': 122.9704237298927}, 'southwest': {'lat': -4.487161329892722, 'lng': 122.9677240701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kabawo Wani,"[{'height': 315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115489176054840696335"">Muhammad Aris</a>'], 'photo_reference': 'AUGGfZnXjTFLRrALyeSumx4rwAxGRc4dtzIh9TvaqVCUDuc73zuqWOroOp8qizvU0lpmdSEITlY3yyDtT3njnDyQIm55uve10WBB6lYpO4ycCq4Dmx10B39Xs-i7l00yoFX9hqZMqly2ujd1wVjRhFTHL6tjM4y1Xv9CJI6EcLaqCZZFn_6z', 'width': 462}]",ChIJSaq7fAAZoi0Rv-pKzy-Lmxo,5.0,ChIJSaq7fAAZoi0Rv-pKzy-Lmxo,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJSaq7fAAZoi0Rv-pKzy-Lmxo
OPERATIONAL,"5P7J+F5, Raha I, Muna Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.8363603, 'lng': 122.7304152}, 'viewport': {'northeast': {'lat': -4.835017020107277, 'lng': 122.7317882298928}, 'southwest': {'lat': -4.837716679892721, 'lng': 122.7290885701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wuna Waterfront City (WWC),"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107113132800057246089"">Andre Givano</a>'], 'photo_reference': 'AUGGfZmhLM6d2NEDcYQdBYvdylQjGv8RnxxfgNMtm7kmr5lo_oH_2gmxOS9ounEY4BcFACC4HUmKFVe2Oy5VLBtksK76YxRxzL_WCcXxpYwjI62U-9zDPp05ZWh5Oo-w3nCx5wBdecB5OhW2v7ve_eugZm2ZqvnXEBcgLA1cfKA5VNqyrZuJ', 'width': 1280}]",ChIJXUGgvT3Loy0RW5Dmshry3dU,4.9,ChIJXUGgvT3Loy0RW5Dmshry3dU,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,,,https://www.google.com/maps/place/?q=place_id:ChIJXUGgvT3Loy0RW5Dmshry3dU
OPERATIONAL,"RH2R+V39, Jl. Tanjung, Oempu, Kec. Tongkuno, Kabupaten Muna, Sulawesi Tenggara 93662, Indonesia","{'location': {'lat': -5.1978488, 'lng': 122.5902306}, 'viewport': {'northeast': {'lat': -5.196498120107277, 'lng': 122.5915815298927}, 'southwest': {'lat': -5.199197779892721, 'lng': 122.5888818701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Walengkabola,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105378578247503194884"">A Google User</a>'], 'photo_reference': 'AUGGfZk0jrDCXkxzzLYQbX-uxelD2GTqTfB-9-QgSJVbOSpT5AJ99INGAYHTvPFXFmiilyr9YwqXiO5HsFbh5li_hrGdy680MRlO59o3FsQ8B6DK4HD4jT0xeLp0N5Di2Kkj-SxVrE4ZJEKShxoXlOD4o8ChEXQv0k15wIIqKBT5PZraOIAZ', 'width': 3840}]",ChIJl5oObi-Roy0RcSOWQDnbmYU,4.2,ChIJl5oObi-Roy0RcSOWQDnbmYU,"['tourist_attraction', 'point_of_interest', 'establishment']",91.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJl5oObi-Roy0RcSOWQDnbmYU
OPERATIONAL,"3PFW+FGH, Lakarinta, Lohia, Muna Regency, South East Sulawesi 93658, Indonesia","{'location': {'lat': -4.926301, 'lng': 122.7463686}, 'viewport': {'northeast': {'lat': -4.924479470107277, 'lng': 122.75177925}, 'southwest': {'lat': -4.927179129892721, 'lng': 122.74456505}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Meleura,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117135439442957603696"">A Google User</a>'], 'photo_reference': 'AUGGfZmq5uu4rKbDhifvDj9Qos5J8IyAVlhlSw9pJrwhqPh6vcJtxUjV0aPIvN60yLm9R5fBQyVvohWYMe4Who0iOsDVHeU6bthWKn-0-bpJZvwi3WyPRk9Iod7cT7EotWAnMMTjulMIO-8HcoH-YTtRk4e8q_gy0bR22mP3ce8Jd_A7Y1Co', 'width': 6016}]",ChIJVdC0wqzJoy0RxawAJiF99UM,4.5,ChIJVdC0wqzJoy0RxawAJiF99UM,"['tourist_attraction', 'point_of_interest', 'establishment']",465.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJVdC0wqzJoy0RxawAJiF99UM
OPERATIONAL,"4Q26+CFR, Lohia, Muna Regency, South East Sulawesi 93658, Indonesia","{'location': {'lat': -4.8988879, 'lng': 122.7611269}, 'viewport': {'northeast': {'lat': -4.897538070107277, 'lng': 122.7624767298927}, 'southwest': {'lat': -4.900237729892721, 'lng': 122.7597770701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Ubur - Ubur,"[{'height': 2368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105332996951874065609"">Maryo Freddy Kumesan</a>'], 'photo_reference': 'AUGGfZnZhOpydeUPljsAwXcydnPwsM7B1bgSJPGbj-AnmZ5lMbuEFTH2GgwyJ_rYe3WqbZUGWke2dUMoodE1HEanIimlwlfPQY0Se1INquGqOZ9e-uH3Od8jkVXi9g3Qx2WGnxgVa3qy2zCkbpjU4snVKBfvv9ti1Uu79wP2b0nvNZE2Rrbe', 'width': 4208}]",ChIJH-duKILJoy0RpXoAr4P5GkE,4.1,ChIJH-duKILJoy0RpXoAr4P5GkE,"['tourist_attraction', 'point_of_interest', 'establishment']",28.0,,,https://www.google.com/maps/place/?q=place_id:ChIJH-duKILJoy0RpXoAr4P5GkE
OPERATIONAL,"3QR4+QP3, Desa Loghia, Kec. Lohia, Kabupaten Muna, Sulawesi Tenggara 93658, Indonesia","{'location': {'lat': -4.9081003, 'lng': 122.7567894}, 'viewport': {'northeast': {'lat': -4.906750470107279, 'lng': 122.7581392298927}, 'southwest': {'lat': -4.909450129892723, 'lng': 122.7554395701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Napabale Lake,"[{'height': 3060, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112061957538357484540"">Ayatullah Indonesia</a>'], 'photo_reference': 'AUGGfZkF_KI6FNpL0tqUGdBgtK12hHhOcvPpMh-77EVM5w-RHBAIPqLo_rwMTz837Uqvqpe9WxNOExQXqkiUTfXqO3hKGpTSysi5I1tDTgG4npoBROdYCsGXmIa0-KIn2lIRvQx_adpjITxnLVmg6N67m_3rHfYycqwB-rNYsx1b30QkRxVH', 'width': 4080}]",ChIJ24WoWZnJoy0RVg2xmIfsHz8,4.6,ChIJ24WoWZnJoy0RVg2xmIfsHz8,"['tourist_attraction', 'point_of_interest', 'establishment']",103.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ24WoWZnJoy0RVg2xmIfsHz8
