business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,url
CLOSED_TEMPORARILY,"QP72+54P, Karya Baru, Marau, Ketapang Regency, West Kalimantan 78863, Indonesia","{'location': {'lat': -2.237025, 'lng': 110.7003268}, 'viewport': {'northeast': {'lat': -2.236130570107277, 'lng': 110.7023827}, 'southwest': {'lat': -2.238830229892722, 'lng': 110.6941591}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kayu,True,ChIJZVoMvzuLBS4RoiLl2_8Yjb8,5,ChIJZVoMvzuLBS4RoiLl2_8Yjb8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJZVoMvzuLBS4RoiLl2_8Yjb8
OPERATIONAL,"RM4X+Q9G, Suka Karya, Marau, Ketapang Regency, West Kalimantan 78863, Indonesia","{'location': {'lat': -2.1930701, 'lng': 110.6984417}, 'viewport': {'northeast': {'lat': -2.191723670107278, 'lng': 110.6994383298927}, 'southwest': {'lat': -2.194423329892722, 'lng': 110.6967386701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Menara awatan/SEI sarang,,ChIJDXtoXY-NBS4RLZM0uUHUKNM,3,ChIJDXtoXY-NBS4RLZM0uUHUKNM,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104662874934382182639"">A Google User</a>'], 'photo_reference': 'AUGGfZnHHV6c1Z6--GnpE9-oD0y9YwMRWPdt4NhNKMJO7jH58kRNcGZcAzjFk-qFZIsbFfwZe0n12PuxMQK4twGFrNrj7MUnx9VHIQGa-9dW6YcSTk9adJ-yXC3JxFx_DIYyvhqPkbjvWqrZO-cO8jemlDqa-oyxOCF80XzY9UObBdNlbHU', 'width': 3120}]",https://www.google.com/maps/place/?q=place_id:ChIJDXtoXY-NBS4RLZM0uUHUKNM
OPERATIONAL,"QP72+54P, Karya Baru, Marau, Ketapang Regency, West Kalimantan 78863, Indonesia","{'location': {'lat': -2.237025, 'lng': 110.7003268}, 'viewport': {'northeast': {'lat': -2.236130570107277, 'lng': 110.7023827}, 'southwest': {'lat': -2.238830229892722, 'lng': 110.6941591}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lahan,,ChIJ4VkukTOLBS4RmfHm-Xo5iaM,4,ChIJ4VkukTOLBS4RmfHm-Xo5iaM,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJ4VkukTOLBS4RmfHm-Xo5iaM
CLOSED_TEMPORARILY,"RQJ9+FF, Bantan Sari, Marau, Ketapang Regency, West Kalimantan, Indonesia","{'location': {'lat': -2.1687543, 'lng': 110.7686378}, 'viewport': {'northeast': {'lat': -2.16778975, 'lng': 110.77424525}, 'southwest': {'lat': -2.171647949999999, 'lng': 110.76676865}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Gahang Panyungkak, Tempat Keramat",True,ChIJ-ZBGUaXzBS4R3TvcGBV01BE,0,ChIJ-ZBGUaXzBS4R3TvcGBV01BE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 1872, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116259076831367233250"">A Google User</a>'], 'photo_reference': 'AUGGfZmIAqvVNH_6mibeFvaBOpNUgMzyRovZDs-R0Zx6MzrOIilp6ka0_Yz5V1SedzrnaQQxtXOVr4cMQvk1Z349inDBOZ9ZPgK18uHGLdZuiE4xabPruvPkDm93P8_SgUiyPXWMQbRANu1VXSW97di48E_kc9XhgvtQT5PPK3naC0Gk7F0d', 'width': 4160}]",https://www.google.com/maps/place/?q=place_id:ChIJ-ZBGUaXzBS4R3TvcGBV01BE
OPERATIONAL,"WQM6+MQ, Riam Batu Gading, Marau, Ketapang Regency, West Kalimantan 78863, Indonesia","{'location': {'lat': -2.0658121, 'lng': 110.7618855}, 'viewport': {'northeast': {'lat': -2.064462270107278, 'lng': 110.7632353298927}, 'southwest': {'lat': -2.067161929892722, 'lng': 110.7605356701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok Danau Pulau Rejeki,,ChIJScwtn5TrBS4RF0HCcWmS59E,5,ChIJScwtn5TrBS4RF0HCcWmS59E,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107729158901026175531"">A Google User</a>'], 'photo_reference': 'AUGGfZkJScRkSbMDlFtta8wB2_oE9NGo7CWTeod8LsS08ldtvabNqEXa24nd4UM5UParrZZBiUAKfv0PxylUHBk_M1qVOxGKiqAqG5Sf6qJdYqNkOicnEqLOtAhPZFsP-OHeKPkU2IdpLn9xcdfxezoTEvf731rpGCJVvxdVeiLT3aX5pjS_', 'width': 3840}]",https://www.google.com/maps/place/?q=place_id:ChIJScwtn5TrBS4RF0HCcWmS59E
CLOSED_TEMPORARILY,"VHQ6+44R, Randai, Marau, Ketapang Regency, West Kalimantan, Indonesia","{'location': {'lat': -2.1121403, 'lng': 110.5602623}, 'viewport': {'northeast': {'lat': -2.111077820107278, 'lng': 110.56387565}, 'southwest': {'lat': -2.113777479892723, 'lng': 110.55905785}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Objek santai Area Bukit Basar,True,ChIJVVPFPo-RBS4RxEM0mC-d5IQ,0,ChIJVVPFPo-RBS4RxEM0mC-d5IQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 8064, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117598638909039162287"">Padre Pio</a>'], 'photo_reference': 'AUGGfZnm3RPq7awgAQyvc8XXkX6flmhxuLRxWJMK4OMm98lJbTWNQDxAyDnUBG8lV-VkcWbzDSCU8XTP66c6nv04OwL8-N9qbO9LgX0a4OxcFFPQlFC6pVF74fGs707Ab60O0TAxegTcFSsr7cF86zX7z5lVz4C0lbDMNSiUxXSdo-FzDRY-', 'width': 6048}]",https://www.google.com/maps/place/?q=place_id:ChIJVVPFPo-RBS4RxEM0mC-d5IQ
OPERATIONAL,"RQWC+9P, Bantan Sari, Marau, Ketapang Regency, West Kalimantan, Indonesia","{'location': {'lat': -2.154006, 'lng': 110.7718403}, 'viewport': {'northeast': {'lat': -2.152656170107278, 'lng': 110.7731901298927}, 'southwest': {'lat': -2.155355829892722, 'lng': 110.7704904701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Durian sekarimuntingan Bukit, Batu Menang",,ChIJRXU7PXnzBS4RlZufb2KjJQU,5,ChIJRXU7PXnzBS4RlZufb2KjJQU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 1872, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116259076831367233250"">A Google User</a>'], 'photo_reference': 'AUGGfZksbVOGUC8crR_kjGg9Q2orOp41R6JRLUxvcPJGf-UQS4hwN909f7H5cXJ0DQI7y14-ozsBS_TfpXOh-PQqyDlU8MrdfLdyhOpmTo5brVU-8KpcwTPfVcvYRRZ56JMJDETObpL1Nmvgau61fo65eOzPclqFG8ttzU4oBmgbPXHZ-hBq', 'width': 4160}]",https://www.google.com/maps/place/?q=place_id:ChIJRXU7PXnzBS4RlZufb2KjJQU
OPERATIONAL,"VHP6+74, Randai, Marau, Ketapang Regency, West Kalimantan, Indonesia","{'location': {'lat': -2.1143267, 'lng': 110.5602583}, 'viewport': {'northeast': {'lat': -2.113206070107278, 'lng': 110.56325485}, 'southwest': {'lat': -2.115905729892722, 'lng': 110.55925945}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit delima,,ChIJURBecQCRBS4Rut5E2sN6scg,0,ChIJURBecQCRBS4Rut5E2sN6scg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJURBecQCRBS4Rut5E2sN6scg
CLOSED_TEMPORARILY,"VHG4+RW3, PT Kencana Graha Permai Perkebunan Delima Estate, Randai, Kec. Marau, Kabupaten Ketapang, Kalimantan Barat, Indonesia","{'location': {'lat': -2.1229818, 'lng': 110.557357}, 'viewport': {'northeast': {'lat': -2.121634820107277, 'lng': 110.5587698298927}, 'southwest': {'lat': -2.124334479892722, 'lng': 110.5560701701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan Sendja Pampan Pahanyian Bukit Basar,True,ChIJjW-jRbyRBS4RfBs-33NfQ50,0,ChIJjW-jRbyRBS4RfBs-33NfQ50,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117938059039445517919"">A Google User</a>'], 'photo_reference': 'AUGGfZlMnpOsDq8i7fzk3QdcFR33gNpmvoKeBcGXnoUpiQ2ZWR2-Z713LQDIOaHa4X4H3Z-vBbRgpT1gqPH0GzuGW7AqANIv9pkvJTdKlgED3WqhiywuzbMVy_KnB6KT5h8iXgQmGi9R2lzU4vK079je5DYEkVmtcrG1lbknALzKs41gwRuo', 'width': 3000}]",https://www.google.com/maps/place/?q=place_id:ChIJjW-jRbyRBS4RfBs-33NfQ50
CLOSED_TEMPORARILY,"RFRV+98P, Rangkung, Marau, Ketapang Regency, West Kalimantan, Indonesia","{'location': {'lat': -2.1590473, 'lng': 110.4933369}, 'viewport': {'northeast': {'lat': -2.157180220107278, 'lng': 110.4952192798927}, 'southwest': {'lat': -2.159879879892722, 'lng': 110.4925196201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,sungai akar kendawang,True,ChIJR3LWh3-FBS4R78MRlMScCGQ,0,ChIJR3LWh3-FBS4R78MRlMScCGQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJR3LWh3-FBS4R78MRlMScCGQ
