business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,permanently_closed,opening_hours,plus_code,url
OPERATIONAL,"MW9X+CW9, Paring River, Cempaga, East Kotawaringin Regency, Central Kalimantan 74353, Indonesia","{'location': {'lat': -2.3314727, 'lng': 112.9498581}, 'viewport': {'northeast': {'lat': -2.330123170107278, 'lng': 112.9511386298927}, 'southwest': {'lat': -2.332822829892722, 'lng': 112.9484389701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawit Qian,ChIJF6mV0QC14i0RgND8lFHL-6U,0,ChIJF6mV0QC14i0RgND8lFHL-6U,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJF6mV0QC14i0RgND8lFHL-6U
OPERATIONAL,"JX7X+PCH, Luwuk Bunter, Cempaga, East Kotawaringin Regency, Central Kalimantan 74353, Indonesia","{'location': {'lat': -2.3856838, 'lng': 112.9986012}, 'viewport': {'northeast': {'lat': -2.384602249999999, 'lng': 113.0011638}, 'southwest': {'lat': -2.38892845, 'lng': 112.997747}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muara Sungai Mentaya / Cempaga,ChIJPVczutq34i0RsaUmB3bCUsA,5,ChIJPVczutq34i0RsaUmB3bCUsA,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,,https://www.google.com/maps/place/?q=place_id:ChIJPVczutq34i0RsaUmB3bCUsA
OPERATIONAL,"V296+5M, Sudan, Cempaga Hulu, East Kotawaringin Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.1320048, 'lng': 113.0116894}, 'viewport': {'northeast': {'lat': -2.130408970107278, 'lng': 113.0129119798927}, 'southwest': {'lat': -2.133108629892722, 'lng': 113.0102123201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Cempaga,ChIJYV_suLQ3_S0RzgS6HymvfdQ,4,ChIJYV_suLQ3_S0RzgS6HymvfdQ,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115557599162495602610"">Fadly Saddam</a>'], 'photo_reference': 'AUGGfZk7VwA2nLnw-XPBrHv0OWxoRRVIyeAc-mopw0DWGPvsKTOv7s7CFTbH4wx2qCyQEdv4tY6Kx2LhE5qEsSwE2W6PfTVgy-kFwOfLsrD-yXfU8OqQ3JbhJH4gEPBe6CR_bbTNWMGZ4JCw70rDTzVP8cRkQ-1SYy9In36Ek-KVv5rIPdVx', 'width': 1920}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJYV_suLQ3_S0RzgS6HymvfdQ
CLOSED_TEMPORARILY,"MXV5+8Q5, West Cempaka Mulia, Cempaga, East Kotawaringin Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.3067255, 'lng': 112.9594983}, 'viewport': {'northeast': {'lat': -2.305374820107277, 'lng': 112.9602106298927}, 'southwest': {'lat': -2.308074479892722, 'lng': 112.9575109701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok clabing,ChIJ-84qjsO14i0RiWhFvNzyx_o,0,ChIJ-84qjsO14i0RiWhFvNzyx_o,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,,,https://www.google.com/maps/place/?q=place_id:ChIJ-84qjsO14i0RiWhFvNzyx_o
OPERATIONAL,"Jl. Cilik Riwut km.53 no.1 /163, RT.006/RW.002, Rubung Buyung, Kec. Cempaga, Kabupaten Kotawaringin Timur, Kalimantan Tengah 74354, Indonesia","{'location': {'lat': -2.1816583, 'lng': 112.9757067}, 'viewport': {'northeast': {'lat': -2.180298170107278, 'lng': 112.9769101298927}, 'southwest': {'lat': -2.182997829892722, 'lng': 112.9742104701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ANZU agrimart,ChIJA_Cp-xZJ_S0Rt9kYRdRrw2k,5,ChIJA_Cp-xZJ_S0Rt9kYRdRrw2k,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,{'open_now': True},"{'compound_code': 'RX9G+87 Rubung Buyung, East Kotawaringin Regency, Central Kalimantan, Indonesia', 'global_code': '6P9JRX9G+87'}",https://www.google.com/maps/place/?q=place_id:ChIJA_Cp-xZJ_S0Rt9kYRdRrw2k
OPERATIONAL,"Jl. Pangeran Diponegoro, Kota Besi Hilir, Kec. Kota Besi, Kabupaten Kotawaringin Timur, Kalimantan Tengah 74353, Indonesia","{'location': {'lat': -2.3941036, 'lng': 112.9932881}, 'viewport': {'northeast': {'lat': -2.392696020107278, 'lng': 112.9946045298927}, 'southwest': {'lat': -2.395395679892723, 'lng': 112.9919048701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dermaga kota besi hilir,ChIJrR2iXcG34i0RSqBtfEDzbTc,4,ChIJrR2iXcG34i0RSqBtfEDzbTc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111480120680704454295"">A Google User</a>'], 'photo_reference': 'AUGGfZny46e0sDzs3Ai3A0EQlK6ncF7P501gSJ0Lf95_PezXoUWYEqO4tbQk21F0wZHEaQ-GTcnw-LY-Gv2bAi5kekimMId1zBmgMaNQmKdx9-AOwDQA6nSNBs4oYb8hQXRJWuBc4FUgQBJ9vAQTHC-eF46np2gBfgPFNwoU21e0uwf5SZvk', 'width': 2160}]",,,"{'compound_code': 'JX4V+98 Besi Hilir City, East Kotawaringin Regency, Central Kalimantan, Indonesia', 'global_code': '6P9JJX4V+98'}",https://www.google.com/maps/place/?q=place_id:ChIJrR2iXcG34i0RSqBtfEDzbTc
OPERATIONAL,"JX68+4J8, Bajarum, Kota Besi, East Kotawaringin Regency, Central Kalimantan 74353, Indonesia","{'location': {'lat': -2.3897227, 'lng': 112.9665917}, 'viewport': {'northeast': {'lat': -2.387971970107277, 'lng': 112.9679472798927}, 'southwest': {'lat': -2.390671629892722, 'lng': 112.9652476201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman selfie bajarum,ChIJzX0KgVq34i0Ru3tbt66oUUw,0,ChIJzX0KgVq34i0Ru3tbt66oUUw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105316758305011383917"">A Google User</a>'], 'photo_reference': 'AUGGfZncaJIqtTAz1zfqYCymcO0QhB2a9rNCNg6EhpXjAu-yB7oSVaTd_9CsDil3Aled9bqpr2cfx2kaJ1QegSpRFuxU-PAqCrhNFCxJ_rWxuO32AIRTGT7_LagMaS-jxrXw613xMe0FrIH47Ro5x1ENemvFHb4ckJ7xEdnqpz-h6fUpj8DU', 'width': 1080}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJzX0KgVq34i0Ru3tbt66oUUw
CLOSED_TEMPORARILY,"Jl. Cilik Riwut No.KM. 40, Jemaras, Kec. Cempaga, Kabupaten Kotawaringin Timur, Kalimantan Tengah, Indonesia","{'location': {'lat': -2.2734842, 'lng': 112.9750779}, 'viewport': {'northeast': {'lat': -2.272107220107278, 'lng': 112.9764673798927}, 'southwest': {'lat': -2.274806879892723, 'lng': 112.9737677201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai hambawang,ChIJsyLBgxm14i0RbU1QOWicI3k,0,ChIJsyLBgxm14i0RbU1QOWicI3k,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110980507501193848784"">A Google User</a>'], 'photo_reference': 'AUGGfZnxLusSJbu8wWDKPsJRWAng27ykJ9VLK0T_UsJIfe6ud0xoKRJjhN0Ptb_QhifOrZhkMY_imMYLTzkyyJH8Gyni3dbgU3RNWMrK2gBvv1KUNP5jjwWtG_PO8giFzbZeB3bpZnwa4VV5NX9MiZHEU1hGElFWjElnHx0K1ol6OY1rDlFW', 'width': 3000}]",True,,"{'compound_code': 'PXGG+J2 Jemaras, East Kotawaringin Regency, Central Kalimantan, Indonesia', 'global_code': '6P9JPXGG+J2'}",https://www.google.com/maps/place/?q=place_id:ChIJsyLBgxm14i0RbU1QOWicI3k
CLOSED_TEMPORARILY,"JX68+5MP, Bajarum, Kota Besi, East Kotawaringin Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.3895421, 'lng': 112.9666904}, 'viewport': {'northeast': {'lat': -2.387888620107278, 'lng': 112.9680879298927}, 'southwest': {'lat': -2.390588279892722, 'lng': 112.9653882701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Sengon BAJARUM (BJ),ChIJKUii4V634i0RlTegOt2VfX4,5,ChIJKUii4V634i0RlTegOt2VfX4,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111962787108242367463"">A Google User</a>'], 'photo_reference': 'AUGGfZm50rS1DDAAHXn_6WUKjqq5PuqgcSEGvw06OA7aY5URlflwqm91nTw4nPy7AmTCgK3k9MHtTA7GOjvGTGs-DoY48cbbBSmvfiwvpzIaRjMNWsMdZZA3WLDf925MDZ8tuMw5ci4_w7rELhKBQHpEzvk86HB1K1ZdzH-QkehZeOKRLSzI', 'width': 2448}]",True,,,https://www.google.com/maps/place/?q=place_id:ChIJKUii4V634i0RlTegOt2VfX4
CLOSED_TEMPORARILY,"QR4V+3PW, Pamalian, Kota Besi, East Kotawaringin Regency, Central Kalimantan 74354, Indonesia","{'location': {'lat': -2.2451216, 'lng': 112.8444011}, 'viewport': {'northeast': {'lat': -2.243768070107278, 'lng': 112.8456164798927}, 'southwest': {'lat': -2.246467729892723, 'lng': 112.8429168201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata bukit lahuwa,ChIJ44UQTzJN_S0RHwhtFmZHpWE,3,ChIJ44UQTzJN_S0RHwhtFmZHpWE,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107454604552545570862"">A Google User</a>'], 'photo_reference': 'AUGGfZlsnZ1wxdaihutYNi_bOa-WXanmEdlwrbbIg9tTIBzWnicEtnnji6zyJLS1fuKUmv-OpO4C40_Nsh9NOgnQBASj0mMbCLrGOjSsRvnC_jpZaLc4Zs0UnKgEdrM0DEb2p13052lYm6jH_Lw-FTFT0-ni8yqvY9bgKPH7vWsy9sKiA7J9', 'width': 3000}]",True,,,https://www.google.com/maps/place/?q=place_id:ChIJ44UQTzJN_S0RHwhtFmZHpWE
