business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,url
OPERATIONAL,"6W49+2X2, Jl. H.M. Arsyad, Bapanggang Raya, Kabupaten Kotawaringin Timur, Indonesia","{'location': {'lat': -2.7949955, 'lng': 112.9198995}, 'viewport': {'northeast': {'lat': -2.793645670107277, 'lng': 112.9212493298927}, 'southwest': {'lat': -2.796345329892722, 'lng': 112.9185496701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bapanggang Raya,ChIJaWwJKwCL4i0RYsQm2rfa24U,5.0,ChIJaWwJKwCL4i0RYsQm2rfa24U,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJaWwJKwCL4i0RYsQm2rfa24U
OPERATIONAL,"Makarti Jaya, Pulau Hanaut, East Kotawaringin Regency, Central Kalimantan 74362, Indonesia","{'location': {'lat': -2.743826, 'lng': 112.946966}, 'viewport': {'northeast': {'lat': -2.742476170107278, 'lng': 112.9483158298927}, 'southwest': {'lat': -2.745175829892722, 'lng': 112.9456161701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok indah,ChIJRQtfaiaN4i0RRLozruZcD6k,5.0,ChIJRQtfaiaN4i0RRLozruZcD6k,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108032877399624578642"">Didik Utomo</a>'], 'photo_reference': 'AUGGfZnvNgdcPytnOckP0KMjh3fKSVtwiAUnP2jHcXdckHw0Iz6RqDocshfdh5EhzUkuzMQigRLOCg9jsuoWxZG-T-O9RO5jG4kP5DcFID2e5i3IjQ57pd3DqFqZMlpGa-OjmAeLjHGmO8RQi-vkld1rHN4A5UksApA2IPLQ8yH8Av3B7pru', 'width': 3024}]","{'compound_code': '7W4W+FQ Makarti Jaya, East Kotawaringin Regency, Central Kalimantan, Indonesia', 'global_code': '6P9J7W4W+FQ'}",https://www.google.com/maps/place/?q=place_id:ChIJRQtfaiaN4i0RRLozruZcD6k
OPERATIONAL,"hm arsyad km 6 jalur 8 bengkuang makmur, Mentawa Baru Hilir, Kec. Mentawa Baru Ketapang, Kabupaten Kotawaringin Timur, Kalimantan Tengah 74322, Indonesia","{'location': {'lat': -2.5795817, 'lng': 112.9095704}, 'viewport': {'northeast': {'lat': -2.578231870107277, 'lng': 112.9109202298927}, 'southwest': {'lat': -2.580931529892722, 'lng': 112.9082205701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,agrojaya kotim 3,ChIJybVcmuGV4i0RKhKSjiCTUG8,3.0,ChIJybVcmuGV4i0RKhKSjiCTUG8,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112607079388292620213"">A Google User</a>'], 'photo_reference': 'AUGGfZlJdq6ZqXoPwVJe60izDqH_N_-F1pqfh35cQXXIygz0iPgxlck6wyTlX2PUORMWuWjB03epTJOznohGeLz365NhezqpKLR3vS6idLYRzk8tpic-pIgaxfFSBHyPt19Nrlb1gRXedCkdP6hNLN4bi5KNdzqMhGovbq6Km2WjjKgJwRjA', 'width': 3120}]","{'compound_code': 'CWC5+5R Mentawa Baru Hilir, East Kotawaringin Regency, Central Kalimantan, Indonesia', 'global_code': '6P9JCWC5+5R'}",https://www.google.com/maps/place/?q=place_id:ChIJybVcmuGV4i0RKhKSjiCTUG8
OPERATIONAL,"FXR5+Q44, Jl. Cilik Riwut No.km. 5, Baamang Tengah, Kec. Baamang, Kabupaten Kotawaringin Timur, Kalimantan Tengah, Indonesia","{'location': {'lat': -2.5057446, 'lng': 112.9600468}, 'viewport': {'northeast': {'lat': -2.504387170107278, 'lng': 112.9613890798927}, 'southwest': {'lat': -2.507086829892722, 'lng': 112.9586894201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Terowongan NUR MENTAYA,ChIJh4ZD9Vm_4i0RTeEatxF2pl4,4.5,ChIJh4ZD9Vm_4i0RTeEatxF2pl4,"['tourist_attraction', 'point_of_interest', 'establishment']",64.0,{'open_now': True},"[{'height': 1199, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104494966084884363215"">A Google User</a>'], 'photo_reference': 'AUGGfZkp5t6daWacjqkOYVNAjR0nbFTeP_agVObKXj6LyUJqSrEhChgJgzjlYBsS6bx2kctLzIx1fa5UBWqqVOaC3twfwfMojVD3k2hMS4KMR21jykfAw2QJuWdNTZSaLlYGjUtVu7aV67_AZCSutuOUfO2KNe93G8CIN1LUE0T3UxXfHgUV', 'width': 828}]",,https://www.google.com/maps/place/?q=place_id:ChIJh4ZD9Vm_4i0RTeEatxF2pl4
OPERATIONAL,"FX58+G3H, Mentawa Baru Hulu, Mentawa Baru Ketapang, East Kotawaringin Regency, Central Kalimantan 74321, Indonesia","{'location': {'lat': -2.5411788, 'lng': 112.9652412}, 'viewport': {'northeast': {'lat': -2.539848070107277, 'lng': 112.9665867298927}, 'southwest': {'lat': -2.542547729892722, 'lng': 112.9638870701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Susur sungai mentaya sampit,ChIJa5ZqApS_4i0RFJeHFnZoQP4,4.7,ChIJa5ZqApS_4i0RFJeHFnZoQP4,"['tourist_attraction', 'point_of_interest', 'establishment']",21.0,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115594500388031622515"">Frimadi Chandra</a>'], 'photo_reference': 'AUGGfZkq5p9NFZ-H1RDNewtE2JUFZXRSz-KKhebZyu6Mp8-n8p5sMGQmjcQIPEZdmClvS-RwszwZQAQOjVAymQU0BrJ57CqmRlknjrmZpx7LoT3X0ZqtxrllwBZY2wYTbjdT2oZ-SJL1H-Vmpqea6lOLJbkz3aaLkOHLUsqWpnSHu5DoxlIG', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJa5ZqApS_4i0RFJeHFnZoQP4
OPERATIONAL,"FV4C+M8, Pasir Putih, Mentawa Baru Ketapang, East Kotawaringin Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.5432655, 'lng': 112.870754}, 'viewport': {'northeast': {'lat': -2.541816570107278, 'lng': 112.8719935798927}, 'southwest': {'lat': -2.544516229892722, 'lng': 112.8692939201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hary flora nursery,ChIJucetewC94i0Ref7xpcAucNU,0.0,ChIJucetewC94i0Ref7xpcAucNU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJucetewC94i0Ref7xpcAucNU
OPERATIONAL,"CXW7+JX6, Jl. Iskandar, Ketapang, Kec. Mentawa Baru Ketapang, Kabupaten Kotawaringin Timur, Kalimantan Tengah 74321, Indonesia","{'location': {'lat': -2.5537188, 'lng': 112.9658615}, 'viewport': {'northeast': {'lat': -2.552490870107278, 'lng': 112.9667111298927}, 'southwest': {'lat': -2.555190529892723, 'lng': 112.9640114701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Mentaya,ChIJHzjw5WK_4i0RMUDUiPw-GNs,4.3,ChIJHzjw5WK_4i0RMUDUiPw-GNs,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,,"[{'height': 846, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107496140100219145649"">endih herawandih</a>'], 'photo_reference': 'AUGGfZkgm6K8fywD-wzIA38F4Y6eR5nqM9eQILLWozHTkmrJuf1AcMapE3k0TMurcLFexWZ0PWrTps1IHR5GKdiOtIEN9LqBjYLpK_2d6URWdyFWhLAIIn0Uu5hfkOciItQdCC4kjMqUEkFsUdO2iPytvExVW8mx7zS-o9Ca8FEuiDe1t0pe', 'width': 1430}]",,https://www.google.com/maps/place/?q=place_id:ChIJHzjw5WK_4i0RMUDUiPw-GNs
OPERATIONAL,"7R4W+RP, Bagendang Hilir Permai, Mentaya Hilir Utara, East Kotawaringin Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.7428911, 'lng': 112.8468529}, 'viewport': {'northeast': {'lat': -2.741541270107278, 'lng': 112.8482027298927}, 'southwest': {'lat': -2.744240929892722, 'lng': 112.8455030701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Jalur 1 seberang,ChIJOdDl94aP4i0RCBnysjYGAPY,4.5,ChIJOdDl94aP4i0RCBnysjYGAPY,"['park', 'point_of_interest', 'establishment']",2.0,,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111248775219892523677"">A Google User</a>'], 'photo_reference': 'AUGGfZlyQ76UfzGaLMjn7XhorqfGodHqwRlKETUoNSXTizobQ-XhC5vToLRfv7uH1tcDOtl8sOnoADjLdxogsR4nCGft0G3BpGOBDmTzOV5_-p1V_zbb1g0JAQaPkaCZDc8OGkoBuUEb9rxQ1qBgnfSsmTQyAzzhzhiZ4J6BsytCgDlYAKyb', 'width': 2448}]",,https://www.google.com/maps/place/?q=place_id:ChIJOdDl94aP4i0RCBnysjYGAPY
OPERATIONAL,"FX57+7WH, Mentawa Baru Hulu, Mentawa Baru Ketapang, East Kotawaringin Regency, Central Kalimantan 74321, Indonesia","{'location': {'lat': -2.5418024, 'lng': 112.9648496}, 'viewport': {'northeast': {'lat': -2.540473320107278, 'lng': 112.9661071798927}, 'southwest': {'lat': -2.543172979892722, 'lng': 112.9634075201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dermaga Susur Sungai Mentaya,ChIJhc1s9IG_4i0RTMvXbWQ3ugE,4.0,ChIJhc1s9IG_4i0RTMvXbWQ3ugE,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101107900341695522788"">A Google User</a>'], 'photo_reference': 'AUGGfZnKC7NKYH4EhedeTKQ_xAMkaAUXWIDeduaUOUCPLo8Aoag2rPprKIdMS-ABa3rB1iiTw6a8XzpIkJrbwNx4NAScdhdx5BBSzmAVvK6AWgScKaeyY07MmxcrHUJOvbCkLomLYaiXwQdC1cQU9RsVJC_n9dqw8XW7XUPyZmaGrDyiq4xS', 'width': 1872}]",,https://www.google.com/maps/place/?q=place_id:ChIJhc1s9IG_4i0RTMvXbWQ3ugE
OPERATIONAL,"Mentaya Seberang, Seranau, East Kotawaringin Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.5750849, 'lng': 112.9966988}, 'viewport': {'northeast': {'lat': -2.572963899999999, 'lng': 113.0026337}, 'southwest': {'lat': -2.5757919, 'lng': 112.9947205}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,terawan seranau,ChIJyfyFEQCV4i0RIFXCUJHlWLM,5.0,ChIJyfyFEQCV4i0RIFXCUJHlWLM,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102815785821059990229"">A Google User</a>'], 'photo_reference': 'AUGGfZkFwmha_L5gMiOt6tgQQ1ZyHATDbaADx88u_KE4aKQ-XGm-sLYHFw_-7s8ce6dGROiLfqq2K_6t9Soj-xWivFXFhZCP_nuryJWpxrTIBFMZjZuPumcUe6-qAxEbiFMkIXrsHWcNURdu-I8viSoD4Xg4GCE-IPS0cen75J9ytLepERBC', 'width': 4160}]","{'compound_code': 'CXFW+XM Mentaya Seberang, East Kotawaringin Regency, Central Kalimantan, Indonesia', 'global_code': '6P9JCXFW+XM'}",https://www.google.com/maps/place/?q=place_id:ChIJyfyFEQCV4i0RIFXCUJHlWLM
