business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Pasar Taluk, Kuantan Tengah, Kuantan Singingi Regency, Riau 29566, Indonesia","{'location': {'lat': -0.5326261, 'lng': 101.5712908}, 'viewport': {'northeast': {'lat': -0.5314085201072778, 'lng': 101.5724993298927}, 'southwest': {'lat': -0.5341081798927222, 'lng': 101.5697996701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Jalur,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111203631423059658121"">Nadila Aulia</a>'], 'photo_reference': 'AUGGfZn4jn2yNkd9Um9gY8umOdk6upilqM942ReX10WMNz35SJOuCXZ11hwpYdCcQY8ICGe199l6T8KJHFBtM485LZx10fH6kgaXNw1jVMNOWNJ28b_AlP3AbZGIOd5NuTK4rm29L4oScpGEBo4CdhNVPHYPwbR_VgIu9MhZy_Y7o6uVMjU8', 'width': 4000}]",ChIJEX7ZRjVMKi4RK6kk5v3V-uA,"{'compound_code': 'FH8C+WG Pasar Taluk, Kuantan Singingi Regency, Riau, Indonesia', 'global_code': '6PF3FH8C+WG'}",4.4,ChIJEX7ZRjVMKi4RK6kk5v3V-uA,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",2327,https://www.google.com/maps/place/?q=place_id:ChIJEX7ZRjVMKi4RK6kk5v3V-uA
OPERATIONAL,"FH8C+447, Jl. Kesehantan, Koto Taluk, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566, Indonesia","{'location': {'lat': -0.5347012999999999, 'lng': 101.5702936}, 'viewport': {'northeast': {'lat': -0.5332811201072777, 'lng': 101.5715887798927}, 'southwest': {'lat': -0.5359807798927222, 'lng': 101.5688891201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pacu Jalur Kuansing,{},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101170028126589260692"">Willy Nenk</a>'], 'photo_reference': 'AUGGfZkJHH0KUAlCAydhJ6e3S1d0gCzcBr-x1Nq3CMYZ6S29tHPcvo4e1UTV3zNl6vabIHulQqKWaVHhsQRdtaM3kPvNJ31UsO6RPreAuHoLuIlBHHfsQ9dcopvyxBrtFHFGEXkiv1rUEmOjkGpeRj-iUAqZGhttI0cSURKGRkx28CFt69ZX', 'width': 3264}]",ChIJRak1tUpMKi4RJAX7-4NfqLc,,4.4,ChIJRak1tUpMKi4RJAX7-4NfqLc,"['tourist_attraction', 'point_of_interest', 'establishment']",90,https://www.google.com/maps/place/?q=place_id:ChIJRak1tUpMKi4RJAX7-4NfqLc
OPERATIONAL,"FH6P+544, Unnamed Road, Seberang Tlk. Hilir, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566, Indonesia","{'location': {'lat': -0.5396112, 'lng': 101.5853184}, 'viewport': {'northeast': {'lat': -0.5383358701072777, 'lng': 101.5865339298927}, 'southwest': {'lat': -0.5410355298927222, 'lng': 101.5838342701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tabijo,,,ChIJKXXe8S5NKi4RahESNUaT3K8,,4.0,ChIJKXXe8S5NKi4RahESNUaT3K8,"['tourist_attraction', 'point_of_interest', 'establishment']",4,https://www.google.com/maps/place/?q=place_id:ChIJKXXe8S5NKi4RahESNUaT3K8
OPERATIONAL,"FH8C+MHH, Pasar Taluk, Kuantan Tengah, Kuantan Singingi Regency, Riau 29566, Indonesia","{'location': {'lat': -0.5333125, 'lng': 101.5714844}, 'viewport': {'northeast': {'lat': -0.5319801201072777, 'lng': 101.5728658798927}, 'southwest': {'lat': -0.5346797798927222, 'lng': 101.5701662201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kuansing Pict,{'open_now': True},,ChIJpa_E3BlNKi4R13_W4UhCzk4,,0.0,ChIJpa_E3BlNKi4R13_W4UhCzk4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJpa_E3BlNKi4R13_W4UhCzk4
OPERATIONAL,"FHPV+QC5, Pulau Komang, Kuantan Tengah, Kuantan Singingi Regency, Riau 29566, Indonesia","{'location': {'lat': -0.5131078, 'lng': 101.593602}, 'viewport': {'northeast': {'lat': -0.5117353701072778, 'lng': 101.5949733798927}, 'southwest': {'lat': -0.5144350298927223, 'lng': 101.5922737201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Camp pahlawan kuantan cahayo kuansing,,"[{'height': 4144, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108143877816854255169"">A Google User</a>'], 'photo_reference': 'AUGGfZkS-OJERPmJtsEaThY22Ta8t29vvkiK-Sv7uwWO_GL9lL_K9Ue2jCGTU0MkcCyR0-SpMZmjSCqpa_eEdmhevIurY5bIaneCyLHsXAWiAW4ofQtapglC6mPUhLn9maYO_4sztmqSLwaKA71y1cpcgOmaXFCdsl_Lp-qpMy88wcvQqu9x', 'width': 1968}]",ChIJJz7ZQk1PKi4RwIREzjvHVi0,,5.0,ChIJJz7ZQk1PKi4RwIREzjvHVi0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJJz7ZQk1PKi4RwIREzjvHVi0
OPERATIONAL,"Jalan Jendral Sudirman, Sawah, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566, Indonesia","{'location': {'lat': -0.5138623999999999, 'lng': 101.5793531}, 'viewport': {'northeast': {'lat': -0.5125179701072776, 'lng': 101.5806982798927}, 'southwest': {'lat': -0.5152176298927221, 'lng': 101.5779986201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TAMAN WISATA SURYA FAM'S,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111803274300095002352"">A Google User</a>'], 'photo_reference': 'AUGGfZnsSaZbpbvp9FhZ3nLOEBkWXpo8r9YqUIReeqdVZh7u9Ij-SeKYb4IQw_s5z7kHaII_J6oRCQ6jrEULXtmBGoVB3ahqh_Sm5QesVR8gM953fsKaKi3wKdX52GPPmZOk3ldIoTz0SSPtMmjZ0NIci_BtaIJBn39L9-0N8JAL_fXal4HM', 'width': 3264}]",ChIJwWleUHlPKi4RgFli9XbsfNQ,"{'compound_code': 'FHPH+FP Sawah, Kuantan Singingi Regency, Riau, Indonesia', 'global_code': '6PF3FHPH+FP'}",4.6,ChIJwWleUHlPKi4RgFli9XbsfNQ,"['tourist_attraction', 'point_of_interest', 'establishment']",29,https://www.google.com/maps/place/?q=place_id:ChIJwWleUHlPKi4RgFli9XbsfNQ
OPERATIONAL,"Jl. Rusdi S. Abrus, Sungai Jering, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566, Indonesia","{'location': {'lat': -0.5155671, 'lng': 101.5336164}, 'viewport': {'northeast': {'lat': -0.5142384701072779, 'lng': 101.5350086298927}, 'southwest': {'lat': -0.5169381298927223, 'lng': 101.5323089701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KEBUN TIN KUANSING,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111784180161023824553"">A Google User</a>'], 'photo_reference': 'AUGGfZmfkx3tOEPi6nK6NY_axa7c-qyPI6st_kDIBTszMe0t1ZddT1qERy66WD_EO9QDqh8Rfu0o5ZP6ev-e8pEwrsqrSRurxP64E944tkpxyxMuZ5-zUvIVPPakzLG4JcMHPpsTA9YPVcOLt8GTw-ryeV_Lw0pBPxdCQHL3vSTM-snODZiZ', 'width': 4032}]",ChIJieRWfrZNKi4Rbam29Pzv4ng,"{'compound_code': 'FGMM+QC Sungai Jering, Kuantan Singingi Regency, Riau, Indonesia', 'global_code': '6PF3FGMM+QC'}",5.0,ChIJieRWfrZNKi4Rbam29Pzv4ng,"['tourist_attraction', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJieRWfrZNKi4Rbam29Pzv4ng
OPERATIONAL,"FH69+5M9, Koto Taluk, Kuantan Tengah, Kuantan Singingi Regency, Riau 29566, Indonesia","{'location': {'lat': -0.5395898, 'lng': 101.5692332}, 'viewport': {'northeast': {'lat': -0.5382335701072777, 'lng': 101.5706024298927}, 'southwest': {'lat': -0.5409332298927222, 'lng': 101.5679027701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kandang jalur giriang giriang perak gonto kuantan,,"[{'height': 1048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116536615467774879709"">A Google User</a>'], 'photo_reference': 'AUGGfZk9capzBUoFYTAL5LhtrTtWTphRkjRwAID-M2VTlAQINv9tIQTSzms7lGHnwmoP_85z0RtsdFf10lsBLE5yY_fWt4REaHklbslgGD6S2JJM8kiL_rs1j9IU0cP6e9FLY2qQlG8IMY814ZVZtBOWYuoyb-rVs474Lt4Xe_wDb3ihb5Sn', 'width': 1080}]",ChIJ3ZoMTABNKi4RxJFD8oIaU3U,,5.0,ChIJ3ZoMTABNKi4RxJFD8oIaU3U,"['tourist_attraction', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJ3ZoMTABNKi4RxJFD8oIaU3U
OPERATIONAL,"FH89+5WQ, Pasar Taluk, Kuantan Tengah, Kuantan Singingi Regency, Riau 29566, Indonesia","{'location': {'lat': -0.5343479999999999, 'lng': 101.5697481}, 'viewport': {'northeast': {'lat': -0.5329479201072778, 'lng': 101.5710164298927}, 'southwest': {'lat': -0.5356475798927222, 'lng': 101.5683167701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai gelombang,,,ChIJvUi-WAFNKi4ReovnwEOgFGU,,0.0,ChIJvUi-WAFNKi4ReovnwEOgFGU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJvUi-WAFNKi4ReovnwEOgFGU
OPERATIONAL,"FH79+CFR, Koto Taluk, Kuantan Tengah, Kuantan Singingi Regency, Riau 29566, Indonesia","{'location': {'lat': -0.536388, 'lng': 101.5686293}, 'viewport': {'northeast': {'lat': -0.5350519701072777, 'lng': 101.5700586798927}, 'southwest': {'lat': -0.5377516298927222, 'lng': 101.5673590201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Forest City Attractions Bungin,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111194825971440356588"">A Google User</a>'], 'photo_reference': 'AUGGfZlSWQHc-Q6w1SBUKWAdFAz2gWWkocDA9oZ9IXbwGocPu5XUgA14vFA42_ORCA1nr8Z2QwzgfcYlmAyLv9WDhOUkX7TqZt5ih6hpF6iiKnlUNq1Eo4JtR1f8vwb9x4MOZp-CKJcXSr6sxlVhyHZWBpWDWrb7ol83sXLq8GV-Fg5_QGRE', 'width': 4608}]",ChIJxa9Z5rRNKi4RrKMep1x-qkU,,4.1,ChIJxa9Z5rRNKi4RrKMep1x-qkU,"['tourist_attraction', 'point_of_interest', 'establishment']",176,https://www.google.com/maps/place/?q=place_id:ChIJxa9Z5rRNKi4RrKMep1x-qkU
