business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"PRMV+H7, Empakuq, Melak, West Kutai Regency, East Kalimantan, Indonesia","{'location': {'lat': -0.2660624, 'lng': 115.8431415}, 'viewport': {'northeast': {'lat': -0.2643184201072778, 'lng': 115.8439652}, 'southwest': {'lat': -0.2670180798927222, 'lng': 115.8406704}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Gosong,ChIJHaIi0JHz9y0RXyivUc90TQU,0.0,ChIJHaIi0JHz9y0RXyivUc90TQU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJHaIi0JHz9y0RXyivUc90TQU
OPERATIONAL,"QQVQ+P4R, Muara Benangaq, Melak, West Kutai Regency, East Kalimantan 75765, Indonesia","{'location': {'lat': -0.2056418, 'lng': 115.7877727}, 'viewport': {'northeast': {'lat': -0.2042919701072778, 'lng': 115.7891225298927}, 'southwest': {'lat': -0.2069916298927222, 'lng': 115.7864228701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cagar Budaya Sentawar,ChIJZbtgsd_z9y0R50I7wH08_as,4.0,ChIJZbtgsd_z9y0R50I7wH08_as,"['tourist_attraction', 'point_of_interest', 'establishment']",10,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114412549918472824284"">joe ruddy</a>'], 'photo_reference': 'AUGGfZleh9FTEAGuUpidW_DpC1d4RT0bhLfqAtOGT8EynPWPZdAilBVvJwAqS07qdJix8aGo8eyQWKcygjKu_87VlAc06wYCzO0R-x_uGDMOPO7f7yTRIxscXa98Zk3vGNoQ5-wrWJMIpy_iWWjP9qH-UTTk0M42oP-kUcNyV2rPk3Y9TxCh', 'width': 4608}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJZbtgsd_z9y0R50I7wH08_as
OPERATIONAL,"QR8Q+9G, Melak Hilir, Kec. Melak, Kabupaten Kutai Barat, Kalimantan Timur, Indonesia","{'location': {'lat': -0.2340625, 'lng': 115.8388125}, 'viewport': {'northeast': {'lat': -0.2328399201072778, 'lng': 115.8400764298927}, 'southwest': {'lat': -0.2355395798927223, 'lng': 115.8373767701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pasir Muara Siam Melak,ChIJW4Q33Z_z9y0REhcoRO6dxaw,5.0,ChIJW4Q33Z_z9y0REhcoRO6dxaw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 415, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111994035343403441045"">zaitun hanani</a>'], 'photo_reference': 'AUGGfZmVnohpe6JYQw_Lr-70tC8UQZRDXT6GOwpwkpEV50cULMbVPN-pOoSuV3uncFthvWDjwFt6Xs1xDOD9-I8K4G7sRhdsasglMYzvd4WsWe6iax-eFwe_dot7SU4QZMvq4tW1vdmPLrV_phxqk2g6hJ5tpc0WP1JHwXC_bTq8xPKkURYF', 'width': 737}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJW4Q33Z_z9y0REhcoRO6dxaw
OPERATIONAL,"QQFQ+QG, Muara Benangaq, Melak, West Kutai Regency, East Kalimantan 75775, Indonesia","{'location': {'lat': -0.2255682, 'lng': 115.788856}, 'viewport': {'northeast': {'lat': -0.2238820499999999, 'lng': 115.7903264798927}, 'southwest': {'lat': -0.2306266500000001, 'lng': 115.7876268201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hutan royok,ChIJ5ylePqvz9y0RNURg0R0ae2M,5.0,ChIJ5ylePqvz9y0RNURg0R0ae2M,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 4448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101375960487542749569"">Sapi Sapi</a>'], 'photo_reference': 'AUGGfZlwANtTURLC3xfstkp4rkQYVYENiMKVvlm1XJkY6lKYDdshF5kx5gl959GNRrgRyNYvy3hc00VWxO7wiLZ4mkVQ_7jrRzNrGjWzWHnOAOCkMr3anirnhkQyZ4OxEkyNWM3i9_z5ANGYFCs5t1FtPikoZohA92UwTKJnPOf0SaBBu89G', 'width': 3359}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ5ylePqvz9y0RNURg0R0ae2M
OPERATIONAL,"PRGW+XW, Empakuq, Melak, West Kutai Regency, East Kalimantan, Indonesia","{'location': {'lat': -0.2725188, 'lng': 115.8472604}, 'viewport': {'northeast': {'lat': -0.271757, 'lng': 115.8481183}, 'southwest': {'lat': -0.2748042, 'lng': 115.8446867}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Sedulang,ChIJ1110aeON9y0RmZ6drXev1xw,5.0,ChIJ1110aeON9y0RmZ6drXev1xw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108488703657631502035"">A Google User</a>'], 'photo_reference': 'AUGGfZka0q8WncATeHRhjqLj0IZn2Vz-ECFv5aQEnA1Mrs0UMfYK3RfNm_riKAV3_66riN_m9OHkhoeYvSs4vzN57u0cTbb80zaJDvroG0URVkXE-W_aMUgoiX8-X4O4NG4r-NL4chA_u8aNt1OnnNlNxIsckp_NtjGH1mz4z6qQ4QTsSNoa', 'width': 1872}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ1110aeON9y0RmZ6drXev1xw
OPERATIONAL,"QR53+CMC, Melak Ulu, Melak, West Kutai Regency, East Kalimantan 75775, Indonesia","{'location': {'lat': -0.2414379, 'lng': 115.80413}, 'viewport': {'northeast': {'lat': -0.2401860201072777, 'lng': 115.8054636298927}, 'southwest': {'lat': -0.2428856798927222, 'lng': 115.8027639701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JB Sumarlin,ChIJb-34_1Lz9y0RNkTH71fOFeA,4.3,ChIJb-34_1Lz9y0RNkTH71fOFeA,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,,https://www.google.com/maps/place/?q=place_id:ChIJb-34_1Lz9y0RNkTH71fOFeA
OPERATIONAL,"PV74+WW8, Empakuq, Melak, West Kutai Regency, East Kalimantan 75775, Indonesia","{'location': {'lat': -0.2851676, 'lng': 115.8574133}, 'viewport': {'northeast': {'lat': -0.2838795201072778, 'lng': 115.8587529798928}, 'southwest': {'lat': -0.2865791798927222, 'lng': 115.8560533201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemandian Umum Empakuq,ChIJRSD7GcaT9y0RVsfTLOcyYhg,5.0,ChIJRSD7GcaT9y0RVsfTLOcyYhg,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,,https://www.google.com/maps/place/?q=place_id:ChIJRSD7GcaT9y0RVsfTLOcyYhg
OPERATIONAL,"PRX4+QFG, Melak Ulu, Melak, West Kutai Regency, East Kalimantan 75775, Indonesia","{'location': {'lat': -0.2505749, 'lng': 115.8062179}, 'viewport': {'northeast': {'lat': -0.2490581201072778, 'lng': 115.8074513798928}, 'southwest': {'lat': -0.2517577798927222, 'lng': 115.8047517201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Rapak Jaya,ChIJf01Um0Pz9y0R8KaMrw397r4,1.0,ChIJf01Um0Pz9y0R8KaMrw397r4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109067790646587969576"">A Google User</a>'], 'photo_reference': 'AUGGfZlqf86zoc_lR2vAkIU0NuZxabtJNPW7bKzx4sOk1GrENO544gNWKlsqHNSZBvaodkdrHCkE4TrWcgsSzE5ff404OVyuk_fA_fJd__iDziSdgVki4Loo6VuOYVWf16NHQUmQOerAmS2nUHmeOaqRUa5ZnJmWprjjRGTqnDYdDczmuftw', 'width': 4080}]",{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJf01Um0Pz9y0R8KaMrw397r4
OPERATIONAL,"Melak Ilir, Melak, West Kutai Regency, East Kalimantan 75775, Indonesia","{'location': {'lat': -0.2453721, 'lng': 115.8290847}, 'viewport': {'northeast': {'lat': -0.2439506201072777, 'lng': 115.8304145798927}, 'southwest': {'lat': -0.2466502798927222, 'lng': 115.8277149201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Danau Barong,ChIJc3cyyJLy9y0RT34gibexc6E,4.3,ChIJc3cyyJLy9y0RT34gibexc6E,"['park', 'point_of_interest', 'establishment']",74,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107111426511097660378"">Wahyu Wardhana</a>'], 'photo_reference': 'AUGGfZm38wNK4CC7D9F5-1ykWGOk8PedNJHTPpoYl97Mdgyb5MdXlWA3jXIP_p0fisRwC9Ov07iW7dlZxWIBE4yyuQsAfPILKdUKNoEggzWUbVgmZPRCPjD0l2WiT52OlCuqBD9NZzLAl15wCI88TcTj_lQf8pHKS_bv2gp7IMCLiVMpa4XU', 'width': 3024}]",{'open_now': True},"{'compound_code': 'QR3H+VJ Melak Ilir, West Kutai Regency, East Kalimantan, Indonesia', 'global_code': '6PFQQR3H+VJ'}",,https://www.google.com/maps/place/?q=place_id:ChIJc3cyyJLy9y0RT34gibexc6E
OPERATIONAL,"PQC5+X4J, Srimulyo, Sekolaq Darat, West Kutai Regency, East Kalimantan, Indonesia","{'location': {'lat': -0.2775315, 'lng': 115.7577765}, 'viewport': {'northeast': {'lat': -0.2761948701072778, 'lng': 115.7591015298927}, 'southwest': {'lat': -0.2788945298927223, 'lng': 115.7564018701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sekolaq darat,ChIJE0fk2EWN9y0R4KucHQcML48,3.0,ChIJE0fk2EWN9y0R4KucHQcML48,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107313284935894798801"">A Google User</a>'], 'photo_reference': 'AUGGfZmRxNPDoAFX2fa_wK73hSsWHf3AmTCGVOuxaz8Ciw1t7RpyatIgOF4bhfhv3FxNDqNBAUNAgLgZzazEfoHO9MgzU6VTjoNepghC8Y0oerdOLzew_r6tlBxaDfSqOjrHg4Wrl6eOUgI6YMEKw7BTN1Qsy1Qm0lEvdp7XlBDY6vJa4eeE', 'width': 1080}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJE0fk2EWN9y0R4KucHQcML48
