business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Janji Manahan Sil, Dolok, North Padang Lawas Regency, North Sumatra 22756, Indonesia","{'location': {'lat': 1.8123627, 'lng': 99.82165359999999}, 'viewport': {'northeast': {'lat': 1.81402745, 'lng': 99.82233792989273}, 'southwest': {'lat': 1.80736845, 'lng': 99.81963827010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Janjimanahan Sil,{'open_now': True},"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102473098772300205360"">A Google User</a>'], 'photo_reference': 'AUGGfZk4fuZI1jdY5VVU_NB3GmX-XywYPZeX_BIGlTnCWzjoFwWQTW-bh3JO_hhfwZdyUOSRPDW2glZHFn6PSp4jBGZH_V7saUHO1hOqQN88pdeeYnfmfM5dwFP13RL9y_3KhzAqvE0B6ogmYZBPMhzm9ONvSHpe_szhUU_9rsQdMdCPCNo', 'width': 1040}]",ChIJKSezT0yrLTARuAT1EqeXvMU,"{'compound_code': 'RR6C+WM Janji Manahan Sil, North Padang Lawas Regency, North Sumatra, Indonesia', 'global_code': '6MHXRR6C+WM'}",4.1,ChIJKSezT0yrLTARuAT1EqeXvMU,"['tourist_attraction', 'point_of_interest', 'establishment']",13,https://www.google.com/maps/place/?q=place_id:ChIJKSezT0yrLTARuAT1EqeXvMU
OPERATIONAL,"JR94+6QM, Cekdam desa, Sipaho, Kec. Halongonan, Kabupaten Padang Lawas Utara, Sumatera Utara 22753, Indonesia","{'location': {'lat': 1.6180878, 'lng': 99.8069141}, 'viewport': {'northeast': {'lat': 1.619276629892722, 'lng': 99.80838397989272}, 'southwest': {'lat': 1.616576970107278, 'lng': 99.80568432010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cekdam Desa Sipaho,,,ChIJIUzHbQBbLDARjOKEWQA3uNc,,0.0,ChIJIUzHbQBbLDARjOKEWQA3uNc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJIUzHbQBbLDARjOKEWQA3uNc
OPERATIONAL,"Situmbaga, Kabupaten Padang Lawas Utara, Sumatera Utara, Indonesia","{'location': {'lat': 1.6885082, 'lng': 99.901333}, 'viewport': {'northeast': {'lat': 1.689858029892722, 'lng': 99.90268282989274}, 'southwest': {'lat': 1.687158370107278, 'lng': 99.89998317010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ALL🕊️JAKARTA,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101103308437627984514"">A Google User</a>'], 'photo_reference': 'AUGGfZk7xIlAI-HaYoaxXTLBOwn4Zva_fEjCW4YHFj56mUxtyQg7Nq_vkrliV6udo4OpO_KartRWVWPaAvrCSpTFyx3pIKroWQCSuCyfG3Gc44rGEpiZE7Mxb1wHKjxoZlnerUJZGdiqI_x7XEUTiL9DM2HPgmY25xx_153n_jYMpm-pYlBe', 'width': 3264}]",ChIJI47CkK1XLDAR2RFd63GnOxA,"{'compound_code': 'MWQ2+CG Bolatan, North Padang Lawas Regency, North Sumatra, Indonesia', 'global_code': '6MHXMWQ2+CG'}",0.0,ChIJI47CkK1XLDAR2RFd63GnOxA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJI47CkK1XLDAR2RFd63GnOxA
OPERATIONAL,"QMJQ+QG, Sijantung Jae, Dolok, North Padang Lawas Regency, North Sumatra, Indonesia","{'location': {'lat': 1.7818867, 'lng': 99.68882459999999}, 'viewport': {'northeast': {'lat': 1.783236529892722, 'lng': 99.6901744298927}, 'southwest': {'lat': 1.780536870107278, 'lng': 99.68747477010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Bendungan Parigi kecamatan Dolok, kabupaten Padang lawas utara",,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114505161853784894486"">A Google User</a>'], 'photo_reference': 'AUGGfZlLzKhRkbDWM3CDFJhDHvftxIx_nNdzQXUX-jELEO6q2BlmsellbUntL9ja8_J32xdTd-QfinVvku16yz9Tvcg7F4jNHAq-SS46O17HbhnaPaMYRcK3HTzAfW022EyCcjCWVwHVx0WHtxZ-wg0eRrOya0PgZH8WEIHfTSbB4dWKkqSV', 'width': 1080}]",ChIJPUzEOABNLDAReqrL0AEmxjw,,3.0,ChIJPUzEOABNLDAReqrL0AEmxjw,"['tourist_attraction', 'point_of_interest', 'establishment']",2,https://www.google.com/maps/place/?q=place_id:ChIJPUzEOABNLDAReqrL0AEmxjw
OPERATIONAL,"Dusun Pulung Rejo, Desa, Mandala Sena, Kec. Silangkitang, Kab. Labuhanbatu Selatan, Sumatera Utara 21461, Indonesia","{'location': {'lat': 1.8947753, 'lng': 99.9779025}, 'viewport': {'northeast': {'lat': 1.896125129892722, 'lng': 99.97925232989273}, 'southwest': {'lat': 1.893425470107277, 'lng': 99.97655267010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Padang,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108841787979829627565"">A Google User</a>'], 'photo_reference': 'AUGGfZn2n2aQfmfcN_IWtOggGQGI6FMKOMIvgDowWtL3l9NIbabTzk9kezgSq8KktngATeB7dnnecPtXlPfzj6H2M09CSamdhM7udCVMvFddMcbk1WPXuLKhNvp4Obmswg51GdJhZOC7dQrsSTNWzn5FmZM5eBCBjH9prMCwI7RJd09_mDGM', 'width': 4160}]",ChIJaS5VUTQHLTARfBCcnrXmmLo,"{'compound_code': 'VXVH+W5 Mandala Sena, South Labuhan Batu Regency, North Sumatra, Indonesia', 'global_code': '6MHXVXVH+W5'}",4.0,ChIJaS5VUTQHLTARfBCcnrXmmLo,"['tourist_attraction', 'point_of_interest', 'establishment']",10,https://www.google.com/maps/place/?q=place_id:ChIJaS5VUTQHLTARfBCcnrXmmLo
OPERATIONAL,"XRJ3+8JQ, Nabundong, Dolok Sigompulon, North Padang Lawas Regency, North Sumatra 22756, Indonesia","{'location': {'lat': 1.9808457, 'lng': 99.8041245}, 'viewport': {'northeast': {'lat': 1.982195529892723, 'lng': 99.80547432989272}, 'southwest': {'lat': 1.979495870107278, 'lng': 99.80277467010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,NABUNDONG CORNER VIEW CAFE,{'open_now': True},"[{'height': 2610, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118058040235710284037"">imam munandar</a>'], 'photo_reference': 'AUGGfZkpDNRT9p3MZGlYnT8T2C8q4ccBSM_a33NdMnC2E6YiHVeGLMT1wCknp35c0MC-P0wUBs0t76d-PataVZB6maaV5GwO-UKAivoSpiYDPjS3bjSC4Oi3ZCk3ms3rcrY3atYfDiiMjn4D3rI2PLqIHpN6n0gSUFLQqQpwUSyVGxURgwrx', 'width': 4640}]",ChIJF99xuJelLTARlFry_MfONUo,,5.0,ChIJF99xuJelLTARlFry_MfONUo,"['tourist_attraction', 'point_of_interest', 'establishment']",2,https://www.google.com/maps/place/?q=place_id:ChIJF99xuJelLTARlFry_MfONUo
OPERATIONAL,"PJ79+WG3, Batu Tunggal, Halongonan, North Padang Lawas Regency, North Sumatra 22753, Indonesia","{'location': {'lat': 1.7147548, 'lng': 99.6188062}, 'viewport': {'northeast': {'lat': 1.715969929892722, 'lng': 99.62020522989272}, 'southwest': {'lat': 1.713270270107278, 'lng': 99.61750557010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu tunggal,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104656972330295925408"">A Google User</a>'], 'photo_reference': 'AUGGfZkZcWk9aJu_FIcu62Qcfvrlj3HxebqGdLkixKjfflzSNgzWcG1GcDfq_IA4dl7M3skJNjdUL6ZKDWiSkTst1jXv6pBgN4-3xuhJID0Bh_g6l2X5VgRrFA_tmngO4oI2WMxb2i88I_OZGzuNjYwkjSalO1DVIR0NHonOcLze4OToolWn', 'width': 4160}]",ChIJQ_vtTyJJLDAR59xwUNMyUQc,,0.0,ChIJQ_vtTyJJLDAR59xwUNMyUQc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJQ_vtTyJJLDAR59xwUNMyUQc
OPERATIONAL,"GW9W+X2, Mandasip, Simangambat, North Padang Lawas Regency, North Sumatra, Indonesia","{'location': {'lat': 1.5199154, 'lng': 99.94506469999999}, 'viewport': {'northeast': {'lat': 1.52095, 'lng': 99.94993610000003}, 'southwest': {'lat': 1.5168116, 'lng': 99.94344089999997}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Dzaky,{'open_now': True},,ChIJc56U-ur1LDARpna8o-1uPS8,,0.0,ChIJc56U-ur1LDARpna8o-1uPS8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJc56U-ur1LDARpna8o-1uPS8
OPERATIONAL,"QMM7+MWJ, Tanjung Longat, Dolok, North Padang Lawas Regency, North Sumatra 22756, Indonesia","{'location': {'lat': 1.7842241, 'lng': 99.6647636}, 'viewport': {'northeast': {'lat': 1.785573929892722, 'lng': 99.66611342989272}, 'southwest': {'lat': 1.782874270107278, 'lng': 99.66341377010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun Tanjung Longat,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102189669967961213362"">A Google User</a>'], 'photo_reference': 'AUGGfZm8zHXPvXihbaoD6170PjMGSg7J9uQuG98xWauEun_LWZ5H720fY9l8PyOVbf4BeBItMDWeU1RQG8KOywetsafkWamS-3XBwVMSCCxYz4lscP51x9JaPCZJGM6Meb-Hnkc3SnwMBFN33GYzoUXfmpicta2_NXUoRPDzMA2qCVAXD7vS', 'width': 1872}]",ChIJkbmJYcBNLDARTp3yHlXnhT4,,0.0,ChIJkbmJYcBNLDARTp3yHlXnhT4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJkbmJYcBNLDARTp3yHlXnhT4
OPERATIONAL,"QQR7+XHC, Sampean, Sibadar, South Labuhan Batu Regency, North Sumatra 21465, Indonesia","{'location': {'lat': 1.792432, 'lng': 99.7638772}, 'viewport': {'northeast': {'lat': 1.793701129892723, 'lng': 99.76517637989271}, 'southwest': {'lat': 1.791001470107278, 'lng': 99.76247672010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sibadar darat,,,ChIJDQl7NqdTLDARetOvxHFwTnc,,3.7,ChIJDQl7NqdTLDARetOvxHFwTnc,"['tourist_attraction', 'point_of_interest', 'establishment']",3,https://www.google.com/maps/place/?q=place_id:ChIJDQl7NqdTLDARetOvxHFwTnc
