business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"WGXJ+CQ, Beruta, Bulik, Lamandau Regency, Central Kalimantan 74162, Indonesia","{'location': {'lat': -2.0514682, 'lng': 111.5319492}, 'viewport': {'northeast': {'lat': -2.050323120107278, 'lng': 111.53446425}, 'southwest': {'lat': -2.053022779892722, 'lng': 111.53111085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Riam Batu Tatal atas,ChIJn4ndQB8_Bi4R33nDkKBo7s8,0.0,ChIJn4ndQB8_Bi4R33nDkKBo7s8,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJn4ndQB8_Bi4R33nDkKBo7s8
OPERATIONAL,"2MR3+95Q, Unnamed Road, Melata, Kec. Menthobi Raya, Kabupaten Lamandau, Kalimantan Tengah 74152, Indonesia","{'location': {'lat': -1.959041, 'lng': 111.652983}, 'viewport': {'northeast': {'lat': -1.957691170107277, 'lng': 111.6543328298927}, 'southwest': {'lat': -1.960390829892722, 'lng': 111.6516331701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Bukit Seluai,ChIJxcnN2ahHBi4Rf2lRQ8PECPA,0.0,ChIJxcnN2ahHBi4Rf2lRQ8PECPA,"['park', 'point_of_interest', 'establishment']",0.0,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115144168095330855333"">Ian Leon</a>'], 'photo_reference': 'AUGGfZmmY3Tn1RyqfgrPaA1gL6fXJ4wQ_6vakLeKHj3ELb5vfTo79MbeNoLCOWFsE3ADpGPK9PiQpnuntt9lcYxKbmtK3ihXG-KoMEar_YE2r2NhHNsA1jtdcmWJ-uAomLSVDJpUZcy7AW18lQFQFPmFPJ7_daXiXpVaOAThuzLAEnkhc-uX', 'width': 2448}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJxcnN2ahHBi4Rf2lRQ8PECPA
OPERATIONAL,"WG7P+2C, Sungai Mentawa, Bulik, Lamandau Regency, Central Kalimantan 74162, Indonesia","{'location': {'lat': -2.0873408, 'lng': 111.5369498}, 'viewport': {'northeast': {'lat': -2.086037670107277, 'lng': 111.53836005}, 'southwest': {'lat': -2.088737329892722, 'lng': 111.53271905}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PT sawit mitra abadi,ChIJaZ9-7RE9Bi4R9LqEV5-H0gA,0.0,ChIJaZ9-7RE9Bi4R9LqEV5-H0gA,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJaZ9-7RE9Bi4R9LqEV5-H0gA
OPERATIONAL,"VMW6+R2J, Sumber Jaya, Menthobi Raya, Lamandau Regency, Central Kalimantan 74117, Indonesia","{'location': {'lat': -2.102919, 'lng': 111.6600247}, 'viewport': {'northeast': {'lat': -2.102172870107278, 'lng': 111.6612802798927}, 'southwest': {'lat': -2.104872529892722, 'lng': 111.6585806201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Bukit batu,ChIJaxSoIwA7Bi4RRxqeiAw4bkc,0.0,ChIJaxSoIwA7Bi4RRxqeiAw4bkc,"['park', 'point_of_interest', 'establishment']",0.0,,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJaxSoIwA7Bi4RRxqeiAw4bkc
OPERATIONAL,"WM88+WMQ, Bukit Raya, Menthobi Raya, Lamandau Regency, Central Kalimantan 74117, Indonesia","{'location': {'lat': -2.0826738, 'lng': 111.6667242}, 'viewport': {'northeast': {'lat': -2.081323970107277, 'lng': 111.6680740298927}, 'southwest': {'lat': -2.084023629892722, 'lng': 111.6653743701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Bukit raya,ChIJJxwB7EkxBi4RUJ9_d4We8n8,4.3,ChIJJxwB7EkxBi4RUJ9_d4We8n8,"['park', 'point_of_interest', 'establishment']",9.0,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110750039941001559037"">A Google User</a>'], 'photo_reference': 'AUGGfZkF6Ck_7PsZFNOJzu4cLmngb_mbpuFU23W4aytAIOclDptLuUuhQc06QvrkTTrRDurAG0Jr0gpQ27TQ1WYGY8BKKonCXbe2LbwKe3iG2w_Yh14olnLU2J9Y-mNO2yr5BZZ7pOZmvxIkM_r4w9ZQPmhgRZZLqfIC7U5SvPUn8siapOnW', 'width': 4128}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJJxwB7EkxBi4RUJ9_d4We8n8
OPERATIONAL,"WJRW+24, Bukit Raya, Menthobi Raya, Lamandau Regency, Central Kalimantan 74117, Indonesia","{'location': {'lat': -2.0599183, 'lng': 111.64533}, 'viewport': {'northeast': {'lat': -2.05835395, 'lng': 111.6463945}, 'southwest': {'lat': -2.06461135, 'lng': 111.6421365}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hafis spot,ChIJe69JWfE5Bi4RVRRrXBQX_bo,5.0,ChIJe69JWfE5Bi4RVRRrXBQX_bo,"['lodging', 'point_of_interest', 'establishment']",1.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJe69JWfE5Bi4RVRRrXBQX_bo
OPERATIONAL,"jl.Rimba sahabat rt/rw 014/003, Wonorejo, Kec. Sematu Jaya, Kabupaten Lamandau, Kalimantan Tengah 74161, Indonesia","{'location': {'lat': -2.2536594, 'lng': 111.5653093}, 'viewport': {'northeast': {'lat': -2.252302520107277, 'lng': 111.5666567798927}, 'southwest': {'lat': -2.255002179892722, 'lng': 111.5639571201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Soetopo Dj,ChIJ-_cg8h0hBi4RVUMJXM5paK4,4.8,ChIJ-_cg8h0hBi4RVUMJXM5paK4,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,"[{'height': 809, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118316968998761204454"">A Google User</a>'], 'photo_reference': 'AUGGfZl37QOOaMp59rc_ydlcl_iIDI211Bs3PkyBim1GdB7LhHM3nDO0raVBmb8gP1EEWD4EijAwBLsWgbbef40xmybxWaim-72UMtwldfAVYO53E3i5GRw8U-RvIve0ShV5sXaPmvCu-aDaFCpdmYmiF70-S-0vnQRcGZcNkqFqMPiligyk', 'width': 719}]",{'open_now': True},"{'compound_code': 'PHW8+G4 Wonorejo, Lamandau Regency, Central Kalimantan, Indonesia', 'global_code': '6P9HPHW8+G4'}",,https://www.google.com/maps/place/?q=place_id:ChIJ-_cg8h0hBi4RVUMJXM5paK4
OPERATIONAL,"RF82+HXX, Jl. Batu Batanggui, Nanga Bulik, Kec. Bulik, Kabupaten Lamandau, Kalimantan Tengah 74161, Indonesia","{'location': {'lat': -2.183519, 'lng': 111.452472}, 'viewport': {'northeast': {'lat': -2.182087170107278, 'lng': 111.4539501298927}, 'southwest': {'lat': -2.184786829892722, 'lng': 111.4512504701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Batanggui,ChIJz6kMKAAZBi4ReWln8_m37aE,5.0,ChIJz6kMKAAZBi4ReWln8_m37aE,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJz6kMKAAZBi4ReWln8_m37aE
OPERATIONAL,"PGM5+HJ, Hambawang, Sematu Jaya, Lamandau Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.2660456, 'lng': 111.5090565}, 'viewport': {'northeast': {'lat': -2.2617973, 'lng': 111.5104031798927}, 'southwest': {'lat': -2.2674617, 'lng': 111.5077035201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau sematu,ChIJBzuw5FYhBi4RAvsnEg1IYPI,4.8,ChIJBzuw5FYhBi4RAvsnEg1IYPI,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107542432896828281464"">Indra Jaya</a>'], 'photo_reference': 'AUGGfZkyC0bc3L-xSUarKIr6XsOtbxDLNYtJt_82W0BGUNIoIyAAd8Q4LP-VVYiGH8d9q1b9CCh6Cuq29Z4hb5rP2EVJwjcDJm6A1ZA9H9ZffgTHA4r2bKenk9x_zwL2dgZeb16JTq6mfECncOrXRa8cZI6N6z61xADm5ENIpgVbzCPtGlSL', 'width': 4608}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJBzuw5FYhBi4RAvsnEg1IYPI
,"Menthobi Raya, Lamandau Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.050416, 'lng': 111.6153851}, 'viewport': {'northeast': {'lat': -1.739433, 'lng': 111.824371}, 'southwest': {'lat': -2.18235, 'lng': 111.515586}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Menthobi Raya,ChIJhwv_xH5IBi4R1wvU2P49EkU,,ChIJhwv_xH5IBi4R1wvU2P49EkU,"['administrative_area_level_3', 'political']",,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110572026252073414044"">dony soehendra</a>'], 'photo_reference': 'AUGGfZnKQ9_R7B-6LNLRAqbJMp0rqhZ7XeaHY5pxx4g5Ts-4I_-Shs_YR9f-WHERR2oxdXhCOKQikJGBUuA9zCT5KqdSu-3Pi8dhxH3JKv0MLS8js4OW7j_k2T7Q4ZyFfY4YCzWjQdnjNz4nfOmKwTKvQvJAM2w3cxtl0AabqSIu2DCNsOWv', 'width': 4128}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJhwv_xH5IBi4R1wvU2P49EkU
