business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,permanently_closed,opening_hours,photos,plus_code,url
OPERATIONAL,"28GR+W37, Purwosari, Batanghari Nuban, East Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.9727159, 'lng': 105.3401736}, 'viewport': {'northeast': {'lat': -4.971258570107278, 'lng': 105.3414486798927}, 'southwest': {'lat': -4.973958229892722, 'lng': 105.3387490201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mancing Gratis Live,ChIJ4XdvFwCjQC4RIODthNys57E,0.0,ChIJ4XdvFwCjQC4RIODthNys57E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4XdvFwCjQC4RIODthNys57E
CLOSED_TEMPORARILY,"X8RM+XJ3, Tulung Balak, Batanghari Nuban, East Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.0076125, 'lng': 105.3340469}, 'viewport': {'northeast': {'lat': -5.006280870107278, 'lng': 105.3354558298927}, 'southwest': {'lat': -5.008980529892722, 'lng': 105.3327561701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Wisnuu,ChIJw8FDCB6jQC4RgSZ7c-wsZpw,0.0,ChIJw8FDCB6jQC4RgSZ7c-wsZpw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,,https://www.google.com/maps/place/?q=place_id:ChIJw8FDCB6jQC4RgSZ7c-wsZpw
CLOSED_TEMPORARILY,"X96M+G9F, Gedung Dalam, Batanghari Nuban, East Lampung Regency, Lampung 34391, Indonesia","{'location': {'lat': -5.0386882, 'lng': 105.3834503}, 'viewport': {'northeast': {'lat': -5.037332920107278, 'lng': 105.3847900798927}, 'southwest': {'lat': -5.040032579892721, 'lng': 105.3820904201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jefri J,ChIJkYCVozOjQC4RNE1FwuAIm7M,0.0,ChIJkYCVozOjQC4RNE1FwuAIm7M,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,,https://www.google.com/maps/place/?q=place_id:ChIJkYCVozOjQC4RNE1FwuAIm7M
OPERATIONAL,"WC74+672, Gondang Rejo, Pekalongan, East Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.0869862, 'lng': 105.4056507}, 'viewport': {'northeast': {'lat': -5.085636370107278, 'lng': 105.4070005298927}, 'southwest': {'lat': -5.088336029892722, 'lng': 105.4043008701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rowo Kalung,ChIJbSy7TwC9QC4RQpxQtkH39dI,0.0,ChIJbSy7TwC9QC4RQpxQtkH39dI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJbSy7TwC9QC4RQpxQtkH39dI
OPERATIONAL,"VCP4+PJR, Bumi MAS, Batanghari, East Lampung Regency, Lampung 34381, Indonesia","{'location': {'lat': -5.1137298, 'lng': 105.4053875}, 'viewport': {'northeast': {'lat': -5.112140670107278, 'lng': 105.4071713298927}, 'southwest': {'lat': -5.114840329892722, 'lng': 105.4044716701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan 51,ChIJF9yv8UK9QC4RNSWKO5bGFbo,4.0,ChIJF9yv8UK9QC4RNSWKO5bGFbo,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJF9yv8UK9QC4RNSWKO5bGFbo
OPERATIONAL,"VCJ4+CX8, Sri Basuki, Batanghari, East Lampung Regency, Lampung 34381, Indonesia","{'location': {'lat': -5.1189506, 'lng': 105.4074424}, 'viewport': {'northeast': {'lat': -5.117619520107278, 'lng': 105.4089947298927}, 'southwest': {'lat': -5.120319179892722, 'lng': 105.4062950701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Banyu Langit,ChIJRbUsdRuXQC4Rot4U_HdcMZs,4.3,ChIJRbUsdRuXQC4Rot4U_HdcMZs,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,"[{'height': 366, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113384402338168401815"">kang haris</a>'], 'photo_reference': 'AUGGfZnVgOSWwHwm3MGrkSXHOgMy291YfEduvVATUzZZnafPro8PGKAY9uhU7EX3CZ_NL9QcGtpWh6AKOiDPGVYAfca7bd87oFh9TJoud9gAmTh0H1c61Dornv18d7dI81BYhSZqFp1ykBPePHurakxDin7km63cf94pmsrk7XgzDfDsAGqQ', 'width': 720}]",,https://www.google.com/maps/place/?q=place_id:ChIJRbUsdRuXQC4Rot4U_HdcMZs
OPERATIONAL,"Batang Harjo, Batanghari, East Lampung Regency, Lampung 34381, Indonesia","{'location': {'lat': -5.1143125, 'lng': 105.3864375}, 'viewport': {'northeast': {'lat': -5.112986870107278, 'lng': 105.3878758798927}, 'southwest': {'lat': -5.115686529892722, 'lng': 105.3851762201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Anggur Pak Tri,ChIJAbaf7uS9QC4RIN4GGUik2Jc,4.7,ChIJAbaf7uS9QC4RIN4GGUik2Jc,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117739432770798007269"">A Google User</a>'], 'photo_reference': 'AUGGfZnosAhD1sTfFqO7Y-zCj9bFDICYPz4JIkBpuX0hWMQOcI5-Fvw-jsYbybCsjBgMENp0qj_oZN7AHk3kP1E9nlIleKbQYL6OnmoX__eKnSAu2X1wnS-yopqxW_tO-Rh14p5E4CmPMEuuudDizL8Q4cKcHsXBHt78borxbVS7HrHdonEA', 'width': 4032}]","{'compound_code': 'V9PP+7H Batang Harjo, East Lampung Regency, Lampung, Indonesia', 'global_code': '6P67V9PP+7H'}",https://www.google.com/maps/place/?q=place_id:ChIJAbaf7uS9QC4RIN4GGUik2Jc
OPERATIONAL,"dusun sri dadi desa, Sri Basuki, Kec. Batanghari, Kabupaten Lampung Timur, Lampung 34381, Indonesia","{'location': {'lat': -5.1130054, 'lng': 105.4055947}, 'viewport': {'northeast': {'lat': -5.111796770107278, 'lng': 105.4072746798927}, 'southwest': {'lat': -5.114496429892721, 'lng': 105.4045750201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Wora Wari,ChIJ93B_Oq69QC4R0kovLw1M_qI,5.0,ChIJ93B_Oq69QC4R0kovLw1M_qI,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111418993315585988051"">Han 131</a>'], 'photo_reference': 'AUGGfZly4EQ9S4RV5Iilu_smUm2wtywhedlDdM28l6sVFCI1aAcvnHbDMjNx9bvevo3RJ-1XCLh7SxEcCcVoKXbknOin70lROi_MgvOzy-ROKqTka-pr4ti3GAhCKkfTKzkKEOfAaaz_aQthAZNCKyRz6QM6rXuTgbSvQMD14p-VpMHdl1m_', 'width': 3264}]","{'compound_code': 'VCP4+Q6 Sri Basuki, East Lampung Regency, Lampung, Indonesia', 'global_code': '6P67VCP4+Q6'}",https://www.google.com/maps/place/?q=place_id:ChIJ93B_Oq69QC4R0kovLw1M_qI
OPERATIONAL,"VCC7+3MG, Selo Rejo, Batanghari, East Lampung Regency, Lampung 34382, Indonesia","{'location': {'lat': -5.1298238, 'lng': 105.4141987}, 'viewport': {'northeast': {'lat': -5.128467820107278, 'lng': 105.4155702298927}, 'southwest': {'lat': -5.131167479892722, 'lng': 105.4128705701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Sunset,ChIJhfS1pQOVQC4RbOzPmUWOMm8,4.0,ChIJhfS1pQOVQC4RbOzPmUWOMm8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116513470015943224276"">A Google User</a>'], 'photo_reference': 'AUGGfZmQ0VdI-WsQoiL0wOZz-XijYoCPZc45El9nRwX-AZds4uyi_XZ64x0OInt7Mo5rmTp5nnHdnauZA1R6mOHHw8AGCWfTliJuc-e8tksQ3WkUjgpVMKqVRZqcdVprxxZFumr4fYPywIKz_bUkt1KDY72VGlGiWtGdaR3UMbJJkFyjbtIY', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJhfS1pQOVQC4RbOzPmUWOMm8
OPERATIONAL,"WCW2+228, Jojog, Pekalongan, East Lampung Regency, Lampung 34391, Indonesia","{'location': {'lat': -5.0549255, 'lng': 105.4001792}, 'viewport': {'northeast': {'lat': -5.053570720107278, 'lng': 105.4015201298927}, 'southwest': {'lat': -5.056270379892722, 'lng': 105.3988204701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan,ChIJdUFzH4i9QC4Rq3YnvPYca8w,5.0,ChIJdUFzH4i9QC4Rq3YnvPYca8w,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108861634766701748124"">Septi Aja</a>'], 'photo_reference': 'AUGGfZnJinn_1N607WmeHmprCeQ9pSaKsWQZ4oSzCdeq9mfUAwa5tFK3m25Yig0EkVU73A1OHZLHhw0bWS4fVw_IXKkj7He_Ch_w1lE9U3moUy7dZHpq-3jDwawXR9CESzpCWrsarAwhIwxz8NaACWzVRWC56gKTZZ0HLbF-2cY37US2bK0S', 'width': 4080}]",,https://www.google.com/maps/place/?q=place_id:ChIJdUFzH4i9QC4Rq3YnvPYca8w
