business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,url
CLOSED_TEMPORARILY,"6MVP+P8H, Tanjung Jaya, Sungkai Barat, North Lampung Regency, Lampung 34554, Indonesia","{'location': {'lat': -4.7556933, 'lng': 104.6858531}, 'viewport': {'northeast': {'lat': -4.753962320107278, 'lng': 104.6876095298927}, 'southwest': {'lat': -4.756661979892722, 'lng': 104.6849098701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Desa Adat Negeri Ratu Menong,True,"[{'height': 1476, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118325251900091036401"">A Google User</a>'], 'photo_reference': 'AUGGfZmqYowqDps4fe_UR3z6MDwQuRrC2LlLF1Jgv5t3U3YwzO05wPJSrYibx7upf-BnbPYOY21WsYWzY2GRNMB7AEoc4qZXYjExiT3y-ijxX-fT3otSfJ3fWcGVEHgI6UEyBmbJcryIOJ6WoDxjAKxHiiG8n9SVf7t4iSAw2lKLEnm4g7FF', 'width': 3280}]",ChIJC6oQnoCjOC4RCFx8Cdl42_A,0.0,ChIJC6oQnoCjOC4RCFx8Cdl42_A,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJC6oQnoCjOC4RCFx8Cdl42_A
OPERATIONAL,"5PP8+5JC, Central Lepang, Sungkai Jaya, North Lampung Regency, Lampung 34555, Indonesia","{'location': {'lat': -4.8145557, 'lng': 104.7165215}, 'viewport': {'northeast': {'lat': -4.813225920107278, 'lng': 104.7179006798927}, 'southwest': {'lat': -4.815925579892722, 'lng': 104.7152010201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Siger,,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100966767639754888726"">A Google User</a>'], 'photo_reference': 'AUGGfZk9ESQ5414zIHGuJj0csJ9jQNxTLjYWuymueagOk1P-hDUGVAbcyPJTrDOfPwJ78lgBJdk2PCXES66l8mA7bwL6sez4_djCjmFlv5InxZfdQ62zeYHrTOt7dv84iWHRQaY5f29zpqnPfW9BX7Uz9PEc6l_oz8rRGcsRXtHjoVh2febP', 'width': 1024}]",ChIJ_WZvISehOC4RySzpn5N0IHg,3.5,ChIJ_WZvISehOC4RySzpn5N0IHg,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJ_WZvISehOC4RySzpn5N0IHg
OPERATIONAL,"5MJX+HX, dusun talang sembilan, Gn. Betuah, Kec. Abung Bar., Kabupaten Lampung Utara, Lampung 34558, Indonesia","{'location': {'lat': -4.8086245, 'lng': 104.7014749}, 'viewport': {'northeast': {'lat': -4.807681820107277, 'lng': 104.7033486}, 'southwest': {'lat': -4.810381479892721, 'lng': 104.6958538}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,air terjun curup selampung,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115174457429958289666"">A Google User</a>'], 'photo_reference': 'AUGGfZk6-KKd4ufaG0flbemF96pjXDcRenvjjuaBUtlahP3CiyhHSKcjfMtlDfhP_HdW7b4Nmm4V2xT3ir4kAClHeQbfGdsQEUuckBk67xrqqeTjK9sLyFTeVe3sqWAgq1lHLNoL_q2E0myA3HSy8-S5gUxXABbn4aR3Koj7Hgu1Il7u9l8', 'width': 3120}]",ChIJAdZfnMqhOC4RWK-APTBvcLg,3.7,ChIJAdZfnMqhOC4RWK-APTBvcLg,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,,https://www.google.com/maps/place/?q=place_id:ChIJAdZfnMqhOC4RWK-APTBvcLg
OPERATIONAL,"Dusun 4 Sidorejo, Sukamarga, Kec. Abung Tinggi, Kabupaten Lampung Utara, Lampung 34556, Indonesia","{'location': {'lat': -4.826120599999999, 'lng': 104.6172388}, 'viewport': {'northeast': {'lat': -4.824736070107279, 'lng': 104.6186208798927}, 'southwest': {'lat': -4.827435729892723, 'lng': 104.6159212201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Curup slinap, Dusun 4 Sidorejo",,"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105577332646340582156"">A Google User</a>'], 'photo_reference': 'AUGGfZkp13RMXMOmoHYgVRKBcqp1i1UFqeM_Ql41L7Hk-qUbmhguaQagcCu9EVRB63gk5Zy34iPJifceiK-CJUcH4Do6XT9nSIaUyflahmO3tbLaRQtK79oIDGhSjdlbmNjC9Ktt6CNLPIMvCyJuZH-pvDtCtxrBbNp8TSLnUdwxojrhpog2', 'width': 2048}]",ChIJmadIbMifOC4RhYZ0Y48Wo4I,4.6,ChIJmadIbMifOC4RhYZ0Y48Wo4I,"['tourist_attraction', 'point_of_interest', 'establishment']",10,{'open_now': True},"{'compound_code': '5JF8+HV Sukamarga, North Lampung Regency, Lampung, Indonesia', 'global_code': '6P765JF8+HV'}",https://www.google.com/maps/place/?q=place_id:ChIJmadIbMifOC4RhYZ0Y48Wo4I
OPERATIONAL,"8PM6+8HH, Jl. Buay Harayap, Bangun Jaya, Kec. Sungkai Utara, Kabupaten Lampung Utara, Lampung 34555, Indonesia","{'location': {'lat': -4.6669796, 'lng': 104.7120636}, 'viewport': {'northeast': {'lat': -4.665653670107277, 'lng': 104.7133857798927}, 'southwest': {'lat': -4.668353329892721, 'lng': 104.7106861201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PEMANCINGAN.BALONG LESTARI,,"[{'height': 2336, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106458436364534222127"">A Google User</a>'], 'photo_reference': 'AUGGfZn6AS7LsUGRzYNVIG4GJn743wChXYlVDUUfxxwNnGf6rheL8W2ShYfryIr76D4xGakjOthQtyAzoxMblk1ex-jmvkB0hEzPM9uQ9guMrUz3BvfbTXoPPqhb8TuuVw0fSy7bRZQ_kG6iozxlkQpoac1N2dSzuPKUmrxyKvDW0AVlzw7S', 'width': 4160}]",ChIJqczZmiO9OC4RYKnmeoXBpOI,5.0,ChIJqczZmiO9OC4RYKnmeoXBpOI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJqczZmiO9OC4RYKnmeoXBpOI
OPERATIONAL,"4JHX+XHG Jembatan Way Abung, Jl. Raya Lintas Utama Sumatera, Pulau Panggung, Kec. Abung Tinggi, Kabupaten Lampung Utara, Lampung 34556, Indonesia","{'location': {'lat': -4.8707813, 'lng': 104.648733}, 'viewport': {'northeast': {'lat': -4.869074070107278, 'lng': 104.6500490798927}, 'southwest': {'lat': -4.871773729892722, 'lng': 104.6473494201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ryo tunggal jaya,,,ChIJowpopt6fOC4RSSkS35U-fWo,0.0,ChIJowpopt6fOC4RSSkS35U-fWo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJowpopt6fOC4RSSkS35U-fWo
OPERATIONAL,"4HPC+X42, Bukit Kemuning, Kemuning, Kec. Bukit Kemuning, Kabupaten Lampung Utara, Lampung 34766, Indonesia","{'location': {'lat': -4.8626143, 'lng': 104.570263}, 'viewport': {'northeast': {'lat': -4.861234920107278, 'lng': 104.5716046298927}, 'southwest': {'lat': -4.863934579892722, 'lng': 104.5689049701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpang 4,,,ChIJuc64qtufOC4R1c-Irn3LHCM,4.3,ChIJuc64qtufOC4R1c-Irn3LHCM,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJuc64qtufOC4R1c-Irn3LHCM
OPERATIONAL,"4JGG+399, Ulak Rengas, Abung Tinggi, North Lampung Regency, Lampung 34556, Indonesia","{'location': {'lat': -4.8748284, 'lng': 104.6259959}, 'viewport': {'northeast': {'lat': -4.873453820107279, 'lng': 104.6271712298927}, 'southwest': {'lat': -4.876153479892722, 'lng': 104.6244715701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Lubuk Bengkuang,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117265314125431304063"">herliyati effendi</a>'], 'photo_reference': 'AUGGfZn20UP4oIXscQsspVB7TKX_QtNFO0mR_Abkp5VJaIMYEhF21wWzsVwVzJ_W1t76d9ikQaAXEVV6bXLr1BaKbyJSXocTrVC_LZZRCOB9AzCOoA6xQrKOYhjcd_bEOlWD2LCxHQ_HfvQgr1FQ5pJrs2-0J09qt8aMrnUXV3AqUlmIVh1L', 'width': 1080}]",ChIJZzAcwKCfOC4R97-h_Fi4PiM,4.7,ChIJZzAcwKCfOC4R97-h_Fi4PiM,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,https://www.google.com/maps/place/?q=place_id:ChIJZzAcwKCfOC4R97-h_Fi4PiM
OPERATIONAL,"5H59+JWF, Muara Aman, Bukit Kemuning, North Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.8409486, 'lng': 104.5697999}, 'viewport': {'northeast': {'lat': -4.839489370107279, 'lng': 104.57070025}, 'southwest': {'lat': -4.842189029892722, 'lng': 104.56709885}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Curup Kawat condong,,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111895540459054350491"">BEBEN Kaisar</a>'], 'photo_reference': 'AUGGfZlXqR-PQehuWvXaBL7JWaRH_ozDh87uEcBbmcR9nUfs7ZgH3V5KCsw9xnSkHmrvNbSiolVGlba86CrECuGKAC5AuUpz_cRK2118wg-hXKvtryxQtvzFYe93ABtW0tBFpuidGZsyMBp6Q5z2gvqmXdj156NKszGK40t1C2zOqgYKUj_P', 'width': 963}]",ChIJ-Y_sxi2fOC4R-sBYEUzWbi8,5.0,ChIJ-Y_sxi2fOC4R-sBYEUzWbi8,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,https://www.google.com/maps/place/?q=place_id:ChIJ-Y_sxi2fOC4R-sBYEUzWbi8
OPERATIONAL,"Dusun 04 desa lepang tengah kecamatan sungkai jaya Rt/Rw 004/002 no.124 Lepang Tengah Kecamatan Sungkai Jaya, Kec. Kotabumi, Lampung 34558, Indonesia","{'location': {'lat': -4.8365653, 'lng': 104.7189804}, 'viewport': {'northeast': {'lat': -4.835419820107278, 'lng': 104.72058205}, 'southwest': {'lat': -4.838119479892722, 'lng': 104.71417545}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ronicell31 service hp software & hardware,,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117876005455859431055"">maidi taproni</a>'], 'photo_reference': 'AUGGfZnTMBwqLeucsK43fngS_LceVyzE9Z-0aU-YFJTldhwPu2qpwhmMLnsqh9FF7FV1EUUh3YUv39ogU0r51C6bwi9vRuP83EhC0j6YIU51-m-QJ8ZmFqU-g2AvLtRe0Gv6UFO6AQw0lAqpt8y3tqQg9mrAM0vQcGZnDdXg1Nkpifv678du', 'width': 3096}]",ChIJ7UTQmduhOC4RRUX7ksSDCB0,0.0,ChIJ7UTQmduhOC4RRUX7ksSDCB0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},"{'compound_code': '5P79+9H Pematang Kasih, North Lampung Regency, Lampung, Indonesia', 'global_code': '6P765P79+9H'}",https://www.google.com/maps/place/?q=place_id:ChIJ7UTQmduhOC4RRUX7ksSDCB0
