business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"5PP8+5JC, Central Lepang, Sungkai Jaya, North Lampung Regency, Lampung 34555, Indonesia","{'location': {'lat': -4.8145557, 'lng': 104.7165215}, 'viewport': {'northeast': {'lat': -4.813225920107278, 'lng': 104.7179006798927}, 'southwest': {'lat': -4.815925579892722, 'lng': 104.7152010201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Siger,{'open_now': False},"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100966767639754888726"">A Google User</a>'], 'photo_reference': 'AUGGfZmi1jpCdQb2loJWyIbkIeaPjeixYZ5YZYdBoSmu-Xd3eSWEw7agSNYUrj62Ww50HPsv_uN2l1FNjJUEFg3aXeHOXF44HCs4tLDhdTn_nEwo4yl2I8-uj-pODUdgH2jV5IFb3zWsHaOtNzbQsqujY4WKXVfr0hgA1U22DWsKeUZGyC3Q', 'width': 1024}]",ChIJ_WZvISehOC4RySzpn5N0IHg,3.5,ChIJ_WZvISehOC4RySzpn5N0IHg,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJ_WZvISehOC4RySzpn5N0IHg
OPERATIONAL,"5MJX+HX, dusun talang sembilan, Gn. Betuah, Kec. Abung Bar., Kabupaten Lampung Utara, Lampung 34558, Indonesia","{'location': {'lat': -4.8086245, 'lng': 104.7014749}, 'viewport': {'northeast': {'lat': -4.807681820107277, 'lng': 104.7033486}, 'southwest': {'lat': -4.810381479892721, 'lng': 104.6958538}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,air terjun curup selampung,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115174457429958289666"">A Google User</a>'], 'photo_reference': 'AUGGfZmOfyXyhwA875TccXTqmUHGj5GZQBA5jxQoAXSxdn6SIdfUc_4SXVnXxfg9A-59KFmIOEuWZ_eQ2q2_w6L4gqdxF54wJqw4FSBWqq5-jnbjEn0fq5JrtjVmQxlaxdnX9-hwNJgPR8mmu5S6ap1tZLTClGLZP8jhqjeI84MFoBfFGo4', 'width': 3120}]",ChIJAdZfnMqhOC4RWK-APTBvcLg,3.7,ChIJAdZfnMqhOC4RWK-APTBvcLg,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,,https://www.google.com/maps/place/?q=place_id:ChIJAdZfnMqhOC4RWK-APTBvcLg
OPERATIONAL,"Dusun 04 desa lepang tengah kecamatan sungkai jaya Rt/Rw 004/002 no.124 Lepang Tengah Kecamatan Sungkai Jaya, Kec. Kotabumi, Lampung 34558, Indonesia","{'location': {'lat': -4.8365653, 'lng': 104.7189804}, 'viewport': {'northeast': {'lat': -4.835419820107278, 'lng': 104.72058205}, 'southwest': {'lat': -4.838119479892722, 'lng': 104.71417545}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ronicell31 service hp software & hardware,{'open_now': True},"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117876005455859431055"">maidi taproni</a>'], 'photo_reference': 'AUGGfZk7AaB4XKkZQ6DRJbV9mCwlomg47AXnZdu5L6Y8b5udnqI2Iyu8vnM6hWtfj0tSXR2S122JT4DgTWPvAEf6SgKrxKQNe6wA7YZCqVmL7JaYUhG-dB89FrLpx_FNET_YJk6ZJrftK2PPrJoKaRnECMmeuzjsJJr7q3yJQql3SLDmowHY', 'width': 3096}]",ChIJ7UTQmduhOC4RRUX7ksSDCB0,0.0,ChIJ7UTQmduhOC4RRUX7ksSDCB0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': '5P79+9H Pematang Kasih, North Lampung Regency, Lampung, Indonesia', 'global_code': '6P765P79+9H'}",,https://www.google.com/maps/place/?q=place_id:ChIJ7UTQmduhOC4RRUX7ksSDCB0
OPERATIONAL,"5Q8G+86P, West Kotabumi Tengah, Kotabumi, North Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.8341687, 'lng': 104.7755884}, 'viewport': {'northeast': {'lat': -4.8313136, 'lng': 104.7763105298927}, 'southwest': {'lat': -4.835120400000001, 'lng': 104.7736108701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Buay H. Middin,,"[{'height': 2016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111564059351298711005"">Seven Pri</a>'], 'photo_reference': 'AUGGfZmCKdwnXCmprnBdEbDbjlk64-Wj785B0Z-crPLsRe9ShSIigkPSMsYW4eGjElkOrQJAB6pfPRiUwYbVlQdsZzk-OzHjSTaoycNLLmWooAkt0QGKE7U7bkWpPDjr0klR6gdbNvmTSLxn2qNNU5kVrvSe7FlGXqHv0qqrmyL-tWZEl9pX', 'width': 4592}]",ChIJd6oHwjmnOC4RJeTmvhFGAeg,0.0,ChIJd6oHwjmnOC4RJeTmvhFGAeg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJd6oHwjmnOC4RJeTmvhFGAeg
CLOSED_TEMPORARILY,"5PR2+GH, Cahaya Makmur, Sungkai Jaya, North Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.8086419, 'lng': 104.7014759}, 'viewport': {'northeast': {'lat': -4.807690520107277, 'lng': 104.7033501}, 'southwest': {'lat': -4.810390179892721, 'lng': 104.6958533}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curup Selampung,,,ChIJd__17s-jOC4RjTbccOp3lpA,0.0,ChIJd__17s-jOC4RjTbccOp3lpA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,https://www.google.com/maps/place/?q=place_id:ChIJd__17s-jOC4RjTbccOp3lpA
OPERATIONAL,"8PM6+8HH, Jl. Buay Harayap, Bangun Jaya, Kec. Sungkai Utara, Kabupaten Lampung Utara, Lampung 34555, Indonesia","{'location': {'lat': -4.6669796, 'lng': 104.7120636}, 'viewport': {'northeast': {'lat': -4.665653670107277, 'lng': 104.7133857798927}, 'southwest': {'lat': -4.668353329892721, 'lng': 104.7106861201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PEMANCINGAN.BALONG LESTARI,,"[{'height': 2336, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106458436364534222127"">A Google User</a>'], 'photo_reference': 'AUGGfZkM7qgtNXJNBH63VZiT_qvgL8LQu3emf7aI12KKajHlKV3gmWpMp15PzNRp6yW94O000jPROsIvEq9JlMbOrsECi7yvCxVRGhxLPe1HMoIXmY3EvVvUHyWNDcYIAYnGzLpSqczbq-_A4XN8KYS6V2j8FbGg4Faf3bXxaoKmkElRBDjq', 'width': 4160}]",ChIJqczZmiO9OC4RYKnmeoXBpOI,5.0,ChIJqczZmiO9OC4RYKnmeoXBpOI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJqczZmiO9OC4RYKnmeoXBpOI
OPERATIONAL,"4JHX+XHG Jembatan Way Abung, Jl. Raya Lintas Utama Sumatera, Pulau Panggung, Kec. Abung Tinggi, Kabupaten Lampung Utara, Lampung 34556, Indonesia","{'location': {'lat': -4.8707813, 'lng': 104.648733}, 'viewport': {'northeast': {'lat': -4.869074070107278, 'lng': 104.6500490798927}, 'southwest': {'lat': -4.871773729892722, 'lng': 104.6473494201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ryo tunggal jaya,,,ChIJowpopt6fOC4RSSkS35U-fWo,0.0,ChIJowpopt6fOC4RSSkS35U-fWo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJowpopt6fOC4RSSkS35U-fWo
CLOSED_TEMPORARILY,"6Q7C+CJ, Negara Agung, Sungkai Jaya, North Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.786427799999999, 'lng': 104.7715705}, 'viewport': {'northeast': {'lat': -4.78260115, 'lng': 104.7728525798927}, 'southwest': {'lat': -4.787703349999999, 'lng': 104.7701529201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun sawit,,,ChIJQWXeFBalOC4RetyTUFCNOlk,5.0,ChIJQWXeFBalOC4RetyTUFCNOlk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,True,https://www.google.com/maps/place/?q=place_id:ChIJQWXeFBalOC4RetyTUFCNOlk
CLOSED_TEMPORARILY,"6MVP+P8H, Tanjung Jaya, Sungkai Barat, North Lampung Regency, Lampung 34554, Indonesia","{'location': {'lat': -4.7556933, 'lng': 104.6858531}, 'viewport': {'northeast': {'lat': -4.753962320107278, 'lng': 104.6876095298927}, 'southwest': {'lat': -4.756661979892722, 'lng': 104.6849098701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Desa Adat Negeri Ratu Menong,,"[{'height': 1476, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118325251900091036401"">A Google User</a>'], 'photo_reference': 'AUGGfZnN3KK41EnY6VXivjdZzPJ0Yd8Hut7fjP0sawSezG7MP9N3OsKl5JjWFo7We37Hp4PbJPO84wbyTO0nTeoAipRk9ZqZ-uZ0ZSgzBXz3T9P1yR0iOf0dW3jPbDqcwIxTNesr4ojlzgR55pphNCBqH6vUEgyJ4eS_BxFzrUKHA4W-cWFW', 'width': 3280}]",ChIJC6oQnoCjOC4RCFx8Cdl42_A,0.0,ChIJC6oQnoCjOC4RCFx8Cdl42_A,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,https://www.google.com/maps/place/?q=place_id:ChIJC6oQnoCjOC4RCFx8Cdl42_A
CLOSED_TEMPORARILY,"CQH2+289, Hanakau Jaya, Sungkai Utara, North Lampung Regency, Lampung 34762, Indonesia","{'location': {'lat': -4.572456499999999, 'lng': 104.7508598}, 'viewport': {'northeast': {'lat': -4.571115320107277, 'lng': 104.7522150298927}, 'southwest': {'lat': -4.573814979892721, 'lng': 104.7495153701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu pengantin sungkai,,"[{'height': 4064, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100475069464247013583"">Berni Aja</a>'], 'photo_reference': 'AUGGfZn_9U2n0g73QU4Sagtv5usobrfdYcX_FTW9r36r4wJY3QfgCzBmf2mXtGw7OSxJG4NU_lu_VGHzoa6x5xbH_aeimOI1DCEi7g7sAnBBzg20MvP9wEqfgc_Ysz65f_jDmnFF-VEN1XlW6blDZKQJucQwuWlvYa9WcboffLSlI5_nQzQD', 'width': 4368}]",ChIJU7c7Wj3BOC4R0iNZM8SFvno,0.0,ChIJU7c7Wj3BOC4R0iNZM8SFvno,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,https://www.google.com/maps/place/?q=place_id:ChIJU7c7Wj3BOC4R0iNZM8SFvno
